SED_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED10001,342,1392,396,559,34,3170,483,336,1735,985,1597,137,5271,9,13,51,39,87,5,208,26,10,75,171,754,27,1063,36,9,104,119,441,147,856,1654,1088,6303,4166,11849,837,25893
SED10002,164,1098,249,202,49,2566,1148,243,2498,875,637,151,5548,53,9,144,84,55,12,363,117,22,264,201,282,28,912,383,44,758,375,300,420,2278,7147,979,14221,5565,4762,1417,34084
SED10003,348,1545,403,449,65,3396,796,321,2077,944,1165,149,5447,56,24,209,89,126,21,521,41,26,189,188,601,28,1069,68,30,410,187,346,172,1208,2559,1148,8925,4503,9149,1011,27288
SED10004,343,1562,278,183,31,4268,1513,322,2163,468,306,96,4870,221,44,542,128,114,18,1068,189,37,360,150,259,19,1019,291,40,691,170,140,116,1450,9646,2062,18284,4403,3989,718,39099
SED10005,110,746,241,223,35,1872,426,119,1289,555,646,109,3144,10,0,60,31,39,8,149,44,14,142,155,380,20,746,115,9,323,174,285,211,1116,2519,474,7123,3412,4664,860,19049
SED10006,215,1138,304,513,73,2518,201,152,886,624,1099,101,3061,7,3,33,27,86,0,156,8,13,50,68,541,31,716,16,5,64,49,285,159,568,791,584,3875,2735,9090,917,17996
SED10007,281,1290,356,595,33,3026,374,249,1305,755,1408,131,4227,28,10,88,38,127,11,297,22,15,101,114,689,15,954,27,4,96,79,398,136,744,1539,863,5457,3480,11725,852,23904
SED10008,280,1547,332,275,57,3443,1277,293,2332,702,585,116,5304,28,11,137,46,59,10,291,118,19,272,195,375,25,1003,328,22,528,199,256,118,1451,7861,1375,14537,4673,5558,856,34851
SED10009,292,869,262,362,43,2174,406,244,1256,727,1292,131,4057,24,8,105,47,120,7,310,30,17,60,129,632,12,888,24,6,114,89,348,128,710,1328,878,4471,3169,9689,820,20356
SED10010,171,823,265,304,42,2200,743,210,2173,825,1082,180,5215,25,4,84,41,66,3,221,72,10,182,151,495,22,926,204,14,455,203,400,241,1517,4377,782,10026,4567,7178,1155,28087
SED10011,446,1823,445,455,52,4618,826,365,1741,804,980,91,4800,93,40,184,82,141,16,561,87,23,172,147,487,19,941,54,14,157,128,271,91,721,3822,1399,7918,4139,7859,592,25728
SED10012,70,592,149,196,32,1312,231,71,989,409,637,85,2424,7,4,45,33,36,7,135,22,9,115,132,373,29,672,36,9,192,156,263,211,866,1020,282,5427,2803,4512,736,14776
SED10013,418,2337,659,830,77,5647,872,414,2622,1320,1511,185,6925,32,8,115,92,147,7,407,61,31,194,271,1250,36,1850,107,18,328,303,783,201,1746,4237,1416,11925,8152,17417,1298,44443
SED10014,175,791,305,435,49,2273,447,184,1437,829,1187,124,4199,12,4,71,42,85,11,220,18,6,96,127,545,26,810,42,6,168,154,450,146,969,1946,617,5462,3792,8626,811,21258
SED10015,261,1237,322,267,67,3014,856,215,1824,745,729,142,4499,68,23,189,77,83,8,446,81,27,253,191,526,34,1112,153,20,430,214,279,203,1287,4460,1028,11090,4839,5904,1058,28378
SED10016,318,2033,465,383,66,4350,1212,329,2662,890,720,163,5978,42,13,150,96,94,9,396,140,27,289,252,607,29,1350,322,42,583,229,340,198,1712,7829,1629,16436,6329,8094,1133,41450
SED10017,151,836,288,551,27,2110,265,208,1275,943,2123,149,4962,7,5,42,39,114,10,216,16,12,65,173,1067,19,1342,31,11,98,86,514,124,864,1014,599,4344,3844,14926,829,25558
SED10018,269,1659,385,453,38,3500,820,318,2456,993,1475,150,6221,17,7,92,52,110,11,289,31,21,138,165,610,21,983,41,18,178,111,297,91,733,2658,1121,8712,4202,9518,680,26889
SED10019,211,898,306,510,35,2147,231,175,942,707,1684,153,3895,10,3,45,22,111,7,199,32,10,48,95,616,25,817,12,8,66,61,371,118,642,751,582,3538,2686,10133,836,18515
SED10020,279,1326,367,490,43,2839,537,285,1893,989,1657,187,5550,13,0,71,55,141,6,294,27,14,99,172,702,25,1034,30,8,129,85,379,148,781,1514,894,6109,3901,10112,881,23406
SED10021,291,1463,277,193,54,3789,1435,287,2826,544,323,142,5549,153,33,455,129,114,23,906,134,38,381,135,326,34,1044,284,41,812,189,180,193,1694,8618,1661,19381,4147,4535,1042,39385
SED10022,199,1009,274,437,46,2176,135,133,756,655,1137,144,2963,4,8,23,15,60,6,108,17,6,58,95,608,32,804,13,5,53,57,319,129,579,679,540,3761,2793,9683,963,18422
SED10023,307,1656,399,402,69,3506,648,223,1727,726,612,123,4063,40,13,183,83,166,16,502,51,23,179,216,661,20,1153,85,24,343,207,382,94,1134,3208,1185,10556,5649,9434,916,30963
SED10024,265,1384,302,167,50,3109,1166,265,2060,490,312,102,4397,72,17,191,48,54,0,384,122,30,278,130,305,24,882,313,27,565,147,148,112,1309,7591,1438,14206,3694,3322,750,30998
SED10025,260,1488,316,263,40,3355,1223,249,2102,528,392,100,4576,82,40,214,90,90,15,520,120,20,252,154,453,30,1021,293,33,547,203,231,147,1460,7103,1444,14798,4756,5379,859,34341
SED10026,247,1349,355,644,59,2985,563,260,1698,943,1487,165,5115,13,11,69,43,184,12,336,26,14,81,124,838,28,1107,44,14,102,81,434,137,808,1720,823,6052,3673,12192,983,25445
SED10027,203,1199,364,371,59,2864,514,179,1401,620,640,119,3474,23,10,108,59,106,9,305,59,9,161,157,501,23,916,106,17,292,179,304,143,1038,2815,777,8300,4198,6605,857,23542
SED10028,264,1559,314,220,46,3669,1367,272,2474,613,445,88,5259,53,10,157,52,48,6,325,174,34,299,139,261,19,921,371,34,596,140,148,134,1425,9789,1472,15703,3778,3588,766,35088
SED10029,69,501,155,158,27,1183,211,85,990,500,617,87,2490,3,3,40,15,29,5,103,30,9,118,100,315,21,586,54,4,251,158,270,183,926,1114,317,5340,2778,4281,699,14522
SED10030,216,916,300,351,28,2256,586,265,1769,927,1464,156,5163,34,13,97,78,97,8,325,44,17,121,168,567,20,941,81,16,221,135,353,118,916,2295,886,6725,4277,9299,834,24323
SED10031,274,1165,366,471,38,2769,408,226,1312,774,1216,108,4040,43,7,85,54,126,5,331,51,14,101,168,742,29,1104,54,18,131,114,408,117,837,2225,1102,6280,4370,11288,893,26156
SED10032,135,818,241,211,52,2037,897,213,1892,838,757,156,4750,25,3,85,40,67,8,227,81,16,184,133,327,23,763,277,29,550,237,287,258,1636,5736,827,10896,4449,5030,1136,28074
SED10033,262,1188,407,563,46,3088,335,221,1096,699,980,85,3415,12,15,68,66,162,11,328,41,19,108,208,1072,23,1475,53,10,167,161,557,129,1091,1842,812,5560,4579,12611,813,26214
SED10034,361,1733,481,516,50,4056,641,298,1687,800,916,128,4473,42,9,135,83,147,19,440,61,27,189,183,765,27,1250,78,19,193,157,386,76,915,3208,1290,9128,5436,10368,775,30212
SED10035,301,1877,321,262,62,4941,1555,361,2908,648,551,133,6154,181,34,592,209,183,27,1227,161,35,503,251,528,54,1532,496,45,1015,304,327,283,2473,12620,2037,25683,6991,7381,1483,56197
SED10036,163,1237,367,393,50,2915,606,190,1590,804,789,125,4110,13,8,91,57,114,11,294,43,8,124,152,575,31,944,87,15,279,173,364,163,1081,2904,702,8458,4897,7932,948,25846
SED10037,405,1767,437,443,47,4230,979,340,2505,930,814,146,5716,61,12,185,91,99,11,464,114,37,273,190,518,32,1159,280,34,450,172,244,126,1303,6581,1560,13450,4956,6671,849,34063
SED10038,460,1926,430,497,49,4689,984,351,2104,860,1117,120,5541,53,27,152,83,104,9,432,80,13,169,157,604,14,1038,105,21,228,114,263,84,805,4139,1394,9410,4394,8940,591,28881
SED10039,351,1219,394,496,43,3065,519,294,1605,957,1523,126,5027,20,11,99,60,142,5,337,38,15,106,172,707,16,1054,41,15,147,96,381,101,785,1989,1005,6262,4313,11202,761,25536
SED10040,164,1046,271,184,33,2415,1234,221,2548,912,732,199,5834,60,3,156,76,79,3,378,106,28,261,139,375,31,945,289,22,525,251,235,225,1546,6451,955,13334,5292,5215,1131,32376
SED10041,307,1575,279,182,37,3528,1477,306,2595,562,402,132,5473,84,11,170,47,57,3,376,135,34,293,117,190,15,782,384,43,597,154,122,127,1421,9365,1768,16276,3623,3045,747,34820
SED10042,185,1167,357,468,38,2677,443,230,1579,1053,1816,156,5279,11,3,60,47,107,7,239,34,12,125,135,807,18,1131,33,3,116,98,431,112,800,1570,727,5360,4042,11477,716,23888
SED10043,106,779,233,222,39,1934,499,122,1265,570,560,121,3138,17,5,67,33,45,12,177,70,14,158,141,406,26,814,164,17,377,176,243,191,1164,3436,530,7591,3480,4305,877,20222
SED10044,261,1653,292,214,47,3619,1466,362,2696,578,393,125,5626,105,34,272,93,101,12,629,172,42,316,171,387,30,1116,349,49,665,174,176,114,1528,9188,1820,18535,4680,4614,905,39737
SED10045,348,1293,364,520,47,3003,480,277,1702,971,1586,151,5164,14,8,93,52,98,11,273,25,10,121,136,643,25,962,50,12,151,109,354,137,824,1481,968,5641,3332,9518,835,21770
SED10046,133,744,269,285,36,1938,479,121,1515,831,957,140,4049,8,4,51,41,55,3,170,33,6,104,147,437,21,753,79,15,281,161,398,197,1126,2102,468,6544,4033,6610,941,20707
SED10047,166,985,363,500,46,2751,668,251,2222,1038,1514,202,5905,13,8,65,53,122,6,271,75,19,138,143,774,40,1180,146,15,349,198,593,211,1517,3979,892,9261,5309,12320,1223,32976
SED10048,213,1104,352,407,45,3016,1014,243,2675,1090,1326,222,6575,22,4,105,60,70,10,282,63,11,176,151,581,30,1017,214,13,432,241,452,267,1626,5286,971,11543,5501,9372,1267,33945
SED10049,252,1275,387,607,39,2986,451,285,1730,1090,2076,164,5789,7,7,48,43,104,9,208,24,16,97,212,1030,26,1405,32,11,108,130,495,125,910,1638,887,6164,4883,14768,817,29152
SED10050,285,1497,321,199,44,3191,906,265,1942,564,451,114,4247,89,28,333,110,101,11,671,87,28,313,170,339,32,971,294,46,770,239,202,146,1702,6807,1658,17612,4924,5378,1000,37376
SED10051,253,1515,376,297,60,3816,920,261,1999,694,620,144,4639,89,19,226,89,130,17,567,112,20,296,167,530,30,1156,219,31,495,213,275,147,1377,5843,1166,12537,4873,7079,1057,32559
SED10052,270,1529,409,335,48,3301,667,253,1686,735,740,138,4217,34,15,149,89,106,13,401,73,20,191,185,663,15,1152,104,12,334,180,346,105,1081,3505,1113,10169,5334,8519,861,29499
SED10053,297,1228,356,477,37,2949,518,270,1247,625,763,87,3514,66,37,245,93,259,24,717,63,15,142,143,744,21,1123,90,17,193,144,422,147,1018,4191,1566,8660,5344,11404,958,32119
SED10054,125,673,199,344,43,1847,460,160,1989,840,1130,153,4732,8,0,65,30,75,7,181,35,15,148,102,477,26,813,92,6,330,199,421,224,1271,2560,579,8293,4008,7685,1012,24148
SED10055,205,1261,408,528,46,3102,472,217,1452,787,1006,127,4066,13,5,85,59,105,4,270,39,6,134,154,859,23,1217,66,13,243,194,501,139,1160,2235,754,7465,4960,11194,916,27523
SED10056,298,1272,303,538,44,2667,239,186,1076,735,1181,136,3552,4,5,42,38,95,11,185,13,0,81,137,725,24,981,22,5,93,98,425,197,844,978,750,5252,3625,11558,1176,23341
SED10057,170,930,313,436,38,2127,330,177,1193,849,1814,219,4581,9,8,37,28,104,5,200,12,10,49,104,583,21,784,21,10,75,86,321,122,630,871,532,3598,2878,9176,869,17926
SED10058,324,1896,341,387,57,4034,1291,398,3264,978,1285,146,7357,34,22,172,61,122,4,423,63,20,186,152,523,19,971,90,17,270,98,318,92,883,4268,1431,12015,4350,8702,734,31499
SED10059,309,1666,235,186,37,4356,1459,288,2341,442,323,94,4948,276,55,726,169,110,16,1349,185,45,463,152,262,28,1134,277,42,739,186,180,143,1562,9397,1911,19724,4179,3934,810,39962
SED10060,233,1267,215,134,42,2981,1386,275,2099,447,256,94,4550,127,27,338,70,75,18,664,132,27,291,142,186,13,795,342,51,791,173,116,112,1581,9856,1943,19422,4041,3001,844,39110
SED10061,349,1496,452,622,61,3902,370,196,1125,649,1223,122,3686,18,10,45,26,69,8,176,24,10,95,95,655,17,901,41,3,88,66,296,131,627,2084,879,5400,3166,9235,903,21661
SED10062,225,1377,322,255,57,3021,786,226,1880,623,617,108,4249,38,7,150,57,92,9,357,94,24,236,150,490,25,1010,138,20,384,169,265,114,1091,4323,1031,11381,4433,5908,833,27911
SED10063,240,1436,388,561,57,3068,640,293,1773,926,1565,129,5320,6,3,42,31,60,3,150,30,14,123,139,821,19,1146,23,4,87,63,368,137,680,1887,889,6490,3794,11412,868,25328
SED10064,261,1035,364,545,32,2465,257,193,1172,824,1735,166,4349,13,0,60,30,84,5,203,13,11,67,111,609,20,838,18,10,64,81,392,148,710,846,681,3959,2950,9806,932,19173
SED10065,255,1499,299,289,47,3543,1420,325,2802,905,802,176,6428,76,4,168,95,87,15,451,187,27,341,160,426,30,1167,489,51,771,236,292,249,2084,10308,1432,18420,5483,6001,1331,42970
SED10066,231,1273,426,508,44,3304,536,259,1564,797,1296,120,4573,29,10,90,68,125,10,324,40,9,133,158,717,14,1065,70,8,155,131,498,123,988,2606,851,6786,4366,11226,820,26648
SED10067,274,1394,361,303,57,3025,580,231,1443,676,569,116,3613,45,18,198,105,109,18,497,49,26,209,189,554,35,1066,143,19,475,235,289,116,1278,3365,1129,10300,5012,7414,862,28089
SED10068,241,1345,390,549,45,2994,591,266,1900,970,1839,167,5727,15,6,52,39,108,4,224,27,15,95,164,684,17,998,26,12,80,84,310,116,627,1621,836,5643,3761,10210,782,22852
SED10069,160,769,286,439,29,1941,232,160,938,773,1449,126,3678,10,6,51,38,119,8,235,25,13,83,147,741,28,1035,21,8,87,101,403,105,727,1047,575,3770,3597,10719,741,20436
SED10070,146,966,285,280,37,2278,636,158,1575,677,784,124,3963,19,8,73,23,48,5,181,58,15,146,131,403,19,776,172,17,348,182,303,153,1171,4062,714,8771,4013,5936,880,24380
SED10071,272,1824,383,435,54,4216,1375,347,3307,1149,1083,207,7470,51,13,122,59,113,10,362,115,36,298,244,699,25,1411,381,51,740,276,437,238,2130,9927,1606,19111,6723,9301,1390,48064
SED10072,183,1188,311,235,49,2865,858,208,2143,706,674,166,4753,62,16,209,85,100,12,479,109,21,256,190,504,43,1110,250,28,548,254,277,239,1598,6069,1046,13815,5561,6571,1279,34336
SED10073,281,1543,317,263,54,3901,1309,316,2717,681,639,141,5799,77,14,225,65,88,15,472,185,29,341,179,377,31,1138,497,27,727,196,226,216,1892,10618,1481,18188,4781,5073,1085,41227
SED10074,248,1293,309,313,49,3010,1118,310,2332,794,873,164,5594,28,11,93,48,77,10,263,79,27,195,171,436,25,932,257,24,424,187,287,166,1345,6055,1158,11642,4390,6609,962,30812
SED10075,260,1113,430,579,40,2870,457,267,1509,1208,2210,177,5823,14,4,59,47,99,11,225,28,20,89,137,878,22,1163,20,7,106,110,449,131,822,1520,804,5343,4740,13381,811,26605
SED10076,255,834,251,418,38,2098,339,188,1094,716,1375,109,3823,21,9,65,29,102,5,228,20,3,71,126,605,24,853,28,6,86,84,351,90,648,1235,735,4031,3157,10179,718,20050
SED10077,254,1438,299,221,45,3354,1453,291,3169,884,646,185,6631,73,9,211,84,66,11,451,146,30,323,167,301,25,997,410,47,703,305,219,318,1998,9065,1344,17817,5671,4869,1340,40110
SED10078,379,1821,313,232,41,4480,1334,335,2210,612,531,68,5100,188,40,460,133,124,18,968,164,39,373,158,302,19,1066,203,43,546,174,212,159,1340,7395,1885,16285,4574,4810,762,35715
SED10079,171,1072,302,473,34,2383,293,216,1238,831,1706,137,4418,9,3,49,30,101,6,201,18,10,87,128,708,22,965,13,0,74,99,380,98,672,1071,619,4527,3414,10700,649,20980
SED10080,201,1044,227,112,43,2771,1310,229,1886,430,252,87,4181,209,42,607,183,150,21,1216,158,38,400,205,284,21,1111,439,50,978,281,181,248,2180,11055,1907,23426,5978,4008,1311,47683
SED10081,267,1297,413,618,43,2965,453,257,1488,890,1594,131,4807,3,0,38,30,101,9,185,21,11,81,145,823,34,1109,12,6,75,77,403,127,697,1302,795,5263,3551,11719,934,23572
SED10082,253,1612,372,403,45,3240,715,343,2155,911,1127,140,5395,23,8,128,71,114,10,353,41,22,144,162,563,28,971,53,17,248,130,318,90,860,2430,993,8151,4553,8825,727,25683
SED10083,232,1250,326,417,46,2643,389,241,1573,920,1602,142,4877,15,7,84,60,119,3,289,20,8,115,135,719,22,1019,29,6,143,131,362,108,784,1414,754,5681,4070,10373,749,23050
SED10084,276,1247,375,480,48,2814,517,281,1690,949,1460,173,5077,20,7,113,77,143,10,364,31,23,130,180,625,31,1016,48,5,210,161,387,129,943,1550,865,6208,4109,10026,882,23642
SED10085,164,914,266,534,43,2137,155,120,714,601,1163,107,2860,10,7,44,42,132,10,245,18,10,62,99,846,28,1062,23,9,74,57,432,173,763,881,548,4059,3376,13398,994,23252
SED10086,227,1220,252,124,51,2693,1247,228,2097,342,239,123,4280,112,24,421,116,69,28,762,114,34,323,149,252,36,913,368,40,1042,224,151,186,2009,7632,1449,19125,3840,3313,1101,36454
SED10087,333,1537,412,661,60,3530,565,336,2006,983,1575,145,5622,14,0,68,37,79,9,203,25,16,129,167,832,22,1192,24,10,122,89,481,153,886,1814,1054,6799,3814,11949,912,26335
SED10088,280,1420,387,380,58,3177,677,271,1898,839,900,130,4710,57,19,209,102,118,15,517,70,31,277,237,645,33,1289,176,23,525,250,313,139,1424,4312,1317,12510,5633,8165,995,32922
SED10089,228,1517,367,510,45,3528,881,391,2749,1026,1881,180,7106,7,9,84,53,112,8,272,61,19,168,166,737,24,1181,77,14,181,118,382,133,899,3057,1051,8664,4234,10978,790,28771
SED10090,213,1229,230,129,41,2932,1320,292,2232,486,342,115,4789,96,22,259,63,64,9,518,140,33,325,169,277,22,963,338,44,716,156,124,124,1502,9301,1791,18169,4085,3248,898,37494
SED10091,272,1303,403,574,53,3294,463,244,1272,807,1093,123,4000,30,12,76,63,116,12,305,38,17,92,168,947,22,1281,55,13,160,157,554,135,1073,2077,872,5991,4492,12751,912,27097
SED10092,310,1435,313,444,46,3525,895,257,2061,913,1399,148,5670,20,15,132,51,115,7,342,63,14,194,160,641,22,1092,91,11,239,101,408,123,971,3575,994,8424,4043,9432,763,27234
SED10093,180,890,322,428,34,2128,296,229,1393,1027,2002,166,5113,11,6,41,37,115,7,223,20,6,89,153,740,26,1034,21,5,103,128,440,118,814,1085,633,4427,4047,11607,780,22580
SED19494,9,38,16,16,6,117,45,7,74,37,64,11,235,6,3,31,6,14,4,60,8,6,11,8,23,0,57,9,0,22,12,28,35,106,190,56,542,232,586,108,1714
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,328,1213,260,144,42,3285,1267,365,1990,471,276,99,4472,179,69,544,230,163,19,1204,168,40,337,229,316,35,1124,364,61,728,224,190,149,1721,9525,2231,18377,5097,4620,1057,40901
SED20207,411,1425,443,350,56,3608,886,438,2011,892,788,111,5135,67,30,237,127,143,10,612,121,40,235,255,533,27,1213,308,36,460,257,371,233,1664,7529,1850,14198,6227,8460,1196,39463
SED20302,498,1399,514,507,52,3547,778,470,2568,1562,1751,189,7313,35,27,179,157,254,20,678,65,30,195,292,914,47,1541,105,22,301,282,609,222,1550,3551,1550,9748,7444,13606,1317,37214
SED20401,396,1153,310,283,33,2770,508,329,1438,818,947,91,4132,24,9,110,65,96,6,310,87,29,163,201,545,22,1041,97,25,264,169,350,103,1010,2762,1224,7415,4167,7399,616,23586
SED20508,377,1194,368,386,43,2879,508,447,1619,895,1094,113,4676,26,18,133,78,103,12,367,33,25,144,192,565,17,986,43,21,151,131,279,100,724,1933,1336,6512,4130,8481,638,23030
SED20604,410,977,371,486,19,2638,399,417,1433,931,1369,107,4656,22,15,74,42,94,4,249,18,15,64,129,633,24,877,18,20,88,87,359,99,675,1365,1265,5088,3991,10510,713,22939
SED20704,446,1273,325,394,36,2862,689,548,2005,986,1319,140,5691,19,6,99,50,100,9,288,37,28,134,149,590,19,960,30,13,95,77,322,82,626,1755,1482,6568,3695,9281,662,23445
SED20804,354,899,208,311,29,2221,620,412,1462,849,1076,111,4527,40,41,120,63,86,13,355,45,17,99,135,523,11,829,32,27,107,77,277,98,617,1796,1243,5035,3092,7615,590,19368
SED20906,412,1190,295,215,33,3049,766,342,1713,629,465,105,4026,51,16,214,63,71,11,429,88,25,225,158,343,18,850,166,35,369,150,152,117,986,4888,1635,11396,3929,4318,703,26867
SED21001,358,1265,259,175,41,3223,1147,412,2322,579,459,108,5025,72,34,193,57,68,4,422,109,60,304,166,249,19,925,187,29,419,152,151,129,1072,6550,1798,12481,3710,3467,660,28675
SED21106,305,1073,215,122,32,2593,936,290,1729,402,223,94,3675,103,44,315,83,76,7,634,87,23,251,122,200,18,704,187,54,464,158,127,109,1099,5082,1625,12330,3237,2941,653,25871
SED21203,199,609,218,199,31,1669,368,171,838,547,554,83,2572,13,4,65,31,50,6,172,41,5,120,131,331,33,667,111,21,246,159,279,166,977,2378,662,5157,2870,4371,724,16168
SED21303,671,1872,296,182,39,5318,1759,599,2567,534,395,70,5921,240,80,635,144,104,18,1215,189,60,404,162,312,24,1146,201,61,578,157,150,126,1272,9179,2744,16897,4022,4365,658,37866
SED21401,251,941,234,164,27,2322,895,284,1787,484,415,87,3957,32,14,137,44,49,6,286,96,25,228,149,304,19,825,167,24,368,129,161,141,981,4628,1184,10367,3365,3614,714,23866
SED21503,342,1079,303,254,38,2699,712,321,1535,665,676,117,4025,27,10,135,44,89,7,314,73,17,162,158,386,13,805,121,22,249,108,210,102,809,3446,1165,7705,3598,5354,618,21881
SED21608,418,1169,336,401,37,2847,430,402,1380,841,1173,111,4331,32,17,113,57,127,11,358,32,11,92,152,577,23,883,35,12,102,92,340,108,691,1752,1218,5457,3627,8996,666,21714
SED21706,394,1308,255,145,28,3277,1095,363,2110,530,358,109,4567,82,36,206,70,55,6,441,122,46,274,135,212,17,810,224,28,454,119,135,93,1060,6432,1820,12576,3301,3123,578,27832
SED21805,331,1061,399,383,40,2673,425,298,1307,1007,1120,133,4282,19,17,107,61,124,6,336,33,26,123,199,694,17,1096,68,18,236,203,461,141,1124,1859,1068,6344,4900,9773,789,24734
SED21906,404,1423,318,231,71,3579,1192,387,2263,526,365,114,4843,95,34,299,93,76,19,615,97,44,298,164,273,28,908,221,36,564,174,154,159,1309,6232,1880,14397,3674,3431,825,30439
SED22005,234,878,255,164,26,2359,736,243,1831,682,663,123,4277,51,6,125,39,74,7,317,82,18,217,220,412,47,996,274,12,446,204,254,237,1429,5319,1015,10156,4110,4874,938,26415
SED22105,334,1147,552,451,43,3115,903,474,2986,1960,2106,227,8653,20,16,120,98,171,13,441,74,17,232,348,911,51,1627,192,25,443,374,792,286,2108,4498,1368,11376,8710,14168,1404,41517
SED22201,369,1199,318,284,36,2779,480,351,1393,771,893,104,3990,24,17,106,67,81,0,292,58,36,180,182,499,13,967,73,21,233,135,285,104,843,2459,1250,7125,3965,7040,553,22398
SED22305,163,513,227,162,30,1448,407,194,1199,759,839,111,3513,11,3,53,37,47,7,164,57,15,146,191,409,28,837,136,12,314,212,356,224,1260,2420,631,5977,3850,5623,904,19398
SED22404,333,854,374,336,40,2267,245,204,867,681,812,110,2920,32,32,115,83,122,3,382,36,19,102,160,657,22,988,30,14,103,121,389,131,785,1197,942,4328,3632,9058,738,19889
SED22501,512,1488,337,276,43,3420,669,388,1524,607,614,94,3893,54,18,175,79,92,8,429,78,29,154,150,407,16,835,79,24,225,97,211,62,700,3203,1628,8444,3699,5885,532,23382
SED22607,453,1447,289,191,39,3559,1147,499,2095,526,399,86,4753,75,47,348,110,117,11,710,104,42,234,140,298,22,830,177,30,391,133,173,117,1027,5699,2138,13130,4073,4681,686,30410
SED22704,275,713,294,345,25,1901,209,235,779,777,993,123,3116,18,9,63,68,123,10,295,29,12,78,100,580,16,808,22,8,80,102,352,150,716,1014,843,3730,3565,9267,869,19289
SED22802,319,1060,357,364,29,2516,298,252,1079,820,972,106,3527,10,9,75,75,102,10,273,47,22,137,207,757,17,1189,37,16,152,136,428,105,874,1413,944,5348,4078,9476,597,21860
SED22901,259,984,266,269,35,2353,520,283,1386,682,702,86,3655,31,14,107,43,59,9,256,72,20,165,167,428,19,870,126,24,273,146,271,93,937,3118,1008,7693,3613,5762,545,21735
SED23007,431,1240,283,195,40,3241,977,376,1956,622,637,112,4673,76,34,298,120,127,11,667,117,37,289,201,354,36,1027,207,31,458,186,268,222,1372,5762,1740,12916,4521,5535,962,31420
SED23101,297,1017,226,192,32,2593,646,271,1531,530,431,60,3477,39,14,118,57,44,5,279,116,23,218,125,266,21,770,182,27,352,146,151,89,949,4690,1205,9198,3150,3417,497,22160
SED23205,321,990,325,278,36,2398,418,309,1370,843,1029,109,4081,25,11,84,78,100,9,313,39,18,100,161,440,21,780,39,26,154,158,338,115,828,1583,1036,5515,3982,7583,640,20333
SED23308,387,1328,337,313,30,3137,870,490,2224,779,1157,116,5638,52,19,151,73,104,12,406,43,28,148,159,460,21,852,66,13,179,104,234,103,695,3230,1542,8484,3766,7509,598,25131
SED23402,430,1416,473,484,45,3486,592,348,1691,1060,1175,119,4991,20,20,117,99,141,13,403,73,24,166,259,807,27,1352,92,19,255,217,556,150,1285,2789,1293,7899,5876,11263,833,29946
SED23502,268,775,274,389,33,1944,261,236,921,830,1089,98,3433,13,8,65,49,91,12,232,18,15,68,95,525,18,749,11,6,49,81,317,117,582,813,756,3289,2884,8192,752,16681
SED23602,264,765,259,300,32,1862,306,238,919,661,949,103,3183,24,12,77,39,65,5,222,22,16,63,96,505,23,723,20,13,67,98,281,101,587,1002,825,3788,2844,7841,666,16973
SED23702,320,1130,378,460,45,2668,253,278,1096,912,1319,118,3970,15,7,100,71,161,8,360,17,15,113,188,814,30,1183,22,20,116,133,527,104,918,994,929,4715,4563,12107,727,24031
SED23806,394,1329,166,105,36,3295,1492,421,2228,389,211,100,4841,77,35,284,76,56,11,536,98,27,257,111,172,15,675,211,50,483,93,73,103,1012,7203,2030,14344,2906,2445,546,29480
SED23901,463,1324,248,207,43,3460,1293,517,2238,610,543,104,5300,72,34,228,74,68,4,474,107,32,217,132,302,13,805,139,20,327,120,174,95,883,5594,1924,11406,3454,4423,647,27442
SED24006,314,1049,171,121,25,2678,1455,366,2387,415,254,121,4994,61,18,207,67,33,14,394,91,29,193,105,144,10,574,182,36,464,109,108,104,1012,5912,1615,12106,2789,2318,590,25329
SED24105,192,688,230,184,33,1703,510,216,1427,653,687,115,3607,14,6,75,47,74,3,222,53,20,202,209,464,21,970,118,14,344,220,385,204,1294,2768,825,7900,3998,5348,854,21684
SED24207,289,1008,336,287,49,2443,593,329,2073,895,977,132,4996,24,8,151,94,99,14,393,59,12,233,243,543,54,1139,132,17,398,231,403,233,1417,3324,1096,10670,5407,7836,1079,29412
