SOSR_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SOSR703,147,2834,348,3340,161,3627,666,4451,556,9566,1630,11752,746,7642,1241,9620,774,6062,978,7817,560,4922,620,6100,356,3238,387,3989,146,1222,160,1528,25,252,52,336,3464,39375,6089,48931,194,2699,318,3204,177,3216,385,3779,885,10160,1190,12239,1160,7928,906,9996,1128,5818,647,7592,969,4476,500,5936,565,2924,311,3797,161,1227,179,1566,22,319,73,414,5255,38754,4512,48524,345,5532,667,6547,331,6840,1051,8228,1445,19727,2819,23991,1902,15569,2148,19618,1896,11884,1626,15409,1527,9397,1124,12042,918,6168,698,7784,305,2449,338,3088,49,568,125,749,8719,78131,10599,97454
SOSR712,26,648,69,739,12,538,45,606,124,1860,204,2184,147,1615,150,1906,117,1233,110,1466,107,1168,108,1382,63,653,63,780,22,205,22,252,0,49,3,48,620,7976,770,9362,31,596,65,689,52,539,40,638,179,2197,204,2576,235,1617,154,2002,220,1312,140,1665,209,1149,104,1461,97,642,62,802,39,241,34,317,6,93,19,124,1063,8389,819,10276,52,1242,131,1428,65,1081,93,1235,298,4056,402,4759,378,3231,303,3916,338,2548,247,3131,315,2319,206,2837,165,1295,125,1581,62,449,60,570,9,141,27,169,1680,16362,1589,19635
SOSR714,16,119,40,172,11,167,39,219,27,443,103,573,29,310,81,420,29,232,57,317,22,214,63,298,15,148,36,197,9,60,10,77,0,13,0,16,148,1704,431,2280,11,96,36,147,17,163,27,208,45,501,90,637,50,313,74,440,37,261,65,365,41,234,39,316,17,117,21,150,6,42,11,50,0,13,3,17,221,1739,365,2327,22,216,77,320,29,330,68,424,71,938,199,1208,78,621,156,857,60,496,119,675,64,452,102,612,31,263,52,347,11,99,23,129,0,25,3,30,369,3446,794,4610
SOSR715,67,662,102,836,95,530,60,688,177,1126,197,1498,162,1018,154,1331,103,796,115,1013,81,566,98,739,36,247,39,327,8,64,6,77,0,6,3,10,726,5020,776,6525,70,591,64,724,124,520,51,705,233,1256,192,1687,215,1035,155,1399,144,831,92,1072,106,554,67,728,38,213,33,282,10,62,4,77,5,13,0,16,939,5070,668,6681,142,1255,169,1560,220,1050,114,1388,416,2384,386,3181,376,2049,312,2730,248,1632,208,2090,184,1121,166,1467,68,464,78,606,13,123,15,147,6,23,3,29,1668,10093,1445,13205
SOSR721,39,428,35,506,70,429,36,527,109,861,109,1074,90,680,83,855,89,584,63,735,53,422,68,538,11,206,26,247,3,56,7,67,0,7,0,11,464,3675,427,4560,61,412,42,511,62,451,32,546,152,928,96,1177,149,699,68,919,110,602,67,775,78,458,55,592,23,194,37,253,10,47,4,57,0,17,0,16,646,3807,409,4858,98,847,78,1023,126,879,66,1071,261,1790,202,2255,246,1374,159,1775,198,1184,134,1515,131,885,126,1137,36,409,63,505,8,100,7,120,0,23,0,26,1105,7481,834,9427
SOSR722,49,380,51,481,57,370,44,473,121,705,98,926,94,583,73,750,97,485,63,642,47,401,62,508,25,245,50,314,4,84,16,99,0,15,0,17,487,3259,457,4205,55,323,74,458,61,378,49,490,161,775,96,1028,143,587,82,807,140,525,77,739,75,456,69,599,41,253,49,341,3,73,8,91,0,12,0,11,679,3375,513,4563,105,707,126,935,122,742,96,961,278,1481,194,1957,235,1161,158,1557,229,1005,143,1381,126,855,130,1108,55,494,96,648,8,156,24,187,0,23,3,28,1168,6631,969,8767
SOSR731,72,911,231,1218,82,874,311,1271,158,1810,638,2607,155,1703,586,2446,235,1953,548,2733,195,1804,406,2408,114,1168,233,1516,28,397,95,512,3,48,9,63,1045,10666,3062,14777,75,810,171,1050,83,782,157,1016,219,1701,339,2255,272,1705,344,2329,340,1753,327,2425,301,1442,280,2021,155,864,171,1184,35,263,50,346,7,50,11,60,1480,9364,1842,12684,150,1717,402,2273,164,1651,468,2283,377,3508,979,4862,434,3404,936,4771,574,3709,873,5154,502,3243,684,4426,272,2031,401,2704,58,660,139,856,8,99,19,123,2530,20028,4902,27458
SOSR779,0,5,0,4,0,6,0,6,0,12,3,16,0,13,4,22,6,9,5,18,0,10,3,17,0,0,0,0,0,0,0,0,0,0,0,0,5,60,22,83,0,0,0,0,0,3,0,3,0,3,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,5,0,4,0,6,0,6,0,15,6,23,0,13,4,22,6,12,5,19,0,10,3,17,0,0,0,0,0,0,0,0,0,0,0,0,4,65,28,94
SOSR799,0,11,15,30,0,35,48,84,10,181,104,292,9,167,129,305,12,156,150,311,6,178,115,300,9,141,53,205,0,24,11,33,0,4,0,6,41,891,636,1567,0,29,31,64,5,59,38,99,15,215,137,364,17,143,103,268,14,144,122,280,17,158,108,279,4,81,33,114,0,13,0,17,0,0,0,4,72,836,571,1486,4,44,43,95,9,89,87,183,23,395,242,661,26,309,236,573,17,295,276,591,23,332,226,579,9,219,88,318,0,32,16,49,0,4,0,7,115,1724,1209,3052
SOSR802,638,12015,680,13327,843,15014,1120,16986,2084,34139,2320,38546,3191,29358,1646,34198,3936,22586,1172,27701,3732,17188,878,21798,2294,13580,678,16561,1313,6949,507,8767,357,2239,266,2861,18394,153064,9275,180737,685,11511,662,12864,998,15086,1010,17090,2849,34172,1902,38922,4698,28923,1318,34934,5706,21615,929,28257,5587,17090,713,23389,3541,14681,754,18971,1527,8388,619,10542,282,3538,490,4313,25872,155001,8398,189264,1323,23522,1344,26191,1843,30099,2137,34073,4931,68312,4222,77465,7888,58279,2958,69135,9643,44196,2108,55949,9313,34282,1590,45186,5839,28259,1431,35529,2841,15339,1122,19303,638,5777,758,7174,44266,308066,17668,370000
SOSR822,0,25,0,27,0,7,0,9,0,30,0,30,0,46,5,48,9,39,0,47,5,26,0,30,4,16,5,28,0,8,4,15,0,0,0,0,28,201,14,242,0,19,0,22,0,15,0,17,0,23,0,20,4,42,3,49,15,34,0,50,7,33,0,42,9,20,0,29,0,14,0,13,0,3,0,3,36,193,10,240,0,48,4,45,0,23,0,25,0,44,0,49,4,85,3,96,25,76,0,100,10,57,0,73,13,39,5,58,0,17,4,30,0,6,0,6,62,389,26,481
SOSR831,0,21,8,30,0,36,8,47,3,49,12,65,3,20,0,27,9,25,10,41,5,28,6,36,3,24,6,31,0,6,0,6,0,4,0,6,24,216,52,292,0,14,3,15,0,17,6,27,3,37,5,48,6,19,0,29,5,22,6,33,9,21,3,38,5,12,4,19,0,5,0,3,0,5,0,5,30,158,36,221,0,37,7,51,0,57,18,75,3,90,19,115,16,46,6,61,11,47,16,75,19,47,12,72,9,37,10,52,0,12,0,9,0,4,0,5,52,369,86,519
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,3,16,4,23,5,31,7,44,10,40,10,60,4,34,30,62,5,29,19,53,3,19,16,38,0,14,9,21,0,0,4,6,0,0,0,0,33,182,100,315,3,34,0,37,4,38,4,40,7,35,5,53,7,23,7,33,0,23,7,30,4,26,8,35,5,4,4,10,0,4,0,8,0,0,0,0,28,184,34,249,6,47,4,58,8,71,7,82,15,80,21,108,10,58,35,104,6,49,29,77,7,45,22,78,4,20,10,34,0,5,5,10,0,0,0,4,62,372,131,560
SOSR915,4,13,4,23,0,16,6,27,0,80,28,116,3,64,24,90,4,76,32,115,9,77,11,97,4,78,24,107,0,12,0,15,0,4,0,4,30,421,128,577,5,30,3,34,0,11,3,19,4,61,23,88,6,86,20,112,10,74,12,98,12,53,13,84,5,38,4,42,0,8,3,9,0,0,0,0,40,369,84,494,4,43,8,51,0,31,12,45,6,145,57,202,19,147,42,206,18,149,45,209,16,133,29,181,8,122,25,150,0,23,0,26,0,4,0,4,71,786,215,1074
SOSR921,0,30,9,40,5,19,6,30,7,41,10,56,6,75,13,98,12,79,13,109,22,121,21,160,9,91,7,110,5,50,10,57,3,15,0,17,70,528,88,679,0,32,8,40,5,32,5,35,5,55,9,70,17,85,15,115,30,78,13,122,31,134,7,179,25,107,9,148,9,47,12,67,0,20,3,20,119,590,87,796,3,60,12,83,5,51,9,67,14,97,16,126,21,162,27,209,41,166,22,228,55,256,31,344,33,203,21,258,15,96,17,129,3,31,3,38,186,1118,164,1472
SOSR922,0,9,0,7,0,15,4,21,0,25,9,35,0,41,9,54,5,27,7,38,5,51,15,65,3,23,6,32,6,12,4,19,0,5,0,3,11,200,58,275,0,10,0,18,0,21,4,25,4,33,11,43,4,34,9,46,3,23,10,33,7,33,14,59,5,23,3,28,0,9,3,13,0,0,0,0,21,198,60,274,0,19,3,25,0,40,8,49,3,55,19,76,6,78,20,102,5,50,16,69,10,81,31,129,3,43,12,57,4,25,13,40,0,6,0,11,34,398,117,550
SOSR931,0,18,0,17,0,10,26,38,0,20,113,137,4,26,62,94,9,44,36,87,8,35,19,58,12,49,7,71,3,25,6,32,0,5,3,6,40,225,267,536,0,13,8,20,0,16,4,17,3,28,13,40,4,19,0,33,15,42,13,70,7,44,5,60,10,35,13,47,4,27,3,39,0,7,0,4,47,224,61,330,0,26,5,31,0,22,29,52,8,44,122,173,10,53,64,125,23,89,48,158,18,77,24,119,17,83,21,119,8,45,13,66,5,4,3,15,85,450,329,859
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,11
