SOSR_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOSR603,75073,80626,155700,1973,2117,4087,1219,1119,2337,1295,1170,2467,528,574,1103,95,102,198,123,151,279,8705,9247,17953,60,66,126,74,91,168,0,0,0,12117,12518,24629,515,521,1043,288,224,517,14892,15382,30274,4834,4575,9410,94795,100586,195386
SOSR611,31021,33270,64295,655,703,1358,473,394,870,479,428,904,233,279,509,44,38,83,66,85,156,3428,3841,7263,29,27,58,15,15,33,0,0,3,4770,5109,9877,137,154,294,98,95,191,5656,6059,11719,2057,2009,4071,38738,41349,80090
SOSR612,17067,18550,35618,615,727,1340,160,178,335,190,155,351,119,148,268,32,19,46,33,32,73,1678,1945,3620,15,18,35,3,5,9,0,0,0,2226,2505,4730,70,96,171,54,76,130,2966,3401,6369,1152,1251,2405,21182,23206,44390
SOSR613,4968,5500,10461,120,141,260,36,35,75,29,37,64,23,33,57,5,7,11,8,10,17,372,488,862,11,8,11,0,3,5,0,0,0,488,619,1111,10,9,21,8,6,11,623,776,1398,392,367,763,5981,6639,12623
SOSR614,6579,6940,13521,262,293,551,25,33,54,52,38,86,38,43,82,0,0,10,5,9,9,497,544,1040,3,5,4,4,3,5,0,0,0,624,676,1293,14,16,37,19,14,30,920,996,1918,563,600,1162,8064,8539,16601
SOSR615,24989,26860,51853,1168,1317,2488,244,221,469,215,213,428,231,233,462,22,17,41,50,53,101,1936,2188,4121,22,21,53,16,14,31,0,0,0,2742,2968,5710,85,69,153,66,54,128,4061,4417,8479,1923,1976,3906,30977,33249,64233
SOSR621,8837,8878,17719,372,424,796,89,85,171,67,69,133,92,94,188,7,14,18,18,16,34,568,561,1123,14,13,22,0,3,3,4,4,5,853,842,1698,33,34,74,19,9,31,1275,1308,2587,747,724,1474,10864,10910,21777
SOSR622,3715,3655,7364,157,141,295,41,38,83,33,33,61,56,51,103,5,4,13,9,7,12,231,259,490,7,6,7,0,6,3,0,0,0,380,399,778,9,14,25,9,12,23,550,568,1115,353,328,679,4614,4550,9166
SOSR631,45829,42864,88696,1230,1206,2437,386,343,732,344,313,655,305,315,616,50,44,101,84,82,162,2595,2723,5319,36,32,70,28,22,53,0,0,0,3827,3881,7704,168,131,296,78,72,146,5296,5284,10587,3827,3331,7154,54949,51481,106427
SOSR679,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,13,0,19
SOSR699,178,106,280,64,46,107,27,26,48,23,29,54,20,37,62,8,10,21,4,7,9,197,198,394,0,4,3,0,0,0,0,0,0,284,314,593,15,11,23,7,3,8,362,374,736,224,138,360,761,612,1377
SOSR703,42251,42556,84809,1242,1325,2574,890,840,1731,1023,1008,2039,815,811,1622,342,364,703,370,391,766,50,52,102,6366,6638,13010,128,141,274,3,3,10,9999,10254,20249,491,524,1020,281,213,498,12021,12317,24340,6423,4903,11324,60696,59774,120473
SOSR712,8686,9036,17727,334,410,740,115,153,264,217,250,463,148,152,306,98,123,223,66,64,128,8,13,24,1128,1261,2388,21,22,39,0,0,0,1802,2036,3839,219,211,430,51,50,99,2406,2704,5115,789,855,1645,11883,12603,24487
SOSR714,1840,1802,3638,264,312,569,53,58,107,44,56,99,53,54,100,12,19,33,23,30,44,6,5,8,156,158,315,0,0,3,0,0,0,337,370,716,9,14,27,9,14,25,628,710,1334,496,420,919,2969,2932,5894
SOSR715,7007,7040,14047,402,435,834,39,46,81,67,61,127,79,101,182,15,25,46,51,51,103,13,9,13,231,264,495,9,7,17,0,0,0,496,565,1063,17,25,41,15,11,30,940,1033,1968,762,631,1395,8702,8702,17407
SOSR721,4839,5018,9853,276,299,577,58,56,122,58,70,130,97,95,193,31,23,52,19,27,46,4,3,8,213,230,450,0,0,0,0,0,0,486,509,996,20,18,36,6,8,12,781,835,1621,402,377,781,6024,6228,12253
SOSR722,4730,4817,9544,282,310,589,18,21,39,31,25,56,40,43,79,12,24,36,19,28,45,0,4,7,224,246,470,3,6,6,0,0,0,340,390,731,0,8,5,20,21,35,642,717,1365,375,365,738,5752,5900,11651
SOSR731,12781,11756,24540,405,395,804,195,191,386,143,153,294,221,250,468,87,91,176,97,87,182,9,11,24,883,870,1754,5,6,10,0,0,0,1642,1660,3295,48,34,84,54,54,107,2152,2139,4292,3107,1877,4983,18036,15772,33814
SOSR779,42,10,53,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,3,0,3,3,0,3,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,15,0,18,25,0,24,83,15,99
SOSR799,541,431,972,165,137,306,82,99,179,91,95,184,122,135,261,28,36,64,65,59,120,7,9,21,108,123,232,8,4,9,0,0,0,509,557,1069,36,46,83,8,3,13,721,747,1469,557,486,1038,1816,1661,3479
SOSR802,171418,177844,349258,3163,3284,6448,7191,7310,14503,2215,2099,4317,1540,1513,3050,366,382,752,425,410,837,145,146,288,238,238,473,21920,22529,44448,11,11,23,34056,34643,68697,2336,2351,4688,556,430,986,40117,40699,80821,9125,8365,17486,220663,226905,447565
SOSR822,266,272,546,0,0,0,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,29,0,0,0,21,12,34,0,0,0,0,0,6,22,14,38,11,16,26,308,302,610
SOSR831,189,179,366,5,0,5,27,11,34,8,0,16,15,5,17,5,0,5,8,0,5,0,0,0,4,0,4,27,16,41,0,0,0,82,36,118,8,3,13,0,3,5,99,43,145,49,33,84,334,262,599
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,78,45,120,17,29,45,22,37,56,19,13,26,12,0,8,0,4,4,0,0,4,0,0,5,0,0,0,70,92,159,0,0,0,127,147,273,12,10,26,5,0,0,153,189,348,98,36,135,331,273,601
SOSR915,486,421,908,28,28,53,11,4,17,9,4,6,8,7,15,0,0,0,38,45,86,0,0,0,0,0,0,3,0,4,0,0,0,63,61,131,4,3,10,0,0,0,97,94,191,131,102,234,721,619,1334
SOSR921,576,665,1240,49,65,121,28,26,62,7,8,12,29,23,58,0,0,0,0,0,0,0,0,0,3,0,3,7,4,10,0,0,4,80,68,144,13,15,20,3,0,3,147,145,289,101,101,206,815,913,1731
SOSR922,258,236,495,0,3,3,8,5,11,0,0,0,0,7,10,0,0,0,17,23,37,0,0,0,0,4,5,5,4,8,0,0,3,38,39,78,0,0,0,0,0,0,38,44,80,59,63,124,355,347,702
SOSR931,278,266,541,13,12,23,11,6,14,7,0,6,11,5,13,0,0,0,5,7,14,0,0,0,0,0,0,0,0,0,0,0,0,23,28,51,5,8,14,0,0,0,44,42,86,281,58,337,601,369,971
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,0,0,0,0,0,0,5,6,4,5,0,8,6,4,11
