SOSR_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SOSR322,8,9,142,137,21,218,27,207,28,809,41,125,256,184,99,100,90,246,22,1162,238,415,505,376,281,174,298,391,79,2752,366,431,513,405,334,168,310,382,82,2987,531,497,473,485,428,233,481,514,88,3741,530,514,517,429,463,233,556,604,93,3937,197,149,137,87,110,71,137,162,43,1088,51,14,16,5,17,9,11,24,18,164,4,0,0,0,0,0,0,0,7,14,1957,2160,2565,2102,1748,1211,1916,2533,466,16667
SOSR331,276,220,2589,2027,609,3597,513,3461,337,13632,771,1173,3132,1925,1148,1315,1018,2921,287,13696,3815,4347,5860,2862,3144,1528,2560,4270,590,28978,7467,6802,6293,3361,4774,1631,3263,3819,787,38205,10973,7936,6578,4602,6353,2535,4799,4937,1015,49722,10190,6095,5512,3858,5502,2215,4783,5055,853,44064,5751,1799,1312,797,1533,682,1315,1546,408,15140,2057,208,109,56,213,108,129,257,228,3367,229,8,6,0,15,7,8,27,54,359,41538,28588,31392,19497,23291,13610,18392,26301,4555,207163
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,3,0,13,0,4,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,17,0,29
SOSR399,0,0,15,32,6,31,10,30,4,128,22,29,26,59,21,40,20,91,20,325,71,158,110,162,61,44,71,332,27,1027,88,122,91,61,49,30,67,109,20,644,45,73,77,63,59,27,59,80,18,497,52,81,43,39,61,33,79,69,13,464,13,22,14,10,18,8,16,20,3,118,0,0,5,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,290,488,386,429,275,208,319,732,98,3219
SOSR401,358,639,2627,5816,1248,11120,865,7129,469,30286,2391,8546,8577,12454,6315,9351,2759,7266,1057,58715,12256,39354,20508,19763,15827,9021,7638,12200,2374,138940,19392,38396,16660,15569,17449,6612,6892,9442,2321,132731,19394,29010,14163,13509,18443,6968,6936,9498,2038,119963,12980,20485,10645,10449,15753,6084,6437,8224,1395,92447,3305,6219,2486,2127,4015,1688,1412,2007,436,23689,473,720,253,125,384,239,94,209,194,2698,38,39,15,8,12,22,5,16,60,226,70595,143421,75934,79822,79448,51114,33035,55991,10343,599698
SOSR412,42,39,361,470,95,1103,104,783,35,3023,183,430,814,796,370,629,288,624,83,4226,794,1900,1842,1373,950,793,792,971,162,9582,1194,1908,1387,1180,1136,600,778,767,150,9096,1323,1766,1297,1267,1439,678,914,902,148,9732,1009,1121,994,1037,1017,569,913,829,160,7638,247,315,241,194,227,142,195,216,48,1818,40,27,18,8,20,7,19,24,12,172,5,0,0,0,0,5,0,0,6,24,4836,7509,6954,6321,5259,4529,3998,5105,794,45310
SOSR413,33,28,280,450,83,819,64,675,38,2469,157,358,574,634,243,417,140,536,42,3103,548,1481,1182,1062,611,630,406,949,109,6971,976,1620,935,952,765,444,399,806,109,6998,1206,1776,938,1116,933,592,530,860,141,8097,952,1358,783,1094,842,514,582,843,100,7081,334,452,206,235,279,140,160,234,34,2064,65,57,18,15,37,14,13,26,27,264,7,4,0,0,4,0,0,0,4,19,4276,7124,4915,5551,3791,3566,2291,4937,613,37053
SOSR414,3,10,86,152,22,252,17,240,19,793,49,83,251,198,67,142,52,226,14,1076,240,418,526,336,245,193,155,441,41,2593,369,502,388,308,319,188,177,369,45,2652,411,451,398,337,380,220,218,388,38,2835,302,384,298,378,309,201,188,380,36,2485,139,133,102,69,94,56,56,93,15,746,35,13,13,4,17,9,10,14,16,122,0,0,0,0,0,0,0,0,0,4,1535,1983,2057,1775,1457,1265,868,2146,222,13312
SOSR415,46,30,408,566,89,872,77,819,72,2980,171,360,882,682,293,517,263,778,66,4010,900,1743,1954,1218,879,668,765,1329,153,9606,1413,1823,1534,1160,1164,610,777,1189,172,9840,1680,1641,1429,1395,1410,772,814,1335,205,10683,1425,1302,1220,1195,1231,690,962,1383,168,9575,628,416,315,252,354,178,277,361,74,2858,163,38,34,18,42,22,23,46,58,443,17,0,0,4,0,0,0,4,11,36,6444,7355,7772,6478,5468,4324,3963,7245,980,50029
SOSR421,17,10,135,158,13,216,22,206,12,781,49,91,239,194,65,102,67,181,14,999,228,453,456,275,253,140,170,363,39,2388,384,405,451,315,293,160,186,308,49,2542,477,409,443,341,384,205,264,391,54,2973,507,410,372,378,376,199,326,399,54,3028,249,119,99,73,107,70,115,130,38,997,44,9,12,0,9,10,9,23,10,134,7,0,0,0,3,0,0,0,6,14,1960,1897,2207,1740,1501,1111,1165,1999,277,13849
