SOSR_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SOSR431,538,663,626,495,160,14,2848,23,195,364,459,541,396,81,4,2060,628,2159,2797,2620,2245,1791,560,71,12868,187,863,1506,2322,2537,1924,513,64,9928,2134,3894,4445,5027,5204,3034,1001,146,24890,319,324,354,324,286,170,40,5,1812,111,157,315,519,552,419,128,18,2222,2567,4376,5111,5870,6036,3629,1175,170,28924,29,81,105,104,136,129,89,17,696,1434,1196,1296,1822,2210,1910,1110,320,11298,4881,9203,11712,13866,14326,10278,3691,656,68611
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,3,6,0,0,0,0,9
SOSR499,17,13,4,3,0,0,76,0,4,6,3,9,9,0,0,29,12,78,44,30,42,21,3,0,234,5,23,28,26,42,22,4,0,154,50,101,79,84,85,69,9,0,472,19,22,6,0,5,5,0,0,60,0,6,10,8,8,8,0,0,45,69,127,95,94,103,83,9,0,577,3,0,4,8,4,0,0,0,12,77,172,183,149,143,75,13,8,820,173,443,376,325,345,212,26,9,1909
SOSR501,30144,19671,12823,7710,2758,546,99944,808,8165,10370,9471,7385,4360,1352,224,42135,20931,79996,79026,54444,35003,23486,9201,2316,304398,9715,28323,34456,32394,27333,19179,8440,2291,162134,30050,59289,54098,48571,42603,27385,12145,3304,277435,10137,4585,3303,2645,2191,1486,561,113,25025,2126,3119,4529,5948,5744,4615,2377,774,29230,42311,66992,61925,57166,50540,33480,15089,4190,331686,922,1962,2462,2260,2045,2223,1520,549,13948,12830,20785,19050,16300,14195,12918,11587,8134,115792,89201,230803,237432,191705,149336,103359,49960,18246,1070039
SOSR511,327,292,225,156,38,11,1279,15,155,241,254,214,141,38,5,1065,231,1323,1572,1327,939,646,254,69,6361,155,727,999,997,982,691,288,78,4916,1633,3042,2957,2631,2241,1396,527,116,14544,566,306,179,140,110,71,22,12,1402,84,107,187,245,265,184,79,15,1169,2283,3457,3327,3013,2615,1654,626,138,17117,14,41,68,55,62,78,51,18,386,474,698,689,672,693,638,513,312,4694,3180,6617,7221,6620,5734,4004,1804,634,35809
SOSR512,558,444,321,215,84,13,2131,29,268,389,407,340,219,51,7,1710,436,2031,2287,1915,1412,1009,411,103,9602,289,1062,1509,1598,1602,1127,497,121,7809,2072,4451,4145,4010,3332,2092,885,236,21225,936,413,276,230,189,110,35,7,2197,126,183,224,362,346,308,117,38,1697,3129,5045,4648,4601,3872,2509,1043,280,25125,28,81,75,103,82,113,85,32,596,1121,1450,1437,1390,1432,1239,1030,678,9772,5078,10380,10902,10454,9063,6435,3199,1239,56756
SOSR513,399,253,146,74,19,5,1278,22,243,312,224,133,55,14,6,1008,239,1806,1676,1017,564,269,105,16,5687,144,853,1192,962,695,297,106,19,4269,981,3097,2992,2235,1521,622,214,32,11692,388,255,203,115,73,37,6,0,1074,66,128,174,195,147,66,27,9,811,1439,3479,3369,2544,1748,723,244,39,13582,24,42,62,59,54,35,19,5,300,1153,1819,1642,1385,1040,493,338,134,8011,3035,8617,8651,6439,4381,1938,847,223,34132
SOSR514,140,87,65,89,35,4,511,6,49,107,87,66,62,19,0,402,50,499,723,534,321,322,154,31,2639,37,265,431,392,353,270,129,27,1909,381,901,1029,935,767,506,156,35,4709,151,79,66,55,36,37,9,0,434,21,47,75,85,87,82,32,5,443,550,1029,1171,1076,896,620,197,47,5588,3,22,27,23,35,32,20,5,174,305,356,390,386,326,319,271,163,2512,963,2309,2994,2588,2065,1720,827,282,13729
SOSR515,314,217,195,157,47,9,1216,15,209,247,235,193,129,41,4,1070,312,1636,1513,1175,876,633,255,68,6465,162,810,1032,1093,995,799,326,60,5281,1408,3343,3219,2812,2562,1580,579,139,15637,557,334,199,164,166,86,29,0,1536,86,135,203,218,252,202,96,24,1208,2048,3808,3617,3191,2983,1871,701,160,18381,24,62,59,71,60,84,58,15,436,1368,1660,1610,1588,1376,1277,867,461,10212,3949,8452,8390,7570,6689,4948,2290,779,43066
SOSR521,92,84,90,60,15,0,444,5,65,68,92,82,50,9,0,369,83,501,514,438,377,239,115,31,2287,40,243,349,381,429,372,121,28,1963,441,1121,1061,1014,1141,721,244,54,5791,198,111,67,70,64,34,12,0,560,31,61,69,88,96,87,32,8,474,668,1298,1198,1168,1305,837,283,60,6824,3,13,20,26,17,32,27,13,160,499,620,645,765,756,638,443,164,4522,1311,2824,2893,2949,3058,2222,1011,299,16573
