SOSR_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SOSR201,10279,15725,19858,17131,63435,86925,29034,72265,2415,317061,23438,57048,57640,51778,140971,174365,41910,78609,4607,630357,11462,23518,25266,17011,64219,77652,17886,27067,4346,268429,23595,60770,45474,26198,36522,25474,6132,9796,3597,237562,10915,37817,39977,25279,84659,62763,12378,16989,2465,293250,14264,62535,30366,12604,29343,23135,5639,9112,2218,189209,4785,13432,14862,9003,32462,29163,8514,14067,2599,128895,9692,45897,29404,13521,33925,24922,6051,9531,3181,176135,2278,4364,3617,2234,8512,7759,1465,3464,11538,45239,110713,321094,266467,174756,494055,512156,129008,240901,36970,2286127
SOSR203,692,1118,1287,1094,3986,4950,1885,4638,127,19774,2138,4090,4772,4620,9410,9350,2757,4705,224,42051,949,2002,1934,1411,5909,7684,1892,3051,285,25114,2319,6164,4905,3232,3861,2869,687,1137,328,25506,955,2976,3194,2181,6178,3772,823,1020,135,21249,1234,6149,2774,1223,2485,1739,441,678,179,16900,477,1090,936,622,2206,2452,869,1906,161,10719,1127,5589,2789,1485,3237,2833,739,1072,319,19196,208,285,190,141,525,488,92,267,764,2962,10093,29463,22780,16008,37811,36134,10191,18471,2525,183465
SOSR211,158,207,229,225,966,1175,384,878,38,4268,330,539,675,736,1894,1687,463,654,65,7034,267,424,472,359,1937,2420,560,815,136,7376,525,1235,1195,939,1457,938,190,361,137,6977,278,629,778,496,2053,1289,260,382,72,6236,341,1500,744,361,742,439,116,164,63,4480,218,414,486,401,1373,1432,479,1014,155,5980,305,1324,727,469,1205,971,234,352,130,5722,60,94,54,54,208,175,47,77,298,1071,2472,6352,5362,4047,11840,10534,2731,4697,1101,49147
SOSR212,573,756,944,795,2870,3766,1477,3530,139,14859,1342,2432,2935,2773,5620,5727,1662,2887,173,25561,771,1161,1221,975,4219,5546,1380,2333,241,17852,1514,3347,2750,1951,2694,1986,527,777,207,15745,644,2034,2311,1573,4165,2813,621,781,137,15078,799,4071,1805,865,1831,1214,319,506,137,11535,338,592,538,384,1469,1726,734,1333,123,7241,753,3593,1643,1012,2482,2204,699,895,313,13597,128,191,134,114,340,378,85,195,635,2207,6864,18176,14284,10449,25690,25356,7508,13239,2106,123674
SOSR213,473,631,771,666,2263,2904,1098,2886,109,11814,1042,2027,2330,2312,4086,4247,1267,2208,140,19655,649,1242,1179,931,4060,5303,1306,2107,254,17034,1329,3307,3019,2014,2400,1878,455,699,227,15334,564,1769,1943,1439,3528,2332,522,610,90,12799,670,3558,1639,824,1612,1105,269,420,124,10227,338,612,571,387,1536,1808,692,1618,148,7701,750,3674,1749,1116,2666,2216,526,863,274,13837,130,195,123,95,360,351,65,160,547,2027,5950,17028,13326,9785,22517,22144,6196,11564,1913,110423
SOSR214,310,488,448,424,1217,1684,601,1555,82,6811,568,1130,1210,1135,1872,2093,592,1216,89,9912,436,802,696,594,2102,2799,687,1140,164,9430,917,1845,1541,1011,1253,994,237,380,133,8311,314,1085,1106,729,1674,1141,255,336,60,6697,404,1841,925,496,815,626,144,242,77,5573,207,295,293,206,707,893,306,817,64,3785,554,2064,1037,676,1285,1298,371,507,181,7970,103,129,81,65,188,173,28,80,345,1200,3808,9691,7346,5340,11123,11698,3216,6271,1193,59685
SOSR215,550,796,887,710,2011,2940,1081,3038,155,12178,982,1927,2061,1947,2892,3303,1045,1919,139,16212,731,1358,1127,937,3509,4830,1160,2164,310,16128,1338,2837,2434,1545,1781,1380,383,576,236,12503,552,1791,1762,1150,2624,1884,378,496,106,10739,566,2622,1349,690,1261,869,222,389,146,8114,388,481,504,348,1310,1661,662,1526,155,7028,785,2967,1438,950,2051,1967,565,865,320,11905,168,198,142,85,278,312,60,157,528,1926,6068,14976,11704,8365,17710,19134,5559,11127,2096,96731
SOSR221,154,250,254,221,544,853,292,939,46,3561,289,637,604,554,807,868,261,506,35,4557,209,403,347,283,869,1276,323,590,102,4400,338,794,596,433,441,380,68,153,64,3271,162,536,540,330,685,480,89,147,28,2986,159,713,366,193,327,253,66,99,46,2218,94,140,160,95,315,449,155,431,44,1880,236,850,376,246,488,532,153,216,75,3176,57,51,36,26,64,60,12,51,149,502,1693,4382,3280,2373,4542,5147,1425,3133,587,26552
SOSR222,78,171,134,124,307,434,171,564,33,2014,158,292,320,266,452,470,143,278,19,2396,122,225,191,141,524,651,157,302,39,2349,235,418,329,233,236,191,71,84,37,1839,74,259,256,174,327,247,57,71,21,1493,90,320,203,94,158,116,26,64,21,1106,66,76,113,58,188,266,115,253,25,1167,147,485,245,164,292,295,94,139,54,1899,23,29,19,6,23,45,14,28,109,296,1001,2264,1807,1260,2513,2727,844,1789,362,14558
SOSR231,1465,3749,3755,2878,4825,9708,3324,18802,1097,49603,1948,4420,4619,3785,5223,6258,2039,4246,351,32892,1399,2714,2310,1844,5814,9003,2218,5139,642,31088,2210,4930,3823,2242,2647,2457,598,1034,354,20303,1052,4283,3968,2389,4439,3496,679,1182,297,21775,955,4800,2209,1085,1758,1554,376,817,268,13827,804,1052,972,665,2126,3046,1146,3222,334,13365,1580,5804,2837,1846,3343,4039,1113,2380,599,23534,349,480,285,195,436,551,141,467,1428,4329,11764,32233,24778,16930,30606,40115,11640,37299,5376,210724
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
SOSR299,19,21,10,3,33,43,14,33,4,174,18,34,45,24,74,99,12,25,6,334,20,28,20,14,53,60,23,25,8,250,35,60,39,31,15,21,9,8,5,227,4,25,21,14,39,26,3,12,4,143,13,40,20,9,15,11,5,4,7,129,17,34,17,11,30,36,8,28,6,177,27,60,46,33,50,54,3,27,11,308,7,8,0,0,10,3,0,0,23,49,164,300,218,132,329,340,91,164,69,1797
SOSR301,6963,6946,7057,6101,28683,36836,13885,35736,926,143123,15705,25265,27363,23783,68169,74233,18546,37399,1699,292163,10112,9919,9056,6949,32185,37196,10620,18799,1905,136748,20988,28416,23039,14207,21031,13186,3705,6293,1985,132849,8603,16661,18435,12022,50882,30601,7170,9837,1124,155340,11003,27053,14183,6673,15206,10859,2888,5132,1051,94046,3946,6858,6714,4578,16062,14255,4982,11469,1330,70202,8603,23741,14840,8090,19368,13372,3462,6019,1737,99240,1207,1652,1368,982,3929,3464,724,1765,5260,20342,87144,146505,122052,83379,255511,233998,65977,132455,17019,1144039
SOSR302,2946,3644,3643,3067,10492,13291,4466,13146,527,55225,5192,9316,10703,9362,18727,19829,4773,11144,739,89785,4773,4987,4611,3837,12667,15785,4459,8858,1033,61005,9480,12435,10284,6682,8233,4615,1382,2409,937,56459,3033,7745,7899,5171,14973,9022,1982,3046,492,53362,5219,12552,6820,3543,7084,4948,1246,2560,556,44534,1547,2494,2262,1408,3758,3464,1384,4232,343,20898,3841,10782,5938,3364,5971,4795,1335,2702,639,39365,575,850,676,437,1296,1185,272,767,2274,8329,36604,64799,52836,36879,83203,76925,21303,48862,7544,428960
SOSR303,687,814,1032,962,4467,5096,2167,5763,153,21141,2313,3605,4281,4439,9765,9688,2909,5997,264,43270,1149,1770,1790,1500,7329,7827,2549,5236,375,29527,1745,5913,5760,4197,6191,4335,1388,2411,478,32423,1131,2674,3085,2243,8414,4709,1144,1628,160,25197,858,5989,3087,1674,3353,1975,630,1032,201,18796,665,950,993,688,2450,2418,1052,3403,246,12872,873,5332,3187,1957,4002,2521,699,1643,391,20616,182,359,202,162,632,488,144,336,923,3419,9606,27418,23408,17815,46611,39054,12698,27454,3191,207252
SOSR311,301,387,476,443,1887,2190,915,2893,100,9590,953,1487,1815,1920,4293,4237,1345,2555,130,18732,715,903,961,813,4245,4167,1607,4079,267,17768,826,2831,2920,2215,3135,1661,553,965,256,15365,592,1367,1713,1264,4013,2254,566,836,95,12702,397,3301,1844,937,1906,964,349,560,135,10390,556,507,520,375,1558,1601,774,3159,208,9265,561,3013,1797,1290,2628,1733,545,1257,273,13096,94,159,115,90,344,284,77,270,575,2004,4990,13955,12155,9353,24000,19087,6730,16579,2049,108908
SOSR312,155,195,187,160,627,796,314,917,32,3395,328,589,706,610,1204,1241,421,737,39,5875,412,406,360,346,1464,1542,730,1248,89,6593,553,1082,1088,745,838,515,144,292,83,5347,239,553,618,418,1290,778,185,307,35,4434,308,1089,686,359,617,298,108,186,48,3702,228,227,233,165,513,542,443,1000,66,3416,328,1315,701,413,812,626,226,515,109,5055,60,72,31,32,106,99,39,107,247,799,2624,5532,4599,3238,7472,6443,2610,5328,757,38610
SOSR313,245,303,335,320,1358,1637,756,2247,69,7266,630,995,1166,1147,2343,2547,904,1780,96,11608,505,672,585,502,2325,2743,1392,3085,192,11990,585,1719,1704,1206,1729,1065,344,672,161,9183,405,998,1129,820,2466,1505,384,603,51,8363,318,2070,1204,600,1190,736,229,415,99,6861,457,422,414,252,999,1172,914,2735,150,7503,414,2029,1173,823,1715,1137,437,861,191,8771,86,98,73,58,196,166,55,200,363,1296,3644,9312,7783,5725,14330,12703,5403,12587,1361,72841
SOSR314,309,372,407,363,1326,1718,744,2411,87,7740,603,965,1190,1024,2050,2262,794,1679,88,10647,694,738,649,512,2416,2902,1284,2851,202,12240,907,1730,1598,1112,1529,915,295,557,154,8802,440,1044,1166,779,2337,1597,402,670,93,8527,359,1812,990,590,1068,689,212,360,86,6170,466,418,395,274,961,1217,725,2808,171,7433,515,2064,1332,993,2210,1739,534,1203,286,10872,95,125,96,76,233,226,79,229,456,1623,4395,9274,7820,5712,14128,13262,5067,12770,1620,74049
SOSR315,481,552,564,466,1867,2162,924,3161,131,10309,937,1428,1692,1447,2679,3078,1026,2038,126,14447,988,1126,978,795,3514,4112,1571,4072,295,17464,1217,2571,2483,1784,2427,1485,420,927,294,13624,617,1568,1626,1093,3239,2051,553,849,119,11727,530,2526,1515,871,1532,896,245,488,131,8733,760,589,577,366,1386,1747,861,4158,252,10697,875,3134,1870,1248,2844,2092,627,1553,327,14574,185,194,126,91,297,281,85,287,678,2223,6591,13695,11438,8165,19787,17912,6303,17536,2365,103797
SOSR321,204,232,263,210,669,922,330,1296,52,4182,369,570,692,616,1045,1166,329,780,48,5622,384,453,403,343,1221,1511,466,1352,118,6241,466,993,911,669,816,537,156,330,98,4972,232,647,643,396,1176,802,165,304,45,4408,234,912,496,336,528,309,109,194,62,3177,262,241,243,158,522,618,293,1389,103,3829,331,1176,662,450,905,783,212,555,151,5229,58,77,51,41,86,112,39,110,326,896,2536,5302,4363,3216,6962,6757,2089,6309,1009,38556
SOSR322,70,119,107,95,300,335,166,731,35,1957,132,226,258,196,439,398,141,349,28,2160,170,178,151,138,517,650,186,536,44,2565,187,383,380,277,366,242,62,168,37,2102,102,248,277,159,436,283,74,152,29,1748,58,338,210,114,224,115,38,89,30,1211,122,114,109,76,247,308,152,731,58,1916,140,519,282,185,465,406,135,318,84,2533,43,39,30,16,46,59,13,71,149,466,1020,2166,1799,1251,3029,2789,958,3149,496,16667
SOSR331,1235,2479,2404,1988,3820,7078,2705,18928,908,41538,1990,3345,3668,2958,4692,5586,1744,4329,272,28588,1873,2447,1922,1584,5709,7268,2501,7459,627,31392,2084,4289,3717,2462,2871,1913,580,1211,372,19497,1124,3901,3656,2300,5314,3929,919,1856,288,23291,983,4287,2183,1143,1950,1436,457,946,220,13610,1175,1202,1037,804,2229,3053,1352,7051,481,18392,1516,5260,2981,1979,4033,4162,1221,4469,673,26301,342,401,265,216,482,569,134,690,1454,4555,12323,27606,21830,15441,31112,34997,11620,46939,5305,207163
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,5,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,26,5,29
SOSR399,30,29,30,14,48,59,12,56,5,290,55,75,60,40,86,119,13,34,10,488,40,35,39,14,72,73,26,63,15,386,78,88,83,51,62,34,10,20,12,429,40,48,46,18,68,39,9,13,6,275,38,45,38,18,31,18,3,13,8,208,35,23,27,17,36,41,25,109,12,319,46,117,78,74,121,112,41,118,23,732,9,6,9,9,15,10,0,9,38,98,371,466,404,251,535,500,136,436,124,3219
SOSR401,1984,3401,4419,4087,16098,17399,7406,15399,399,70595,6144,13420,15730,14631,37351,30490,9241,15612,793,143421,2606,6006,6739,5072,20897,19691,5487,8553,882,75934,4697,19982,16968,10130,13113,7577,2654,3705,997,79822,3014,9242,11249,8020,27477,12836,3314,3851,451,79448,2072,17903,9461,4096,8428,5015,1532,2114,496,51114,1372,3033,3508,2405,8544,6477,2315,4815,560,33035,2203,15711,9841,4897,11131,6431,1886,2989,894,55991,522,1169,839,621,2248,1512,407,823,2200,10343,24619,89863,78747,53966,145287,107432,34249,57851,7680,599698
SOSR412,146,242,273,242,1061,1159,524,1138,45,4836,368,623,814,739,1810,1650,553,908,43,7509,248,473,488,411,1826,1734,628,1070,81,6954,377,1343,1320,850,1098,720,198,341,80,6321,234,634,754,578,1682,852,244,250,22,5259,193,1520,835,365,773,429,146,206,59,4529,209,219,264,165,777,752,430,1099,78,3998,270,1438,792,396,842,710,221,340,105,5105,52,86,54,39,139,118,43,92,171,794,2105,6581,5597,3793,10009,8115,2987,5440,686,45310
SOSR413,142,242,300,265,788,963,459,1078,52,4276,362,731,869,763,1492,1406,540,915,38,7124,200,441,390,313,1156,1283,375,676,76,4915,331,1278,1162,693,923,556,182,333,83,5551,175,611,595,445,1082,544,132,182,30,3791,151,1168,735,370,536,299,108,151,50,3566,164,190,167,117,371,363,330,537,44,2291,309,1465,749,397,826,628,152,279,126,4937,35,63,48,28,106,91,38,46,151,613,1873,6185,5021,3383,7278,6139,2330,4198,648,37053
SOSR414,39,87,111,108,293,379,186,327,14,1535,117,217,266,233,381,381,148,233,17,1983,75,179,189,166,476,531,138,279,30,2057,132,448,401,232,240,159,57,77,28,1775,70,215,225,176,423,215,52,75,10,1457,40,379,243,140,196,150,49,45,16,1265,65,67,52,49,162,183,78,201,16,868,94,504,276,241,486,342,81,78,36,2146,15,27,24,17,38,26,8,11,61,222,648,2124,1779,1363,2688,2359,801,1328,226,13312
SOSR415,217,423,457,389,1089,1467,664,1686,61,6444,376,713,848,784,1470,1551,586,984,46,7355,321,602,578,458,1768,2019,607,1317,101,7772,441,1525,1419,990,911,608,187,281,113,6478,218,799,856,657,1491,845,206,344,42,5468,210,1284,797,439,668,490,150,200,83,4324,268,277,264,188,688,728,324,1153,83,3963,380,1817,935,535,1402,1165,291,555,161,7245,72,108,72,47,162,122,32,97,269,980,2506,7538,6228,4487,9651,9001,3055,6617,950,50029
SOSR421,88,134,140,109,267,409,198,594,23,1960,115,198,233,210,356,392,121,251,24,1897,93,195,182,148,452,559,174,365,27,2207,129,432,369,227,243,159,67,81,30,1740,74,246,269,203,349,220,48,69,14,1501,60,328,219,108,169,106,40,76,17,1111,67,88,96,48,215,219,95,313,25,1165,106,505,263,179,343,280,100,157,56,1999,28,24,21,12,35,36,4,30,76,277,772,2158,1795,1254,2434,2381,845,1939,282,13849
SOSR422,49,68,63,55,168,192,86,316,9,1008,63,114,122,109,149,171,63,134,20,932,47,106,106,87,236,283,74,178,13,1131,60,228,203,135,157,77,25,49,19,956,27,135,127,104,171,103,33,42,4,733,15,160,114,46,79,55,14,32,12,511,45,47,55,31,105,117,58,187,14,665,66,318,158,117,200,176,50,86,30,1206,15,11,10,9,25,15,0,25,45,149,386,1189,961,693,1289,1172,407,1034,172,7295
SOSR431,553,1316,1345,1092,1807,3679,1489,7085,329,18693,599,1255,1416,1167,1721,1915,597,1316,127,10107,380,818,804,620,1940,2329,708,1639,163,9399,431,1820,1461,830,857,690,193,354,157,6799,278,1412,1396,893,1532,1006,252,405,75,7246,202,1514,779,388,608,491,153,293,103,4527,282,356,350,254,676,846,392,1363,111,4628,464,2173,1163,768,1425,1652,442,1020,205,9308,125,158,102,56,172,166,51,174,423,1434,3306,10822,8812,6061,10726,12779,4274,13648,1692,72129
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SOSR499,7,8,7,4,17,17,3,9,0,66,19,12,8,13,25,19,4,18,3,123,7,11,9,3,20,19,7,22,6,106,4,23,16,11,12,3,0,7,7,76,8,13,5,5,11,5,3,9,0,64,7,15,7,3,8,5,0,3,0,57,11,9,6,0,10,15,6,14,3,66,5,41,20,16,17,14,3,17,6,141,8,0,0,0,4,0,5,3,15,27,70,122,87,60,133,94,31,93,38,724
