SOSR_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR331,126,89,359,542,1082,2244,5506,5896,1734,17577,26,31,104,129,192,246,258,228,86,1296,2157,2066,4798,5289,6795,6931,5384,2912,707,37045,12368,19745,41718,51719,67553,74103,58056,25356,5144,355756
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,48,32,8,0,0,0,135,0,16,48,64,45,5,3,0,0,183
SOSR399,10,14,39,43,34,74,138,58,9,406,3,5,12,3,6,8,13,5,4,61,129,283,766,729,628,515,342,81,15,3486,418,928,2647,2073,1929,2468,2124,441,44,13081
SOSR401,274,369,1534,2266,2451,3897,8467,11893,8319,39462,60,247,1208,1787,2240,2147,1833,1670,1299,12491,2167,3217,7654,6615,5863,5667,5872,5695,4047,46789,27726,82773,178336,167484,154971,148610,124612,72979,33276,990764
SOSR412,29,37,96,151,155,307,812,1119,679,3388,6,16,52,54,57,50,45,69,24,360,229,293,627,605,629,584,601,665,424,4664,2411,5786,12486,11562,12560,12279,10092,6365,2495,76051
SOSR413,36,34,141,158,190,359,1000,1373,853,4137,10,8,38,35,40,43,47,57,28,313,257,284,673,636,689,707,765,653,351,5016,2016,4549,9880,9749,11118,12091,12348,7808,2993,72560
SOSR414,8,6,32,43,33,72,254,431,244,1123,0,6,25,44,45,22,23,9,9,180,49,65,174,181,171,192,268,315,184,1590,587,1406,3345,3372,3607,4087,4962,3200,1102,25673
SOSR415,29,23,117,143,189,495,1242,1929,1297,5469,6,4,42,46,83,78,62,79,50,456,364,316,839,801,919,1013,1139,1087,597,7083,2408,5297,12600,12553,14056,16065,16055,9847,4077,92955
SOSR421,15,13,44,55,53,117,388,457,372,1519,0,0,9,8,7,10,20,4,10,72,100,105,221,267,307,368,401,284,218,2272,666,1363,3164,3325,3878,4948,4809,2543,1159,25848
SOSR422,3,10,33,41,65,116,277,320,154,1023,0,4,5,3,10,12,15,10,9,68,76,67,159,160,244,310,310,210,66,1604,437,782,1830,1818,2396,3309,3111,1556,442,15676
