SOSR_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
SOSR315,22657,19796,7167,1784,11709,10698,2520,5958,22521,2449,18436,116034,9611,201178,1124,762,383,70,541,523,111,289,808,133,778,4712,385,8454,2102,858,729,183,923,936,186,632,1088,228,1244,4245,334,9671,557,168,184,74,226,274,60,139,276,87,325,1557,126,3084,365,82,86,66,201,200,50,72,136,41,162,840,85,1695,25,13,9,3,18,15,4,9,15,0,19,187,36,292,182,157,57,20,158,64,27,30,111,31,202,2860,168,3744,20,24,18,5,21,16,0,6,28,0,33,891,25,1042,40,32,7,3,64,36,10,11,30,5,39,900,33,1096,152,122,71,7,84,64,10,50,156,6,170,1300,57,1943,138,101,62,14,84,86,12,26,140,17,179,1219,60,1864,4714,2307,1605,441,2308,2202,463,1255,2789,557,3150,18701,1314,32886,735,352,209,98,386,375,100,221,371,117,334,1628,18076,21444,28100,22460,8980,2322,14399,13268,3085,7438,25682,3125,21922,136366,29001,255514,7210,9520,2308,58
SOSR321,8852,7239,2792,465,4613,4211,962,2249,7817,933,6751,44324,4211,77203,395,247,124,21,165,185,37,106,260,54,244,1713,119,3013,872,363,291,50,346,396,103,220,487,89,534,1758,131,4005,219,72,63,18,103,119,16,59,82,24,121,696,52,1290,105,28,32,15,71,61,15,15,43,16,55,243,23,518,9,7,0,0,4,3,0,0,3,0,4,32,0,63,64,61,23,0,54,26,4,13,34,10,69,727,50,1026,11,8,6,0,14,7,0,0,4,6,10,185,10,244,15,15,6,4,16,11,5,7,11,0,10,226,4,291,74,35,22,7,35,35,14,14,51,5,60,394,16,620,85,45,34,8,42,58,4,21,49,9,86,432,22,737,1852,876,600,125,854,894,197,466,1038,215,1208,6408,432,11805,261,134,81,25,127,145,40,97,151,34,106,788,6863,8349,10961,8254,3474,625,5597,5253,1203,2802,9004,1187,8070,51523,11506,97351,2913,3448,888,12
SOSR322,4240,3100,1333,219,2433,2010,432,1086,3306,455,2854,20337,1580,34937,189,91,65,9,94,81,18,48,109,20,105,630,33,1179,272,99,92,19,132,123,27,83,128,30,162,598,46,1307,106,24,42,11,51,60,6,37,45,10,47,233,14,482,52,10,18,24,31,30,7,10,14,12,29,123,16,278,0,3,0,0,0,0,0,0,0,0,4,15,0,22,28,9,6,0,18,6,0,3,19,3,18,250,14,336,9,0,0,0,7,6,4,0,6,0,9,66,0,86,4,7,5,3,3,4,0,3,7,5,4,89,0,105,31,13,8,0,12,13,4,12,29,4,27,147,5,243,18,18,8,3,10,5,0,0,19,6,21,161,6,254,707,267,250,59,352,342,77,197,379,89,418,2309,140,4284,151,80,36,5,77,83,14,49,77,23,66,361,3358,4080,5091,3445,1619,289,2865,2423,524,1338,3773,557,3345,23007,5083,43299,1328,1417,414,7
SOSR331,37092,31296,12202,1473,16173,16083,3176,8307,31257,3383,28079,217483,16911,354830,1504,991,535,61,687,709,138,396,997,157,982,7332,624,12518,3044,1286,1048,153,1142,1348,254,759,1503,327,1744,8181,539,16285,868,310,349,68,334,440,78,237,395,148,602,3366,181,5860,453,124,154,58,319,285,68,83,166,73,283,1444,120,2772,48,22,10,8,30,37,3,10,23,8,26,268,22,425,275,222,91,12,231,120,22,39,150,33,262,3072,243,4318,44,33,23,3,30,26,10,7,45,9,80,1101,45,1372,60,29,22,4,86,42,9,7,36,4,65,764,37,1058,312,181,110,11,106,122,35,69,223,14,255,1952,93,3009,317,221,125,13,143,159,23,67,287,36,308,2648,129,3978,6915,3414,2475,401,3122,3279,644,1681,3819,801,4605,30130,2030,51594,1109,531,344,74,483,529,129,272,533,133,451,3141,36357,42146,45116,35241,15014,1950,19779,19898,3949,10264,35614,4318,33132,250753,55296,448574,15937,17282,5343,149
SOSR379,0,0,0,0,0,0,0,0,0,0,0,20,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,23,0,0,0,0,0,0,0,0,0,0,0,0,128,128,0,0,0,0,0,0,0,0,4,0,0,42,133,183,0,0,0,0
SOSR399,1068,904,296,34,456,463,87,301,1631,112,1052,4227,1043,9019,74,49,31,0,40,44,3,24,81,5,60,341,76,681,106,60,32,5,43,41,5,30,77,9,77,416,37,764,29,7,3,0,16,10,5,0,14,0,25,275,25,367,12,4,0,0,6,4,8,5,14,0,11,119,12,167,0,0,0,0,0,0,0,0,0,0,5,33,9,48,9,0,3,0,7,6,0,0,12,4,5,137,11,181,3,4,0,0,0,0,0,0,4,0,0,165,9,183,0,0,0,0,3,0,0,0,8,0,0,71,6,82,12,12,7,0,3,5,3,4,22,0,15,206,10,269,11,17,3,0,5,3,0,3,11,4,11,88,5,142,252,155,84,7,119,120,25,69,247,25,209,1853,203,2883,19,14,6,3,9,10,0,11,31,5,14,92,2614,2770,1341,1078,390,44,579,591,115,376,1912,143,1281,6171,3862,14670,187,273,46,0
SOSR401,77360,87817,25390,6687,39981,33891,6832,15232,98769,7690,79858,502872,30570,840784,1246,1098,467,93,842,582,123,268,1169,138,1149,6590,396,11428,16389,7557,5190,1810,7910,7712,1339,3836,8809,1704,9666,36272,2521,80081,3467,1208,1252,569,1785,1973,339,764,1527,477,2081,8386,501,17591,9853,2326,2784,2111,6640,5595,1049,1411,4120,1433,5659,20092,1378,44880,1132,625,249,105,1082,582,181,151,943,134,1314,11928,495,16593,2363,2490,839,241,3337,1198,368,307,1731,344,4030,36746,1301,50248,638,618,359,81,1109,447,118,92,640,128,1654,30329,470,35403,1433,1495,345,139,3321,909,247,186,1396,177,2806,61683,1401,72447,889,844,343,60,558,333,68,126,1046,90,1054,9438,304,13403,651,706,261,64,678,313,95,115,770,79,1085,12575,469,16485,38055,18973,12098,5267,27262,19646,3924,7256,22142,4710,30495,234046,9229,358559,1879,894,499,322,1062,940,185,463,1070,271,930,4226,36822,45673,117295,107685,37988,12277,68308,54475,10938,22944,121988,12666,111284,741145,76619,1245011,31393,52921,10630,179
SOSR412,7916,9248,2342,641,4544,3485,740,1793,9807,838,7535,44588,2895,77941,80,82,31,8,59,35,13,22,80,7,83,487,36,844,1760,746,535,193,926,823,150,439,777,178,893,2884,239,7186,308,95,120,50,215,168,33,83,129,39,169,489,45,1285,232,60,66,47,186,133,25,35,90,20,121,415,46,1017,6,4,3,0,18,3,0,0,8,3,11,197,5,246,63,84,24,0,114,33,10,10,57,7,105,1246,46,1659,12,17,3,0,9,3,0,5,15,0,26,303,5,374,29,33,10,0,61,19,0,4,25,5,28,677,13,851,43,40,20,6,30,16,8,4,59,4,55,341,15,533,41,59,20,0,47,29,0,5,49,4,76,762,30,1036,2575,1217,831,322,1662,1269,246,606,1288,269,1577,7806,475,15037,228,131,66,33,140,123,13,76,119,28,89,365,3831,4744,10722,10597,3240,996,6348,4877,998,2470,11213,1142,9191,52757,7205,97725,2983,5021,828,18
SOSR413,8791,7999,2753,800,4866,3974,831,1923,8478,878,6741,40623,3736,73729,96,79,38,6,62,48,5,30,102,9,70,510,42,900,1279,502,383,130,565,618,109,309,520,141,658,1985,166,5080,251,80,93,37,143,127,9,59,102,35,167,541,39,1231,194,49,74,37,131,119,26,43,70,24,96,390,41,892,19,7,3,0,20,8,5,3,12,0,16,110,15,180,67,69,16,0,87,29,13,7,30,12,82,1088,62,1443,11,6,9,0,11,0,0,0,18,0,19,406,19,491,29,21,13,0,38,18,0,5,14,4,22,628,21,755,47,37,8,0,25,20,6,20,51,4,45,277,15,454,49,33,22,0,32,16,4,8,31,0,39,403,37,603,2046,888,655,218,1111,1008,171,477,951,225,1210,6347,454,12029,279,126,52,23,143,125,23,64,137,36,107,454,4013,5095,11110,9019,3463,1048,6114,5108,1026,2463,9563,1141,8063,47426,8205,90848,2495,3689,803,18
SOSR414,3339,2731,965,280,1573,1500,254,615,3144,313,2427,13937,805,25191,44,37,13,3,11,22,5,14,31,10,36,258,12,418,626,208,184,61,279,314,37,109,263,63,276,934,77,2369,129,26,46,25,59,72,8,25,59,15,59,236,10,535,49,14,15,7,23,28,3,6,18,9,20,86,3,195,0,0,0,0,3,0,0,0,3,0,3,19,0,28,20,18,6,0,27,8,3,4,12,4,24,412,18,519,7,4,4,0,0,0,0,0,5,0,8,153,0,176,7,5,6,3,11,3,0,3,9,7,17,233,12,285,18,8,9,0,12,4,0,0,12,0,12,88,5,143,17,17,9,0,9,10,0,3,22,6,19,128,0,187,908,338,280,103,438,470,63,170,424,114,474,2547,141,4858,100,45,31,34,44,62,11,27,68,17,50,217,1173,1654,4354,3119,1273,414,2056,2032,328,806,3639,449,2954,16700,2127,31700,913,1365,249,8
SOSR415,11744,10233,3467,1157,6065,5134,954,2453,10604,1079,8662,53253,3117,93770,141,108,39,17,77,62,16,42,102,16,126,697,39,1190,1686,673,508,149,797,757,131,413,837,151,869,2785,198,6842,319,105,119,66,207,211,31,88,152,45,175,547,49,1396,299,79,87,68,200,151,39,49,99,42,147,478,45,1206,14,4,0,0,10,6,5,0,8,0,10,89,4,134,54,48,33,5,77,19,6,10,48,8,80,1187,51,1515,14,8,4,0,10,6,4,0,10,0,9,349,7,409,21,17,8,0,60,16,5,0,14,5,34,1031,25,1190,60,46,15,3,22,21,0,6,58,5,39,321,5,500,28,40,22,9,26,20,6,6,35,3,47,411,8,587,2636,1125,835,313,1479,1274,237,616,1357,281,1547,7894,434,14985,397,196,123,61,229,198,39,102,209,57,148,856,5755,7592,14780,11554,4421,1530,7774,6604,1224,3171,12171,1419,10348,62006,9304,116347,3729,5087,1021,21
SOSR421,3361,2624,972,329,1719,1509,269,617,2720,310,2252,14961,922,26117,32,27,19,0,10,9,5,14,21,8,15,240,16,361,450,182,141,40,202,203,39,106,218,39,224,737,47,1800,79,23,26,12,43,45,6,20,36,9,45,172,15,373,23,7,5,7,18,7,9,0,10,6,11,74,11,139,4,0,0,0,0,0,0,0,4,0,0,18,0,29,18,9,6,3,16,4,0,0,7,0,16,222,7,286,6,0,0,0,0,0,0,0,4,0,3,67,0,83,7,6,3,0,5,0,0,3,5,0,5,101,0,124,6,10,3,0,3,4,0,0,6,0,15,52,0,93,7,14,0,0,0,0,0,3,15,0,12,101,0,140,620,273,212,68,311,272,53,152,329,59,339,1779,108,3436,121,53,31,15,73,54,5,25,63,8,50,294,1910,2483,4104,2948,1208,417,2097,1839,333,789,3103,376,2646,17035,2939,32033,1125,1383,305,12
SOSR422,1949,1497,581,119,1158,935,190,469,1698,195,1331,8663,639,15451,35,17,4,4,24,17,3,3,27,9,17,94,3,202,296,99,78,15,141,101,11,68,133,27,105,405,30,1036,73,24,23,9,35,35,3,22,23,12,30,112,6,281,33,10,4,7,25,10,3,3,15,0,12,59,10,130,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,3,0,0,6,3,0,0,8,3,4,90,5,116,3,0,0,0,3,0,0,0,0,0,0,22,0,31,4,0,0,0,6,0,0,0,3,0,0,52,0,62,14,0,4,0,5,5,0,0,11,0,5,36,0,62,10,9,3,0,3,3,0,7,12,0,9,52,0,79,461,171,123,30,247,169,25,109,224,58,182,922,63,1999,73,47,11,3,40,27,8,18,37,11,39,163,1264,1617,2484,1711,710,154,1447,1128,222,590,1965,261,1550,9751,1965,19066,640,693,187,0
SOSR431,11391,10879,3727,332,5625,4686,837,2113,9552,961,8565,74180,4763,118118,173,117,43,6,65,60,11,41,105,8,121,826,54,1363,1615,710,456,64,741,698,99,343,732,147,895,3524,242,7632,307,116,110,24,171,178,22,76,111,37,148,957,65,1820,327,93,94,42,246,197,38,46,96,35,134,622,78,1466,20,7,5,0,15,9,0,0,7,0,14,115,7,173,60,66,22,0,98,21,11,6,46,5,81,1200,72,1575,9,13,3,0,15,8,0,0,14,3,29,245,13,324,33,23,8,3,47,13,4,3,22,5,22,382,28,528,82,46,28,3,33,33,3,5,49,4,73,397,27,659,60,36,23,4,24,19,5,8,55,4,53,465,21,682,2691,1222,795,144,1458,1249,193,529,1235,256,1560,8729,595,16219,422,228,102,20,239,217,27,104,197,59,148,1252,8773,11060,14498,12319,4630,493,7317,6151,1061,2741,10988,1276,10277,84159,14130,145402,5664,6459,1831,49
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,12,0,0,0,0
SOSR499,213,300,48,8,109,74,18,54,502,23,274,1007,291,2262,4,6,0,0,9,0,0,0,9,0,9,37,5,60,29,22,6,0,24,18,0,12,31,4,23,81,14,176,6,0,0,0,5,0,0,0,9,0,0,39,0,57,0,5,3,0,0,3,0,0,5,0,6,17,4,39,0,5,0,0,0,0,0,0,0,0,0,12,3,25,0,0,0,0,0,0,0,0,5,0,0,22,5,29,4,3,0,0,0,0,0,0,0,0,5,30,3,37,0,0,4,0,0,0,0,0,0,0,0,24,0,42,0,0,0,0,0,0,0,0,5,0,0,25,0,31,0,0,0,0,0,0,0,0,6,0,0,18,3,28,45,48,15,5,36,25,0,16,66,9,49,307,36,522,4,0,0,0,5,0,0,0,7,0,3,27,551,594,263,345,70,8,149,100,22,74,580,35,328,1338,882,3377,33,97,8,0
SOSR501,86168,109061,31729,6727,42869,38416,8384,18198,125803,8753,97881,774797,48220,1208128,4742,5256,1817,240,2884,2376,425,1091,4725,505,4180,39253,2367,61014,28912,14946,10142,2668,13203,13295,2439,6630,18663,2974,19364,105843,6854,195840,4417,2229,1786,589,2088,2460,412,1030,2752,536,3481,26264,1152,41292,8001,2037,2613,1388,5314,4293,920,1253,3683,1096,5111,28845,1760,51532,1326,998,397,127,1444,715,210,170,1138,172,1719,18210,853,24802,5545,5496,2196,633,8179,3380,899,739,3910,831,8945,93939,3258,126712,901,770,576,118,1597,622,184,139,948,170,2333,40080,767,47457,3139,2332,923,353,5565,2292,476,503,1818,377,3842,74018,1986,91229,1737,1650,752,121,989,713,147,284,2142,168,2122,19804,663,27988,3922,3951,1718,289,3303,1997,411,614,4316,392,5112,52944,2002,73903,62643,39662,22922,6514,44563,32145,6524,12451,44088,7227,56211,499191,21668,741771,1983,903,630,541,1123,1028,279,504,1141,333,1007,5982,82463,93859,150792,149625,55273,13782,88559,71588,15191,31153,171025,16314,155098,1279967,152348,2043762,48480,79781,18372,242
SOSR511,5492,5476,1698,414,2708,2035,462,1038,6476,492,4708,33241,2851,56218,210,230,81,14,130,81,23,59,197,19,137,1461,121,2359,957,424,282,84,447,386,80,234,532,93,541,2284,208,4830,156,51,45,22,91,81,13,40,81,24,107,577,34,1045,130,20,50,27,90,82,19,26,40,19,71,335,31,675,11,5,5,0,17,5,5,4,12,0,9,182,18,245,59,60,19,3,104,36,9,6,39,7,91,1387,52,1769,5,11,3,0,8,4,5,0,3,0,17,518,20,580,29,18,5,0,46,12,10,0,8,0,32,742,24,892,37,31,11,0,24,16,0,8,35,3,40,305,14,462,137,155,56,14,93,69,4,22,153,17,181,1518,58,2207,1736,1004,564,168,1057,771,156,405,1102,188,1233,9308,586,15065,87,39,26,14,43,36,7,17,55,11,38,209,3463,3908,7317,6522,2284,596,3804,2838,629,1461,7631,694,5977,42762,6899,75196,2336,3084,686,22
SOSR512,8318,8397,2860,788,4574,3585,941,1725,9468,895,7094,52729,4554,88392,341,342,136,21,223,174,38,85,292,38,263,2724,204,4238,1522,590,493,192,705,672,129,354,808,175,886,3222,268,7191,242,85,83,39,126,115,20,56,117,34,143,909,52,1572,141,30,45,34,117,103,23,31,73,19,93,435,33,840,9,4,3,0,11,8,0,0,14,4,11,187,15,253,107,120,30,3,168,54,16,12,68,8,167,2724,135,3426,10,9,5,0,4,4,0,0,11,0,12,538,32,619,41,38,10,0,93,33,8,6,23,9,62,1048,36,1305,65,51,27,13,39,31,5,6,68,11,83,516,20,808,142,132,57,10,113,79,8,17,187,18,170,1898,74,2665,2625,1410,893,316,1598,1281,247,567,1641,303,1886,14208,868,22924,196,72,64,43,99,99,25,58,110,33,80,492,7857,8826,11137,9884,3815,1144,6262,4965,1214,2355,11221,1227,9058,67424,13283,120142,3503,4852,1204,13
SOSR513,2180,3619,815,173,1523,1053,315,528,3393,211,2659,31623,2105,45309,157,217,71,6,109,76,8,38,157,10,148,2020,116,2880,440,289,141,61,240,206,42,108,421,49,350,2468,151,4137,78,38,32,5,39,33,4,17,60,14,74,646,32,929,35,12,13,6,24,22,0,6,22,6,20,344,18,471,9,3,0,0,8,8,0,0,11,0,10,129,7,166,55,45,20,5,101,28,23,3,31,6,87,1866,69,2235,9,11,3,0,8,4,5,0,13,0,17,396,8,458,22,20,8,0,47,12,0,4,11,0,32,784,15,912,22,21,12,0,21,11,0,8,46,7,53,412,11,563,71,70,32,8,63,41,6,4,104,7,87,1187,45,1604,896,742,337,97,654,445,94,186,870,101,875,10243,457,14357,60,60,22,6,45,37,14,23,49,14,33,402,7906,8533,3139,4423,1165,275,2221,1540,428,742,4305,330,3567,42267,10472,68192,1499,2542,524,12
SOSR514,1920,1832,620,138,1000,789,178,387,2069,214,1562,13004,909,20908,67,61,29,6,41,35,10,17,56,8,58,506,24,792,342,133,106,38,150,134,19,72,200,46,190,999,55,1917,61,23,37,4,39,29,3,11,33,3,44,410,16,626,49,11,15,4,27,14,3,3,19,10,12,169,13,282,3,4,0,0,4,0,0,0,6,0,4,32,0,43,15,13,8,0,21,11,0,4,5,6,21,389,5,475,0,5,5,0,0,0,0,0,5,0,9,148,6,177,9,4,9,0,17,8,4,0,6,0,10,152,5,189,13,17,10,0,7,6,0,0,28,3,23,223,10,311,31,32,10,5,15,22,3,4,34,3,35,220,11,361,609,300,226,53,308,270,51,123,394,82,394,3252,146,5164,65,27,19,13,27,27,5,23,36,8,27,183,2066,2397,2595,2161,873,210,1339,1086,228,531,2497,300,1986,16439,3116,28471,720,1023,258,0
SOSR515,5976,5765,1903,401,3361,2624,647,1235,6317,570,4825,41041,2859,65508,283,285,97,12,178,142,37,86,243,29,161,2110,123,3221,1122,456,352,98,523,467,93,310,594,137,670,2634,231,5700,183,63,59,28,80,80,15,35,90,23,108,732,49,1267,135,47,41,21,97,76,25,24,54,21,75,384,36,770,11,10,3,0,11,6,0,4,3,0,11,127,10,168,69,79,27,3,114,31,13,3,50,13,124,1934,61,2389,11,7,0,0,13,0,0,0,16,0,16,377,9,434,27,11,9,4,41,12,0,8,11,7,26,545,30,672,52,36,11,4,33,23,10,7,39,9,47,421,19,624,82,85,38,3,55,34,4,17,92,10,87,947,37,1337,1971,1081,646,183,1145,873,200,495,1193,238,1316,10221,600,16585,227,109,73,47,134,111,32,46,116,40,98,829,8982,10433,8178,6952,2626,633,4643,3611,877,1779,7627,842,6242,52090,12442,92523,2560,3401,794,14
