SOSR_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,6
SOSR299,4,0,15,7,9,7,6,19,0,67,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,5,5,0,30,0,8,0,4,4,0,5,17,12,54,133,313,192,156,89,64,81,181,28,1239
SOSR301,4992,1592,11502,6982,5503,4210,2493,4418,450,42139,79,106,134,170,144,199,104,222,18,1179,1696,2337,1250,1423,1726,766,1177,987,396,11761,1805,1868,2551,1986,2054,1361,1696,2132,3810,19264,114217,272628,106875,97042,101978,44133,33063,44502,13137,827565
SOSR302,2835,782,6770,3864,2625,2360,897,2187,250,22568,24,43,31,63,37,70,22,75,20,385,577,733,530,519,499,317,300,393,169,4032,881,744,1302,939,813,744,517,832,1619,8398,41510,83169,47450,41341,34239,21487,10395,18610,5336,303543
SOSR303,1110,252,2908,1912,1049,1027,443,1071,93,9863,16,15,25,37,20,44,8,49,4,217,253,300,279,367,219,129,184,159,80,1971,283,309,563,560,324,301,281,513,645,3777,15720,40516,22925,22766,15687,7570,5901,8428,2086,141595
SOSR311,511,105,1407,854,479,541,311,557,45,4808,10,11,19,9,7,30,10,27,0,120,102,131,170,151,89,57,162,122,38,1016,155,135,400,276,165,156,243,380,375,2285,6680,17618,13806,11076,7333,3625,4073,4829,1166,70208
SOSR312,181,50,501,314,169,200,118,240,20,1787,0,6,0,6,8,9,0,5,0,30,35,58,90,53,50,17,82,59,24,452,66,45,149,104,75,78,98,159,142,915,2420,5467,5252,3979,2710,1509,1652,2123,484,25597
SOSR313,393,94,954,604,377,377,257,435,24,3509,3,6,10,0,4,17,7,14,3,53,80,88,91,88,71,32,115,80,31,675,138,96,314,167,126,104,237,259,234,1683,5085,10771,9317,6670,4992,2612,3372,3435,736,46982
SOSR314,346,89,862,486,382,317,282,452,49,3264,3,0,4,4,4,9,9,26,0,71,94,98,116,90,69,32,127,119,27,759,164,108,291,199,131,118,214,363,312,1898,5256,9886,9510,6370,5087,2384,3303,4427,920,47143
SOSR315,520,116,1496,809,545,481,367,727,56,5115,5,10,15,17,8,17,4,28,0,106,99,121,159,148,93,51,166,115,32,991,203,158,436,326,213,204,395,513,420,2880,7109,13345,13629,9955,7165,3491,4779,5969,1222,66646
SOSR321,173,39,448,265,183,141,108,203,18,1576,0,5,4,5,3,4,0,6,0,25,36,46,56,43,31,9,47,37,15,330,95,64,189,133,103,80,126,201,191,1188,2914,5185,4808,3690,2704,1284,1665,2053,485,24786
