SOSR_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOSR714,239,125,192,147,102,87,51,16,3,968,1373,743,1208,857,675,612,347,129,30,5980
SOSR715,532,254,404,299,230,186,76,16,3,2000,4419,2954,3181,2730,2090,1467,606,147,29,17625
SOSR721,228,114,200,135,138,130,70,7,0,1021,2979,2094,2255,1775,1515,1137,505,120,26,12403
SOSR722,357,165,202,138,140,128,92,25,0,1245,2993,1901,1957,1557,1381,1108,648,187,28,11762
SOSR731,922,845,1018,960,932,735,421,138,17,5987,6715,4556,4862,4771,5154,4426,2704,856,123,34172
SOSR779,0,0,6,4,5,3,0,0,0,24,0,15,23,22,19,17,0,0,0,99
SOSR799,74,97,193,168,213,186,79,12,0,1017,446,276,661,573,591,579,318,49,7,3500
SOSR802,4772,4555,4815,3780,3157,2444,1900,1074,524,27032,82666,60266,77465,69135,55949,45186,35529,19303,7174,452670
SOSR822,3,4,3,4,0,8,13,0,0,30,130,75,49,96,100,73,58,30,6,615
SOSR831,7,27,18,8,17,15,7,3,0,101,90,121,115,61,75,72,52,9,5,605
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,7,21,17,35,22,22,11,0,0,138,50,148,108,104,77,78,34,10,4,605
SOSR915,28,22,53,43,45,29,26,4,0,254,273,99,202,206,209,181,150,26,4,1355
SOSR921,42,19,19,32,24,32,24,23,6,221,269,151,126,209,228,344,258,129,38,1739
SOSR922,28,17,20,15,14,23,14,8,0,143,162,71,76,102,69,129,57,40,11,707
SOSR931,28,38,121,63,49,28,20,13,0,365,114,87,173,125,158,119,119,66,15,976
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,3,0,0,0,11
