SOSR_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
SOSR222,0,0,0,0,849,848,15,0,0,0,725,737,364,17,25,0,1229,1640,933,66,93,0,646,1736,1189,117,261,14,618,2200,1498,178,496,54,536,2760,1538,156,468,124,237,2525,714,42,155,143,62,1122,155,0,30,94,16,298,6414,569,1529,429,4921,13866,0,0,0,6,831,831,22,3,0,0,661,685,517,33,23,0,1048,1631,1057,98,124,10,573,1872,1208,129,329,44,512,2212,1697,127,483,141,355,2803,1309,98,387,272,124,2187,536,13,119,397,35,1106,67,0,27,311,9,414,6413,509,1496,1177,4159,13745,0,0,0,6,1677,1684,31,6,0,0,1382,1426,885,48,50,3,2287,3270,1991,159,216,11,1229,3606,2398,247,590,53,1128,4415,3198,302,976,189,896,5566,2852,254,858,386,363,4713,1247,62,273,538,95,2229,227,0,54,405,23,714,12825,1076,3025,1598,9081,27613
SOSR231,5,5,0,0,13738,13752,189,17,4,3,10228,10442,5380,232,232,16,13401,19262,13735,864,1216,56,7545,23421,19388,1492,3298,205,7007,31393,24209,1673,5200,694,5207,36977,22171,1401,4802,1341,2498,32210,9708,440,1554,1544,716,13965,1658,58,157,917,135,2926,96445,6188,16472,4781,60466,184354,11,4,0,8,12611,12624,239,15,4,3,8502,8759,6812,318,308,31,10935,18401,15254,862,1305,109,5895,23422,20999,1319,3404,471,5183,31378,24688,1287,4852,1456,3221,35508,19426,681,3393,2695,1295,27492,6702,150,984,3191,292,11317,727,12,130,2108,54,3033,94845,4652,14375,10069,47989,171931,14,10,4,8,26339,26374,423,33,12,8,18729,19202,12189,550,543,47,24328,37655,28988,1726,2528,160,13439,46846,40385,2810,6696,680,12195,62773,48893,2964,10048,2151,8428,72485,41599,2080,8189,4035,3794,59700,16410,591,2541,4732,1010,25286,2378,73,289,3024,192,5963,191293,10836,30850,14844,108455,356286
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,9,0,0,0,16,0,0,3,0,0,3,3,5,3,0,0,10,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,13,6,0,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,9,0,0,0,16,0,0,3,0,0,3,7,5,3,0,0,14,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,13,6,0,8,38
SOSR299,0,0,0,0,234,234,9,0,0,0,337,345,92,35,27,0,783,939,241,98,84,0,575,1008,195,137,156,4,417,912,215,82,166,14,164,644,169,51,115,20,38,392,39,7,28,14,8,90,9,0,4,4,0,15,963,416,581,56,2551,4576,0,0,0,0,231,229,13,0,0,0,304,321,119,58,20,7,682,878,166,60,79,16,412,730,103,65,116,14,185,479,157,39,119,32,79,429,96,13,66,13,28,224,19,6,11,17,6,58,5,4,0,10,0,19,676,246,425,103,1924,3373,0,0,0,0,461,459,18,0,0,3,641,671,207,93,52,7,1467,1819,409,162,165,11,992,1736,300,203,272,18,600,1393,371,123,283,49,243,1074,269,66,180,36,62,613,59,8,45,33,12,152,9,4,7,13,0,29,1642,658,1005,165,4474,7946
SOSR301,78,25,13,21,72837,72975,1781,130,49,34,79966,81963,47847,2671,2655,126,118620,171915,95771,6235,9400,326,50699,162430,89365,7644,16447,808,30136,144404,74851,5718,17695,1787,16139,116187,59524,3543,13002,3614,6759,86446,32122,1370,4965,5175,2240,45868,7993,254,880,4605,624,14350,409332,27583,65116,16499,378023,896541,93,23,10,12,69707,69837,3524,292,87,42,77493,81441,62827,4468,4340,263,106331,178233,102011,8759,13599,934,44843,170143,89340,9392,23507,2610,26927,151775,72165,6636,25643,6290,13414,124148,53726,3732,19692,13557,5845,96551,23412,1145,7965,19636,2224,54379,4079,158,1762,17533,1016,24542,411178,34602,96608,60877,347801,951062,167,44,28,34,142540,142815,5303,428,136,78,157457,163409,110677,7132,6996,391,224953,350151,197785,14992,23000,1262,95544,332576,178706,17038,39958,3418,57065,296180,147016,12355,43342,8078,29548,240341,113244,7275,32693,17175,12605,182994,55536,2510,12927,24809,4465,100251,12068,404,2644,22134,1638,38897,820507,62180,161721,77372,725820,1847605
SOSR302,21,0,7,4,26217,26252,475,31,14,14,25063,25595,13884,704,840,54,39958,55437,31604,2233,3591,111,18606,56143,34119,3085,7243,300,12135,56883,31693,2395,8741,726,6901,50456,30775,1896,7693,1655,3006,45031,18814,775,3410,2745,1022,26774,4799,156,641,2503,280,8372,166194,11283,32171,8111,133183,350936,33,10,9,0,25447,25492,945,87,20,13,26027,27087,19215,1411,1441,76,38070,60215,34927,3320,5508,315,17311,61380,35264,4085,10807,997,10861,62015,32063,3148,13314,2677,5882,57084,28735,1886,11073,6534,2389,50621,13839,632,4822,9934,770,29997,2412,100,1092,8688,282,12572,167430,14679,48072,29242,127031,386454,55,10,12,4,51666,51749,1419,118,35,26,51080,52677,33098,2114,2287,130,78029,115654,66538,5547,9093,431,35918,117521,69385,7167,18045,1299,22991,118890,63756,5546,22054,3406,12782,107542,59505,3784,18771,8190,5396,95649,32653,1413,8234,12680,1787,56766,7206,256,1726,11194,558,20942,333618,25957,80246,37350,260210,737390
SOSR303,19,12,0,4,14205,14238,445,36,8,14,14886,15390,7868,507,490,33,21380,30281,13888,1264,1848,60,10013,27076,14892,1587,3402,187,7152,27227,14009,1304,4181,412,4612,24522,12059,847,3221,875,2062,19068,6499,317,1217,1118,668,9823,1654,56,207,869,158,2945,71342,5938,14581,3573,75135,170562,32,8,0,4,14053,14099,730,62,21,14,13963,14789,10019,903,775,75,19408,31188,15420,1837,2667,209,9528,29667,15205,2099,5039,595,6232,29172,13791,1486,5702,1433,3445,25862,10697,891,4359,3076,1280,20310,4841,280,1733,4344,432,11627,848,34,313,3653,166,5003,71584,7593,20604,13421,68508,181716,51,17,0,15,28256,28337,1176,100,29,22,28846,30179,17886,1415,1269,106,40795,61474,29315,3100,4511,269,19544,56737,30096,3691,8441,781,13383,56401,27802,2788,9885,1844,8057,50383,22762,1736,7584,3954,3342,39374,11337,595,2949,5464,1100,21445,2499,89,517,4523,324,7954,142929,13532,35178,16986,143644,352278
SOSR311,9,3,0,0,7760,7775,201,14,8,3,6965,7186,4335,291,256,12,10298,15196,7770,708,995,35,5080,14588,8034,917,2004,118,3738,14811,9005,872,2706,306,2516,15413,9057,651,2358,696,1081,13837,5663,263,1043,1031,387,8386,1482,45,183,874,102,2694,45551,3773,9553,3080,37929,99888,6,7,5,0,7326,7345,441,30,11,7,6689,7181,5564,541,473,41,9273,15899,8203,1108,1459,118,4526,15420,8335,1224,2843,325,3148,15879,9243,1039,3504,1021,1737,16545,8429,595,2752,2321,698,14790,4321,204,1236,3782,280,9823,761,21,255,2992,126,4161,45310,4778,12542,10610,33805,107048,15,11,3,3,15090,15119,639,50,17,16,13651,14374,9905,838,731,54,19573,31099,15972,1817,2455,149,9609,30005,16372,2142,4849,438,6880,30685,18250,1910,6213,1327,4252,31956,17488,1244,5106,3012,1775,28630,9981,467,2275,4811,667,18205,2246,68,440,3865,231,6854,90858,8549,22095,13690,71737,206931
SOSR312,6,0,0,0,2859,2865,85,11,3,0,2411,2507,1394,128,105,4,3618,5240,2569,290,354,16,2042,5274,2972,418,798,51,1575,5819,3568,413,1253,108,1128,6475,4220,331,1198,299,441,6492,2517,111,486,436,189,3741,607,23,76,355,37,1107,17937,1728,4271,1272,14302,39514,3,0,6,0,2704,2705,155,11,8,0,2216,2385,1887,194,153,14,3091,5328,2830,442,505,41,1791,5612,3110,502,1141,137,1323,6214,3902,441,1599,398,730,7065,3865,272,1413,1018,303,6870,1947,110,604,1525,103,4282,312,12,107,1247,35,1712,18008,1977,5529,4380,12289,42184,8,0,6,0,5569,5574,239,21,7,3,4623,4896,3274,315,254,17,6708,10567,5394,731,860,57,3837,10884,6085,922,1938,182,2905,12032,7474,852,2849,508,1855,13539,8088,599,2611,1318,740,13363,4470,223,1088,1954,289,8024,921,38,184,1611,71,2822,35946,3706,9797,5650,26593,81697
SOSR313,6,0,0,0,5274,5279,156,13,7,0,4412,4585,3149,190,184,16,7178,10724,5361,442,623,18,3332,9772,5385,587,1159,64,2134,9326,5594,469,1435,164,1333,8991,5117,331,1203,363,579,7595,2996,117,485,467,188,4253,683,29,73,359,51,1192,28446,2179,5167,1443,24483,61719,5,4,3,0,4743,4754,271,24,3,3,4439,4740,3969,416,299,18,6667,11362,5822,733,953,77,3021,10607,5493,664,1649,216,1847,9867,5499,597,2012,524,967,9590,4789,298,1401,1210,354,8059,2187,74,560,1759,127,4700,330,8,100,1447,49,1932,28355,2817,6975,5246,22209,65608,10,5,3,0,10018,10032,425,38,11,4,8847,9324,7116,602,484,34,13851,22086,11186,1170,1585,94,6348,20381,10877,1250,2806,272,3979,19187,11086,1069,3445,685,2301,18587,9907,630,2606,1575,934,15650,5183,192,1043,2226,309,8949,1015,41,167,1805,101,3127,56803,5000,12143,6691,46695,127325
SOSR314,0,3,0,0,5321,5332,123,7,5,3,4501,4640,3236,174,172,12,6957,10545,5690,489,639,27,3205,10047,6003,614,1199,79,2472,10364,5803,558,1566,201,1607,9732,5390,402,1382,415,668,8250,3098,152,590,574,266,4672,777,26,101,469,58,1435,30118,2419,5649,1773,25054,65017,6,3,0,0,4966,4973,236,19,3,8,4133,4394,4146,331,226,28,6342,11069,6055,718,892,83,3034,10779,6051,716,1672,222,2173,10840,5808,612,1941,550,1090,9997,4981,315,1512,1354,412,8566,2316,81,617,1944,154,5109,366,12,115,1646,55,2203,29953,2805,6984,5824,22355,67919,9,8,0,0,10286,10301,356,21,9,13,8633,9031,7379,508,396,38,13296,21617,11739,1201,1533,107,6241,20825,12055,1326,2872,297,4645,21204,11608,1166,3508,752,2694,19722,10367,712,2889,1767,1078,16817,5415,228,1212,2512,416,9787,1144,38,223,2116,118,3636,60072,5225,12634,7599,47412,132939
SOSR315,9,6,0,3,7442,7463,219,32,3,4,6349,6610,4364,299,225,16,10177,15086,7353,745,913,41,5448,14504,8217,1029,1943,138,4392,15711,9606,962,2970,323,3022,16885,9973,861,2969,790,1356,15954,5269,297,1161,977,447,8151,1171,55,174,699,113,2209,46186,4279,10370,2989,38757,102577,11,5,0,0,6969,6984,328,37,15,3,5869,6247,5395,472,319,42,9177,15395,7991,992,1164,113,4963,15213,8468,1072,2511,317,3557,15934,10059,1023,3430,902,2141,17552,9112,597,2881,2145,825,15559,3810,186,989,2950,254,8185,577,26,166,2393,94,3254,45738,4400,11467,8875,33842,104319,21,5,0,8,14415,14444,540,66,18,9,12216,12864,9757,765,547,55,19354,30481,15339,1732,2081,152,10411,29715,16689,2100,4451,456,7948,31642,19664,1991,6399,1223,5158,34435,19091,1460,5845,2937,2184,31515,9082,481,2146,3925,699,16331,1747,79,341,3092,206,5464,91926,8679,21835,11862,72596,206897
SOSR321,8,0,0,0,2860,2878,48,6,0,0,2201,2254,1303,109,69,0,3312,4791,2605,218,276,17,2192,5307,3337,356,751,53,1872,6372,4152,452,1241,158,1291,7293,4287,348,1226,351,538,6753,2127,130,515,399,209,3373,373,20,49,183,53,683,18244,1647,4122,1165,14534,39712,10,0,0,0,2610,2619,82,9,0,0,1966,2059,1647,136,101,9,3093,4982,2936,311,395,45,1906,5588,3617,326,908,109,1542,6504,4481,376,1446,407,906,7617,3804,251,1023,824,338,6245,1469,55,370,1051,90,3035,158,4,62,632,19,877,18205,1458,4308,3078,12476,39529,14,0,0,0,5476,5498,127,16,0,4,4169,4316,2949,241,169,8,6403,9775,5543,528,668,61,4098,10899,6956,682,1667,164,3418,12880,8637,828,2692,565,2196,14911,8089,603,2251,1176,880,12997,3600,186,879,1443,295,6404,532,24,111,821,76,1556,36450,3100,8432,4239,27011,79232
SOSR322,0,0,0,0,1083,1082,19,0,0,0,976,991,449,39,24,5,1596,2114,948,85,131,4,977,2141,1243,170,383,25,897,2708,1910,228,662,87,799,3684,1947,203,663,176,343,3343,1006,65,243,174,120,1605,155,3,28,99,25,312,7674,800,2129,572,6804,17986,0,0,0,0,972,975,52,3,0,0,913,972,621,60,45,7,1539,2268,1029,113,166,18,918,2245,1440,173,410,59,684,2761,2104,198,630,196,478,3604,1729,109,474,419,201,2929,685,30,135,521,38,1416,75,3,19,286,7,386,7722,689,1876,1502,5766,17558,0,0,0,0,2053,2051,68,3,0,0,1892,1970,1073,97,66,9,3135,4384,1973,193,293,22,1894,4381,2680,339,793,79,1581,5469,4012,428,1289,287,1270,7289,3673,314,1137,600,547,6268,1695,92,375,696,161,3024,231,6,46,381,30,702,15405,1481,4009,2081,12569,35541
SOSR331,23,4,6,7,14077,14115,328,44,9,5,10321,10707,6654,468,359,24,13914,21406,15007,1056,1412,63,8318,25861,20889,1651,3853,198,7533,34129,24302,1787,5913,632,5580,38217,21065,1478,5158,1362,2319,31383,9565,514,1815,1549,698,14142,1500,48,234,783,131,2696,99324,7065,18752,4624,62887,192653,22,6,0,0,12862,12901,477,22,9,0,8540,9058,8401,507,437,34,10969,20340,16612,1071,1630,190,6389,25889,22267,1609,3909,503,5167,33453,24670,1412,5288,1502,3046,35907,18157,819,3616,3054,1040,26694,6318,191,1027,3451,236,11227,622,19,158,1619,38,2454,97545,5650,16076,10354,48283,177913,47,8,9,8,26945,27016,808,65,20,7,18859,19762,15046,974,794,59,24878,41750,31621,2126,3040,257,14698,51750,43150,3263,7767,703,12703,67583,48973,3202,11195,2132,8625,74122,39221,2302,8774,4417,3358,58073,15879,709,2837,5003,935,25367,2122,73,395,2396,165,5145,196877,12715,34830,14978,111168,370559
SOSR379,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,31,37,42,9,0,0,11,55,27,0,5,0,8,42,0,0,0,0,4,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,71,8,9,0,55,149,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,9,13,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,26,28,0,0,0,0,0,0,0,0,0,0,16,16,4,0,0,0,39,49,43,9,0,0,22,64,31,0,5,0,8,45,0,0,0,0,4,5,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,76,8,16,0,83,183
SOSR399,0,0,0,0,271,272,11,4,0,0,426,444,135,54,26,6,1083,1301,230,118,83,6,753,1194,242,131,195,4,472,1042,578,124,305,17,274,1297,641,130,313,63,107,1253,156,26,60,34,12,283,5,3,3,6,0,23,2006,593,977,134,3398,7108,0,0,0,5,288,291,15,9,0,0,466,493,174,60,25,0,1086,1345,248,82,99,14,439,885,281,87,195,16,306,887,641,71,299,43,124,1170,504,45,221,69,33,870,79,11,38,35,6,160,4,0,5,13,4,25,1943,363,881,194,2749,6127,3,0,0,5,556,566,22,9,0,0,894,934,314,112,46,6,2169,2649,479,204,180,16,1192,2077,522,224,395,23,776,1929,1217,195,598,62,394,2468,1146,184,528,132,140,2124,229,28,95,72,19,444,9,9,4,25,6,44,3948,959,1855,326,6142,13234
SOSR401,19,13,10,7,35595,35644,821,61,28,14,41617,42541,25819,1075,1212,39,60976,89123,48577,2943,4534,145,26562,82765,44408,3793,8716,470,19185,76573,43265,3266,11300,1128,12522,71483,39403,2229,9015,2504,5067,58214,23319,806,3547,3595,1380,32643,7088,186,681,4199,351,12507,232726,14366,39031,12100,203257,501480,49,13,9,6,33657,33732,1959,160,57,13,38501,40690,34065,1873,1998,121,51357,89419,50669,4057,6635,512,22984,84854,44431,4642,12439,1419,15579,78507,43092,3835,16265,3891,10139,77213,37074,2213,13576,9236,4377,66473,18167,697,5398,14740,1387,40379,3605,114,1400,15137,543,20793,233114,17604,57777,45059,178514,532069,71,23,20,9,69249,69374,2775,220,84,27,80117,83229,59889,2949,3212,163,112327,178542,99247,6997,11174,655,49549,167621,88838,8433,21150,1886,34769,155078,86358,7101,27562,5015,22659,148698,76474,4442,22591,11745,9443,124690,41486,1505,8939,18329,2767,73023,10701,296,2077,19330,892,33293,465843,31968,96811,57162,381766,1033551
SOSR412,0,0,0,0,3026,3029,56,5,0,0,2892,2955,1745,121,82,9,4220,6174,2930,270,359,14,1970,5552,3291,357,770,45,1557,6024,3505,300,982,106,1015,5918,3304,206,783,245,313,4848,1971,52,256,361,97,2729,531,8,59,353,33,990,17336,1330,3293,1138,15125,38217,4,0,0,0,2890,2892,130,8,0,5,2710,2851,2195,219,160,9,3735,6319,3225,364,607,29,1800,6021,3428,480,1140,117,1373,6535,3586,335,1380,357,710,6369,2995,209,1000,801,243,5250,1644,70,419,1426,79,3642,256,15,95,1127,18,1510,17467,1696,4798,3877,13559,41390,0,0,0,0,5915,5922,190,14,4,6,5596,5809,3941,339,240,19,7957,12493,6158,637,964,43,3775,11577,6726,836,1910,159,2933,12564,7092,637,2362,470,1726,12284,6295,413,1783,1045,560,10096,3616,122,670,1791,170,6368,789,21,152,1481,51,2494,34807,3018,8090,5016,28679,79604
SOSR413,0,0,0,0,2592,2604,64,5,0,0,2265,2336,1318,95,56,3,3577,5052,2370,232,255,18,2032,4896,2798,304,620,27,1694,5437,3313,272,984,106,1170,5845,3934,255,847,298,483,5811,2747,103,328,391,158,3729,674,13,65,407,30,1181,17216,1268,3149,1246,14000,36884,4,0,0,0,2426,2438,80,11,4,0,2128,2223,1579,149,117,9,2989,4842,2478,312,400,26,1653,4866,2969,400,856,125,1332,5682,3458,373,1320,296,816,6250,3941,240,1158,872,339,6547,2061,75,413,1425,105,4081,353,5,104,1311,41,1818,16924,1567,4368,4070,11809,38749,12,0,0,4,5018,5035,153,13,3,0,4389,4559,2895,247,174,14,6561,9891,4840,542,648,46,3681,9760,5767,702,1479,153,3023,11117,6767,645,2301,403,1986,12100,7874,488,2004,1167,822,12358,4802,176,745,1821,258,7810,1029,19,168,1718,69,2996,34140,2835,7518,5319,25815,75634
SOSR414,0,0,0,0,797,795,12,0,0,0,698,708,541,18,23,0,1092,1674,909,64,98,0,519,1592,970,105,235,16,435,1759,1155,92,355,19,278,1905,1671,95,323,94,108,2281,1144,35,159,156,45,1544,265,7,21,149,11,451,6661,420,1218,435,3980,12713,0,0,0,0,770,771,26,0,0,0,667,700,628,46,48,0,957,1674,1022,110,155,8,493,1787,988,135,349,27,358,1853,1259,109,485,114,220,2187,1666,93,471,333,116,2680,882,26,170,518,58,1653,137,4,27,477,11,658,6601,514,1705,1475,3656,13953,3,0,0,0,1564,1567,43,8,0,0,1362,1408,1165,63,71,0,2049,3346,1927,177,248,12,1012,3372,1956,238,583,41,794,3612,2415,201,839,139,494,4089,3336,180,796,424,228,4964,2026,64,334,677,100,3201,399,11,51,624,28,1108,13264,935,2920,1915,7638,26670
SOSR415,4,0,0,0,3112,3116,70,9,0,5,2718,2802,1785,103,87,7,4239,6220,3358,230,371,13,2170,6141,3867,334,852,55,1732,6840,4714,370,1381,147,1340,7954,5409,325,1259,359,594,7952,3234,115,496,534,213,4589,891,25,88,524,47,1568,23327,1508,4534,1647,16176,47182,3,0,0,0,2812,2819,128,13,6,0,2364,2513,2324,188,130,18,3730,6395,3618,358,503,46,1889,6417,4043,432,1154,171,1434,7231,4870,374,1534,434,898,8113,5172,233,1242,1160,293,8108,2581,76,500,1980,117,5260,447,14,110,1873,62,2513,23187,1692,5178,5689,13617,49369,5,0,0,0,5925,5938,199,17,3,5,5087,5315,4102,292,218,23,7975,12613,6974,593,873,55,4062,12559,7909,760,2008,230,3172,14070,9589,745,2913,585,2240,16065,10585,560,2500,1527,887,16059,5821,189,994,2516,332,9856,1337,37,200,2396,111,4077,46522,3195,9708,7336,29790,96551
SOSR421,5,0,0,0,809,815,36,0,0,0,665,700,453,22,30,0,1036,1533,918,68,75,4,566,1637,1062,95,234,12,492,1901,1485,121,387,43,403,2441,1612,118,407,109,194,2443,840,28,159,141,58,1228,227,7,30,154,29,448,6635,464,1324,465,4250,13143,5,0,0,0,767,777,40,0,0,0,627,674,620,49,39,0,927,1632,1015,84,110,9,474,1694,1162,139,293,40,355,1981,1567,105,445,130,258,2506,1485,78,376,342,91,2365,640,18,137,506,24,1318,111,7,30,541,21,711,6642,471,1431,1562,3539,13648,11,0,0,0,1578,1591,77,0,0,0,1291,1374,1075,67,65,0,1963,3167,1929,152,192,13,1038,3331,2224,232,523,53,843,3879,3057,223,837,172,664,4944,3087,193,785,451,284,4809,1476,48,295,650,83,2545,339,14,57,690,47,1159,13279,932,2751,2026,7793,26793
SOSR422,10,0,0,0,474,490,45,0,0,0,380,425,285,16,13,0,596,906,431,48,57,3,349,891,573,89,134,9,414,1228,888,116,325,32,316,1682,989,96,345,96,132,1655,523,33,104,98,40,805,110,6,13,69,10,198,3852,403,991,315,2717,8278,16,0,0,0,416,427,50,5,0,0,310,366,364,26,6,0,527,926,495,81,58,16,281,931,614,78,163,35,277,1172,970,76,305,113,173,1631,916,39,240,192,62,1459,385,19,64,268,8,754,49,0,3,183,3,239,3867,321,842,808,2057,7899,26,0,0,0,888,915,93,8,0,0,689,787,650,45,18,3,1121,1832,928,122,115,22,629,1815,1187,176,299,48,696,2399,1860,188,624,145,493,3314,1905,132,585,289,198,3111,915,51,173,369,51,1556,157,8,18,249,13,442,7718,725,1835,1120,4776,16171
SOSR431,7,0,0,8,4535,4556,81,4,5,0,3488,3577,2064,82,76,9,4446,6667,4821,300,407,15,2570,8119,6799,456,1129,71,2508,10966,8327,628,2007,214,2047,13220,7433,425,1696,469,814,10839,3278,151,500,477,222,4625,512,19,58,254,37,878,33318,2063,5885,1517,20659,63446,11,0,0,0,4066,4075,153,7,0,0,2753,2908,2628,89,80,7,3311,6110,5436,277,431,30,1794,7971,7196,388,1074,187,1624,10470,8347,406,1611,483,1062,11916,6538,211,1025,945,346,9060,2183,45,316,975,84,3608,242,3,37,563,15,859,32728,1429,4576,3189,15055,56981,15,0,0,8,8607,8627,231,12,6,0,6236,6493,4689,168,152,17,7752,12777,10261,576,835,48,4366,16088,13995,846,2207,258,4130,21437,16674,1032,3617,697,3108,25136,13969,639,2725,1413,1161,19900,5460,198,817,1454,311,8239,749,21,96,817,55,1738,66047,3492,10466,4710,35717,120427
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,12
