SOSR_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR201,2071,7293,19598,17350,15837,11325,3258,456,33,77220,3096,10223,29770,26214,20996,14210,4063,855,205,109617,95299,215141,579478,543945,451095,307531,82816,10048,767,2286127
SOSR203,256,750,1649,1246,1098,948,259,42,4,6251,295,688,1573,1253,1200,958,268,99,21,6359,10851,19271,44884,38388,35009,27260,6997,729,72,183465
SOSR211,88,207,534,424,297,215,84,8,0,1855,97,244,653,605,423,265,58,16,3,2367,2770,4654,12837,12160,8983,6120,1485,122,14,49147
SOSR212,221,491,1133,974,874,651,221,35,0,4591,243,411,1076,1032,995,655,201,53,24,4677,7683,10558,26843,26729,25802,20165,5304,536,49,123674
SOSR213,211,496,1097,909,853,674,234,32,3,4512,218,372,948,843,847,640,233,63,18,4193,7006,9437,23915,22889,22607,18709,5185,609,63,110423
SOSR214,107,227,485,428,476,442,145,16,0,2330,142,183,459,418,468,435,194,63,18,2385,3500,4804,11921,11550,12398,11376,3626,463,47,59685
SOSR215,171,357,906,770,729,658,244,42,3,3870,204,319,823,787,899,787,294,89,22,4222,5397,7120,18955,19473,20458,18755,5698,800,75,96731
SOSR221,57,92,202,179,194,187,61,3,0,982,65,81,173,185,242,223,73,33,8,1074,1513,1748,4590,5170,5872,5720,1724,204,18,26552
SOSR222,24,47,126,112,117,112,31,3,0,572,39,62,119,111,153,115,58,16,3,674,739,1007,2438,2717,3304,3220,997,127,10,14558
SOSR231,481,675,1286,1341,1673,1519,520,58,0,7549,647,684,1210,1457,2060,1897,919,427,71,9381,12922,14329,28255,36121,48723,47196,18600,4083,499,210724
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15
SOSR299,3,8,12,13,11,3,0,0,0,56,4,13,33,35,23,9,4,4,0,126,82,217,600,341,277,227,47,11,0,1797
SOSR301,1968,4841,10984,9334,8249,5647,1559,190,12,42790,2234,5566,12994,12027,9427,6082,1663,346,83,50425,64642,116953,270605,264870,232893,153042,36840,3927,271,1144039
SOSR302,780,1782,4151,3905,3505,2371,680,90,3,17266,1052,2029,4761,4678,4165,2760,912,234,55,20641,26852,38690,89038,93107,92640,66628,19478,2358,169,428960
SOSR303,543,1032,2077,1786,1674,1155,387,70,5,8719,509,835,1743,1500,1382,985,313,83,13,7355,13897,21003,45530,43052,42635,31785,8349,933,66,207252
SOSR311,299,599,1232,1030,936,665,184,16,0,4966,335,492,1023,846,832,578,178,66,12,4363,7829,10244,22865,22622,22533,18000,4341,438,37,108908
SOSR312,90,179,371,301,349,246,65,10,0,1607,117,203,377,354,341,279,80,32,10,1779,2602,3305,7474,7796,8416,7111,1715,176,17,38610
SOSR313,239,364,753,625,545,396,144,19,0,3084,207,291,686,613,544,350,145,31,13,2872,5387,6714,16272,15544,14452,11200,2865,370,37,72841
SOSR314,221,345,697,591,568,445,139,17,0,3023,252,352,846,736,683,521,156,43,14,3602,5189,6300,15696,15661,15748,11927,3084,407,36,74049
SOSR315,286,444,977,851,743,664,199,24,3,4193,321,422,917,933,958,777,270,85,24,4709,6633,8374,20789,21294,22192,18795,5068,587,69,103797
SOSR321,86,154,319,292,309,283,83,6,0,1534,142,132,338,358,391,368,123,24,5,1878,2454,2716,6435,7644,8908,7958,2166,260,17,38556
SOSR322,44,60,111,115,115,103,38,10,0,589,59,48,152,131,161,191,91,23,5,868,809,1162,2752,2987,3741,3937,1088,164,14,16667
SOSR331,714,704,1332,1523,1660,1475,440,53,0,7906,790,763,1384,1732,2330,1916,820,383,73,10202,13632,13696,28978,38205,49722,44064,15140,3367,359,207163
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,6,13,15,0,0,0,0,29
SOSR399,6,7,27,20,14,6,6,0,0,95,6,23,47,49,40,28,3,0,0,194,128,325,1027,644,497,464,118,7,0,3219
SOSR401,875,2500,5800,4875,4832,3660,1147,160,10,23860,732,2082,4695,4333,3767,2732,860,270,73,19542,30286,58715,138940,132731,119963,92447,23689,2698,226,599698
SOSR412,78,194,436,367,339,280,102,10,0,1804,72,148,322,266,264,256,81,27,0,1434,3023,4226,9582,9096,9732,7638,1818,172,24,45310
SOSR413,85,170,335,270,299,245,84,15,0,1499,54,90,208,226,249,185,76,28,3,1119,2469,3103,6971,6998,8097,7081,2064,264,19,37053
SOSR414,26,50,130,82,113,77,37,6,0,530,25,35,77,90,93,72,35,26,0,455,793,1076,2593,2652,2835,2485,746,122,4,13312
SOSR415,93,182,403,399,405,300,133,16,5,1942,122,138,299,304,362,318,113,70,7,1744,2980,4010,9606,9840,10683,9575,2858,443,36,50029
SOSR421,30,53,105,97,111,95,42,5,0,537,23,32,93,94,104,116,47,18,3,529,781,999,2388,2542,2973,3028,997,134,14,13849
SOSR422,10,25,62,41,49,71,18,0,0,278,12,10,43,38,61,57,21,12,4,262,349,481,1205,1234,1586,1802,534,87,12,7295
SOSR431,192,231,400,442,559,520,162,20,0,2526,189,191,318,360,560,561,298,114,16,2609,4311,4807,9585,12683,16730,16410,6201,1285,122,72129
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SOSR499,0,0,9,0,3,4,0,0,0,22,0,5,3,9,8,8,0,4,0,42,32,61,211,156,128,106,26,4,0,724
SOSR501,2002,4345,9896,8626,7402,5480,1771,241,15,39786,2189,4708,11490,11297,9435,6460,2044,447,95,48169,55204,94947,230057,236108,208557,152624,42173,4679,336,1024680
SOSR511,77,165,329,278,299,211,59,9,0,1428,87,121,277,286,226,191,65,11,6,1278,2450,2821,6793,7675,7685,5932,1487,136,12,34998
SOSR512,178,297,524,480,474,344,124,10,0,2435,164,192,399,402,410,322,126,32,7,2058,4008,4541,10678,11465,12161,9976,2813,306,31,55980
SOSR513,90,119,360,339,246,146,29,0,0,1329,96,160,386,396,302,203,54,14,3,1599,1814,2306,8142,8488,6688,4537,1024,89,8,33096
SOSR514,34,40,105,117,98,60,19,4,0,481,29,50,87,134,124,72,36,7,0,539,805,807,2308,3036,2856,2080,641,74,5,12611
SOSR515,128,178,365,293,295,229,56,6,0,1546,120,141,353,294,345,313,97,33,3,1704,2276,3003,8421,8599,8561,7250,2135,302,16,40565
SOSR521,35,46,103,95,108,90,28,0,0,497,55,56,116,122,142,153,66,19,6,743,727,991,2698,2886,3253,3205,998,146,17,14926
SOSR522,15,31,53,51,47,57,18,5,0,278,17,24,77,53,73,61,38,16,9,358,320,561,1446,1426,1605,1669,583,95,5,7723
SOSR531,230,242,417,522,578,534,166,12,0,2699,227,252,421,535,742,707,320,117,16,3337,4212,5141,11122,14540,18726,17795,6706,1400,147,79789
SOSR579,0,0,0,0,0,0,0,0,0,4,0,8,6,16,5,4,3,0,0,35,5,17,62,95,59,33,5,0,0,277
SOSR599,6,9,16,12,3,10,0,0,0,52,3,7,22,25,10,11,3,0,0,78,53,185,501,355,248,216,45,0,0,1614
SOSR603,108,309,995,719,594,488,155,36,0,3405,91,217,736,432,408,299,107,32,8,2331,4176,8301,25942,19936,18066,13991,3925,449,32,94821
SOSR611,67,182,385,277,301,228,80,10,0,1531,53,110,257,195,176,147,47,12,6,1009,2129,3608,9250,7486,7556,6012,1593,155,20,37810
SOSR612,34,93,208,158,157,122,27,3,0,807,28,50,118,95,90,96,39,18,3,531,1188,1810,4289,3587,3843,3313,771,85,10,18895
SOSR613,12,25,46,32,38,42,9,3,0,202,5,14,19,23,30,23,7,3,0,135,339,449,940,931,1110,1073,238,30,4,5122
SOSR614,9,32,55,58,48,54,10,0,0,272,7,15,57,47,36,29,9,3,0,205,375,609,1449,1410,1352,1345,335,28,0,6913
SOSR615,66,111,300,222,182,167,59,3,0,1106,36,89,160,140,162,139,65,20,5,822,1442,2313,5827,5249,5569,5013,1331,158,13,26908
SOSR621,13,29,91,58,76,59,20,0,0,346,12,16,40,74,59,58,18,13,0,296,454,650,1765,1866,2098,1987,604,86,0,9520
SOSR622,9,8,29,13,20,32,12,0,0,125,7,9,25,19,24,24,19,3,0,128,176,228,594,661,844,942,271,29,6,3760
SOSR631,114,174,314,378,414,322,105,9,0,1836,91,112,226,286,365,336,156,70,19,1671,2695,3310,7720,9770,11818,11234,3434,599,65,50648
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12
SOSR699,0,4,0,0,12,0,0,0,0,10,0,0,8,5,3,0,0,0,0,18,12,33,79,69,63,42,9,0,0,309
SOSR703,123,208,690,591,414,309,99,5,0,2443,124,306,759,593,414,282,95,22,8,2598,2939,5931,18475,15382,11984,8119,2280,213,20,65347
SOSR712,31,39,156,148,97,92,27,5,0,596,23,29,152,118,83,53,32,4,0,494,616,819,3658,2998,2395,2007,593,51,0,13148
SOSR714,0,11,25,18,13,20,7,0,0,95,6,11,55,14,21,17,8,0,0,137,108,273,847,579,421,368,95,9,0,2698
SOSR715,6,8,51,41,34,30,13,0,0,184,29,23,60,47,41,21,3,5,0,221,180,327,1166,1132,940,667,197,22,0,4632
SOSR721,6,9,29,36,22,24,10,0,0,139,5,20,26,27,42,16,7,0,0,144,155,314,877,837,733,576,145,17,0,3650
SOSR722,6,10,16,30,24,9,10,0,0,103,12,14,18,27,22,22,7,0,0,124,88,217,588,616,568,490,149,12,0,2728
SOSR731,43,53,125,107,134,97,31,3,0,604,55,66,126,134,160,106,44,9,0,694,861,1184,2756,2877,3360,2459,694,86,8,14269
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,7,0,5,16,10,10,9,0,0,0,56
SOSR799,0,0,0,0,0,0,0,0,0,11,0,0,13,12,5,7,0,0,0,39,13,34,175,126,84,53,22,0,0,500
SOSR802,466,948,1773,1497,1265,802,293,36,0,7080,207,568,1574,1126,749,412,128,30,14,4812,12793,26200,64804,59610,47494,28482,7381,863,80,247706
SOSR822,0,6,3,3,3,4,0,0,0,15,0,0,0,0,0,0,0,0,0,10,25,23,45,84,92,45,12,5,0,335
SOSR831,0,0,0,0,3,0,0,0,0,9,0,4,0,0,0,0,0,0,0,4,27,56,94,50,50,51,23,3,0,352
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,3,3,4,0,0,0,0,11,0,0,3,0,0,0,0,0,0,6,22,36,59,38,32,23,3,0,0,216
SOSR915,0,0,3,9,5,4,3,0,0,17,0,4,7,3,6,10,10,0,0,40,26,25,133,144,150,120,71,0,0,686
SOSR921,0,0,4,3,4,11,5,0,0,27,3,3,4,7,11,5,4,0,0,37,51,54,99,160,182,254,112,29,0,939
SOSR922,0,0,0,0,0,0,0,0,0,4,0,9,3,4,0,4,3,0,0,22,12,36,53,67,46,73,6,0,0,299
SOSR931,0,0,0,0,0,3,0,0,0,16,0,0,3,3,4,6,5,0,0,24,15,19,44,50,81,64,35,11,3,329
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
