SOSR_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SOSR513,..,5400,5400,6242,572,6810,3364,140,3501,3638,31,3675,1697,9,1703,824,8,830,15765,6159,21923
SOSR514,..,2859,2859,3398,258,3660,1445,71,1511,1474,40,1517,596,8,605,234,4,239,7150,3231,10381
SOSR515,..,9580,9580,10966,674,11639,4233,129,4363,4228,39,4267,1968,16,1985,1004,11,1014,22399,10452,32849
SOSR521,..,4335,4335,4629,298,4928,1665,26,1687,1504,19,1529,692,3,694,487,3,495,8983,4677,13658
SOSR522,..,2478,2478,2496,155,2653,759,23,776,750,4,756,458,0,460,413,0,413,4880,2659,7539
SOSR531,..,10371,10371,19573,811,20383,6774,103,6879,7206,20,7225,3825,7,3834,2014,24,2035,39395,11339,50741
SOSR579,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR599,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,..,22140,22140,23816,2084,25896,11373,884,12257,9965,427,10391,3918,162,4076,1846,76,1924,50921,25767,76686
SOSR611,..,10224,10224,10146,927,11075,4551,254,4807,3877,110,3991,1520,26,1548,708,11,722,20807,11561,32366
SOSR612,..,6228,6228,6164,440,6608,2568,62,2624,1987,23,2010,800,13,808,395,4,397,11905,6760,18667
SOSR613,..,1755,1755,1941,88,2032,669,5,678,547,6,549,219,0,214,100,0,100,3465,1861,5328
SOSR614,..,2113,2113,2345,119,2464,910,23,930,801,6,805,296,6,300,154,0,154,4510,2262,6771
SOSR615,..,8266,8266,9561,514,10077,3420,46,3473,2880,20,2899,1243,9,1250,557,0,553,17663,8850,26520
SOSR621,..,2656,2656,3292,175,3458,1100,13,1114,1034,3,1040,373,0,370,173,0,174,5971,2851,8823
SOSR622,..,1143,1143,1466,74,1542,466,3,472,378,0,378,140,0,139,82,0,89,2540,1219,3758
SOSR631,..,8837,8837,15502,699,16202,5502,90,5593,5246,20,5263,2315,11,2328,1271,9,1279,29836,9656,39495
SOSR679,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,..,10068,10068,11576,1685,13260,7101,540,7646,6314,182,6495,2663,60,2721,1520,16,1538,29176,12554,41727
SOSR712,..,2297,2297,2211,307,2516,1374,133,1500,1212,41,1248,550,11,560,382,5,385,5729,2792,8519
SOSR714,..,511,511,498,87,582,270,29,296,244,10,262,135,4,145,102,0,102,1255,642,1897
SOSR715,..,739,739,646,86,730,419,10,434,459,6,459,342,0,338,983,0,983,2847,839,3684
SOSR721,..,754,754,563,38,603,317,9,328,357,5,362,245,0,245,666,0,671,2161,811,2967
SOSR722,..,546,546,527,47,578,285,8,298,300,5,302,278,0,276,655,0,655,2051,611,2661
SOSR731,..,1892,1892,2732,200,2936,1273,49,1326,1407,14,1417,774,0,781,844,3,845,7037,2170,9202
SOSR779,..,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SOSR799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,..,43285,43285,50188,4754,54938,25798,2002,27797,26893,746,27636,9917,222,10143,4144,114,4258,116933,51123,168058
SOSR822,..,29,29,62,0,64,32,0,32,43,0,43,28,0,28,5,0,5,173,32,203
SOSR831,..,26,26,47,0,47,19,3,22,24,0,22,5,0,5,11,0,11,106,33,138
SOSR879,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,..,122,122,120,4,121,60,0,60,58,0,58,34,0,34,10,0,10,291,126,416
SOSR921,..,280,280,263,19,284,77,0,74,54,0,54,28,0,30,9,0,9,426,300,727
SOSR922,..,17,17,47,0,46,21,0,21,25,0,25,21,0,21,36,0,36,144,17,156
SOSR931,..,73,73,71,0,80,23,0,23,34,0,34,13,0,13,13,0,13,155,73,227
SOSR979,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
