SOSR_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,37,31,72,109,126,237,14,12,30,20,17,36,146,161,310,73,93,167,15,15,34,19,8,29,107,124,229,13,16,31,11,34,46,16,20,31,38,54,96,0,0,0,84,123,205,37,60,96,25,50,74,10,7,17,23,44,67,0,0,3,97,158,254,176,286,459,14,19,31,14,24,37,0,0,0,28,43,68,2245,1516,3758,2746,2157,4898
SOSR201,52093,47587,99680,130633,121613,252249,35345,34363,69707,21572,22494,44069,187847,178728,366571,85043,78252,163303,31676,32468,64142,31597,32522,64121,148527,143449,291975,11603,10038,21637,11705,15504,27213,13495,6116,19607,18747,26463,45212,223,166,387,55764,58286,114056,65887,79009,144892,25462,31061,56528,7724,9253,16980,20683,33531,54212,286,316,601,120043,153173,273215,176104,211741,387849,11011,10551,21567,13795,20128,33919,270,265,539,25074,30946,56020,108277,103957,212228,697920,716398,1414322
SOSR203,4483,4134,8621,9967,9298,19263,4162,4078,8235,1681,1666,3341,15819,15049,30870,6395,6093,12483,3238,3515,6755,2512,2483,4996,12155,12104,24256,716,847,1570,656,1075,1728,1407,830,2233,1593,2116,3711,15,18,34,4385,4887,9276,3435,5044,8474,1574,2091,3670,465,718,1185,1490,3003,4490,21,20,44,6982,10872,17856,11382,15775,27162,593,579,1175,827,1318,2145,21,13,33,1441,1915,3360,9786,9992,19775,55067,58974,114038
SOSR211,1507,1575,3082,3811,3591,7401,1246,1271,2515,699,772,1469,5765,5636,11400,2370,2415,4782,832,894,1727,538,540,1073,3740,3860,7595,327,240,569,255,397,653,456,259,710,445,798,1239,9,8,18,1488,1707,3194,480,811,1290,230,493,725,103,144,245,296,613,907,3,5,6,1113,2057,3171,2606,3771,6373,300,281,582,300,524,819,5,11,12,601,819,1420,3591,3579,7168,17804,19240,37043
SOSR212,3090,2930,6022,7823,7077,14898,3068,3047,6118,874,750,1631,11775,10895,22669,4701,4449,9152,2687,2886,5572,1249,1252,2497,8648,8598,17248,370,521,892,330,653,990,1084,670,1755,1082,1639,2718,25,9,38,2888,3492,6387,1114,1877,2986,445,898,1343,180,336,517,764,1680,2442,7,13,17,2505,4804,7312,5402,8313,13716,318,306,624,552,852,1403,18,20,32,885,1178,2060,7560,7721,15282,37354,39636,76993
SOSR213,2882,2567,5453,6948,6399,13341,2614,2644,5259,817,812,1630,10393,9866,20263,4617,4336,8956,2049,2173,4217,1060,1006,2066,7724,7521,15245,356,428,784,255,555,817,964,618,1580,837,1593,2432,17,16,36,2422,3218,5638,769,1341,2107,320,763,1080,149,299,448,677,1577,2252,4,19,24,1919,4003,5917,4343,7226,11572,330,297,630,465,799,1264,17,10,34,815,1114,1925,7537,7382,14915,33697,35681,69377
SOSR214,1418,1324,2740,3589,3314,6900,1380,1327,2709,346,351,694,5313,4997,10308,2406,2272,4680,1046,1140,2183,553,563,1120,4008,3982,7990,215,207,421,129,237,367,527,292,823,419,762,1180,11,11,19,1309,1505,2811,344,572,914,163,366,530,81,141,217,277,766,1047,5,3,5,859,1860,2719,2167,3366,5536,154,112,270,251,400,651,18,11,29,427,524,948,4701,4876,9582,18041,19062,37107
SOSR215,2500,2130,4635,6697,6210,12905,1770,1905,3679,639,560,1197,9116,8681,17794,4395,4253,8645,1332,1417,2751,948,991,1934,6676,6663,13341,229,308,536,153,376,532,861,496,1357,657,1244,1901,23,7,28,1923,2432,4355,555,988,1543,257,608,863,107,221,331,492,1395,1884,12,15,24,1419,3221,4639,3348,5657,9008,175,183,359,343,629,970,9,14,22,531,819,1351,7493,7566,15060,29658,31514,61178
SOSR221,601,575,1182,1889,1739,3630,369,323,693,201,184,387,2467,2250,4707,1140,1168,2309,342,383,728,275,250,521,1755,1803,3558,60,83,140,48,115,161,212,119,336,184,318,502,0,6,10,506,641,1144,119,248,370,71,144,216,19,42,56,101,338,442,0,0,5,315,775,1092,821,1417,2237,46,52,102,90,138,227,3,0,4,145,187,329,2132,2072,4201,7923,8297,16213
SOSR222,301,278,578,1016,980,1989,146,148,296,72,72,144,1231,1200,2431,634,638,1272,178,187,364,143,134,276,961,959,1913,14,41,52,25,50,75,111,58,171,86,184,272,0,6,4,241,333,574,79,135,210,30,93,126,12,37,49,64,183,242,7,4,4,194,449,640,434,779,1215,31,27,57,45,95,140,4,0,3,83,117,201,1424,1258,2677,4428,4595,9021
SOSR231,3890,3553,7441,11438,10251,21689,3810,3807,7617,1794,1804,3603,17055,15872,32926,7592,7135,14724,3974,4127,8099,2962,3119,6082,14531,14391,28919,489,590,1076,221,546,765,1914,840,2752,1083,2021,3112,43,20,68,3745,4021,7768,1551,2574,4125,325,955,1275,257,491,752,730,2239,2972,14,27,40,2880,6289,9163,6635,10311,16948,405,356,760,534,1014,1552,34,36,72,974,1398,2376,20633,15812,36444,63724,61339,125059
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,29,25,3,29
SOSR299,45,31,78,137,129,266,10,10,20,9,11,18,155,154,303,63,78,137,6,4,17,3,14,14,73,97,172,12,26,36,6,29,37,13,4,20,24,27,52,4,0,3,54,92,146,39,50,90,23,41,69,5,20,21,22,42,64,0,0,0,91,152,244,148,246,391,13,11,25,17,25,39,0,0,0,27,40,71,2220,1366,3584,2670,1932,4600
SOSR301,21688,19842,41528,69494,66274,135774,18411,17714,36119,11654,11341,22992,99715,95514,195225,47649,44888,92541,18488,17022,35503,15819,16179,31996,82081,78219,160299,4225,4295,8519,4692,7513,12206,5212,4305,9520,8826,15059,23890,93,94,185,23049,31273,54322,28003,35914,63921,11708,15356,27071,4367,5835,10199,11917,19867,31786,84,103,193,56083,77078,133163,79235,108465,187701,4174,4227,8403,5943,8890,14826,98,103,201,10210,13222,23433,56800,51761,108561,349730,367020,716743
SOSR302,8260,7439,15700,23751,22340,46096,4846,4820,9669,6515,6536,13047,35178,33769,68947,17835,16940,34775,3717,3848,7562,8215,7812,16026,29808,28657,58457,1365,1446,2818,1702,2678,4388,2276,1662,3938,3519,6358,9876,25,34,62,8896,12184,21076,6888,10795,17686,3439,5499,8937,1229,1851,3079,3113,6257,9371,33,37,70,14700,24439,39143,23633,36667,60299,1205,1350,2549,2210,3486,5696,36,31,71,3447,4866,8314,25766,26036,51800,126093,137434,263526
SOSR303,3452,3253,6709,10995,10385,21378,5349,5218,10571,2058,1945,4001,18440,17582,36020,8646,8299,16937,4350,4686,9036,2623,2641,5259,15633,15646,31276,749,672,1425,720,1143,1861,1044,964,2007,1680,3168,4849,11,22,35,4200,5973,10172,2629,4619,7241,1540,2500,4043,616,992,1603,2129,3969,6091,14,17,35,6920,12095,19020,11141,18113,29250,684,666,1351,1121,1781,2898,22,27,48,1827,2477,4299,18088,14855,32940,68581,71921,140500
SOSR311,1755,1780,3535,6666,6221,12889,2492,2398,4890,1312,1345,2658,10491,9979,20472,4873,4689,9565,2530,2494,5024,1389,1447,2839,8807,8647,17455,281,244,527,219,349,569,565,536,1097,712,1467,2183,13,8,25,1791,2608,4395,638,1174,1811,436,917,1354,265,522,790,793,1804,2594,6,8,15,2140,4428,6566,3928,7043,10974,294,308,603,660,861,1520,3,9,15,961,1179,2135,9721,8348,18072,35657,36977,72635
SOSR312,610,604,1210,2767,2748,5520,600,558,1159,338,342,680,3714,3650,7368,2360,2338,4701,467,471,939,359,367,724,3182,3185,6365,105,112,219,78,151,227,184,190,375,264,653,916,0,3,5,633,1116,1741,200,345,545,131,323,456,82,141,220,244,628,873,0,3,4,659,1438,2099,1294,2550,3842,116,91,206,212,370,581,6,12,16,332,472,802,3075,2825,5904,12211,13286,25498
SOSR313,1400,1349,2747,5180,4923,10098,1689,1756,3450,794,823,1620,7678,7512,15194,3609,3445,7051,1656,1560,3218,796,780,1582,6073,5793,11864,169,161,335,155,243,403,380,366,750,486,1077,1560,10,0,14,1210,1851,3057,247,625,870,211,506,711,110,301,411,530,1170,1706,5,8,14,1102,2611,3708,2315,4472,6787,209,245,457,422,624,1050,8,3,18,642,873,1514,6175,5034,11206,24282,25033,49313
SOSR314,1429,1244,2673,5398,5167,10567,1348,1369,2719,789,777,1568,7548,7326,14876,4284,3984,8272,921,997,1914,879,920,1800,6099,5911,12004,199,167,363,133,246,374,359,309,668,462,1003,1462,8,14,21,1158,1734,2893,356,735,1090,228,464,692,105,248,351,402,1037,1442,0,0,3,1089,2493,3580,2251,4229,6483,199,209,404,368,567,935,3,11,8,566,781,1348,7713,6562,14279,25603,26052,51661
SOSR315,1828,1722,3550,8484,7995,16478,1691,1648,3335,845,842,1682,11038,10496,21528,6057,5686,11738,1119,1189,2310,885,1010,1896,8065,7899,15959,257,216,471,195,363,560,543,429,973,679,1376,2049,17,6,24,1691,2394,4086,373,886,1261,255,695,948,167,329,498,555,1527,2077,7,9,13,1350,3444,4797,3045,5846,8890,257,296,554,468,780,1251,18,17,37,748,1093,1839,12996,9776,22769,37718,36830,74548
SOSR321,656,572,1229,3168,2922,6087,628,576,1204,379,368,742,4170,3872,8047,2166,1971,4143,477,514,994,488,498,984,3136,2988,6123,112,73,183,61,131,191,167,140,304,216,475,690,3,12,14,560,832,1389,144,326,470,113,235,349,38,119,155,176,531,709,0,6,6,474,1221,1691,1030,2053,3082,93,85,179,156,261,412,3,5,6,251,346,595,4994,3876,8873,14242,13701,27948
SOSR322,230,237,467,1463,1487,2947,168,143,310,73,80,155,1711,1705,3415,863,789,1655,191,189,379,107,102,209,1160,1079,2243,40,24,61,47,62,110,56,71,129,111,203,320,8,4,9,262,374,634,70,110,179,35,70,105,19,29,48,56,183,244,0,5,5,179,397,580,440,770,1209,21,40,66,41,101,147,3,5,11,74,150,222,2150,1915,4066,5754,5861,11618
SOSR331,2718,2402,5119,12380,11433,23811,3119,2947,6067,2324,2281,4602,17837,16667,34500,9252,8640,17896,3027,3077,6098,3129,3116,6247,15430,14840,30267,450,341,790,237,417,648,1057,717,1775,870,2092,2963,21,24,50,2632,3590,6220,1144,2294,3440,429,1100,1531,306,628,932,821,2423,3242,19,21,39,2720,6467,9189,5358,10058,15421,420,396,819,695,1208,1900,9,19,29,1131,1620,2754,25491,18378,43870,67965,63966,131929
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,24,137,115,25,136
SOSR399,39,35,76,196,200,400,12,6,26,43,53,97,257,265,518,94,100,197,14,16,32,31,32,60,142,144,293,13,14,28,24,38,65,9,20,26,37,74,113,0,9,9,77,154,238,28,47,79,29,34,63,5,19,28,31,50,74,0,0,0,92,148,239,177,303,483,34,28,66,19,29,55,0,0,0,54,66,114,2143,1446,3582,2806,2251,5060
SOSR401,10582,9709,20292,35507,32721,68228,10468,10046,20515,7834,7780,15616,53877,50629,104506,19263,17957,37217,8877,9102,17981,8407,8492,16895,36581,35593,72178,2273,1753,4033,2695,3927,6625,2902,1945,4844,5293,7908,13204,66,53,118,13227,15597,28824,15934,20002,35940,7289,9047,16332,1980,2528,4506,5621,9290,14910,71,66,135,30884,40935,71823,44178,56605,100782,1923,1985,3907,2983,4373,7352,66,59,121,4968,6416,11388,24455,22906,47367,174648,181866,356513
SOSR412,809,815,1626,3151,2809,5961,698,704,1405,761,729,1495,4620,4251,8873,1620,1596,3215,781,797,1581,669,654,1326,3082,3055,6132,102,133,234,80,204,286,298,211,508,406,651,1058,4,5,9,894,1209,2096,361,709,1070,152,395,549,75,134,209,276,637,915,7,8,15,866,1879,2750,1764,3084,4848,78,99,175,166,312,480,5,5,10,247,421,670,2354,2427,4781,12869,14056,26927
SOSR413,666,627,1294,2496,2414,4908,723,689,1416,549,596,1145,3780,3703,7484,1546,1472,3015,444,518,964,585,616,1205,2575,2614,5190,72,82,156,64,139,202,203,162,359,269,487,759,7,6,12,616,875,1492,293,442,736,152,243,392,65,110,177,199,491,683,0,0,3,710,1279,1987,1332,2157,3486,70,70,139,114,232,349,8,8,11,195,308,503,3610,2462,6067,12155,11865,24025
SOSR414,248,236,480,951,894,1846,45,50,92,257,276,525,1250,1219,2468,634,618,1251,54,63,113,155,173,331,843,859,1701,32,39,71,23,43,74,76,72,154,99,181,282,0,0,0,245,341,580,75,149,225,33,87,120,23,23,49,60,185,246,0,4,4,194,443,635,435,783,1219,20,27,42,47,90,140,4,0,4,70,115,189,728,747,1471,3569,3954,7525
SOSR415,834,752,1583,3502,3308,6812,650,736,1379,833,800,1635,4987,4852,9835,2242,2079,4329,275,299,575,595,685,1280,3114,3068,6183,86,84,171,80,157,236,323,225,549,369,628,990,10,9,20,867,1101,1969,265,501,768,116,298,413,60,117,180,212,586,799,3,0,3,655,1504,2157,1524,2607,4133,67,109,179,157,271,426,9,7,16,234,390,623,3664,3463,7129,14365,15130,29486
SOSR421,206,208,412,1086,1034,2123,63,72,130,167,142,311,1314,1246,2566,639,630,1268,70,77,151,114,119,234,824,826,1650,25,25,56,12,41,53,96,64,160,75,152,228,3,0,8,218,283,501,81,171,253,16,86,100,12,23,33,40,166,201,0,0,0,152,442,594,374,725,1095,22,15,42,31,81,116,0,0,8,58,99,152,1186,1150,2337,3951,4264,8212
SOSR422,134,144,280,574,568,1145,60,43,102,39,32,72,672,642,1318,383,343,727,30,39,65,54,58,108,463,439,904,13,13,23,6,13,21,47,29,68,31,93,123,0,3,0,89,152,242,13,31,52,24,43,61,3,19,22,24,77,101,0,0,0,66,167,234,156,321,482,10,6,13,15,34,45,0,0,0,21,39,56,845,763,1609,2300,2343,4645
SOSR431,944,898,1844,4600,4192,8797,768,721,1491,1160,1141,2301,6539,6056,12594,2877,2661,5533,500,434,933,1113,1120,2233,4497,4213,8706,101,94,191,64,146,217,451,217,671,351,678,1030,15,8,21,985,1137,2130,482,969,1450,130,309,441,69,173,239,202,668,867,0,4,5,884,2120,3005,1870,3263,5133,104,95,199,145,288,437,7,10,19,258,394,648,6572,4663,11239,20676,19486,40162
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,4
SOSR499,13,13,31,60,64,122,11,8,17,9,8,17,77,80,156,26,61,87,3,3,4,8,15,21,38,70,111,8,3,6,5,8,14,3,4,10,12,12,20,0,0,0,22,25,50,13,7,16,7,10,16,0,8,8,11,13,19,0,0,0,26,40,71,49,66,117,6,7,16,13,11,20,0,0,0,19,15,35,496,314,814,694,564,1263
SOSR501,18672,17173,35838,62096,58310,120412,14183,14097,28273,11790,11658,23452,88207,84225,172436,40209,37362,77573,14793,14574,29367,15414,15118,30535,70500,67148,137652,4769,4474,9247,3880,6507,10382,5942,3479,9419,6813,11730,18544,92,89,181,21494,26286,47776,22077,28276,50358,8885,11691,20578,3674,4604,8280,8700,14243,22936,103,126,223,43437,58933,102367,65054,85345,150395,3100,3369,6473,5204,8065,13265,100,92,196,8407,11530,19938,55039,45146,100184,305871,310569,616442
SOSR511,707,639,1346,2442,2215,4660,511,522,1024,468,395,862,3421,3132,6551,1797,1835,3627,546,558,1104,417,430,847,2750,2823,5573,141,143,283,81,199,279,308,179,487,219,469,688,5,3,7,756,990,1741,95,251,352,82,219,303,35,83,115,177,415,595,0,4,4,388,977,1366,1145,1970,3111,77,84,158,169,241,408,4,0,4,241,325,567,2743,1877,4621,11011,10765,21773
SOSR512,1048,1017,2066,3323,3019,6342,933,955,1883,696,763,1461,4967,4743,9709,2429,2300,4728,945,1056,1998,666,723,1393,4051,4084,8135,210,213,418,113,241,356,501,308,806,451,902,1353,10,6,11,1282,1660,2944,157,278,432,149,292,442,47,122,168,272,740,1012,3,3,8,633,1435,2066,1921,3102,5026,121,114,237,262,400,663,6,9,18,397,525,918,5314,4274,9583,17696,17741,35433
SOSR513,647,644,1287,2758,2725,5486,487,421,908,219,220,439,3468,3379,6849,1709,1621,3331,326,337,664,180,178,359,2217,2140,4361,96,90,182,71,99,169,208,160,369,284,570,857,7,6,12,669,926,1592,69,156,219,57,190,249,29,54,85,206,443,651,3,4,4,366,851,1208,1027,1780,2807,67,73,138,131,226,352,0,0,0,197,299,494,4693,3989,8686,12256,12225,24479
