SOSR_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOSR301,395,826,80,66794,2630,370,254,2014,498,1278,230,543,329,1172,9441,18769,165,20,142,150,69,74,22,24,58,139,817,1674,70617,11551,3196,73000,16475,43259,4789,13055,4312,19073,10810,270139
SOSR302,131,321,27,18078,990,245,159,956,251,466,101,243,128,423,4363,8322,81,14,80,84,34,51,17,18,29,62,372,838,21662,5828,1345,28140,5745,13185,2248,5123,1688,6482,4966,96409
SOSR303,47,66,3,6720,541,69,47,424,87,214,54,110,37,197,2950,4733,33,8,23,27,5,4,0,3,11,34,129,275,11386,1918,403,12028,1823,5839,686,2143,563,2905,3170,42877
SOSR311,16,50,6,3518,326,53,40,274,45,121,19,51,27,148,2265,3354,15,0,23,13,5,10,3,0,8,28,82,184,5961,909,285,6850,981,3292,335,1060,312,1917,2407,24320
SOSR312,11,9,0,1097,82,16,3,94,18,69,13,30,9,65,567,965,8,0,3,12,0,0,0,6,3,8,39,87,1770,358,98,2415,409,1448,163,502,160,891,635,8847
SOSR313,14,21,10,2422,218,25,19,164,31,84,16,31,18,86,1436,2119,16,4,26,11,5,8,0,0,4,13,53,144,4122,545,196,4677,723,2567,253,705,229,1102,1532,16650
SOSR314,26,23,0,2495,277,28,26,173,43,93,22,31,25,86,1131,1932,24,0,19,13,8,4,7,0,3,21,94,205,4348,647,225,4821,893,2628,334,705,319,1169,1260,17343
SOSR315,19,48,8,3030,336,51,33,278,60,154,30,78,34,199,1823,3078,35,0,29,18,5,7,0,10,7,40,120,284,5561,923,320,6392,1135,3470,496,1167,457,2389,2011,24323
SOSR321,9,17,0,1064,146,31,16,109,14,72,18,44,18,93,689,1240,14,4,9,12,0,7,0,0,11,21,64,140,2047,440,137,2407,388,1258,180,492,151,1052,779,9338
SOSR322,6,6,0,306,70,9,7,50,13,31,9,18,8,48,257,515,9,0,3,3,0,5,4,0,3,9,29,62,701,158,55,855,126,508,64,182,92,494,307,3543
SOSR331,52,136,18,7782,1258,134,90,853,141,419,70,171,89,369,3436,7031,115,4,65,72,17,34,11,14,30,54,239,649,12672,2135,746,13809,2161,6331,953,2100,806,3973,3853,49545
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,120,394,30,26306,1394,257,105,1409,176,693,126,346,149,703,4863,10214,62,13,53,91,35,48,11,17,32,96,317,777,31579,7833,1115,45268,5619,20799,2022,8159,1524,12296,5504,141701
SOSR412,7,17,0,1340,142,25,6,148,17,60,9,27,11,27,519,984,5,0,7,8,4,4,4,0,0,10,10,57,2391,394,88,3393,475,1490,180,452,120,643,551,10181
SOSR413,7,23,0,1363,99,25,7,113,20,40,10,30,8,63,533,941,11,0,3,7,0,4,0,0,4,12,22,66,1707,480,81,2633,325,1029,168,476,110,791,575,8380
SOSR414,0,6,0,252,43,9,0,41,5,15,4,15,4,15,174,319,0,0,0,5,3,0,0,0,0,0,4,9,578,188,37,969,118,412,51,159,46,205,189,2949
SOSR415,12,18,0,1339,183,29,14,192,23,59,18,35,14,42,584,1180,5,0,5,3,6,3,3,0,5,11,34,79,2472,582,139,3744,474,1414,207,550,150,815,650,11188
SOSR421,0,0,0,301,38,9,3,74,8,23,0,9,3,23,195,387,0,0,0,5,0,0,0,0,0,8,11,31,579,157,29,1057,153,376,57,162,37,197,207,3007
SOSR422,0,6,0,105,26,11,0,30,0,16,0,9,3,20,113,230,0,0,0,0,0,0,0,0,0,6,11,24,253,96,9,446,56,221,29,98,33,231,135,1606
SOSR431,19,31,6,2418,438,58,21,498,40,116,22,68,23,110,870,2262,20,5,20,22,6,13,3,0,7,18,62,165,3864,847,236,6016,617,1937,280,700,184,1042,995,16722
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,492,848,80,61996,2541,458,266,2607,382,1434,238,610,285,1163,19740,29736,139,16,150,147,53,65,22,19,58,100,769,1535,53164,10453,2119,78203,9631,43774,3504,11552,3312,15090,21046,251858
SOSR511,15,10,0,1284,128,19,0,116,18,57,10,15,7,47,857,1269,7,0,8,9,0,0,0,3,0,0,31,58,1598,286,71,2726,300,1388,154,319,128,410,892,8268
SOSR512,24,19,3,2136,161,29,15,147,20,72,14,33,9,62,1251,1813,5,3,4,14,0,8,5,0,3,9,43,102,2636,502,114,3743,430,1896,248,488,171,588,1323,12137
SOSR513,43,4,7,2127,140,12,14,100,20,49,5,21,15,27,772,1177,8,0,12,6,4,4,0,0,5,9,40,83,1935,215,97,2183,392,1197,155,206,155,288,840,7661
SOSR514,5,4,0,339,29,9,4,55,10,17,0,13,4,22,336,489,0,0,0,0,0,3,0,0,0,4,13,21,445,150,37,977,90,402,75,128,44,165,349,2868
SOSR515,28,5,9,1360,142,21,17,148,19,65,22,32,14,63,984,1525,6,0,5,5,3,0,4,0,0,9,39,69,1845,346,131,2495,374,1412,185,400,184,578,1043,8995
SOSR521,5,3,0,375,49,19,6,54,7,35,8,6,8,47,351,583,3,0,0,0,0,4,0,3,0,3,19,40,536,134,47,795,114,545,65,139,70,408,390,3238
SOSR522,0,7,0,163,33,7,3,32,4,22,0,4,8,41,120,269,0,3,0,0,0,3,0,3,0,12,16,45,254,45,26,418,57,263,25,98,44,410,154,1800
