SOSR_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,384975,69254,37981,1118,289,493621,465538,84272,56274,644,319,607042,166756,87875,137475,1654,546,394316,11233,9577,12144,8,31,32995,1871,2057,3554,20,40,7538,38013,15065,16319,560,176,70128,5844,1737,1702,914,89,10287,1164,534,593,26,22,2340,224871,116854,171787,3185,901,517594,12824,8600,6086,147,60,27717,14644,4254,3591,120,123,22723,1102854,283230,275722,5212,1691,1668713
SOSR203,43588,3488,638,169,43,47921,47162,2536,469,35,58,50264,24533,6682,1959,57,57,33285,3212,1714,256,0,5,5189,632,594,124,5,11,1367,6016,1146,279,23,38,7512,505,143,37,129,9,830,166,82,11,0,0,263,35073,10359,2669,216,125,48446,1471,602,49,54,8,2179,1609,384,81,11,5,2084,128909,17364,3902,484,240,150904
SOSR211,8698,664,40,5,4,9406,15771,577,47,0,15,16414,7416,1331,176,9,11,8942,773,326,53,0,0,1158,106,67,6,0,0,181,1421,187,28,3,0,1641,334,64,0,4,0,408,55,21,0,0,0,77,10111,1997,266,18,11,12412,260,48,8,0,0,314,631,130,5,30,5,805,35469,3418,370,63,35,39352
SOSR212,29876,2074,770,259,34,33020,34631,1066,404,25,25,36151,12379,3338,1521,42,24,17301,1907,735,402,3,0,3052,318,198,180,14,4,709,3911,600,282,30,20,4844,465,103,78,88,8,740,139,45,37,3,4,225,19111,5014,2504,174,58,26859,1130,356,151,102,9,1744,1254,239,110,23,15,1647,86012,8748,3936,577,148,99425
SOSR213,32725,2121,502,355,27,35725,32783,891,169,22,23,33897,11960,2862,1193,39,17,16067,1859,961,253,4,0,3072,335,236,98,0,0,673,3760,563,154,22,17,4519,422,116,37,97,4,677,115,63,17,0,0,194,18450,4804,1755,159,41,25205,900,335,80,35,5,1350,1413,367,67,20,10,1878,86269,8512,2577,595,103,98057
SOSR214,22952,1587,121,245,40,24950,17446,521,55,35,21,18080,6606,1653,220,38,15,8532,1071,571,77,0,0,1730,161,183,63,0,0,407,2389,347,52,35,12,2831,234,61,20,89,10,413,71,43,8,3,0,121,10537,2858,449,167,41,14046,707,278,17,19,6,1032,982,171,21,53,13,1240,52627,5412,664,517,126,59350
SOSR215,34290,1196,276,442,49,36250,31087,494,116,63,42,31803,7734,1278,402,50,21,9484,1036,414,207,4,0,1667,223,151,77,5,0,454,3975,373,82,52,28,4500,486,68,23,145,16,734,98,38,12,4,0,151,13548,2324,797,255,63,16990,1067,85,58,22,5,1237,1560,149,43,40,17,1808,81547,4250,1302,818,172,88095
SOSR221,10582,137,66,188,16,10989,8698,82,38,33,9,8864,1512,100,131,8,3,1747,67,96,22,0,0,189,40,45,14,0,0,93,1218,40,18,18,9,1296,169,15,12,51,3,244,24,7,0,0,0,37,3026,298,194,71,14,3601,345,24,10,11,3,390,419,17,12,29,0,475,23075,556,315,338,38,24321
SOSR222,5577,42,36,68,10,5723,4812,30,24,21,0,4885,597,42,27,5,5,670,35,16,12,0,0,72,14,10,4,0,0,32,676,9,12,13,5,719,108,3,19,26,5,163,14,0,0,3,0,24,1452,89,76,41,14,1670,210,0,3,6,5,228,274,5,10,12,0,296,12323,162,142,151,31,12809
SOSR231,69717,258,61,940,139,71115,54863,149,29,137,82,55254,4511,54,34,39,19,4660,79,29,5,3,6,115,80,6,8,5,6,99,6878,40,27,63,39,7041,2118,20,10,323,47,2518,127,0,0,24,3,157,13786,150,86,454,111,14585,5388,28,9,77,38,5547,2574,12,3,105,19,2713,146332,587,189,1712,393,149218
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,171785,14918,17759,840,151,205451,255966,19535,21066,87,180,296833,109745,40865,65486,162,485,216750,11832,5356,7235,6,43,24477,981,1244,1948,7,34,4211,24799,6163,11210,85,181,42435,4508,5297,2719,1099,116,13736,620,438,403,25,8,1495,152485,59368,89001,1390,864,303103,5080,4156,2916,30,83,12267,6468,1805,1952,236,132,10605,591786,99786,132694,2580,1418,828265
SOSR302,64809,16438,17106,1084,261,99690,85134,16267,10974,78,157,112613,32799,17944,24057,80,264,75146,1835,1819,2010,0,6,5671,227,370,641,0,4,1246,7982,4832,6189,55,112,19164,959,2604,2344,430,82,6420,202,169,235,11,6,630,44010,27742,35478,586,475,108281,2023,2718,1592,50,26,6410,2360,1089,1235,62,81,4833,198337,64255,66380,1852,999,331829
SOSR303,35447,3246,2467,449,114,41717,48830,2295,2202,42,62,53420,21938,9606,7893,43,142,39622,2875,1703,1082,8,20,5690,324,459,265,5,8,1067,7495,1914,1534,41,54,11033,1917,448,586,204,100,3257,179,104,68,8,5,360,34731,14238,11433,309,322,61032,1217,940,191,15,36,2400,1492,496,305,49,74,2419,121712,21216,16593,864,604,160993
SOSR311,28030,1783,1027,604,105,31545,28756,857,421,39,33,30111,11876,4322,1976,47,66,18291,1703,1346,492,0,3,3550,307,323,212,3,0,845,5261,855,499,52,28,6689,572,234,189,268,52,1317,114,74,51,3,0,237,19834,7153,3415,375,157,30929,1209,527,193,20,32,1979,1142,370,135,80,47,1779,78969,10687,5199,1123,365,96341
SOSR312,11940,1097,362,294,14,13704,11037,463,212,16,11,11737,4970,1568,1452,3,17,8013,661,496,286,4,0,1444,112,212,103,0,0,431,1862,275,233,7,6,2382,197,77,60,77,6,420,45,36,38,5,0,117,7847,2659,2169,95,36,12807,312,411,55,12,4,800,415,136,78,29,9,667,31559,4765,2879,447,78,39721
SOSR313,15213,638,457,220,66,16592,17966,446,330,45,39,18829,10095,2405,1587,28,35,14147,889,366,278,5,5,1539,142,182,82,0,0,408,3081,415,342,22,23,3877,705,293,145,84,40,1269,67,45,15,4,0,129,14975,3705,2449,137,106,21374,612,288,73,29,33,1035,700,154,89,163,19,1125,49466,5234,3398,590,266,58955
SOSR314,16341,767,210,398,37,17748,19342,252,111,50,17,19777,8464,2144,913,39,16,11580,985,507,169,5,0,1669,260,228,62,0,7,555,3141,415,167,28,23,3774,1361,462,84,121,29,2051,80,45,16,6,0,144,14287,3806,1409,202,69,19774,650,155,41,14,4,867,848,158,52,105,22,1186,51468,5140,1824,769,155,59355
SOSR315,29179,739,430,696,159,31202,27996,408,239,80,57,28785,11931,1975,1086,70,48,15106,2377,528,314,3,15,3242,568,220,215,0,5,1006,4716,316,275,56,49,5411,2104,416,264,313,98,3197,155,49,40,8,0,248,21859,3505,2190,452,217,28217,1246,230,71,45,78,1669,1504,153,94,181,113,2043,81789,5030,3030,1462,611,91922
SOSR321,13095,115,111,333,54,13702,11559,73,38,72,25,11767,2538,213,104,20,3,2882,1223,131,120,9,8,1485,428,59,35,0,3,528,2138,82,71,24,19,2324,710,86,53,130,29,1006,61,11,4,5,0,84,7092,576,393,187,51,8307,599,47,17,33,25,718,688,25,20,20,10,766,33031,842,579,640,168,35262
SOSR322,6221,44,20,315,46,6645,4134,31,12,31,21,4222,1025,117,50,7,0,1214,967,62,57,4,6,1089,334,40,53,5,6,425,1140,41,37,16,5,1239,543,50,24,65,19,696,54,0,8,5,0,64,4063,314,223,101,32,4732,356,15,10,14,21,407,382,24,17,36,6,466,15157,416,280,502,121,16473
SOSR331,62829,451,164,1408,432,65285,54427,321,103,330,182,55358,6158,126,106,45,38,6458,316,17,31,4,8,379,267,26,27,4,5,328,9052,96,86,126,107,9472,2494,38,13,367,126,3039,185,0,0,15,6,208,18477,303,258,561,281,19883,6069,69,133,176,165,6612,2838,40,33,214,89,3206,144641,1186,681,2692,1146,150350
SOSR379,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,123695,17335,6056,445,157,147689,148746,19847,6355,95,258,175308,39356,19229,16768,129,248,75734,8697,9634,3265,0,56,21644,2762,3166,1580,7,44,7553,20230,7343,5314,104,147,33143,2508,889,928,203,67,4592,431,330,214,6,12,991,73988,40584,28068,447,561,143655,3889,5367,2299,36,45,11641,3597,1485,622,35,78,5818,353909,84626,43409,1066,1103,484112
SOSR412,9405,1347,162,47,20,10984,13264,1193,114,5,17,14597,3969,1540,606,0,4,6120,790,1819,338,0,0,2951,142,141,29,0,0,311,1445,463,111,0,12,2033,335,120,52,7,6,519,23,38,17,0,0,82,6703,4115,1153,15,23,12007,504,381,31,6,14,933,337,191,43,0,13,580,30213,7224,1505,73,89,39103
SOSR413,12457,584,109,92,48,13292,10811,311,45,17,19,11198,3698,1007,340,5,16,5068,1028,838,283,0,11,2156,169,122,77,0,3,361,1886,258,91,7,6,2253,281,79,26,25,4,417,41,28,8,0,0,81,7111,2330,828,38,42,10342,634,276,56,9,9,975,433,124,32,29,6,636,31451,3624,1059,181,122,36441
SOSR414,4773,173,15,51,9,5028,4332,75,6,7,18,4437,1351,178,44,4,0,1570,171,48,0,0,0,222,126,79,0,0,0,206,736,56,12,3,8,813,114,15,0,13,0,146,20,3,0,0,0,30,2515,381,65,21,12,2988,296,137,8,5,3,449,168,21,3,0,3,199,12092,789,93,86,49,13105
SOSR415,16214,707,85,220,42,17269,15291,317,26,31,36,15693,4106,704,314,16,14,5156,923,444,45,0,6,1416,230,246,20,0,0,499,2589,278,105,19,14,2999,809,92,43,42,18,1009,73,41,7,4,0,126,8733,1805,537,91,43,11211,747,508,35,15,9,1312,708,118,24,20,17,887,41686,3450,702,391,147,46376
SOSR421,5037,73,13,104,13,5232,4320,40,10,19,5,4396,655,55,11,7,6,732,206,62,25,0,3,297,74,62,19,0,0,158,895,47,9,34,8,989,166,11,0,26,3,200,22,3,0,0,0,33,2017,246,64,70,14,2410,254,36,8,10,3,304,211,13,5,12,8,250,11845,405,102,204,43,12593
SOSR422,3299,22,3,59,24,3409,2452,24,0,15,10,2497,337,14,7,3,3,361,268,17,25,3,6,312,76,20,7,0,0,100,574,21,3,7,4,610,125,6,0,9,3,150,13,0,0,0,0,13,1387,79,41,21,11,1539,174,23,3,10,0,209,144,7,0,5,0,158,7451,152,52,109,45,7812
SOSR431,23326,156,30,386,103,24001,17997,90,8,72,36,18203,1466,18,26,4,9,1514,242,10,0,4,4,258,167,4,0,6,6,185,3059,40,15,31,27,3178,946,14,7,94,35,1104,61,0,0,0,0,63,5940,95,54,134,81,6308,2289,23,11,28,35,2386,802,11,0,33,20,869,50354,373,104,664,286,51767
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,179831,24086,8407,1342,147,213814,275929,28092,10814,104,157,315082,69228,28259,26315,105,134,124036,7019,8671,2800,7,26,18516,1186,1982,1002,4,18,4185,33366,10386,6195,107,69,50123,3762,1268,767,348,34,6184,581,371,175,8,0,1142,115147,50936,37254,579,279,204186,5859,5015,2087,62,29,13052,6122,1861,853,111,133,9079,582882,109986,59408,2198,744,755215
SOSR511,7162,645,87,150,9,8056,10919,399,54,12,17,11395,3043,791,257,11,5,4104,367,494,39,0,0,904,54,165,75,0,0,298,1635,300,57,3,0,1999,135,56,9,38,0,244,29,15,3,0,0,50,5270,1817,438,52,14,7594,268,238,22,5,8,540,252,106,14,20,8,399,23878,3206,610,238,50,27979
SOSR512,12326,825,57,252,17,13478,15051,609,45,18,12,15734,4843,1483,190,3,9,6529,1221,781,57,0,14,2068,185,320,13,0,4,523,2914,410,41,10,16,3381,548,196,16,128,7,899,42,40,0,4,0,92,9751,3227,324,153,43,13496,520,358,16,34,0,936,577,175,21,14,13,800,38228,5195,461,473,88,44443
SOSR513,2871,235,53,139,20,3319,6271,329,40,32,3,6671,2668,797,417,20,17,3913,1335,476,74,3,10,1900,131,60,31,3,0,232,1064,187,54,16,15,1343,2408,445,225,71,20,3176,39,15,0,0,0,57,7650,1977,809,114,63,10612,631,127,52,27,23,860,312,94,16,16,16,455,17733,2764,967,328,127,21923
SOSR514,3294,133,27,32,3,3496,3727,155,8,0,11,3906,1008,131,38,0,6,1189,263,135,26,0,0,422,24,10,3,0,0,40,754,74,10,0,0,839,94,10,3,18,6,130,6,0,4,0,0,11,2149,361,87,25,12,2632,93,20,12,4,3,135,183,23,4,0,8,217,9451,689,141,60,37,10381
SOSR515,9068,316,15,326,36,9756,9603,122,16,40,13,9801,2878,478,134,5,5,3500,1450,515,68,0,7,2043,397,180,80,4,3,660,2125,193,21,38,15,2393,2500,283,37,106,29,2954,60,16,8,0,0,81,9411,1674,338,154,64,11635,676,203,12,33,32,953,499,105,15,68,17,702,29247,2415,397,623,159,32849
SOSR521,4398,47,9,139,44,4644,3903,30,9,23,0,3968,680,65,28,5,0,779,792,171,24,3,8,999,265,92,17,10,3,392,1055,51,25,12,4,1152,497,52,5,36,11,610,32,9,4,0,0,36,3319,440,106,65,29,3972,546,45,7,20,8,628,370,31,21,23,11,450,12540,589,153,267,100,13658
SOSR522,2441,24,0,81,15,2571,1698,8,8,19,3,1734,260,8,0,0,0,274,764,67,9,0,9,845,445,36,20,4,3,503,473,13,0,7,0,495,335,36,9,33,20,424,31,6,0,5,0,38,2313,159,40,43,32,2588,371,25,9,13,16,432,166,11,4,20,17,214,6988,233,55,174,83,7539
SOSR531,21009,117,42,800,215,22187,16966,105,25,139,99,17338,1333,15,4,25,5,1389,469,18,3,5,6,505,481,19,10,13,10,535,3071,23,17,64,48,3237,1099,10,12,204,66,1394,51,5,0,4,5,59,6505,99,52,321,144,7116,2817,27,33,115,112,3105,802,8,7,111,64,990,48095,357,163,1485,635,50741
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,23213,926,1091,100,27,25360,23045,790,834,20,13,24709,7487,1441,2771,52,19,11770,2527,780,868,0,17,4197,544,309,277,0,16,1155,4299,699,1213,48,31,6288,450,105,175,21,4,760,94,46,38,0,0,177,15403,3383,5339,122,96,24347,772,285,259,9,10,1330,670,105,144,5,15,937,63101,5489,7664,263,163,76686
SOSR611,9284,593,453,17,12,10363,9358,423,257,5,6,10050,3827,810,1108,52,14,5812,651,352,318,0,0,1324,341,236,149,0,5,728,1868,345,386,19,16,2628,154,55,45,10,4,270,48,14,18,0,0,84,6890,1812,2028,75,37,10842,304,144,42,4,0,502,339,194,65,0,4,608,26181,3166,2846,106,67,32366
SOSR612,5955,280,24,60,10,6330,5452,93,6,11,3,5564,1964,551,64,9,0,2592,962,505,18,0,5,1482,179,110,5,0,0,293,1274,252,27,8,0,1557,156,55,26,59,4,298,29,17,0,0,0,51,4561,1489,140,77,6,6273,130,47,0,3,0,180,226,74,3,9,0,320,16333,1985,171,163,22,18667
SOSR613,2105,110,10,48,0,2278,1504,38,0,8,0,1548,269,114,4,3,4,397,189,128,0,0,0,317,33,45,3,0,0,83,359,89,12,8,0,464,33,6,0,8,0,53,11,15,0,0,0,22,899,398,15,24,5,1334,36,25,0,8,0,66,71,23,3,5,0,105,4614,590,26,89,8,5328
SOSR614,2305,51,12,18,6,2389,2410,21,3,3,0,2440,583,70,16,7,0,667,264,96,15,0,0,372,53,44,10,0,0,108,473,38,11,6,0,528,46,13,0,6,0,71,12,9,0,0,0,16,1423,262,52,16,4,1765,68,9,0,0,0,83,77,11,0,4,0,92,6285,356,79,45,8,6771
SOSR615,9824,241,145,95,16,10330,8499,129,62,20,10,8712,2448,360,169,28,6,3015,651,232,53,0,0,935,152,144,33,0,0,331,1686,149,81,25,4,1939,194,44,27,45,4,316,55,19,3,0,0,77,5181,941,365,97,16,6605,313,29,16,9,4,374,369,41,19,49,6,488,24187,1386,613,276,51,26520
SOSR621,3759,42,10,43,13,3871,2907,27,4,13,10,2957,558,42,13,4,4,620,65,16,21,0,0,104,25,39,8,0,0,69,628,20,11,6,0,668,127,13,3,17,4,160,11,9,0,0,0,22,1417,147,51,22,3,1647,141,5,4,6,10,165,145,11,0,21,3,185,8375,225,81,103,38,8823
SOSR622,1819,8,0,31,8,1861,1195,5,0,4,0,1204,188,10,0,0,0,201,13,6,9,0,0,30,17,4,6,0,0,21,245,4,7,8,0,265,23,4,0,3,0,27,4,0,0,0,0,9,485,28,25,8,0,549,62,0,0,3,3,69,67,0,0,0,0,66,3625,38,25,44,16,3758
SOSR631,17969,67,18,163,40,18255,14850,44,12,42,24,14967,1239,8,6,3,0,1252,53,7,3,0,0,61,37,0,0,0,0,46,2294,9,16,17,9,2345,580,9,13,28,19,646,45,0,0,0,0,46,4245,33,36,62,30,4402,1223,9,8,22,9,1277,574,5,0,15,4,594,38858,160,78,297,109,39495
