SOSR_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,6,4,0,13,0,0,11,28,9,13,5,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,0,0,10,0,0,0,0,0,10,0,0,0,4,0,5,0,0,0,11,0,0,0,6,3,3,0,0,0,17,0,0,0,8,0,0,0,0,0,8,0,0,3,3,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,5,0,0,0,9,3,0,0,0,0,11
SOSR301,0,4,5,19,27,56,136,104,39,400,0,3,16,126,61,92,82,37,16,436,6,56,201,824,242,173,117,53,24,1689,7,63,824,2117,72,76,15,6,0,3177,9,51,82,357,269,344,763,571,243,2689,362,3604,6355,17637,9578,7314,4408,1758,439,51447,0,3,8,95,67,87,70,24,9,377,29,288,267,1227,177,94,75,12,0,2171,8,162,473,1251,1286,849,500,185,82,4795,49,693,1613,6914,3098,2608,1550,436,100,17063,3,13,31,595,255,272,351,154,119,1794,10,156,358,1050,887,827,476,174,24,3967,9,146,280,979,836,1097,1023,669,316,5361,29,217,402,946,439,329,273,72,17,2725,59,733,1538,4496,2675,1625,976,409,129,12645,13,203,405,1635,712,597,434,201,77,4276,58,257,488,4123,865,754,611,112,23,7290,23,319,617,2619,834,382,178,38,7,5026,0,29,24,242,106,60,25,19,6,510,126,492,687,1944,632,539,442,148,26,5021
SOSR302,3,0,0,9,12,56,132,117,33,369,0,0,24,78,34,51,54,20,12,280,0,0,3,46,30,15,13,13,3,129,0,19,180,653,10,10,0,0,0,868,4,23,44,178,123,169,425,329,160,1460,143,1346,2652,7962,5383,4987,3880,1890,564,28810,0,0,3,42,36,49,30,8,12,175,4,19,33,150,41,15,9,5,0,278,0,17,69,192,278,195,138,26,6,924,23,185,348,2063,878,833,473,114,25,4949,6,16,17,273,119,122,207,96,46,901,0,8,17,37,50,44,40,16,4,211,0,81,125,409,370,545,607,429,151,2722,7,70,62,189,116,144,104,19,5,717,17,339,676,1927,1282,963,599,290,91,6180,0,30,62,191,85,72,73,32,7,551,15,44,76,681,169,94,80,17,9,1181,12,117,161,1011,463,210,79,13,9,2067,0,8,8,67,57,43,37,23,5,246,40,212,267,891,298,323,263,100,18,2416
SOSR303,0,0,0,4,4,21,25,11,0,70,0,5,0,26,7,9,12,9,4,67,0,0,8,73,18,10,8,4,0,126,0,58,235,426,11,5,8,0,0,749,6,4,18,79,66,61,143,95,35,507,36,208,389,1340,1014,957,652,238,63,4908,0,0,0,3,0,5,0,0,0,13,6,21,16,71,6,6,3,0,0,138,13,115,265,594,499,269,189,38,13,2005,11,175,358,1328,652,604,334,74,6,3541,0,6,0,66,32,25,36,14,8,184,0,5,11,30,20,18,22,4,4,116,0,25,31,124,115,188,162,118,42,797,9,20,21,80,44,46,26,3,3,244,11,65,187,405,273,160,97,46,16,1250,8,28,52,198,81,57,35,24,8,484,3,9,12,229,30,13,7,0,0,312,7,47,82,415,228,101,37,10,0,933,9,8,0,20,10,7,0,0,0,54,10,56,95,332,106,95,98,44,6,845
SOSR311,0,0,0,4,0,12,45,56,18,130,0,0,0,6,0,4,4,0,0,15,0,4,3,45,0,3,7,0,0,62,0,9,52,183,11,6,0,0,0,255,0,0,3,18,22,33,107,80,32,299,23,122,200,664,561,636,498,251,62,3015,0,0,0,0,0,0,0,0,0,3,3,5,3,37,9,3,0,0,0,68,0,8,31,60,78,51,28,0,0,256,15,150,208,846,414,367,233,47,7,2280,0,0,0,17,7,11,21,11,4,66,0,0,3,12,10,3,4,0,0,28,0,10,13,30,47,88,128,104,23,441,0,3,5,18,15,12,15,7,0,66,17,85,115,303,228,119,73,37,9,988,12,23,24,113,30,17,13,6,0,234,0,0,18,129,5,4,0,0,0,159,8,24,40,200,113,57,15,3,0,451,0,3,0,7,7,3,3,3,0,30,6,19,23,88,36,47,48,19,7,275
SOSR312,0,0,0,0,0,3,10,3,0,20,0,0,0,0,4,6,0,5,0,15,0,0,0,6,0,0,0,0,0,8,0,0,7,27,0,0,0,0,0,31,0,0,6,9,15,28,63,36,12,167,0,44,123,347,288,350,313,142,38,1640,0,0,0,0,0,0,0,0,0,0,0,9,0,14,0,0,0,0,0,30,0,8,10,23,40,23,12,0,0,116,4,64,82,297,146,114,99,31,3,835,0,4,0,11,6,10,16,3,4,46,0,0,0,0,5,0,0,0,0,11,0,0,3,33,21,42,63,53,17,240,0,0,3,6,5,4,11,0,0,39,0,33,54,99,84,54,41,16,0,386,0,6,6,22,9,0,0,5,0,46,0,0,4,9,0,3,0,0,0,17,0,14,15,70,49,24,7,3,0,188,0,0,0,0,3,0,0,0,0,6,0,9,3,42,20,29,33,8,0,141
SOSR313,0,0,0,0,4,0,4,4,0,16,0,0,0,8,3,4,6,0,0,24,0,0,0,7,3,0,0,0,0,11,0,0,5,36,0,0,0,0,0,42,0,0,4,16,20,23,58,41,14,177,25,133,218,765,400,395,307,106,24,2365,0,0,0,0,0,0,0,0,0,3,0,4,5,28,0,0,3,0,0,43,0,15,16,58,53,36,11,0,4,190,7,92,127,484,231,214,119,20,0,1287,0,6,3,25,12,8,10,8,5,67,0,3,8,25,18,9,8,0,0,75,0,0,5,39,29,57,66,43,15,249,3,4,6,13,14,12,6,0,0,54,13,54,84,256,140,92,44,18,7,707,0,10,5,41,9,5,3,0,0,76,0,9,6,93,3,0,0,0,0,110,0,14,17,108,46,17,3,0,0,213,0,0,0,8,0,0,0,0,0,9,3,17,19,86,23,33,31,10,4,213
SOSR314,0,0,0,0,3,9,6,6,0,23,0,0,0,9,0,0,0,3,0,16,0,0,5,21,0,4,0,0,0,29,0,0,13,33,0,0,0,0,0,47,0,5,0,17,13,36,59,40,9,176,11,100,173,669,513,487,319,138,28,2440,0,0,0,0,0,3,0,0,0,4,0,9,5,22,0,4,3,0,0,41,0,10,37,93,92,52,24,7,0,314,3,84,80,366,178,182,92,32,3,1016,0,0,0,12,9,3,14,9,0,53,0,0,0,3,6,3,0,3,0,20,0,9,10,32,36,56,62,37,5,238,0,5,15,17,10,0,9,0,0,56,0,46,66,212,127,72,52,25,6,610,7,10,6,31,12,10,4,4,0,80,5,0,19,306,6,3,4,0,0,346,0,10,25,125,62,25,3,0,0,259,0,0,0,0,6,3,4,0,0,10,4,19,12,91,31,38,45,14,7,257
SOSR315,0,0,0,0,0,9,25,11,4,46,0,0,0,0,6,8,5,9,0,28,0,0,0,16,7,0,0,0,0,23,0,0,28,62,0,0,0,0,0,93,0,3,5,37,32,49,150,77,26,388,9,95,194,826,712,809,591,225,36,3500,0,0,0,0,4,0,0,0,0,11,0,3,0,10,0,0,0,0,0,22,0,10,19,78,86,84,36,7,0,331,15,115,105,634,239,204,165,40,4,1525,0,0,0,16,6,10,22,0,6,59,0,6,8,20,5,7,7,3,0,43,0,3,9,48,44,106,136,78,24,453,0,0,6,9,28,13,16,0,0,69,0,36,54,200,129,82,75,24,9,609,0,0,0,18,5,12,11,4,6,50,0,5,3,92,3,0,0,0,0,105,3,14,20,144,99,39,8,0,0,329,0,0,0,3,0,0,0,0,0,4,0,25,13,86,50,60,71,28,10,349
SOSR321,0,0,0,0,0,4,9,6,0,16,0,0,0,3,0,3,0,4,0,12,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,0,0,8,0,0,0,16,12,29,63,35,3,159,0,39,45,247,232,303,240,81,15,1204,0,0,0,3,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,7,0,12,7,35,36,39,20,0,0,150,5,18,22,147,93,66,47,14,0,416,0,0,0,10,3,0,8,0,0,23,0,0,0,0,4,0,3,0,0,7,0,4,4,30,25,34,40,27,3,162,0,0,0,0,14,9,7,0,0,33,4,8,23,65,53,53,20,12,6,245,0,0,0,3,3,0,3,0,0,16,0,3,3,17,0,0,0,0,0,22,4,16,3,53,33,7,6,0,0,114,0,0,0,0,0,0,0,0,0,3,0,10,5,41,17,32,30,15,6,157
SOSR322,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,3,0,14,18,15,0,46,5,5,14,79,86,120,95,27,8,445,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,3,18,29,18,12,6,0,94,0,0,6,51,27,34,22,0,0,145,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,11,13,9,0,54,0,0,0,0,0,3,0,0,0,12,0,0,6,25,21,17,6,3,0,85,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,10,4,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,3,16,11,8,16,3,0,61
SOSR331,0,4,0,3,0,7,39,26,11,96,0,0,3,6,4,5,9,4,0,28,0,0,0,3,0,7,4,0,0,13,0,0,5,13,0,0,0,0,0,20,0,12,13,68,84,120,198,116,18,630,12,98,214,1061,1176,1350,875,241,45,5066,0,0,0,3,4,4,0,0,0,9,0,0,0,13,4,12,0,0,0,37,0,13,23,91,186,154,70,8,5,549,7,66,80,479,270,272,181,25,4,1377,0,0,0,42,25,19,31,7,0,130,0,0,5,18,11,10,14,3,0,52,0,18,15,69,105,183,162,71,17,647,0,7,8,27,45,27,14,0,0,132,6,62,130,396,321,238,115,49,11,1337,0,0,10,17,7,20,19,3,0,73,0,6,4,124,20,24,22,6,0,200,0,24,23,215,142,67,20,3,0,502,0,0,4,4,5,0,3,0,0,18,8,43,45,195,109,140,146,35,12,726
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,3,6,4,5,8,11,3,0,32,3,0,21,68,46,56,63,13,0,265,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,3,0,8,3,4,3,0,0,22,0,4,10,18,4,4,4,0,0,40,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,14,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,8,3,7,0,39,0,0,0,0,0,0,0,0,0,4,0,0,0,26,0,0,0,0,0,34,0,0,0,10,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,15,4,4,0,0,0,22
SOSR401,0,0,0,12,26,53,234,178,71,580,0,3,14,50,16,19,7,5,3,124,0,56,187,521,127,53,32,18,9,998,16,202,773,2351,52,45,9,0,0,3450,4,17,32,142,113,229,727,492,239,2004,36,231,365,1238,845,841,640,254,81,4511,0,0,0,28,22,32,34,40,16,179,63,444,434,1137,154,66,44,11,4,2354,0,12,26,97,148,65,31,10,6,392,28,347,737,3246,1352,1128,699,212,54,7806,0,12,27,506,302,506,599,285,246,2479,0,0,4,13,5,6,8,0,0,47,10,82,150,471,472,955,1054,790,356,4333,12,105,221,452,225,171,159,45,8,1391,37,260,394,1055,662,385,255,137,34,3214,26,230,244,1152,346,149,120,67,22,2352,7,36,65,611,94,62,42,6,0,913,15,102,151,1038,396,155,83,9,0,1948,7,19,15,97,55,37,39,23,10,296,41,201,238,716,218,238,204,106,17,1967
SOSR412,0,0,0,0,0,4,8,11,0,26,0,0,0,6,0,0,0,0,0,4,0,3,20,45,25,13,0,4,0,107,0,0,0,22,0,0,0,0,0,22,0,0,3,11,18,17,95,59,11,228,3,14,27,114,81,79,32,26,3,377,0,0,0,0,0,0,0,0,0,5,0,3,5,15,4,0,0,0,0,29,0,0,0,4,19,4,0,0,0,31,3,26,69,160,103,73,52,14,4,508,0,0,0,12,6,4,14,10,3,46,0,0,0,0,0,0,0,0,0,0,0,0,7,28,49,130,129,108,42,500,0,4,6,9,8,8,0,0,0,43,4,54,31,113,75,31,23,11,3,338,0,3,9,34,17,0,9,0,0,73,0,0,4,31,0,4,0,0,0,31,0,25,42,47,22,4,0,0,0,132,0,0,0,3,0,0,0,0,0,3,6,13,14,31,17,21,12,5,0,116
SOSR413,0,0,0,0,0,5,7,4,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,13,0,0,8,21,0,0,0,0,0,35,0,0,0,5,5,13,95,57,21,201,0,14,26,65,68,71,45,19,3,323,0,0,0,0,0,0,0,0,0,4,0,5,0,14,6,0,0,0,0,27,0,0,0,4,11,4,0,0,0,15,0,31,52,202,87,74,53,19,0,527,0,0,0,11,3,4,10,4,7,32,0,0,0,0,0,0,0,0,0,0,0,6,5,9,20,44,66,63,29,239,0,5,0,8,9,3,5,0,0,39,0,10,7,40,39,34,20,11,4,163,0,0,0,24,0,4,0,0,0,30,0,0,4,29,0,0,0,0,0,30,0,5,8,28,30,7,4,0,0,80,0,0,0,3,3,4,4,0,0,18,0,9,8,43,20,23,22,8,0,130
SOSR414,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,10,44,25,4,97,0,8,17,43,34,33,22,16,5,177,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,10,0,0,0,5,5,0,0,0,0,15,0,12,10,55,16,19,6,3,0,121,0,0,0,3,6,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,20,34,20,6,99,0,0,0,0,3,5,0,0,0,11,0,0,10,16,10,5,8,3,0,58,0,0,0,3,4,0,0,0,0,9,0,0,0,10,0,0,0,0,0,7,0,0,3,21,11,6,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12,7,0,0,36
SOSR415,0,0,0,0,0,4,9,0,5,22,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,4,0,0,3,0,0,5,25,0,0,0,0,0,33,0,6,4,4,14,26,105,60,22,236,3,11,28,124,70,123,79,37,10,486,0,0,0,0,0,0,3,0,0,5,0,4,9,13,0,0,4,0,0,26,0,0,0,4,9,4,4,0,0,22,3,38,38,210,88,69,41,8,0,500,0,0,0,11,5,8,4,4,3,39,0,0,0,0,0,0,0,0,0,0,0,5,9,27,41,84,85,66,25,346,0,0,0,7,3,7,3,0,0,20,0,9,14,56,38,28,16,12,0,174,0,8,3,48,11,5,3,0,0,70,0,4,0,31,0,0,0,0,0,39,0,6,9,60,24,12,3,0,0,115,0,0,0,3,0,0,5,0,0,8,4,6,5,53,19,33,31,5,3,156
SOSR421,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,7,0,0,3,4,3,13,33,8,7,69,0,3,0,21,21,24,25,12,4,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,6,0,0,9,0,6,9,42,22,22,11,4,0,115,0,0,0,5,3,4,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,10,21,16,11,68,0,0,0,0,0,0,3,0,0,0,0,6,0,15,17,0,5,0,0,55,0,0,0,3,0,4,0,0,0,8,0,0,0,17,0,0,0,0,0,22,0,0,0,3,10,4,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,4,7,0,3,3,0,0,27
SOSR422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,0,37,0,3,0,24,13,24,25,11,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,12,0,0,0,18,12,16,3,0,0,49,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,17,10,5,0,41,0,0,0,4,0,0,0,0,0,0,0,0,0,8,5,6,3,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,10,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,19
SOSR431,0,0,0,0,3,6,7,6,0,21,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,4,0,0,4,0,0,0,8,0,0,0,0,0,8,0,3,0,24,26,45,122,47,5,283,6,26,24,118,105,137,85,20,6,521,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12,6,3,0,0,44,0,25,16,126,51,68,38,14,0,328,0,0,0,9,14,12,6,5,3,55,0,0,0,0,0,0,0,0,0,0,0,3,12,30,29,94,98,47,3,323,0,3,3,4,10,8,5,0,0,30,7,13,40,73,33,26,15,7,0,218,0,0,0,8,0,0,0,0,0,17,0,0,0,19,0,0,0,0,0,24,0,7,12,61,40,8,5,0,0,133,0,0,0,3,8,0,3,0,0,20,0,4,13,39,45,34,37,13,7,199
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,7,6,0,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SOSR501,0,4,8,29,23,68,131,64,28,360,3,82,254,1088,271,331,288,132,62,2517,5,73,292,1481,758,831,781,298,194,4714,8,60,376,1468,77,47,16,4,0,2052,17,55,111,453,320,361,934,767,410,3437,174,1696,2729,9345,4919,4846,2683,869,191,27454,3,12,43,424,265,343,327,187,87,1702,41,402,279,1579,209,129,97,29,3,2759,0,31,107,211,245,127,43,13,0,775,67,1383,2759,7135,3220,1829,1037,240,36,17699,4,39,52,801,397,540,682,205,233,2960,0,6,20,52,44,41,26,15,0,204,24,336,674,2261,1858,2369,2025,1255,506,11302,34,425,890,2584,1262,1414,1192,418,124,8341,73,1042,2513,6285,4277,2681,1516,713,252,19354,23,237,426,1693,636,469,403,210,64,4160,25,65,57,1685,174,109,97,11,4,2217,47,417,727,2596,1265,617,293,52,10,6026,6,34,25,284,139,81,41,16,9,645,92,464,495,1622,558,508,409,153,44,4367
SOSR511,0,0,0,0,0,4,0,4,0,8,0,0,3,7,3,7,10,0,0,30,0,0,0,13,0,0,4,4,0,31,0,3,0,24,0,0,0,0,0,32,0,0,0,8,17,18,42,31,16,134,3,73,102,353,215,189,125,26,8,1091,0,0,0,0,0,0,0,0,0,3,0,5,0,27,0,0,0,0,0,39,0,3,5,3,7,9,3,0,0,30,4,41,73,263,109,53,36,4,0,592,0,0,0,18,5,11,11,4,6,57,0,0,0,3,0,0,0,0,0,0,0,3,8,29,31,59,52,31,14,219,0,3,10,27,8,7,10,0,0,68,0,49,92,227,180,92,64,23,11,744,0,0,0,19,11,3,6,0,0,38,0,0,5,84,0,0,0,0,0,98,0,15,3,51,38,14,5,0,0,128,0,0,0,3,0,6,0,0,0,6,0,8,4,20,15,16,20,7,0,90
SOSR512,0,0,0,0,0,0,0,6,0,9,0,0,0,11,6,3,0,0,0,19,0,0,0,36,17,10,9,0,0,75,0,0,3,26,0,0,0,0,0,33,0,8,0,26,24,10,77,58,19,212,12,90,170,603,304,363,181,61,13,1807,0,0,0,0,0,0,0,0,0,3,0,7,3,26,3,6,3,0,0,56,0,17,17,27,25,10,0,0,0,95,8,96,140,442,201,134,83,19,0,1124,0,0,0,10,8,4,7,9,7,41,0,0,0,7,3,7,0,0,0,21,0,8,15,44,38,83,72,64,18,341,0,0,3,20,16,14,3,4,0,70,6,67,105,272,185,109,53,32,10,837,0,5,5,22,11,7,6,0,0,61,0,0,0,44,0,4,0,0,0,50,7,50,30,142,90,50,12,0,0,379,0,0,0,3,0,0,0,0,0,0,0,7,14,55,17,28,35,10,4,168
