SOSR_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,61,71,134,488,411,898,0,0,0,51,41,92,0,0,0,658,555,1214,3,4,7,52,49,96,11,21,30,4,7,15,15,13,28,4,6,9,11,4,18,39,38,70,67,67,138,6,18,26,11,16,30,89,88,175,107,116,222,3,0,5,1626,1443,3064,41,24,64,98,68,163,10,8,16,3,5,9,3,4,6,25,34,65,36,40,79,2014,1648,3662,23,19,40,13,22,31,2051,1685,3736,2454,1655,4113,6375,4997,11371
SOSR201,83448,103775,187223,107152,135469,242621,1789,1860,3646,27400,31258,58664,801,814,1610,447890,503566,951457,2842,3586,6428,97254,103836,201095,4305,5556,9861,4139,4514,8654,4920,6236,11152,8685,9093,17774,8204,9477,17678,18679,21769,40445,22572,26790,49362,1737,2444,4184,3388,3948,7334,30953,43340,74293,57017,66513,123533,1473,1726,3197,851203,981792,1833000,105853,92283,198130,130416,121237,251654,21780,23666,45440,88,101,182,42237,36349,78585,7893,9514,17404,50220,45960,96185,855932,814313,1670247,7716,6146,13860,2984,4963,7948,866631,825425,1692058,146243,135602,281851,2255791,2329751,4585537
SOSR203,1868,2392,4263,13279,17455,30732,3,0,4,2902,3429,6331,276,272,546,37313,44383,81700,472,655,1133,1856,1900,3753,446,591,1039,203,257,460,842,1044,1884,172,158,335,390,481,874,1323,1639,2955,3008,3843,6848,274,426,698,287,335,622,6410,9327,15733,3982,4852,8833,89,115,204,73527,91160,164690,3105,2222,5324,2795,2185,4981,114,108,223,22,11,37,1376,1171,2545,524,805,1331,1923,1993,3915,89055,87064,176116,668,508,1183,236,446,680,89960,88022,177981,12681,12179,24862,185970,200267,386231
SOSR211,669,884,1550,3727,4703,8430,12,8,20,916,1011,1931,92,75,164,11821,13239,25064,25,27,47,824,815,1638,254,318,572,302,284,583,330,371,705,255,248,503,308,332,641,633,763,1389,641,807,1452,61,108,163,120,192,316,1029,1427,2454,1998,2220,4216,33,41,71,23363,26994,50360,1889,1725,3617,2215,2251,4468,29,25,49,7,3,8,2441,2204,4640,153,211,363,2599,2419,5013,20480,19285,39764,136,104,240,79,95,169,20697,19484,40173,4558,4396,8951,56005,58179,114187
SOSR212,1323,1609,2935,9878,12956,22833,0,0,0,1302,1494,2794,191,181,371,28124,32528,60658,205,290,496,1243,1239,2481,332,486,813,212,230,437,519,695,1216,90,82,171,304,354,656,914,1065,1978,2366,3012,5377,155,257,416,218,271,484,3848,5751,9597,2507,2998,5500,51,76,128,52463,63961,116420,1315,1158,2479,3107,2814,5914,81,85,163,16,18,31,1299,1161,2458,268,382,649,1580,1554,3140,58191,55688,113873,332,275,606,137,271,413,58658,56237,114896,9360,9234,18596,127879,136657,264540
SOSR213,798,1180,1978,10860,14044,24901,5,9,10,1351,1556,2911,367,373,734,23183,26576,49757,267,368,641,852,871,1722,370,485,859,171,181,357,905,1190,2094,30,33,67,421,471,896,943,1135,2074,2542,3061,5609,237,358,594,169,213,381,4197,6147,10342,2445,2961,5403,55,67,118,49360,60107,109466,947,882,1830,1111,919,2029,56,76,134,16,11,33,796,714,1512,295,496,797,1110,1225,2336,57762,55529,113289,376,305,683,148,278,424,58277,56112,114391,9421,8822,18248,121091,129324,250413
SOSR214,469,704,1176,6820,8778,15600,8,4,13,725,879,1601,124,125,254,13475,15402,28874,83,115,202,573,562,1126,186,287,476,64,76,142,447,584,1029,39,29,67,168,189,358,468,549,1017,1648,1928,3580,150,232,379,72,112,186,2896,4082,6976,1260,1516,2779,30,38,70,29226,35493,64721,503,434,936,394,311,700,34,40,75,16,4,23,352,340,688,166,251,425,531,598,1131,32897,31551,64450,217,163,385,97,201,297,33218,31913,65132,5652,5677,11329,70033,75164,145199
SOSR215,780,1041,1821,10743,13648,24392,6,6,12,1054,1205,2266,118,107,227,19009,21761,40770,146,206,354,607,613,1218,264,329,593,152,156,311,491,655,1146,26,18,48,279,306,577,644,738,1381,2303,2635,4934,169,243,402,242,292,533,4219,5796,10016,1938,2191,4132,59,65,122,42465,50960,93429,428,400,824,478,392,873,60,74,135,8,0,11,310,287,601,297,451,745,619,741,1360,55242,51652,106895,339,286,616,151,297,448,55730,52236,107963,9260,9021,18280,109821,114859,224681
SOSR221,186,258,447,3104,3545,6653,0,0,0,306,343,650,13,15,25,5081,5493,10572,47,55,106,172,147,315,71,85,155,36,35,67,154,206,355,4,3,7,62,61,120,155,184,339,686,705,1390,34,53,87,56,63,118,1320,1693,3010,554,679,1235,26,38,62,11869,13403,25272,86,80,163,128,75,200,18,9,29,0,11,9,30,19,49,66,130,202,102,152,259,15463,14239,29706,107,88,197,40,85,127,15610,14413,30028,2718,2506,5221,30711,30906,61615
