SOSR_CODE_2021,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
SOSR322,182,23,14,3,213,7,0,4,222,19,0,244,341,58,10,6,421,6,0,9,429,25,0,455,93,6,14,0,115,0,0,0,120,3,0,123,7,0,0,13,15,0,0,0,14,3,3,20,625,89,31,14,765,16,3,19,781,52,4,837,12,4,0,0,12,5,0,5,16,0,0,20,17,0,0,0,17,0,3,7,27,0,0,27,28,0,0,0,30,3,3,14,43,3,0,43,650,94,31,14,794,16,8,25,822,51,4,879,289,51,25,18,385,32,12,45,427,175,5,605,0,0,0,0,0,0,0,0,0,0,16,16,941,151,53,39,1182,47,21,71,1251,226,25,1509,306,40,11,0,352,5,0,5,359,37,0,393,438,93,14,7,553,8,3,10,559,26,3,595,21,11,13,0,46,0,0,0,46,4,0,49,5,0,0,9,14,0,0,0,13,8,0,20,765,140,39,21,963,20,3,19
SOSR331,2565,225,66,21,2877,21,3,24,2898,130,6,3033,4847,583,129,62,5624,24,14,34,5654,150,7,5814,1318,174,184,20,1693,8,3,14,1706,41,6,1749,89,10,6,100,200,0,0,0,200,10,9,223,8815,985,387,210,10394,54,16,71,10461,326,25,10816,32,0,4,3,38,12,0,12,48,18,0,67,104,22,4,5,133,7,11,14,154,4,0,157,141,22,3,4,176,21,11,28,203,27,0,230,8956,1003,393,213,10570,73,24,100,10666,353,28,11044,3023,459,165,139,3779,97,26,124,3904,539,18,4470,31,5,4,37,77,0,0,0,77,10,70,155,12005,1466,564,390,14430,171,47,220,14647,897,119,15665,4757,453,124,36,5368,44,18,61,5425,242,9,5676,6540,895,186,102,7722,39,15,53,7772,244,14,8027,508,88,89,7,685,4,0,8,692,36,8,735,78,8,0,147,235,0,0,0,237,17,10,265,11883,1444,392,287,14007,91,32,123
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,6962,1197,147,35,8341,102,46,154,8492,403,13,8911,16680,2915,319,109,20023,168,60,223,20247,513,32,20793,4962,779,572,52,6362,34,10,41,6404,134,10,6549,199,41,3,155,396,5,3,3,399,24,22,449,28811,4932,1037,339,35124,313,109,424,35544,1076,74,36702,283,70,8,9,366,41,5,45,410,30,0,437,664,149,17,15,851,66,9,73,923,38,0,963,946,224,20,20,1215,102,19,124,1333,60,0,1402,29757,5161,1060,361,36338,412,132,548,36884,1144,73,38098,9666,2370,414,261,12705,435,144,579,13284,1996,34,15315,75,23,0,61,163,0,0,0,163,16,134,312,39491,7557,1471,683,49205,852,273,1127,50327,3155,247,53728,11598,1802,202,64,13665,222,71,292,13955,607,25,14591,19429,3176,321,95,23023,214,66,279,23302,659,31,23987,1052,218,140,6,1416,8,4,16,1435,46,4,1483,115,32,4,140,295,9,0,10,307,28,24,358,32185,5225,668,317,38397,448,143,595
SOSR412,484,82,9,0,570,6,0,6,574,30,0,609,1312,153,31,10,1515,12,9,14,1532,32,0,1565,403,40,46,0,487,0,0,0,487,10,0,502,15,5,0,14,29,0,0,0,29,0,0,29,2216,277,89,24,2599,17,3,25,2625,80,0,2707,20,3,0,4,22,0,0,0,22,3,0,28,34,8,0,0,45,0,0,0,45,7,0,47,54,8,0,4,66,0,0,0,66,9,0,71,2265,282,89,29,2669,17,3,25,2693,84,0,2777,834,152,46,23,1052,35,4,45,1100,115,5,1210,7,0,0,3,5,0,0,0,5,0,8,15,3109,433,134,50,3731,51,12,67,3798,196,4,4001,853,115,18,3,988,10,6,8,1004,63,0,1073,1518,177,35,19,1746,5,4,14,1759,52,0,1813,124,12,7,0,141,0,0,0,141,8,0,157,12,0,0,15,21,0,0,0,21,0,3,26,2504,303,62,34,2903,14,13,25
SOSR413,320,65,10,0,403,4,0,4,400,29,0,431,1018,164,29,15,1222,8,3,13,1236,39,0,1278,262,40,33,3,339,0,0,0,340,15,0,353,11,0,0,16,25,0,0,0,25,5,0,28,1614,271,66,28,1988,10,4,21,2001,90,0,2095,8,4,0,0,16,0,0,0,18,6,0,26,24,6,5,0,32,3,0,8,39,3,0,42,35,8,5,0,46,8,0,9,54,14,0,64,1650,277,73,28,2032,20,3,30,2062,101,0,2166,510,152,38,29,732,43,15,58,792,153,3,942,0,0,0,4,4,0,0,0,4,3,6,17,2166,429,113,65,2765,63,17,88,2850,256,16,3124,665,101,8,0,777,8,3,4,786,59,0,846,1158,213,47,8,1434,16,3,18,1448,57,0,1500,66,21,14,0,97,0,0,0,97,5,0,100,12,0,0,11,25,0,0,0,25,5,0,30,1908,326,72,23,2336,19,3,28
SOSR414,118,18,3,0,143,3,4,3,150,9,0,160,376,76,10,0,462,3,0,3,460,11,0,476,103,24,18,3,145,0,0,0,145,5,0,152,11,5,0,0,16,0,0,0,16,0,0,19,609,119,32,5,763,6,4,9,772,32,0,805,3,0,0,0,6,0,0,0,6,0,0,3,8,0,0,0,7,0,0,0,7,0,0,11,7,0,0,0,12,0,0,0,12,3,0,17,618,122,32,5,775,6,4,9,786,36,0,819,271,44,7,8,333,9,7,18,346,37,0,388,4,0,0,0,5,0,0,0,5,0,7,7,884,162,45,16,1113,14,9,26,1140,74,7,1216,195,22,4,5,227,0,7,8,229,16,0,248,462,64,5,9,542,7,0,11,558,25,3,588,9,5,7,0,19,0,0,0,19,3,0,23,3,0,0,3,11,6,0,6,15,0,0,14,669,91,18,15,801,11,10,20
SOSR415,503,66,20,0,588,7,0,12,594,36,0,637,1517,207,27,17,1764,16,3,18,1782,39,0,1820,399,46,52,5,504,5,0,5,514,12,0,524,14,0,0,24,47,0,0,0,49,3,0,54,2430,324,100,48,2905,26,7,35,2942,90,3,3038,12,0,0,0,20,7,0,7,23,3,0,26,46,10,5,0,57,0,0,0,57,0,0,59,59,4,3,0,73,7,0,9,78,5,0,84,2490,334,104,48,2980,35,7,42,3020,96,3,3122,863,150,56,41,1112,28,12,38,1147,124,3,1278,12,0,0,0,9,0,0,0,9,0,11,27,3362,482,160,95,4102,63,17,85,4184,222,24,4425,1027,101,19,4,1156,8,7,22,1177,56,0,1233,1874,247,35,14,2180,15,6,24,2205,76,6,2287,78,17,28,0,122,0,0,0,122,9,0,127,20,8,0,21,45,0,3,3,50,6,0,51,2998,384,82,36,3501,24,22,51
SOSR421,121,17,0,0,138,4,0,4,142,15,0,157,408,54,3,9,473,4,0,4,480,9,0,493,136,11,13,0,160,4,0,4,160,0,0,161,12,10,0,6,17,0,0,0,17,0,0,17,672,95,18,9,789,10,0,10,804,29,0,831,0,0,0,0,3,0,0,0,3,0,0,9,4,3,0,0,7,0,0,0,11,0,0,11,11,3,0,0,9,0,0,0,12,0,0,10,680,92,18,14,806,13,0,13,817,29,0,845,237,52,7,16,311,5,0,4,314,42,5,362,0,0,0,0,0,0,0,0,0,0,4,4,912,139,24,26,1112,14,0,15,1126,74,9,1215,258,28,4,0,295,0,0,0,295,10,0,302,503,68,7,6,585,4,4,4,589,21,3,610,30,0,9,0,43,0,0,0,43,0,0,44,3,0,0,4,10,0,0,0,10,0,3,16,794,105,19,12,930,3,4,6
SOSR422,57,12,4,0,79,3,0,3,79,3,0,83,195,36,6,0,240,3,0,3,243,4,0,253,51,3,0,0,51,0,0,0,51,0,0,52,3,0,0,0,6,0,0,0,4,3,0,6,297,50,15,7,371,4,0,4,378,17,0,395,0,4,0,0,7,3,0,3,7,0,0,7,5,0,0,0,5,0,0,0,10,0,0,10,4,5,0,0,10,3,0,3,13,0,0,13,305,55,15,7,381,9,0,11,394,17,0,409,134,26,6,4,171,23,3,23,192,52,6,253,0,0,0,3,3,0,0,0,3,0,10,10,443,85,22,11,554,30,4,34,586,67,11,672,90,13,6,0,109,0,0,3,113,8,0,120,204,37,6,6,253,0,0,6,257,18,0,274,10,0,0,0,13,0,0,0,17,0,0,19,6,0,0,0,4,0,0,0,5,0,4,9,303,50,10,7,376,3,0,7
SOSR431,645,67,15,8,732,0,5,10,742,49,3,792,2142,241,29,20,2433,4,9,11,2437,54,0,2496,427,54,66,8,550,3,0,3,552,11,0,563,41,0,0,29,67,0,0,0,69,4,4,77,3249,362,112,58,3784,12,14,24,3805,107,5,3922,3,0,0,0,7,3,0,3,11,0,0,11,15,0,0,0,14,0,4,3,23,0,0,21,18,3,0,0,24,5,4,10,30,0,0,31,3270,368,112,58,3803,15,14,26,3834,108,5,3951,1064,165,50,41,1317,21,4,29,1344,137,12,1489,7,0,0,9,18,0,0,0,18,0,18,27,4344,526,158,104,5140,34,21,53,5194,243,34,5474,1435,128,18,8,1592,8,5,11,1601,61,0,1671,2956,301,44,31,3329,18,10,21,3351,72,9,3430,126,23,35,4,186,3,0,3,196,3,0,196,21,0,3,29,57,0,0,0,57,3,0,63,4545,452,99,76,5171,24,12,38
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,12432,1723,304,72,14524,188,71,260,14788,733,24,15546,30332,3903,770,232,35235,251,67,322,35563,723,71,36349,8048,994,1072,63,10178,80,12,91,10268,199,23,10491,386,27,12,327,757,6,0,3,763,18,53,835,51196,6640,2163,697,60696,527,152,681,61375,1675,168,63222,535,88,10,8,648,52,10,64,707,66,8,779,1458,198,46,42,1742,63,26,90,1828,54,6,1893,1994,286,64,53,2390,110,38,147,2536,122,10,2670,53191,6930,2223,750,63086,636,189,831,63915,1798,180,65893,22887,3389,1182,631,28088,699,179,875,28963,2279,113,31354,155,26,3,173,351,8,0,8,356,21,282,668,76229,10342,3405,1555,91525,1340,366,1711,93238,4101,573,97915,19483,2492,392,121,22492,289,95,388,22879,1085,30,23995,35218,4022,788,251,40273,358,83,446,40718,940,70,41727,1768,240,233,25,2271,30,9,37,2310,73,11,2387,282,42,5,297,628,7,3,8,646,36,63,740,56760,6795,1418,694,65666,687,194,886
SOSR511,306,39,10,3,361,6,4,14,369,23,0,395,1027,121,47,7,1203,14,3,15,1221,26,0,1250,238,30,37,4,315,3,0,3,317,4,0,321,8,0,0,12,14,0,0,0,14,0,0,18,1580,187,96,21,1890,26,10,28,1926,59,4,1989,9,0,0,0,6,0,0,0,8,0,0,12,40,0,0,0,43,8,0,8,50,3,0,51,50,0,0,0,55,10,0,10,60,4,0,64,1630,189,98,26,1945,31,10,41,1984,60,4,2053,859,89,51,25,1026,18,4,22,1054,57,0,1116,0,3,0,9,10,0,0,0,10,0,8,12,2487,277,151,61,2980,53,14,62,3041,125,12,3176,542,77,16,0,632,5,4,14,641,40,0,684,1354,125,56,10,1537,8,4,5,1546,38,0,1585,56,4,14,4,77,0,0,0,77,3,0,85,7,0,0,6,16,0,0,0,16,3,5,23,1952,205,85,20,2264,13,7,21
SOSR512,521,74,23,5,620,12,0,8,632,39,0,672,1563,216,56,15,1842,10,0,13,1859,52,3,1908,312,47,37,11,411,0,0,5,414,12,0,419,13,6,0,18,39,0,0,0,39,0,0,34,2412,339,113,42,2910,19,4,24,2935,96,10,3044,11,0,0,0,15,6,0,6,14,3,0,20,48,5,7,4,58,0,0,0,64,0,0,64,62,5,7,4,77,5,0,7,82,4,0,84,2471,345,123,49,2988,22,6,28,3018,107,10,3126,1373,161,64,39,1633,33,14,46,1684,121,9,1810,12,0,0,3,13,0,0,0,15,3,32,50,3854,500,187,89,4631,58,20,77,4710,224,39,4981,1032,133,29,4,1194,11,3,12,1213,58,0,1272,1925,211,64,19,2224,17,7,23,2245,62,3,2302,91,15,12,5,118,0,0,0,118,4,0,123,20,0,0,17,30,0,0,0,33,5,0,37,3061,361,110,39,3566,27,13,37
SOSR513,569,47,21,16,651,4,0,4,657,28,4,692,1077,97,60,20,1251,6,0,11,1264,29,5,1291,303,23,42,0,371,3,0,3,371,13,0,389,17,3,0,23,40,0,0,0,40,0,5,49,1967,172,120,57,2312,11,0,15,2330,74,15,2415,13,0,0,0,14,0,0,0,15,0,0,15,37,7,3,6,50,6,0,3,59,0,0,59,51,3,7,6,66,4,0,8,76,0,0,71,2016,183,130,62,2381,21,3,28,2405,72,15,2492,908,88,66,42,1108,29,3,41,1148,104,0,1247,5,0,0,6,10,0,0,0,10,0,24,35,2936,264,198,111,3500,50,11,66,3563,176,37,3777,902,88,33,12,1034,16,4,24,1050,37,0,1090,1339,123,63,20,1552,6,0,11,1563,26,5,1588,88,5,21,0,119,0,0,0,119,7,0,121,25,3,0,16,41,0,0,0,43,0,3,43,2346,220,122,53,2737,25,8,33
SOSR514,92,29,3,4,123,0,0,0,126,5,0,136,376,56,9,5,443,6,0,6,451,14,0,461,70,11,21,0,104,0,0,0,104,6,0,104,7,0,0,0,6,0,0,0,6,0,0,8,540,96,35,7,684,9,0,7,686,24,0,707,6,0,0,0,6,0,0,0,9,0,0,9,9,4,0,0,10,0,0,0,10,0,0,10,13,4,0,0,17,0,0,0,20,0,0,20,558,100,35,7,695,8,0,6,703,24,0,730,282,46,18,11,357,15,0,13,366,41,3,410,0,0,0,0,4,0,0,0,4,0,3,8,836,146,55,21,1055,21,5,18,1076,65,5,1142,210,30,3,4,249,5,0,5,254,11,0,270,530,64,28,0,626,6,0,4,632,22,0,648,27,4,8,0,42,0,0,0,42,0,0,44,3,0,0,8,7,0,0,0,7,0,0,13,774,94,48,14,929,10,0,9
SOSR515,461,43,16,6,535,5,4,7,543,49,0,600,1071,135,57,14,1278,15,3,19,1301,48,0,1348,259,32,61,8,364,4,0,4,365,6,0,374,19,0,3,10,37,0,0,0,37,10,0,46,1819,213,140,38,2213,24,6,33,2244,119,0,2367,13,3,0,0,16,0,0,0,18,0,0,22,39,0,4,0,51,7,4,8,57,5,0,65,60,7,4,0,64,9,4,16,77,8,0,88,1876,218,140,42,2277,36,7,41,2323,119,0,2445,1054,142,88,37,1320,33,8,48,1364,158,6,1520,6,3,0,9,17,0,0,0,17,0,26,41,2934,360,235,87,3611,71,14,89,3706,280,34,4016,836,88,28,18,964,8,7,15,980,72,0,1054,1455,168,83,22,1724,15,3,19,1745,43,0,1790,79,8,29,0,115,0,0,0,114,0,0,121,18,0,0,19,35,0,0,0,35,4,0,43,2380,260,142,55,2838,28,9,39
SOSR521,142,15,4,0,164,6,0,6,164,22,0,188,311,49,19,12,382,3,0,5,389,12,0,402,81,10,20,0,116,0,0,0,116,0,0,117,0,0,0,8,13,0,0,0,13,6,0,15,540,73,41,15,666,5,3,6,679,40,0,720,3,0,0,0,3,3,0,3,10,0,0,14,9,0,0,0,9,0,0,0,13,0,0,18,20,0,0,0,20,6,0,6,25,0,0,26,553,73,41,15,690,9,3,14,700,42,0,739,375,47,25,21,472,24,5,32,501,134,9,642,0,0,0,0,3,0,0,0,3,0,4,9,935,122,69,35,1159,33,9,49,1207,177,9,1399,224,17,10,4,261,0,4,4,265,23,4,289,425,60,21,12,524,8,0,8,528,21,0,550,22,11,11,0,42,0,0,0,42,3,0,43,3,0,0,10,15,0,0,0,15,0,0,15,680,95,34,23,837,8,4,12
SOSR522,61,15,4,0,75,4,0,4,83,8,0,93,182,21,0,4,211,0,0,3,211,13,0,223,52,3,3,0,61,0,0,0,61,0,0,65,0,0,0,3,7,0,0,0,7,0,0,8,294,42,7,10,355,4,0,4,361,28,0,390,3,0,0,0,3,13,0,13,13,0,0,18,9,0,0,0,9,0,0,0,8,0,0,8,12,0,0,0,12,13,0,15,26,0,0,23,305,42,7,10,363,22,0,21,384,28,0,415,159,30,9,17,215,17,0,25,232,168,4,407,4,3,0,0,9,0,0,0,9,3,9,19,463,76,17,24,578,36,5,43,622,202,17,838,112,14,0,0,131,3,0,3,134,19,0,154,263,20,12,3,299,0,0,0,299,22,0,326,19,4,10,0,30,0,0,0,30,0,0,37,5,0,0,7,4,0,0,0,4,4,0,12,395,40,26,15,469,6,0,6
SOSR531,626,52,22,3,706,6,0,10,716,43,4,757,1793,198,58,19,2074,8,4,12,2081,31,6,2116,355,32,56,0,446,4,0,4,451,10,0,465,38,0,0,31,74,0,0,0,76,3,0,78,2810,286,144,61,3296,21,3,23,3319,87,7,3414,7,0,0,0,10,0,0,0,10,5,0,17,31,5,4,0,41,0,5,9,47,3,0,43,39,9,4,0,50,0,5,5,55,6,0,62,2852,287,144,55,3346,21,11,35,3376,97,7,3480,1307,147,88,38,1574,37,6,41,1616,180,0,1799,4,3,3,3,10,0,0,0,10,0,15,28,4169,433,234,95,4934,59,13,72,5005,278,21,5308,1273,135,24,8,1437,12,3,11,1450,62,0,1510,2684,287,73,39,3084,15,4,17,3101,73,3,3176,83,24,39,3,149,4,0,4,152,4,0,158,34,0,4,49,90,0,0,0,94,3,5,98,4083,439,140,103,4761,31,5,32
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
