SOSR_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SOSR699,689,561,1248,101,53,149,53,69,126,22,12,33,81,60,139,249,194,445,242,244,485,31.2,31.3,31.2,36.3,35,35.7,25,24.1,24.6,12,19,31,3,10,20,24,61,84,27,28,52,109,69,180,9,26,34,10,4,7,135,94,221,178,106,280,362,374,736,102,76,176,416,383,801
SOSR703,48931,48524,97454,25288,19487,44780,6090,10234,16323,1951,2289,4240,1468,1328,2797,34793,33348,68141,9606,11242,20845,4.2,4,4.1,71.1,68.7,69.9,68.1,66,67.1,3468,3998,7467,875,1925,2799,6854,10096,16953,4049,4562,8610,10819,5656,16477,622,833,1455,634,747,1384,12072,7235,19307,42251,42556,84809,12021,12317,24340,22666,22404,45065,28011,29107,57112
SOSR712,9362,10276,19635,5110,4305,9413,1045,1832,2880,360,495,858,261,226,492,6784,6855,13642,1904,2715,4622,3.9,3.3,3.6,72.4,66.7,69.5,69.6,64.6,67,585,846,1434,158,431,589,1277,2089,3367,778,885,1656,2085,1168,3251,88,140,227,123,169,290,2298,1474,3772,8686,9036,17727,2406,2704,5115,4886,5084,9966,5368,5924,11293
SOSR714,2280,2327,4610,1045,937,1986,198,309,504,93,112,207,76,54,131,1422,1406,2827,481,574,1054,5.4,3.8,4.6,62.2,60.6,61.3,58.8,58.2,58.5,108,119,226,25,59,79,198,390,592,171,198,371,487,251,738,45,47,95,24,43,65,555,344,899,1840,1802,3638,628,710,1334,979,969,1944,1266,1344,2606
SOSR715,6525,6681,13205,1658,1476,3135,391,634,1026,234,242,467,492,418,912,2766,2767,5538,3130,3349,6479,17.8,15.1,16.4,42.5,41.4,42,34.9,35.2,35.1,126,171,298,52,129,180,304,520,821,205,266,472,867,446,1313,97,139,232,122,107,227,1081,697,1777,7007,7040,14047,940,1033,1968,5435,5429,10865,1821,1964,3788
SOSR721,4560,4858,9427,1336,1130,2466,328,542,866,158,154,314,223,196,416,2047,2023,4070,2150,2483,4633,10.9,9.6,10.3,44.8,41.6,43.2,40,37.6,38.7,77,105,183,33,82,111,227,380,611,184,233,415,720,381,1100,97,132,228,72,86,157,886,603,1488,4839,5018,9853,781,835,1621,3649,3846,7488,1480,1583,3068
SOSR722,4205,4563,8767,829,733,1559,371,520,895,125,153,277,339,289,628,1667,1687,3356,2170,2501,4668,20.4,17,18.7,39.7,37,38.3,31.6,30.7,31.1,39,80,124,18,62,76,135,244,373,101,144,247,535,279,819,83,116,197,62,80,145,676,473,1157,4730,4817,9544,642,717,1365,3766,3896,7656,1117,1197,2318
SOSR731,14777,12684,27458,5809,4076,9884,1178,2048,3226,624,539,1166,465,396,860,8071,7057,15130,4483,4006,8491,5.7,5.6,5.7,54.6,55.6,55.1,51.5,52.5,52,152,297,450,88,317,406,605,1277,1883,761,1074,1836,3918,1623,5548,270,325,591,189,221,409,4381,2169,6546,12781,11756,24540,2152,2139,4292,9341,8606,17952,4641,4490,9132
SOSR779,83,11,94,40,6,46,0,0,6,12,0,12,4,0,4,58,3,63,6,4,8,3.6,0,3.3,65.9,45.5,63.5,63.5,45.5,61.5,0,0,0,0,0,0,6,0,7,6,0,6,16,6,23,6,0,3,6,0,6,25,4,32,42,10,53,15,0,18,21,3,29,35,5,37
SOSR799,1567,1486,3052,132,121,252,60,73,132,50,63,115,70,58,127,312,320,633,645,605,1251,22.5,18.6,20.5,19.8,21.5,20.6,15.4,17.5,16.4,32,50,84,20,34,60,91,166,259,63,85,157,231,92,324,16,14,30,19,23,39,261,125,389,541,431,972,721,747,1469,289,235,525,779,786,1563
SOSR802,180737,189264,370000,92690,70331,163017,26829,44286,71113,5656,7920,13580,5396,4502,9893,130564,127033,257601,42257,54898,97159,4.1,3.5,3.8,72.2,67.1,69.6,69.3,64.7,66.9,27424,25256,52679,6454,10314,16768,40467,49220,89686,15216,19054,34268,25038,14548,39587,1466,2030,3493,2004,3614,5613,28506,20192,48693,171418,177844,349258,40117,40699,80821,103163,108374,211534,97067,99508,196573
SOSR822,242,240,481,123,83,203,38,71,105,10,8,20,9,0,9,173,167,343,57,65,121,3.4,1.2,2.3,72.5,69.7,71.1,70,68.9,69.4,18,21,41,7,19,22,36,61,95,30,34,54,57,27,82,0,0,0,3,3,4,57,27,87,266,272,546,22,14,38,201,197,402,82,80,160
SOSR831,292,221,519,172,78,249,31,52,83,8,11,17,0,3,5,211,144,355,31,44,81,0.9,2.1,1.4,73.1,63.6,68.9,72.4,62.2,68,7,8,12,8,14,21,48,45,92,9,33,45,78,25,100,5,4,11,6,7,6,83,32,112,189,179,366,99,43,145,112,106,224,154,107,262
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,315,249,560,61,49,108,25,54,83,9,6,19,29,21,48,135,129,264,89,88,169,22.6,14.7,18.7,42.5,51.8,46.6,32.9,44.2,37.9,10,21,36,0,7,10,21,50,69,16,22,36,46,18,68,8,3,10,0,4,6,57,26,78,78,45,120,153,189,348,46,23,68,182,207,383
SOSR915,577,494,1074,303,171,473,49,109,156,30,22,52,0,5,12,387,307,695,81,99,179,1,1.9,1.4,66.3,62.7,64.6,65.6,61.5,63.7,10,23,29,9,19,24,33,58,92,40,46,79,150,50,198,14,19,35,3,5,10,167,74,243,486,421,908,97,94,191,349,309,658,194,170,365
SOSR921,679,796,1472,278,217,495,119,235,351,35,48,81,13,5,23,451,508,957,155,214,364,2.7,1.6,2.1,65.9,63.9,64.8,64.1,62.8,63.4,16,19,38,0,26,26,59,102,163,45,101,141,217,76,290,3,25,25,12,21,31,233,117,353,576,665,1240,147,145,289,394,443,841,284,350,637
SOSR922,275,274,550,124,78,194,37,55,92,5,8,10,5,5,4,166,144,308,58,82,138,1.2,3.5,2.3,60.1,51.5,55.8,59.3,49.6,54.5,3,8,13,4,8,9,14,25,43,15,9,24,57,28,77,3,7,13,0,4,4,66,36,96,258,236,495,38,44,80,192,176,364,88,83,172
SOSR931,536,330,859,109,72,183,39,76,111,14,17,33,4,11,18,171,176,340,307,95,401,4.2,5.2,4.7,31.5,53.4,39.8,30.2,50.6,38,10,20,24,0,4,3,23,34,57,23,24,47,80,32,112,3,5,13,0,8,11,95,42,138,278,266,541,44,42,86,195,206,402,104,91,189
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,6,4,11,3,6,5,4,0,4,0,0,0,0,0,4,5,4,8,0,0,0,16.7,33.3,22.2,66.7,100,75,55.6,66.7,58.3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,6,4,0,0,0,5,6,4
