SOSR_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,5208,10595,7807,5824,7858,4210,2275,43779,1022,1082,709,536,780,420,258,4815,304,481,302,253,323,166,85,1917,10731,22351,17654,13709,20002,11490,6439,102374,425,844,582,473,618,376,222,3534,657,1328,704,515,643,317,181,4342,1077,2173,1285,987,1265,688,400,7880,11813,24522,18935,14696,21265,12176,6838,110248,11142,13006,7718,5707,7125,3992,2563,51249,384,481,285,223,155,71,59,1664,23339,38005,26940,20629,28546,16249,9453,163164
SOSR203,865,1779,1180,832,981,272,109,6031,188,178,99,71,82,33,15,669,46,78,46,19,23,9,6,224,1511,3064,2260,1741,2250,732,339,11898,54,99,70,53,85,21,4,387,94,178,113,58,60,15,3,523,149,278,186,114,144,30,10,906,1668,3338,2443,1855,2392,765,344,12804,1739,1804,1012,748,730,233,102,6360,47,60,36,28,18,3,0,185,3454,5201,3490,2624,3137,999,451,19352
SOSR211,295,525,332,217,298,69,24,1763,51,65,26,19,24,7,6,196,33,32,26,11,17,10,3,131,572,1035,707,470,650,200,96,3733,35,64,42,32,40,7,8,229,72,102,44,36,29,18,0,307,107,167,80,72,71,22,11,535,678,1209,793,543,728,225,98,4273,932,925,497,306,325,88,35,3115,12,18,10,13,6,5,3,65,1625,2150,1300,860,1058,312,142,7449
SOSR212,572,1147,808,551,655,185,60,3975,115,122,65,38,51,12,4,399,31,46,40,28,28,6,9,187,1011,2109,1667,1156,1515,468,187,8106,39,68,53,45,43,15,4,269,86,104,67,28,27,7,8,317,123,173,117,72,72,19,8,590,1129,2279,1787,1224,1585,490,199,8696,1140,1258,690,410,429,115,46,4089,34,37,32,16,16,0,0,136,2306,3583,2504,1651,2030,610,245,12925
SOSR213,595,1147,781,593,636,178,59,3989,135,135,84,49,56,9,3,472,27,49,28,20,19,5,0,145,995,1967,1484,1160,1469,404,146,7635,35,73,57,37,39,4,4,245,81,133,50,39,34,13,5,358,115,201,109,74,73,22,10,604,1109,2177,1594,1232,1544,424,151,8237,1348,1297,671,471,453,96,47,4376,19,48,38,20,9,0,0,141,2478,3518,2308,1727,2002,527,195,12756
SOSR214,299,610,435,302,334,81,23,2085,53,55,40,41,39,8,0,241,9,23,18,10,15,3,0,81,468,1041,807,601,796,222,77,4013,5,35,34,19,23,4,0,127,33,57,35,21,30,5,3,182,40,92,63,47,51,10,3,301,506,1132,870,650,854,235,75,4317,580,665,329,256,230,53,14,2133,9,21,16,16,4,0,0,59,1093,1823,1210,921,1083,285,90,6510
SOSR215,470,938,644,512,532,134,40,3273,70,81,59,40,59,11,5,322,17,31,21,23,24,10,0,125,733,1524,1216,972,1164,273,83,5964,23,38,31,29,31,9,0,169,36,64,40,27,24,5,0,201,59,108,74,60,49,12,7,369,788,1632,1289,1029,1215,281,86,6326,890,896,516,355,319,69,36,3080,41,36,33,15,6,0,0,123,1721,2563,1836,1395,1540,353,121,9530
SOSR221,76,191,151,95,114,21,9,655,11,17,11,9,5,4,0,53,0,7,9,6,4,0,0,30,139,338,277,206,255,52,23,1296,4,11,13,4,4,0,0,45,7,21,11,5,11,0,0,54,16,31,28,8,13,0,0,102,150,369,310,221,270,52,23,1399,182,197,122,90,81,9,4,687,0,0,0,0,0,0,0,9,342,571,425,309,347,61,30,2092
SOSR222,49,104,67,55,58,12,0,352,9,15,9,10,5,4,0,56,0,5,6,4,5,0,0,21,91,192,145,119,124,37,5,714,0,4,0,3,5,0,0,17,9,6,4,13,8,0,0,36,7,10,5,13,10,0,0,54,100,203,150,134,133,32,5,766,112,114,78,59,39,12,3,429,3,4,0,6,0,0,0,12,216,323,231,199,173,51,9,1201
SOSR231,375,842,609,461,549,137,56,3028,85,87,55,28,41,19,11,325,33,46,28,18,26,7,4,159,707,1588,1245,1017,1277,348,157,6340,18,37,47,32,36,4,3,175,27,59,30,31,24,8,0,187,50,98,80,62,65,13,7,367,752,1685,1323,1078,1337,359,162,6704,793,851,574,394,354,114,43,3119,31,33,35,19,19,5,0,142,1579,2574,1934,1484,1709,470,203,9960
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,3576,6962,4893,3485,4217,1380,618,25135,1100,1356,910,609,779,292,128,5165,269,385,230,156,155,59,25,1283,8225,16499,12607,9356,12623,4555,2065,65932,447,887,588,406,458,119,50,2952,657,1058,535,341,372,98,43,3112,1107,1948,1120,747,831,217,95,6066,9336,18450,13725,10100,13454,4767,2161,71992,9180,9458,5445,3903,3879,1187,665,33725,268,307,189,127,69,29,14,1002,18784,28214,19359,14127,17405,5988,2838,106724
SOSR302,1624,3262,2374,1637,2039,542,237,11713,422,589,420,249,380,120,51,2237,91,121,100,88,56,24,12,490,3123,6465,5156,3861,5281,1528,708,26120,93,233,176,116,110,37,19,789,225,355,187,131,147,31,6,1090,319,590,368,248,254,67,28,1879,3440,7055,5519,4108,5536,1599,738,27996,2324,2740,1712,1223,1328,377,189,9887,82,109,75,49,33,16,0,360,5849,9907,7300,5382,6896,1993,923,38251
SOSR303,1030,1920,1317,934,1079,198,80,6563,150,173,103,76,85,19,6,605,42,78,52,37,50,8,0,261,1973,4017,2987,2315,2844,560,241,14935,125,216,158,120,118,17,4,759,186,285,185,109,94,20,9,896,312,502,344,234,210,38,7,1655,2286,4516,3333,2547,3057,604,247,16591,2224,2178,1257,915,767,181,79,7597,58,90,55,43,19,3,0,272,4567,6789,4638,3507,3846,788,324,24460
SOSR311,596,1208,870,572,607,56,13,3922,93,104,40,44,52,8,0,334,44,64,36,20,18,7,0,184,1111,2345,1763,1261,1548,194,65,8288,70,131,100,63,73,3,0,434,104,175,100,55,55,5,0,489,173,303,201,113,128,10,0,920,1286,2648,1968,1366,1672,209,65,9206,1543,1428,813,512,455,30,15,4806,34,44,18,12,13,0,0,133,2861,4120,2798,1897,2139,244,76,14134
SOSR312,183,382,282,196,238,16,13,1316,45,50,39,20,35,0,0,195,11,19,14,9,5,3,0,66,348,720,594,454,579,67,36,2805,22,56,49,36,26,5,6,199,66,81,60,38,22,0,0,278,91,139,103,76,50,10,6,472,442,858,703,537,632,74,40,3279,603,623,354,266,217,30,6,2100,12,20,10,15,4,0,0,57,1059,1504,1062,814,853,100,48,5433
SOSR313,400,769,553,360,359,60,9,2523,91,111,63,41,33,4,0,343,35,50,27,28,21,3,0,163,822,1541,1225,913,969,120,35,5621,52,103,49,40,21,5,0,270,78,130,52,46,22,0,0,331,135,229,104,81,45,3,0,601,952,1775,1327,995,1014,126,35,6221,1167,1102,634,355,298,24,12,3591,25,29,18,22,4,0,0,96,2144,2903,1973,1373,1315,150,46,9912
SOSR314,331,684,501,364,367,53,11,2309,59,86,49,50,40,6,3,300,20,50,24,18,11,0,0,124,644,1421,1092,834,958,137,35,5124,53,99,62,57,41,7,0,312,64,108,66,37,34,4,0,316,120,210,125,95,76,9,0,629,764,1631,1213,925,1030,146,35,5756,922,947,504,356,283,42,12,3063,37,28,28,7,4,0,0,105,1717,2604,1743,1296,1319,182,49,8915
SOSR315,486,1031,719,447,497,60,19,3250,94,120,87,57,56,8,0,419,48,61,37,29,28,4,0,211,965,1983,1521,1067,1245,149,53,6976,57,149,100,76,48,3,0,432,97,150,90,49,34,6,0,434,160,302,183,123,80,12,0,863,1120,2282,1708,1186,1331,157,52,7840,1550,1600,943,575,412,61,22,5159,32,68,36,33,6,0,0,179,2705,3944,2683,1798,1750,216,80,13178
SOSR321,164,372,246,145,166,12,4,1120,33,36,30,25,19,0,4,155,17,39,23,17,8,0,0,96,342,703,518,356,393,44,19,2378,30,71,33,34,28,4,5,204,30,46,33,22,8,0,0,132,58,118,66,54,35,5,5,335,404,821,582,408,431,48,21,2716,583,596,341,217,178,21,0,1937,39,29,22,15,0,0,0,102,1022,1438,951,639,611,74,25,4754
SOSR322,60,147,117,78,60,3,0,471,12,13,13,13,5,0,4,59,4,9,10,6,10,0,0,48,126,311,242,171,160,20,0,1041,25,34,15,10,10,0,0,89,24,24,25,9,9,0,0,92,43,63,40,17,16,0,0,180,175,374,282,189,175,22,5,1219,340,344,173,96,68,3,3,1022,11,8,7,9,0,0,0,37,527,730,462,293,239,22,9,2279
SOSR331,518,955,732,501,563,87,30,3388,80,114,73,62,54,5,3,400,41,68,39,32,38,10,3,228,977,1902,1566,1217,1383,243,78,7372,42,109,65,65,53,8,0,344,65,129,73,41,43,9,0,361,109,236,136,101,98,17,3,707,1087,2140,1707,1318,1482,256,81,8080,1283,1314,857,568,509,85,27,4646,36,63,35,29,12,0,0,170,2403,3511,2596,1921,2004,344,108,12894
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,1976,4083,2897,2004,2464,1032,578,15032,330,271,177,125,194,89,45,1230,121,140,109,67,67,26,18,535,3608,7705,6041,4479,6086,2751,1657,32327,152,330,227,161,222,84,34,1218,282,580,371,229,240,68,43,1816,435,910,606,391,459,151,83,3036,4038,8616,6650,4868,6544,2902,1739,35358,4537,4745,2862,2078,2139,799,551,17706,84,95,73,72,41,25,4,394,8666,13451,9582,7020,8724,3725,2287,53464
SOSR412,269,489,327,214,270,75,26,1674,35,30,22,17,30,7,5,140,15,18,9,12,17,7,0,79,441,821,650,479,673,192,74,3340,20,42,32,25,31,4,0,147,28,57,32,15,20,9,0,167,43,102,64,44,50,9,4,313,487,923,714,522,718,206,80,3654,556,504,297,182,165,41,16,1759,9,19,9,11,4,0,0,48,1053,1443,1015,712,889,248,92,5465
SOSR413,174,428,306,192,238,29,17,1392,40,37,16,12,19,0,0,131,9,22,13,0,10,3,4,63,293,695,569,383,491,93,39,2561,15,42,22,23,20,3,0,126,19,48,30,21,12,0,0,119,36,86,55,36,32,3,0,241,332,776,615,417,523,101,43,2804,549,533,311,218,187,33,3,1846,12,16,7,10,3,0,0,52,890,1326,941,646,710,131,44,4692
SOSR414,56,147,93,84,83,28,0,488,10,7,10,5,8,4,0,40,0,3,0,0,0,0,0,14,90,221,181,147,181,60,14,884,0,8,3,0,3,0,0,18,5,12,5,0,0,0,0,29,9,21,13,3,4,0,0,52,94,242,188,151,190,60,14,932,95,91,59,48,46,13,0,348,0,4,0,0,0,0,0,0,196,333,249,196,229,74,11,1286
SOSR415,244,454,330,236,268,47,13,1602,24,26,21,22,21,3,0,124,12,20,3,10,0,0,0,51,368,795,585,490,585,105,26,2953,19,50,27,19,9,0,0,127,15,40,27,18,20,0,0,121,37,89,54,38,32,0,0,246,405,876,636,525,614,109,27,3197,550,496,272,168,174,36,9,1703,18,18,10,6,9,0,0,58,970,1393,920,704,795,138,37,4969
SOSR421,41,101,70,60,80,16,3,372,0,0,13,7,8,0,0,36,0,0,0,3,4,0,0,7,66,169,134,117,141,35,14,664,3,5,6,0,3,0,0,23,10,15,7,0,5,5,0,40,8,24,12,7,13,5,0,63,72,188,142,117,151,43,14,722,115,116,69,49,34,9,0,391,0,0,5,0,0,0,0,15,190,306,218,168,185,49,12,1126
SOSR422,39,67,52,36,31,3,4,228,3,6,4,3,0,0,0,17,0,0,3,0,4,0,0,4,52,99,89,60,72,4,5,384,0,13,3,0,4,0,0,29,3,9,3,4,0,0,0,21,6,20,13,6,10,0,0,47,57,120,98,65,74,13,5,434,75,101,49,32,35,0,0,293,0,5,9,3,3,0,0,28,134,225,155,101,112,17,3,752
SOSR431,121,263,221,149,160,31,10,953,20,36,12,12,18,0,0,102,8,12,7,7,14,0,0,54,216,517,435,317,414,94,30,2022,9,25,21,13,14,3,0,86,10,18,12,11,7,0,0,52,21,39,29,17,21,3,0,137,238,557,464,336,434,94,31,2159,302,326,196,148,122,30,14,1141,8,10,10,7,0,0,0,42,551,891,673,491,565,121,41,3341
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,3200,6732,4687,3305,3890,1365,751,23922,441,391,258,204,260,97,68,1714,161,235,154,119,152,51,37,903,5983,12814,10026,7640,10000,3864,2378,52706,272,585,426,288,378,118,76,2142,532,1018,550,374,384,75,60,2989,804,1606,977,657,755,190,138,5133,6791,14419,11005,8302,10754,4055,2510,57839,6900,6845,3823,2682,2669,816,512,24240,181,214,155,94,70,20,17,753,13875,21474,14976,11075,13496,4890,3044,82833
SOSR511,154,339,247,208,200,21,3,1173,31,18,24,16,16,0,0,105,13,7,8,4,5,0,0,36,297,608,487,410,498,49,10,2353,11,19,19,14,7,0,0,74,22,54,29,20,14,0,0,140,35,72,46,33,24,4,0,204,330,681,533,445,518,53,16,2562,426,386,219,116,119,13,4,1269,6,4,0,4,3,0,0,22,756,1064,747,565,637,64,15,3850
SOSR512,231,516,396,252,290,15,7,1703,29,33,27,22,16,4,5,126,13,18,11,10,9,0,0,59,388,919,826,607,715,46,16,3516,8,40,37,15,10,0,0,106,31,54,26,22,15,0,4,145,33,88,62,30,25,0,4,252,420,1005,887,637,745,50,18,3767,617,572,269,200,168,16,4,1853,20,42,23,17,6,0,0,113,1056,1624,1175,857,921,72,25,5729
SOSR513,110,214,113,84,83,9,4,609,15,11,9,4,9,5,0,45,16,21,9,5,8,0,0,52,274,544,366,276,312,28,13,1809,7,19,17,17,7,0,0,70,11,35,19,12,8,0,0,88,21,48,37,33,14,0,0,157,294,595,404,305,327,27,12,1964,295,295,167,100,87,7,4,959,15,20,16,3,4,0,0,59,606,912,584,410,414,40,18,2983
SOSR514,40,127,129,75,96,4,0,473,9,6,12,3,6,0,0,30,5,9,3,9,3,0,0,26,69,210,208,143,199,11,0,841,5,23,6,4,0,0,0,44,6,15,8,3,4,0,0,41,12,38,19,12,14,0,0,85,80,245,220,154,212,11,0,930,131,149,56,53,46,3,3,446,0,0,4,0,0,0,0,7,218,404,286,203,257,16,4,1393
SOSR515,152,355,217,160,170,12,0,1065,30,24,23,15,14,0,0,104,8,11,9,4,6,0,0,41,272,646,490,365,421,26,16,2240,23,35,24,22,28,4,0,132,19,54,19,15,14,6,0,134,44,90,47,40,40,8,0,272,316,737,541,408,462,38,14,2513,436,441,244,150,108,12,0,1400,12,25,17,8,0,0,0,54,763,1206,800,562,571,48,14,3969
