SOSR_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SOSR311,1161,1316,801,536,686,162,55,4712,603,614,355,258,281,45,12,2163,692,745,435,263,314,52,8,2503,7445,7887,4935,3343,3780,549,174,28123,46,43,29,21,10,0,0,143,9943,10608,6559,4416,5068,802,251,37642,68,146,86,69,108,25,12,514,181,263,187,120,139,12,8,910,106,196,138,113,149,19,0,721,2408,3419,2334,1561,1729,185,57,11690,99,87,55,33,21,4,0,303,2861,4120,2798,1897,2139,244,76,14134,12802,14731,9354,6310,7206,1043,326,51781
SOSR312,338,470,320,188,275,61,14,1676,240,257,176,148,125,22,11,981,291,288,179,113,159,14,7,1057,2599,2738,1597,1144,1327,207,63,9668,34,24,21,10,3,4,0,93,3507,3781,2296,1608,1891,308,92,13481,25,39,46,34,40,6,4,203,72,121,69,57,71,14,4,401,38,80,67,47,46,8,10,300,880,1231,850,656,670,73,31,4390,40,43,25,15,15,0,0,138,1059,1504,1062,814,853,100,48,5433,4565,5288,3358,2417,2744,410,143,18919
SOSR313,882,903,570,317,406,94,25,3199,534,499,289,188,233,27,9,1784,630,615,318,181,205,20,5,1980,5873,6043,3657,2330,2663,323,84,20974,42,48,24,10,6,0,0,127,7960,8112,4850,3030,3518,463,126,28062,74,137,105,83,85,10,5,491,155,203,129,87,114,15,3,701,91,145,102,53,84,7,0,486,1744,2349,1595,1123,1021,120,33,7991,81,72,49,25,17,0,0,241,2144,2903,1973,1373,1315,150,46,9912,10103,11014,6828,4398,4835,617,173,37976
SOSR314,789,900,573,348,457,105,26,3205,489,592,389,237,273,47,15,2038,712,653,347,218,306,58,12,2304,5564,5909,3619,2321,2558,392,111,20472,30,30,26,16,11,0,0,108,7584,8081,4948,3135,3603,612,165,28130,46,108,98,71,95,33,3,462,139,187,138,76,89,15,3,642,89,115,100,82,72,11,10,485,1390,2134,1361,1038,1051,124,28,7123,49,64,51,23,12,0,0,203,1717,2604,1743,1296,1319,182,49,8915,9306,10690,6691,4430,4926,791,216,37045
SOSR315,657,793,542,368,473,104,40,2972,585,704,429,288,358,50,22,2427,849,816,454,264,322,64,12,2783,8493,9019,5541,3423,3728,554,158,30901,64,59,47,26,12,0,0,204,10643,11386,7008,4365,4889,767,232,39295,50,97,89,52,88,15,13,406,152,233,174,126,118,23,7,827,109,188,165,108,113,16,11,704,2288,3304,2190,1474,1407,159,51,10874,98,118,78,40,24,3,0,367,2705,3944,2683,1798,1750,216,80,13178,13348,15335,9692,6159,6642,980,318,52475
SOSR321,196,274,201,128,135,36,15,982,205,281,192,123,129,19,3,952,262,324,173,102,121,25,9,1017,2915,3419,2147,1405,1469,244,61,11668,32,31,24,19,5,0,0,112,3612,4327,2730,1777,1871,326,83,14730,11,29,18,25,26,9,5,116,51,99,72,38,47,6,4,318,30,49,36,35,30,4,4,184,881,1222,788,524,501,54,12,3984,41,47,33,24,4,0,0,145,1022,1438,951,639,611,74,25,4754,4632,5767,3673,2419,2478,396,108,19487
SOSR322,58,55,30,12,30,3,0,197,51,59,40,32,29,4,6,222,113,91,60,31,29,0,3,329,1362,1443,902,499,517,76,16,4816,14,13,3,5,5,0,0,41,1604,1661,1038,578,602,93,24,5603,7,6,15,12,7,0,0,46,18,43,22,11,16,0,0,109,13,35,12,13,11,0,4,77,474,614,401,247,204,18,6,1962,18,36,15,9,0,0,0,75,527,730,462,293,239,22,9,2279,2129,2391,1503,877,845,111,31,7883
SOSR331,672,1029,819,621,856,243,124,4369,934,1163,812,562,694,163,66,4401,1352,1572,973,579,729,131,60,5389,13594,16570,11195,7435,8878,1495,503,59664,121,121,86,58,36,7,0,432,16678,20451,13888,9259,11186,2045,747,74261,42,120,109,77,106,41,15,512,187,277,205,140,193,32,13,1044,115,187,147,115,127,24,7,731,1964,2819,2071,1529,1546,240,71,10246,92,110,75,54,36,7,0,365,2403,3511,2596,1921,2004,344,108,12894,19083,23965,16490,11181,13194,2390,859,87151
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
