SOSR_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,27,11,35,21,16,34,0,0,0,0,0,0,0,6,5,580,380,961,75,87,164,23,3,24,10,4,16,9,5,18,29,27,54,89,76,166,872,616,1485,16,9,24,0,0,0,0,3,3,5,0,5,0,0,0,0,0,0,13,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,10,25,16,41,10,0,6,0,0,0,0,0,0,6,5,11,233,279,514,213,213,428,35,6,39,1388,1128,2511
SOSR201,25216,23513,48727,6265,8492,14756,282,116,399,8980,11411,20392,2759,2553,5305,615773,428664,1044434,29728,42503,72232,9521,202,9730,4948,568,5518,12451,5466,17916,6137,3716,9857,21398,24618,46013,743455,551828,1295289,4740,5833,10573,7,3,9,2614,3253,5869,4376,2744,7121,608,1294,1900,1146,662,1808,13493,13795,27283,17,0,20,634,817,1453,491,416,907,493,1033,1529,252,316,566,1885,2581,4468,7005,4712,11717,22385,21090,43475,3985,4917,8905,290,373,667,402,238,644,4683,5531,10214,316866,356490,673355,95642,158980,254626,5241,3929,9166,1188278,1097849,2286127
SOSR203,453,251,699,582,901,1483,37,6,43,11,4,18,242,247,494,60275,51061,111338,3843,4509,8349,693,14,711,359,53,406,938,322,1256,346,192,534,1981,2211,4192,69762,59774,129537,28,42,75,0,0,0,26,18,45,130,58,191,8,16,23,49,13,63,253,149,401,5,0,5,0,0,0,36,28,61,61,95,159,36,55,91,137,181,314,583,375,962,972,708,1679,60,66,127,34,32,68,30,9,39,129,108,233,13040,16486,29521,7645,14009,21651,457,382,842,92003,91459,183465
SOSR211,307,271,574,60,100,156,13,3,11,4,6,8,54,43,94,18542,13374,31920,1132,1221,2360,358,14,372,102,11,115,123,29,155,167,74,236,373,267,636,21229,15415,36639,36,70,108,0,0,0,15,21,35,71,61,128,11,21,35,17,12,23,147,179,327,0,0,0,0,0,0,10,0,13,9,25,30,5,4,9,25,29,56,207,111,317,375,318,694,58,68,132,3,8,9,5,0,5,69,79,152,2458,3747,6209,1946,3235,5185,149,115,266,26233,22912,49147
SOSR212,298,251,549,158,213,368,23,6,28,6,4,12,77,106,181,42444,35055,77497,2956,3449,6403,533,8,544,196,31,227,486,199,687,250,152,396,1320,1503,2818,48739,40984,89719,27,33,61,0,0,0,18,17,33,95,70,167,23,16,41,12,0,18,182,131,315,7,0,7,0,0,0,24,13,37,17,36,49,15,8,23,53,59,114,385,230,613,626,424,1044,46,37,78,5,14,17,9,7,21,62,61,123,7514,10879,18394,4926,8828,13751,352,292,645,62220,61456,123674
SOSR213,283,186,470,144,159,304,22,8,34,11,3,14,98,95,193,38883,32581,71464,2600,2789,5380,549,13,564,163,14,187,548,190,738,266,157,425,1309,1498,2807,44881,37689,82571,32,48,79,0,0,0,9,8,17,81,50,132,22,8,29,30,9,37,170,125,297,0,0,0,0,0,0,21,23,42,17,28,41,0,11,13,37,62,93,400,194,590,602,380,987,36,36,66,10,11,17,25,3,30,64,50,110,5404,8115,13521,4575,8057,12631,323,275,600,55852,54572,110423
SOSR214,126,83,214,50,73,118,12,4,19,0,3,5,29,32,58,20265,16886,37155,1336,1406,2741,384,10,397,85,10,101,277,106,382,123,69,195,958,1178,2135,23645,19869,43513,15,19,32,0,0,0,0,5,10,55,39,89,7,0,10,5,3,8,82,65,148,0,0,0,0,0,0,10,9,22,4,3,10,3,4,14,25,21,45,178,97,274,280,188,468,26,16,42,8,0,3,9,4,15,38,21,63,3156,4711,7868,2716,4623,7337,248,189,436,30084,29604,59685
SOSR215,166,115,280,171,104,272,22,5,24,4,4,10,27,6,35,33527,26513,60036,1985,1826,3815,760,19,779,143,27,171,350,152,496,244,129,371,1577,1916,3485,38971,30814,69785,18,15,33,0,0,0,5,5,12,74,41,110,12,11,28,20,0,18,128,73,203,0,0,0,0,0,0,20,8,32,13,13,27,5,0,7,43,26,66,335,130,466,508,232,737,38,27,70,6,3,6,17,3,22,58,35,96,5563,8254,13818,4199,7344,11543,394,356,750,49696,47034,96731
SOSR221,17,15,32,35,26,61,0,4,6,4,0,3,9,4,11,9261,7303,16561,497,475,974,253,9,259,30,0,32,73,38,111,98,41,131,459,545,1002,10740,8454,19189,8,0,8,0,0,0,0,0,0,6,8,12,0,5,5,3,0,3,18,16,32,0,0,0,0,0,0,6,0,7,0,6,10,0,0,0,5,3,11,102,48,154,127,65,194,8,5,10,0,0,0,5,0,7,12,5,15,1565,2213,3776,1140,2003,3143,104,123,231,13690,12865,26552
