SOSR_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,15,23,53,134,131,35,5,389,27,41,61,52,47,55,40,12,3,333,0,0,3,6,9,47,43,28,0,140,0,0,0,0,3,0,4,3,0,16,0,0,3,21,36,79,75,20,4,240,5,3,4,5,30,69,108,39,3,265,0,0,0,5,12,10,16,6,0,48,0,3,8,14,16,58,55,16,0,164,10,94,132,145,167,137,58,5,0,755,0,0,0,0,4,23,17,4,0,54,25,31,39,72,77,111,75,19,7,461,314,289,527,365,281,261,189,44,0,2264,262,241,426,496,450,318,137,35,3,2375,639,658,1164,1108,1010,949,648,166,19,6375,3,3,17,29,70,136,107,42,6,422,32,67,79,60,68,72,56,13,0,448,0,0,7,10,14,44,38,5,0,122,0,0,0,0,0,0,0,0,6,13,0,6,4,9,13,33,38,10,4,122,3,5,8,8,12,30,37,15,6,120
SOSR201,245,802,3104,6218,12273,22028,28510,22991,10011,106183,29081,23107,27978,25799,19706,15232,11810,6931,2400,162039,432,534,1278,2128,4226,9574,15929,13457,5222,52762,39,41,62,80,193,525,1744,4665,4711,12048,642,1342,3044,8756,15932,25619,30013,19782,6040,111158,799,607,1079,2588,7521,17779,27516,23307,10444,91638,536,365,687,1168,1859,3095,4624,4636,2424,19393,370,309,535,891,2020,4468,7079,6800,2976,25444,7057,18165,27517,24762,22626,18296,11411,6209,3064,139105,179,124,258,590,1544,3293,5523,5767,2971,20252,18141,12676,15072,18599,21950,25548,21481,12987,6361,152806,342105,217977,274072,244585,182175,123280,65362,26078,6664,1482293,29333,21585,28779,23900,20655,16099,10762,6992,3390,161494,422549,289091,369594,342049,284946,236664,174337,99909,36647,2255791,270,1320,4329,9249,22184,41682,56321,46881,24876,207104,18175,22797,33739,30604,26927,22730,20264,12401,5084,192722,320,454,1447,3625,8359,12922,16127,11807,5329,60394,19,15,48,60,165,488,1898,6305,10240,19235,541,1266,3267,6706,11862,19551,24366,18033,7931,93522,592,549,992,1478,3512,8022,14805,17248,12770,59973
SOSR203,34,110,432,772,1491,2763,3744,2818,1089,13256,3504,2500,2868,2452,1858,1741,1521,818,287,17553,37,58,105,197,418,997,1859,1531,570,5776,0,3,4,8,17,64,239,509,463,1325,60,157,331,652,1272,2168,2947,1837,596,10017,87,59,120,221,723,1840,3093,2587,1174,9907,48,43,72,86,155,275,447,482,245,1856,40,33,63,126,286,683,1111,941,398,3679,1243,2559,3340,2978,2863,2490,1675,745,334,18233,16,19,43,60,178,381,684,635,337,2348,2105,1372,1522,1616,1951,2324,2081,1223,558,14749,26796,16526,19039,14571,12275,9225,5873,2345,635,107300,2999,2196,2195,1724,1834,1616,1182,732,372,14846,35947,24428,28291,23205,21800,20512,17873,10157,3752,185970,40,197,578,1157,2638,5091,7156,5430,2776,25065,2362,2986,3900,3419,3006,2860,2707,1553,620,23420,34,47,148,370,770,1422,1853,1373,651,6665,0,8,9,7,21,59,237,618,1029,1990,58,157,363,612,1141,1952,2480,1799,757,9329,64,60,129,181,414,927,1887,1983,1535,7182
SOSR211,13,25,120,249,415,731,1007,589,145,3281,1147,685,832,791,522,413,365,174,40,4962,19,12,28,55,100,239,444,292,70,1261,0,4,5,5,5,21,66,91,71,267,14,31,103,349,515,774,986,473,75,3327,32,25,38,100,222,497,887,522,156,2467,21,9,23,41,58,96,153,128,33,564,27,9,23,44,93,206,328,220,61,1024,373,636,843,813,762,627,437,180,54,4722,0,5,6,25,59,101,177,151,33,562,768,380,426,526,586,643,570,266,90,4254,10080,4934,5992,5387,3414,2177,1260,408,83,33735,1391,726,782,735,587,455,295,150,41,5168,13526,7128,8713,8335,6266,5168,4391,1982,487,56005,14,42,206,425,793,1360,1782,967,336,5920,862,735,1200,1071,891,829,671,304,71,6635,10,9,53,112,205,348,460,260,54,1507,0,3,0,0,5,19,43,93,110,278,25,45,155,296,443,670,772,376,116,2895,23,12,49,61,155,291,485,402,178,1659
SOSR212,18,59,256,506,1007,1926,2743,2016,722,9247,2492,1509,1590,1627,1323,1198,1048,530,177,11491,35,25,71,141,266,736,1377,1082,359,4076,4,5,6,0,11,52,164,350,276,866,35,110,207,363,871,1498,2197,1395,356,7039,55,52,80,125,521,1276,2281,1830,716,6928,32,26,48,59,108,215,333,385,188,1383,37,28,40,67,166,452,806,670,254,2509,683,1385,1745,1672,1812,1462,1084,521,200,10565,10,16,20,42,117,246,465,449,179,1539,1384,828,785,976,1248,1456,1515,810,351,9352,19624,10349,11449,10473,9202,7074,4317,1610,403,74498,2387,1463,1433,1411,1408,1213,953,643,332,11236,26178,15121,16783,16199,15841,14923,13180,7207,2451,127879,27,104,359,781,1833,3572,4885,3614,1817,16993,1711,1647,2285,2257,1960,2009,1892,1055,381,15190,21,28,77,231,532,952,1285,971,387,4484,3,3,5,4,12,54,169,394,567,1210,48,96,214,427,775,1298,1694,1144,478,6168,49,44,66,108,317,741,1358,1355,936,4971
SOSR213,21,71,231,503,1034,2134,3156,2385,900,10427,2294,1399,1564,1491,1278,1178,1085,697,204,11182,28,33,53,139,282,751,1395,1265,429,4364,0,0,5,8,15,45,147,387,328,939,51,101,173,391,844,1569,2334,1576,447,7490,54,38,57,157,468,1334,2385,2108,827,7425,36,28,39,70,113,216,411,366,188,1456,44,20,45,84,216,552,970,840,293,3067,782,1401,1647,1705,1764,1664,1207,577,246,10993,12,16,12,53,133,274,527,532,224,1784,1377,810,830,953,1239,1644,1542,957,426,9778,17367,9241,10052,8672,7851,6500,4613,1881,477,66663,2267,1336,1530,1345,1315,1139,1046,659,333,10964,23684,13778,15291,14183,14217,14588,14037,8420,2897,121091,22,95,346,832,1888,3621,5356,4278,2110,18535,1511,1500,2090,2061,2005,1946,1923,1162,451,14652,23,30,95,204,487,970,1362,1003,469,4652,0,3,11,3,17,49,150,482,675,1384,39,104,225,426,792,1360,1867,1380,552,6735,36,39,58,124,327,729,1383,1643,1116,5455
SOSR214,12,39,134,272,577,1308,2294,1841,667,7143,1160,738,776,724,650,726,781,475,149,6174,12,14,32,74,164,467,1008,946,296,3015,0,0,5,4,11,45,125,295,252,735,14,56,84,176,469,986,1637,1219,332,4967,35,34,49,84,293,810,1738,1642,640,5314,27,12,16,25,55,131,251,286,116,925,13,8,22,34,133,385,660,604,206,2072,376,762,868,950,1006,1104,937,463,175,6632,16,10,8,13,52,171,356,383,170,1181,660,402,394,509,694,1037,1082,647,315,5750,8789,4910,5120,4410,4453,4078,3365,1455,359,36946,1196,649,666,681,709,799,783,586,265,6338,11985,7263,7627,7239,7895,9208,10239,6397,2180,70033,6,45,176,413,1091,2385,3816,2981,1496,12421,745,766,1022,1055,1168,1256,1391,844,301,8545,6,17,38,112,279,604,1020,721,318,3116,0,0,0,4,13,29,118,316,511,997,19,34,84,196,419,835,1295,947,384,4220,15,17,33,65,175,474,968,1129,837,3719
SOSR215,22,50,208,420,934,2097,3260,2362,826,10178,1852,1110,1244,1198,1088,1180,1154,698,187,9716,27,23,58,116,249,735,1552,1239,359,4364,0,0,4,6,21,46,167,355,316,926,38,63,159,268,655,1406,2316,1495,405,6809,49,27,79,145,412,1315,2554,2064,758,7415,27,19,34,57,105,206,364,379,178,1364,40,17,25,67,182,598,1023,818,270,3036,578,1007,1249,1340,1521,1599,1283,599,187,9358,10,9,18,25,109,254,495,506,237,1666,1016,579,606,786,1078,1548,1610,884,365,8479,15428,7520,7974,7522,7444,6978,4981,1974,509,60334,1956,1138,1071,1182,1212,1307,1189,711,318,10088,20600,11058,11998,12071,13059,14946,15028,8357,2708,109821,22,75,291,613,1567,3492,5162,3810,1899,16931,1350,1090,1650,1671,1653,1917,1941,1082,382,12738,18,25,49,179,433,966,1396,998,412,4475,3,8,4,9,7,40,142,446,712,1364,35,69,163,287,656,1207,1663,1233,490,5812,43,23,60,86,217,695,1402,1488,1026,5055
SOSR221,13,15,43,120,298,694,1111,664,201,3158,508,249,248,363,341,356,390,181,47,2688,11,7,8,29,60,222,486,328,89,1237,5,0,0,0,7,14,33,73,83,209,16,26,29,61,210,453,706,383,71,1945,7,3,12,34,122,428,808,551,195,2158,11,5,7,15,25,61,125,94,30,364,4,7,7,26,56,192,333,230,56,916,146,251,298,380,450,537,431,143,39,2676,9,0,0,16,35,84,149,114,42,451,263,125,133,180,326,541,473,227,84,2354,4031,1984,1980,2031,2109,2205,1577,555,95,16578,466,278,230,298,362,428,413,215,104,2792,5358,2825,2858,3249,3797,4832,4826,2311,653,30711,8,30,59,177,505,1125,1499,912,415,4726,332,269,394,405,500,584,562,260,81,3397,0,0,15,44,113,275,351,219,73,1096,0,0,0,0,4,4,30,94,130,272,9,20,33,81,158,348,459,257,113,1471,5,7,16,25,60,201,353,323,224,1211
SOSR222,4,6,34,67,164,396,553,303,85,1610,272,145,149,162,171,215,224,64,16,1423,4,0,6,9,44,146,251,128,40,629,0,0,0,0,0,11,14,31,29,89,4,6,11,31,100,247,370,183,46,1010,7,0,3,24,66,238,430,229,83,1083,5,6,0,4,20,26,55,41,24,178,3,5,8,11,44,111,210,100,35,530,89,134,178,191,254,308,229,63,13,1451,5,0,5,6,15,56,70,64,26,237,146,106,75,85,190,264,248,109,29,1260,2018,1038,1058,1128,1231,1257,812,294,56,8896,288,212,187,181,234,292,233,108,34,1773,2789,1580,1640,1736,2200,2760,2525,1122,298,16656,4,11,30,95,269,599,737,444,178,2383,175,152,196,251,238,353,274,126,30,1793,3,0,9,19,73,132,188,113,44,584,0,0,0,0,0,0,14,36,55,103,4,8,15,37,77,185,225,126,45,711,5,4,5,16,43,111,175,145,110,610
SOSR231,39,80,273,689,1982,4782,6380,3545,787,18554,2852,2007,1482,2008,2251,2509,2214,974,179,16476,32,54,87,187,554,1580,3053,1875,381,7802,0,0,6,4,24,70,197,348,181,828,63,139,178,385,1217,2746,3962,2071,399,11163,70,76,72,204,845,2685,4879,3070,792,12689,46,35,34,57,172,382,659,453,140,1986,39,23,53,129,319,1022,1657,1068,231,4531,809,1557,1559,1908,2755,2898,2014,640,114,14252,3,13,19,56,189,470,852,692,177,2463,1426,1032,802,1200,2175,3410,2953,1208,328,14536,28814,17177,12460,14647,18597,18305,11987,3899,655,126553,3855,2741,3043,3395,3827,3966,3212,1527,369,25946,37453,24196,19262,23421,31393,36977,32210,13965,2926,221807,41,119,382,1030,3074,6847,8122,4224,1197,25023,1986,1855,2127,2604,3201,3504,2889,1164,221,19565,45,53,91,307,962,1870,2194,1123,265,6907,0,11,4,3,15,42,145,340,301,864,73,118,188,380,900,1836,2258,1280,328,7364,60,64,85,130,405,1203,2025,1461,592,6027
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,11,3,7,0,0,0,25,0,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,4,15,27,53,54,56,17,0,224,41,34,52,48,52,31,22,12,0,296,0,0,4,6,14,14,28,11,0,79,0,0,0,0,8,0,0,3,0,18,0,0,4,13,31,38,45,9,0,145,0,3,4,9,30,40,59,18,0,165,0,0,0,3,15,9,4,6,0,38,0,4,8,3,33,17,25,4,0,88,23,100,125,162,164,82,35,9,0,700,0,0,0,5,6,8,9,4,0,39,47,32,52,64,78,61,38,3,0,379,240,225,360,256,202,157,101,22,0,1568,263,221,392,530,468,284,133,19,8,2314,594,575,939,1008,912,644,392,90,15,5170,0,3,23,28,54,69,50,20,6,263,31,57,78,74,59,52,23,7,5,389,0,0,4,9,9,24,12,0,0,65,0,0,0,0,0,0,0,0,0,11,0,0,7,13,31,17,7,4,0,91,0,6,3,11,12,15,14,11,6,69
SOSR301,159,651,2280,4460,8490,14026,16974,11669,3925,62630,15750,12828,14238,13587,10909,8161,6479,3224,901,86084,231,346,718,1357,2733,5653,9116,7129,2237,29523,18,24,42,54,117,311,1134,2492,2013,6207,344,840,1620,3949,8416,12787,14698,8832,2042,53521,464,461,736,1600,4675,10363,15656,12197,4507,50655,221,221,353,586,1011,1590,2341,2191,1033,9538,475,266,395,736,1637,3614,5289,4554,1455,18412,6241,13353,17090,15657,14600,11063,7307,3390,1209,89921,70,78,161,338,886,1863,2869,2769,1107,10148,12805,7975,8996,10920,12850,13523,11347,6235,2460,87107,177855,111699,119853,108775,86144,55724,29101,10622,2351,702139,16933,12512,14777,12730,11218,8220,5221,2902,1452,85967,226426,154940,171915,162430,144404,116187,86446,45868,14350,1122973,208,1025,3059,6365,14559,23773,30376,21827,10116,111304,11269,14212,19143,18664,16904,14140,11948,6545,2203,115021,195,322,970,2407,5282,7555,8862,6229,2529,34350,17,14,37,24,107,260,1075,2992,4195,8722,348,833,1882,3668,6810,10297,11720,7498,2551,45596,359,461,736,1104,2624,5278,9020,9244,5850,34675
SOSR302,73,203,708,1556,3320,6240,8933,6740,2218,29998,5364,3776,3999,4378,3835,3109,2778,1700,487,29429,78,118,243,466,980,2497,4703,3989,1323,14392,6,5,10,21,42,153,548,1438,1163,3388,128,304,434,875,2089,3804,5566,3971,1048,18218,124,141,205,441,1428,3687,6965,6425,2449,21874,80,55,102,177,346,508,931,1111,564,3884,155,76,140,259,555,1308,2462,2332,797,8088,2226,3773,4223,4826,4986,4255,3148,1672,665,29789,29,37,51,115,334,749,1363,1551,649,4883,4064,2422,2332,3137,4201,5034,5003,3144,1339,30658,61915,37794,39628,38206,35329,25798,16814,6968,1498,263957,6893,4796,5519,5170,5367,4228,3276,2057,926,38230,79489,51844,55437,56143,56883,50456,45031,26774,8372,430423,84,319,832,2164,5280,9943,14767,11462,5015,49860,3899,4292,5465,5789,5656,5046,5236,3069,1075,39526,50,105,280,820,2046,3326,4513,3257,1246,15650,5,6,6,22,41,111,508,1506,2113,4328,135,247,447,797,1578,2666,3726,2997,1117,13705,122,128,184,326,674,1877,3831,4381,2877,14395
SOSR303,31,133,479,938,1905,3323,4038,2597,873,14318,2857,2097,2161,1899,1749,1528,1192,653,157,14287,31,59,112,229,485,1260,2090,1546,465,6277,4,4,9,16,18,94,291,586,442,1470,52,142,269,646,1600,2558,3034,1745,386,10440,87,88,138,280,903,2114,3206,2456,862,10147,46,38,70,100,193,383,562,475,187,2064,75,44,74,155,355,802,1282,968,272,4033,1187,2231,2780,2855,3032,2547,1693,732,214,17261,22,20,28,85,175,387,646,573,211,2141,2205,1403,1506,1788,2417,2697,2231,1271,459,15963,32731,20521,20216,16927,15220,11088,6211,2241,474,125630,4105,3883,4051,3423,3252,2466,1634,834,335,23984,42571,29626,30281,27076,27227,24522,19068,9823,2945,213132,25,176,529,1156,2875,5263,6368,4714,2162,23281,2008,2476,3202,3123,2972,2832,2312,1259,396,20581,39,59,142,451,999,1490,1868,1210,480,6732,4,7,8,11,22,93,270,743,897,2052,66,160,361,734,1510,2166,2445,1635,538,9617,90,99,139,288,564,1197,1918,1944,1169,7404
SOSR311,26,84,229,512,1160,2322,3418,2533,815,11098,1917,1207,1257,1199,1092,1080,994,628,145,9519,22,37,69,125,279,822,1506,1298,424,4584,0,6,0,5,19,65,231,446,344,1117,45,100,174,409,968,1743,2448,1666,412,7948,54,70,88,182,593,1523,2677,2208,851,8252,21,29,45,58,114,250,411,471,211,1611,56,24,58,101,302,781,1211,1011,318,3867,733,1417,1500,1581,1743,1673,1330,694,229,10894,10,12,25,45,132,282,534,537,215,1789,1500,810,758,966,1311,1736,1621,998,388,10088,17817,10215,10018,8885,7863,6566,4055,1842,450,67720,2398,1648,1851,1852,1870,1644,1095,675,317,13350,23983,14963,15196,14588,14811,15413,13837,8386,2694,123868,27,112,334,864,1968,3809,5296,4268,1865,18550,1464,1502,1867,1919,1919,2051,1874,1134,305,14035,13,29,94,221,513,975,1335,1028,410,4631,0,5,4,4,17,49,181,548,687,1495,51,116,208,379,869,1500,1863,1415,497,6898,47,47,99,174,405,878,1605,1856,1081,6184
SOSR312,4,19,108,215,466,1059,1674,1164,335,5046,733,443,520,489,428,470,522,270,71,3943,10,6,20,47,114,355,803,585,172,2117,0,3,5,4,5,41,100,164,155,474,23,33,67,151,380,801,1088,690,176,3411,13,15,35,78,228,644,1217,1012,337,3585,8,13,22,23,43,95,191,199,82,689,23,15,20,51,137,372,573,444,127,1760,313,565,668,722,781,836,681,291,89,4946,0,0,5,18,49,106,209,204,92,695,602,336,300,411,580,854,784,470,182,4510,6171,3667,3347,3121,3146,2706,2009,820,171,25166,870,553,530,575,611,523,391,260,97,4410,8518,5372,5240,5274,5819,6475,6492,3741,1107,48034,5,40,143,359,862,1691,2423,1854,774,8147,537,547,693,754,806,952,915,526,163,5898,8,16,25,101,188,428,675,515,174,2133,0,0,0,4,9,33,81,195,303,623,19,42,85,136,323,607,805,547,178,2743,21,17,28,49,139,338,698,769,409,2474
SOSR313,19,39,169,296,613,1288,1706,1198,360,5693,1488,783,880,848,696,611,537,321,79,6242,10,26,55,91,181,437,755,590,186,2332,0,0,4,8,3,39,97,211,152,517,33,57,107,281,563,973,1266,742,173,4200,43,42,72,109,311,817,1329,1037,365,4130,26,12,29,34,72,129,238,202,84,814,39,16,16,57,143,367,578,429,135,1787,635,883,992,998,963,879,660,279,79,6372,6,9,16,18,55,155,256,235,84,835,1044,467,496,585,731,878,782,436,136,5560,13319,6786,7122,6031,5194,4014,2484,1064,198,46214,1769,1141,1337,1230,1133,955,570,302,136,8576,17937,9864,10724,9772,9326,8991,7595,4253,1192,79658,17,61,214,517,1117,2049,2741,1957,830,9494,992,1013,1357,1343,1125,1153,989,488,170,8620,10,18,69,161,323,553,743,495,167,2548,0,3,0,0,14,30,70,239,340,694,43,62,157,300,562,811,933,676,222,3774,36,26,71,95,208,541,760,801,484,3019
SOSR314,11,31,126,332,692,1364,1792,1298,401,6057,1336,758,745,835,757,658,569,294,81,6033,15,22,38,80,203,476,853,628,168,2479,0,0,0,8,9,37,128,250,177,613,31,58,87,243,616,1018,1373,879,196,4505,46,32,58,102,350,878,1392,1114,393,4357,15,17,18,39,87,130,249,240,99,898,32,21,23,54,156,428,588,468,152,1914,488,752,818,914,1034,898,724,347,120,6092,9,3,10,30,68,152,281,279,85,923,922,506,446,604,900,970,871,517,188,5918,13000,6718,7084,6283,5796,4384,2690,1070,257,47279,1998,1409,1557,1306,1296,1089,760,462,196,10070,17530,9968,10545,10047,10364,9732,8250,4672,1435,82553,19,50,201,507,1236,2156,2895,2058,926,10054,948,881,1221,1326,1251,1175,1027,524,144,8499,22,16,53,143,349,578,774,521,191,2647,3,0,0,6,5,35,97,267,352,760,21,55,125,288,548,873,1000,681,244,3832,26,32,43,95,221,506,836,793,554,3106
SOSR315,21,68,213,501,1103,2524,3737,2396,631,11186,1887,978,1069,1116,1137,1238,1205,575,130,9343,23,20,78,121,321,869,1655,1169,332,4603,0,3,4,5,24,78,235,411,282,1050,43,89,142,363,940,1926,2611,1453,287,7858,59,59,81,171,618,1588,2865,1972,628,8043,32,20,37,65,125,268,462,415,145,1571,70,17,39,114,285,808,1362,985,236,3915,780,1158,1251,1406,1733,1923,1515,645,182,10600,14,16,19,47,112,328,581,470,160,1735,1320,680,668,916,1393,1990,1824,931,328,10055,18667,9537,9529,8664,8362,7074,4943,1885,396,69053,2656,1980,2736,2316,2165,1932,1377,734,293,16197,24998,14080,15086,14504,15711,16885,15954,8151,2209,127573,39,94,308,791,1853,3971,5222,3288,1351,16915,1359,1225,1704,1746,1895,2086,1925,916,255,13116,20,24,91,231,501,975,1410,856,267,4378,3,0,3,8,18,64,170,424,589,1268,45,84,233,438,871,1591,1841,1127,315,6542,47,64,91,130,382,930,1471,1362,761,5230
SOSR321,5,27,64,192,500,1118,1594,876,209,4595,665,398,327,425,425,514,454,228,40,3466,10,7,26,47,135,352,665,440,96,1776,0,0,0,6,8,26,69,116,90,310,11,27,50,151,385,715,1080,538,108,3069,23,27,21,59,257,689,1195,797,193,3266,11,10,15,19,50,127,204,161,63,653,17,9,16,28,109,318,537,386,72,1499,234,377,386,502,699,778,577,195,44,3787,3,0,4,21,41,146,219,166,50,650,451,251,197,328,552,849,747,341,78,3802,6966,3503,3038,3124,3365,3113,2213,851,118,26298,1205,706,875,856,906,846,610,346,75,6430,9454,5133,4791,5307,6372,7293,6753,3373,683,49160,10,37,92,262,701,1716,1995,1163,391,6368,476,416,533,582,732,866,726,365,79,4782,11,10,19,79,239,438,540,282,78,1699,0,0,4,0,0,23,50,112,123,313,10,34,79,160,363,636,730,414,92,2523,15,26,46,64,143,399,606,464,224,1989
SOSR322,8,14,31,55,207,576,787,451,90,2217,250,108,143,151,216,236,217,96,12,1443,8,3,6,18,60,192,344,211,40,874,0,0,0,0,0,16,22,48,40,131,9,8,24,58,183,424,524,305,49,1591,15,9,20,24,98,336,519,392,84,1501,0,5,4,8,19,53,94,75,25,287,13,0,14,14,66,178,248,180,32,737,96,134,158,192,306,377,267,92,15,1640,0,0,6,3,15,70,107,88,31,317,177,82,81,138,240,394,322,156,47,1634,2877,1498,1471,1328,1436,1604,1129,367,62,11772,567,262,272,300,362,394,317,188,36,2697,3926,2078,2114,2141,2708,3684,3343,1605,312,21912,0,20,29,107,327,761,927,560,147,2878,183,168,200,249,301,381,342,149,25,2005,8,4,12,23,90,195,247,147,30,755,0,0,0,0,0,0,29,61,63,162,8,16,37,81,186,329,370,205,41,1273,12,15,24,34,76,199,289,198,87,923
