SOSR_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
SOSR412,4,8,0,0,0,0,3,0,0,11,19,76,0,0,3,0,0,0,0,97,132,261,24,24,31,7,7,16,5,511,7,17,0,0,0,0,0,0,0,25,44,114,12,18,8,8,10,5,0,227,20,27,4,11,7,0,0,0,0,69,430,1223,154,176,130,64,69,90,14,2346,0,0,4,0,0,0,0,4,0,15,151,125,82,96,37,26,39,43,9,613,263,234,209,160,103,76,70,72,20,1206,805,289,3743,537,308,331,1069,696,142,7930,30,23,74,31,13,36,80,102,6,389,48,36,44,41,20,30,67,43,0,337,18,8,20,5,8,5,7,21,0,93,37,15,63,31,7,23,46,62,47,328,2004,2461,4437,1141,683,599,1468,1142,258,14203,3,28,0,0,0,0,0,0,0,31,17,84,5,0,0,3,0,0,0,113,93,473,15,41,35,15,4,11,3,690,4,26,0,0,0,0,0,0,0,38
SOSR413,3,11,0,0,0,0,0,0,0,18,23,172,6,0,6,0,0,0,3,212,167,324,21,35,27,18,10,16,7,627,12,17,0,0,0,0,0,0,0,35,58,126,6,14,5,3,0,3,8,235,20,25,0,11,0,0,3,0,3,65,411,1274,141,161,106,73,38,89,12,2312,0,0,5,0,0,0,0,0,0,5,120,148,60,69,30,23,18,19,3,488,168,160,126,150,59,64,46,53,8,834,651,225,2518,496,190,263,615,664,104,5733,32,18,43,42,17,32,46,79,10,309,47,37,28,47,19,14,42,51,6,290,18,24,15,5,0,7,12,23,0,99,35,37,59,30,11,21,56,72,33,342,1764,2592,3041,1061,489,508,881,1069,201,11612,3,23,0,5,4,0,0,0,0,36,22,136,3,3,9,0,0,0,0,178,113,490,10,53,44,15,0,15,0,752,0,26,0,4,3,0,0,0,0,40
SOSR414,0,0,0,0,0,0,0,0,0,3,8,16,0,0,5,0,0,0,0,25,28,54,4,5,4,3,0,5,4,106,0,5,0,0,0,0,0,0,0,3,14,30,0,7,3,0,0,0,0,57,0,0,3,0,0,0,0,0,0,6,101,287,38,43,39,17,15,39,15,590,0,0,0,0,0,0,0,0,0,6,51,35,37,26,14,10,4,25,3,208,50,68,48,38,29,25,29,26,4,318,287,80,1016,107,90,112,257,319,37,2311,18,0,22,7,7,10,18,28,0,103,21,7,21,11,11,14,14,30,0,127,11,6,4,7,5,0,3,10,0,38,15,9,14,13,5,16,16,28,19,132,597,608,1203,268,211,205,362,507,73,4026,5,0,0,0,0,0,0,0,0,4,0,25,0,0,3,0,0,0,0,35,29,114,8,13,12,6,0,3,0,177,0,6,0,0,0,0,0,0,0,5
SOSR415,7,4,0,4,0,0,0,0,0,16,15,81,3,0,3,0,0,3,0,106,126,250,33,14,28,20,11,14,8,500,3,8,0,0,0,0,0,0,0,19,40,101,13,13,6,0,3,5,5,192,18,12,5,8,9,0,0,0,4,50,427,1169,149,140,109,62,52,134,23,2265,0,0,0,0,0,0,0,0,0,3,175,154,126,100,48,32,28,60,10,714,315,178,210,146,81,62,83,96,19,1173,1177,323,4069,402,283,366,923,1114,180,8834,52,16,77,31,19,43,55,121,10,423,82,29,57,40,21,30,64,95,8,430,15,16,24,13,7,5,8,22,0,118,69,20,69,18,24,30,88,91,64,483,2515,2364,4821,929,627,656,1318,1763,330,15325,0,26,0,0,0,3,0,0,0,36,16,84,0,4,4,0,0,0,0,121,90,390,7,55,52,12,0,11,7,626,3,17,0,0,3,6,0,0,0,23
SOSR421,5,3,0,0,0,0,0,0,0,7,7,19,0,0,0,0,0,0,0,29,23,51,10,3,7,9,0,5,0,99,3,5,0,0,0,0,0,0,0,9,15,28,0,3,4,0,4,0,0,56,7,11,0,5,0,3,0,0,0,22,117,237,45,33,30,16,18,46,9,549,0,0,0,0,0,0,0,0,0,0,48,36,30,23,13,4,8,4,5,171,69,43,52,31,27,20,24,26,11,302,383,97,1169,89,73,90,323,307,41,2569,13,4,17,12,12,9,18,30,3,113,28,15,23,9,5,3,11,19,3,116,8,0,4,0,5,0,3,5,0,37,30,8,18,10,6,3,24,39,22,163,765,550,1363,210,166,151,435,486,92,4225,0,9,0,0,3,0,0,0,0,12,6,22,0,0,0,0,0,0,0,28,21,133,4,8,11,3,0,5,0,189,0,3,0,0,0,0,0,0,0,3
SOSR422,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,12,12,13,3,4,0,0,0,4,0,42,0,0,0,0,0,0,0,0,0,0,4,10,3,0,3,0,0,3,0,24,5,3,3,0,0,0,0,0,0,10,52,116,18,11,7,13,4,10,3,238,4,0,0,0,0,0,0,0,0,5,26,14,9,14,4,0,4,11,3,87,40,28,23,12,0,6,6,10,0,130,183,43,600,55,36,25,166,203,27,1347,10,0,13,6,0,0,6,21,0,62,13,0,11,8,4,8,15,18,0,68,7,0,0,0,0,0,4,5,0,13,22,13,19,9,0,6,26,32,9,139,382,256,704,126,60,56,228,313,52,2179,0,4,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,11,14,59,0,6,4,3,0,3,0,99,0,6,0,0,0,0,0,0,0,6
SOSR431,6,4,0,0,0,0,0,0,0,14,73,197,6,0,4,0,0,3,5,291,192,283,21,12,24,14,9,19,8,579,9,7,3,0,0,0,0,0,0,19,88,133,9,21,12,4,4,9,0,280,32,36,3,3,6,4,0,0,3,82,1264,1457,202,149,126,81,74,210,41,3599,9,0,0,0,0,0,4,3,5,23,469,196,140,116,49,31,36,79,9,1122,674,253,211,125,67,65,71,114,15,1593,3140,392,4812,396,263,347,1246,1580,246,12418,191,10,79,21,11,30,73,127,11,555,331,46,85,33,24,25,72,108,20,740,55,27,21,18,6,4,21,30,6,188,279,44,98,30,9,46,115,147,86,855,6818,3085,5697,912,593,654,1723,2435,451,22364,13,22,0,0,0,0,0,0,0,39,48,210,6,4,10,0,0,3,0,286,196,584,14,47,59,21,3,23,4,955,13,45,0,0,8,0,0,0,0,67
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,6,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,26,9,0,0,0,0,15,3,59,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,17,8,3,49,8,6,5,17,20,4,121,0,0,0,0,4,3,0,3,0,9,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,7,0,17,30,51,59,18,14,18,31,45,7,264,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
SOSR501,146,365,24,24,36,7,11,11,7,627,899,6001,130,78,124,41,51,53,59,7435,7976,17360,1547,1262,2104,925,1217,1025,402,33808,270,652,47,48,80,32,37,22,26,1223,1697,4716,354,365,462,131,165,171,61,8121,702,994,132,229,207,45,49,33,26,2422,20205,53252,8300,5934,7377,3983,4558,4124,1257,108984,44,43,90,46,15,14,30,41,7,338,4439,4846,4478,1787,1470,942,1605,1154,292,21018,6097,5459,7864,3561,2379,1829,3019,2233,420,32867,13357,6303,67941,7373,5610,4513,14820,11741,2405,134065,487,304,1355,919,440,830,1187,1745,76,7347,974,657,1369,752,476,512,1062,871,98,6769,695,1041,822,305,261,171,462,422,96,4271,853,991,1470,592,403,406,1062,971,1250,7987,58836,102988,95918,23275,21433,14389,29345,24618,6479,377274,135,808,24,47,90,22,5,5,4,1138,565,5000,91,104,242,42,7,26,47,6133,4601,18285,857,2611,3460,1124,171,803,299,32215,243,1098,24,124,157,38,12,34,23,1756
SOSR511,3,8,0,0,0,0,0,0,0,13,12,70,0,0,3,0,0,0,0,91,91,219,24,14,15,7,14,9,3,401,3,7,0,0,0,0,0,0,0,18,23,117,6,7,5,8,3,3,0,167,22,28,8,0,7,3,0,0,0,62,290,941,167,101,86,47,77,94,14,1822,0,0,3,0,0,0,0,0,0,7,105,103,125,38,30,21,56,26,7,518,179,179,232,83,56,44,80,60,12,921,475,256,3657,280,220,189,994,669,128,6862,18,9,89,29,12,47,81,95,3,382,24,19,56,22,7,28,52,38,9,249,13,24,22,9,9,0,22,12,0,103,32,25,53,10,6,19,66,44,39,292,1299,1995,4444,581,465,403,1450,1052,215,11897,4,23,0,0,0,0,0,0,0,30,10,66,0,0,0,0,0,0,0,75,44,265,9,33,40,12,0,9,0,415,0,22,0,0,3,0,0,0,0,27
SOSR512,0,16,0,0,0,0,0,0,0,14,18,122,0,0,0,0,0,3,0,142,143,385,20,32,21,11,20,10,7,651,6,20,0,0,0,0,0,0,0,27,43,157,8,17,10,5,5,8,3,267,28,38,7,11,0,4,0,0,0,85,440,1437,239,165,105,61,117,91,17,2677,5,4,6,0,0,0,3,0,0,12,187,223,145,78,41,36,79,51,15,861,275,222,319,169,68,66,104,114,22,1358,946,359,5695,527,284,351,1401,933,175,10671,50,30,120,66,29,99,120,161,7,673,61,23,60,42,14,25,89,69,7,392,26,20,35,6,7,8,16,25,7,153,36,44,85,33,5,23,91,80,62,455,2255,3089,6727,1162,590,687,2062,1548,317,18440,8,34,4,0,0,0,0,0,3,47,4,87,3,5,4,0,0,4,0,108,115,515,10,45,61,18,3,10,0,778,8,35,0,3,3,0,0,0,0,52
SOSR513,0,4,0,0,0,0,0,0,0,6,10,44,0,0,5,0,0,0,0,61,104,195,35,14,25,4,7,12,5,401,0,8,0,0,0,0,0,0,0,18,29,93,6,13,8,6,7,4,0,167,26,24,12,9,0,0,0,3,0,69,325,736,215,105,98,41,59,77,18,1669,0,0,3,0,0,0,0,0,0,11,114,127,139,55,33,19,40,35,14,574,193,139,261,120,58,37,72,47,21,946,637,309,3887,247,210,138,905,571,179,7083,18,14,74,27,18,30,45,62,6,301,38,37,43,14,14,12,49,32,0,247,10,18,31,11,6,0,14,21,5,111,37,24,78,20,9,11,68,54,69,367,1552,1760,4766,642,476,306,1275,917,326,12019,5,15,3,0,0,0,0,0,0,25,10,48,0,0,11,0,0,0,0,67,98,334,18,27,38,19,6,7,0,552,0,24,0,0,3,0,0,0,0,35
SOSR514,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,29,32,76,6,3,4,4,4,10,0,137,0,0,0,0,0,0,0,0,0,3,6,43,0,3,0,5,0,0,0,56,9,9,0,6,0,0,0,0,0,25,144,331,89,37,25,21,34,64,7,739,0,0,0,0,0,0,0,0,0,0,44,39,34,15,9,10,14,23,4,189,63,45,90,32,10,15,18,36,3,309,185,58,1290,96,49,58,286,248,52,2324,8,6,30,7,10,9,13,38,3,118,14,8,18,9,8,13,26,17,0,113,6,0,10,0,0,0,4,10,5,34,19,7,18,9,0,8,22,13,12,101,524,647,1588,223,108,148,418,457,78,4187,3,0,0,0,0,0,0,0,0,7,0,16,0,0,0,0,0,0,0,16,15,117,4,24,17,4,0,4,0,187,0,4,0,0,0,0,0,0,0,8
SOSR515,3,3,0,0,0,0,0,0,0,5,13,44,4,0,0,0,0,0,0,69,81,153,28,21,21,4,5,20,4,334,0,9,0,0,0,0,0,0,0,12,32,97,11,14,5,0,3,5,0,178,17,15,3,13,5,0,0,7,0,57,348,781,162,136,69,33,75,143,27,1764,0,4,5,0,0,0,0,0,0,11,100,102,109,63,30,22,51,49,6,527,158,136,202,129,43,34,92,76,10,879,678,284,4214,358,215,180,1218,740,162,8039,23,25,79,36,13,41,88,104,9,408,36,19,54,21,5,18,64,64,4,288,15,10,17,7,0,4,13,30,4,98,37,23,77,34,8,24,94,112,64,461,1531,1706,4959,827,415,372,1712,1329,292,13135,3,12,0,0,0,0,0,4,0,21,7,33,0,0,8,0,0,0,0,54,85,292,13,37,34,12,0,16,7,493,0,28,0,0,0,0,0,0,3,38
SOSR521,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,24,39,54,5,8,3,0,0,0,0,113,3,0,0,0,0,0,0,0,0,6,14,27,0,4,0,0,4,0,0,54,0,3,4,6,0,0,0,0,0,21,139,260,56,40,16,12,23,41,0,585,0,0,0,0,0,0,0,0,0,3,59,44,34,31,12,4,31,9,4,223,68,51,64,61,11,11,28,16,13,317,273,88,1351,112,79,64,443,282,63,2755,7,8,22,24,3,17,19,34,3,140,18,10,12,6,8,8,17,23,3,107,7,0,7,6,0,0,3,6,4,36,15,13,37,15,3,8,55,34,29,220,643,585,1591,303,145,129,631,453,124,4605,0,4,0,0,0,0,0,0,0,9,3,19,0,0,3,0,0,0,0,26,35,92,0,19,10,9,0,4,0,168,0,7,0,0,0,0,0,0,0,7
SOSR522,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,13,21,25,0,0,5,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,17,0,4,3,0,0,3,0,27,3,3,0,0,0,0,0,0,0,10,80,136,18,22,11,9,7,14,0,304,0,0,0,0,0,0,0,0,0,5,20,20,26,14,6,4,5,6,0,100,41,18,30,28,6,5,19,16,0,170,166,51,606,58,27,29,207,156,32,1323,11,6,14,4,0,3,16,18,5,80,10,14,7,6,0,0,9,16,4,64,0,0,5,0,0,0,6,4,0,26,14,7,17,10,0,3,24,17,15,105,380,301,720,149,63,56,301,254,59,2278,0,3,0,0,0,0,0,0,0,3,0,17,0,4,0,0,0,0,0,19,15,51,0,9,10,0,0,4,0,88,4,5,0,0,0,0,0,0,0,9
SOSR531,6,5,0,0,0,0,0,0,0,13,56,104,4,3,4,0,0,5,3,184,231,308,39,18,12,8,26,22,7,662,19,18,3,0,0,0,0,6,0,37,96,153,12,12,5,0,5,14,3,308,32,38,3,12,0,0,3,0,0,95,1464,1608,296,155,132,92,168,263,40,4219,4,0,5,4,0,0,5,3,0,23,573,268,266,93,75,58,124,120,22,1594,627,261,387,136,68,66,174,163,30,1905,2789,511,6956,419,275,251,2069,1414,272,14960,122,29,127,36,23,48,150,176,5,710,213,38,91,40,12,39,117,104,12,664,87,34,43,8,11,7,33,45,0,273,255,45,144,39,12,37,163,152,91,944,6565,3425,8383,964,639,609,3036,2478,494,26595,16,39,0,4,5,0,0,0,0,63,42,150,4,5,10,3,0,4,0,227,192,510,18,44,72,15,8,21,8,888,17,42,0,4,0,0,0,0,6,66
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,5,0,0,0,0,13,0,33,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,10,0,0,6,0,0,0,0,3,0,15,4,6,41,0,0,0,13,15,3,100,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,4,4,34,59,0,3,0,20,49,12,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,6,15,5,5,0,3,0,0,0,30,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,4,13,48,11,12,6,9,9,23,0,123,0,0,0,0,0,0,0,0,0,0,3,4,6,5,0,0,3,4,0,24,7,8,16,5,7,0,4,8,0,55,10,14,149,10,7,6,46,45,5,296,0,0,4,0,0,0,3,9,0,16,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,3,4,3,16,40,106,188,38,25,15,72,95,13,595,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,11,0,17,0,6,3,0,0,8,0,38,0,0,0,0,0,0,0,0,0,0
SOSR603,3,32,3,0,0,4,0,3,0,56,135,885,20,11,19,6,0,11,8,1101,743,1590,405,479,316,293,314,530,71,4737,26,49,8,8,5,11,10,12,4,139,145,480,30,44,48,17,10,18,5,800,119,172,18,29,24,4,0,5,0,375,1670,4642,950,882,704,460,397,639,136,10486,3,3,7,0,0,0,0,0,0,19,287,285,235,180,122,72,45,77,17,1315,531,455,508,339,260,149,105,177,51,2575,1430,547,5006,966,590,452,700,881,191,10774,49,34,94,83,51,60,56,115,10,544,78,63,70,95,59,44,51,83,12,542,36,54,32,34,18,20,19,34,10,258,84,72,103,73,49,44,71,90,88,679,5336,9382,7499,3242,2263,1624,1784,2673,611,34411,12,74,0,3,7,8,0,0,0,98,112,819,13,19,39,3,6,4,8,1029,623,2537,123,889,589,312,19,291,76,5462,24,91,5,15,22,7,0,3,4,163
SOSR611,5,14,0,0,4,0,0,0,0,26,23,203,7,5,7,0,0,4,0,257,176,387,107,130,53,62,145,153,16,1230,10,18,0,6,3,0,0,4,0,46,34,132,14,13,4,6,0,5,0,202,28,52,3,20,11,0,0,3,0,117,472,1494,222,282,163,113,163,198,41,3150,0,3,4,0,0,0,0,0,0,7,113,129,98,56,38,20,30,34,3,522,200,162,167,127,92,65,58,69,19,963,778,229,2233,374,254,243,503,453,85,5150,22,14,50,37,17,28,40,76,0,284,25,22,38,16,26,31,31,17,3,217,15,26,11,13,10,4,5,22,3,110,26,22,44,34,11,13,40,55,36,291,1922,2911,2988,1115,694,595,1026,1089,209,12562,0,29,0,0,0,0,0,0,0,25,19,164,0,5,10,0,0,0,0,207,106,648,32,198,78,54,3,72,14,1205,9,19,0,5,3,0,0,0,3,40
SOSR612,0,8,0,0,0,0,0,0,0,9,9,38,0,0,0,0,0,0,0,47,33,121,31,38,14,6,14,38,0,301,0,9,0,0,0,0,0,0,0,14,12,49,0,8,3,0,0,0,0,74,9,18,6,6,0,5,0,0,0,31,126,475,80,93,35,26,23,78,12,944,0,0,0,0,0,0,0,0,0,7,48,46,38,25,17,4,12,11,3,209,84,77,69,55,40,32,34,36,9,423,365,124,1436,227,133,135,402,333,47,3205,12,6,20,19,7,23,33,53,0,180,12,13,20,18,9,22,12,28,6,141,5,4,13,6,4,0,3,8,0,45,12,15,26,13,0,3,34,48,40,202,729,993,1736,505,274,262,580,634,113,5825,0,9,0,0,0,0,0,0,0,8,5,35,0,4,5,0,0,0,0,47,30,196,3,56,21,5,0,21,0,338,0,12,0,5,4,0,0,0,0,21
SOSR613,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,9,23,7,4,0,0,0,8,0,60,0,0,0,0,0,0,0,0,0,0,4,16,0,0,5,0,0,0,0,25,6,9,0,0,3,0,0,0,0,19,38,137,12,18,9,9,0,9,8,243,0,0,0,0,0,0,0,0,0,0,8,17,3,13,6,0,0,0,0,52,18,25,16,10,18,6,4,10,0,110,129,46,433,52,44,28,109,101,18,946,0,3,7,0,0,0,7,17,0,38,6,0,3,3,0,0,9,6,0,29,0,0,0,0,0,0,0,0,0,9,8,3,3,6,0,0,11,4,4,35,238,278,493,115,80,41,146,160,31,1580,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,8,47,0,3,6,0,0,4,0,82,0,3,0,0,0,0,0,0,0,3
