SOSR_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
SOSR302,2130,55,17,67,2197,286,5,2491,32698,4744,1147,226,38818,549,198,748,39565,2253,71,41887,41617,8539,1560,329,52040,588,183,770,52818,2103,91,55010,7134,1378,1220,107,9834,112,26,136,9977,453,9,10433,537,82,24,548,1193,8,4,13,1207,76,119,1405,81985,14743,3957,1208,101893,1265,413,1675,103563,4885,286,108741,668,139,21,24,852,154,7,162,1009,100,0,1115,1475,273,71,52,1874,116,37,153,2029,165,0,2189,2145,417,99,72,2727,271,43,318,3041,265,0,3313,84124,15155,4054,1283,104618,1541,450,1994,106607,5153,288,112049,16449,3619,1051,499,21616,649,190,840,22453,3482,90,26025,164,40,8,195,398,6,0,7,410,28,417,854,100735,18812,5105,1975,126628,2194,647,2844,129471,8661,798,138931
SOSR303,569,14,6,19,586,99,6,690,17502,2234,393,111,20238,269,87,353,20597,1210,35,21835,18138,3067,488,131,21825,239,74,316,22141,1054,16,23208,2146,405,350,20,2915,38,5,52,2965,136,4,3107,183,30,3,196,410,12,0,12,424,52,29,497,37965,5738,1230,457,45390,565,169,728,46125,2448,81,48647,292,55,6,14,369,76,14,92,460,97,0,555,554,138,18,15,723,72,66,141,862,58,6,931,845,198,26,24,1094,149,81,239,1329,153,11,1486,38808,5932,1255,482,46481,714,253,960,47445,2602,88,50136,7693,1824,369,258,10149,439,168,606,10755,2721,37,13508,63,16,9,46,130,0,3,3,129,30,167,329,46562,7782,1632,791,56763,1151,417,1568,58332,5349,293,63974
SOSR311,195,3,0,5,208,27,0,230,8898,1053,236,67,10251,119,33,149,10399,527,29,10955,10452,1435,291,118,12298,157,56,214,12506,511,19,13042,1166,141,221,13,1540,7,7,13,1553,48,0,1605,102,14,0,185,295,5,8,15,313,27,33,372,20614,2633,752,386,24384,287,105,398,24777,1123,81,25976,164,22,0,0,185,51,8,66,255,44,0,292,296,65,22,25,413,31,11,43,456,21,0,479,461,90,21,25,604,82,24,107,710,64,0,772,21074,2720,775,412,24985,371,132,503,25486,1185,82,26750,4411,783,201,202,5603,206,55,260,5864,1168,14,7046,27,6,0,46,78,0,0,0,74,4,80,162,25515,3513,981,659,30663,576,185,761,31426,2359,180,33957
SOSR312,70,0,0,0,74,10,0,87,2576,339,95,17,3026,52,16,68,3096,179,8,3276,3717,531,137,40,4424,71,23,89,4514,263,4,4777,497,68,100,17,681,5,3,8,689,39,0,722,32,13,4,49,91,0,0,0,93,15,4,122,6820,948,331,124,8224,127,44,166,8390,496,10,8901,74,11,6,3,94,35,0,35,127,8,0,136,139,45,7,7,194,3,0,3,199,7,0,211,207,55,13,8,286,40,0,40,326,22,0,341,7027,1001,347,129,8510,162,44,203,8715,511,10,9239,2045,342,111,48,2549,111,32,141,2685,596,15,3296,22,0,0,15,40,3,0,3,41,4,37,81,9097,1354,457,193,11096,274,74,348,11439,1112,66,12616
SOSR313,113,0,0,0,116,13,0,125,6575,598,140,58,7366,79,25,98,7468,372,12,7852,7810,892,204,75,8983,73,32,109,9086,386,9,9492,929,114,172,0,1214,18,0,18,1234,37,0,1266,95,13,5,120,235,3,0,3,244,23,26,290,15405,1623,515,257,17797,171,56,224,18028,818,48,18896,122,14,0,8,141,24,0,30,166,20,0,185,263,27,4,10,301,3,15,18,320,21,4,340,379,43,4,11,444,31,15,47,485,40,4,528,15786,1666,523,271,18240,202,71,275,18516,861,48,19425,4070,571,205,115,4953,163,55,218,5168,775,24,5970,24,8,0,34,64,0,0,0,64,3,83,151,19881,2244,728,410,23259,368,125,488,23748,1638,162,25550
SOSR314,129,3,0,3,133,19,0,157,6563,618,217,62,7463,72,16,91,7548,366,15,7925,7882,1002,276,106,9277,104,16,118,9395,333,6,9736,1134,178,172,9,1502,7,0,7,1508,68,0,1585,93,18,4,165,284,5,0,4,286,20,34,341,15676,1820,673,348,18516,186,33,219,18737,788,57,19588,130,20,0,3,151,51,3,56,208,14,0,226,330,32,12,6,374,30,6,40,418,27,0,441,459,46,14,9,526,81,6,91,619,43,0,666,16135,1872,687,357,19045,266,44,310,19356,832,62,20253,3907,531,247,157,4834,174,32,209,5045,849,21,5913,39,0,0,33,73,0,5,5,75,5,118,195,20085,2401,934,542,23955,443,78,520,24482,1684,204,26368
SOSR315,192,3,0,7,198,28,0,227,8691,954,249,68,9965,125,46,168,10137,597,17,10755,10228,1474,363,129,12195,143,39,176,12373,581,13,12967,1423,293,246,26,1992,21,3,20,2018,115,3,2130,129,5,4,197,335,5,0,5,339,34,28,397,20475,2730,865,418,24491,284,89,376,24864,1328,58,26250,135,41,18,10,198,56,6,60,262,47,3,310,315,26,16,14,373,33,18,53,421,34,0,455,449,66,33,23,568,88,22,111,681,83,3,769,20928,2797,896,442,25058,370,116,487,25545,1411,62,27019,4978,946,305,240,6474,255,68,324,6797,2171,26,8992,55,13,6,47,115,0,0,0,119,32,165,315,25957,3757,1207,725,31648,630,182,813,32463,3612,253,36324
SOSR321,65,0,0,3,70,9,0,78,3216,382,86,37,3721,41,6,46,3761,243,9,4018,3807,636,120,67,4627,42,17,60,4683,296,12,4988,463,99,104,10,677,4,0,4,680,29,0,711,62,10,0,98,170,3,0,3,171,10,9,187,7553,1123,310,204,9190,83,24,113,9297,582,27,9906,67,17,5,3,94,70,5,76,170,27,0,196,109,24,3,0,140,15,9,22,161,25,0,182,176,45,10,3,233,85,8,94,332,52,0,385,7723,1164,314,207,9419,173,38,213,9633,633,27,10287,1752,318,95,85,2251,98,37,129,2378,781,10,3162,28,5,0,17,48,0,0,0,48,3,106,153,9510,1488,414,305,11713,268,76,343,12052,1422,136,13608
SOSR322,18,0,0,0,18,5,0,25,1009,122,27,8,1166,19,4,19,1187,111,0,1298,1387,249,44,16,1697,22,6,32,1731,96,12,1837,160,23,30,9,221,0,0,0,220,14,0,236,15,3,0,38,56,3,0,3,61,10,4,79,2577,394,111,67,3146,42,10,56,3197,233,18,3447,24,7,0,0,33,18,0,18,52,18,0,68,47,4,0,3,56,5,12,19,71,5,0,78,74,10,0,3,88,27,12,31,125,18,0,146,2646,406,107,72,3234,69,20,93,3324,251,13,3590,650,130,67,52,902,72,17,92,992,560,13,1568,3,0,0,7,15,0,0,0,15,0,48,61,3293,535,176,130,4144,142,42,187,4328,813,77,5216
SOSR331,621,12,3,11,629,73,3,709,18347,1732,466,123,20662,138,39,184,20847,1036,28,21917,21753,3135,676,307,25870,132,65,197,26069,1036,38,27142,2463,419,426,42,3354,18,9,25,3383,161,11,3550,292,37,15,517,855,3,0,3,859,59,28,943,42849,5323,1582,991,50745,297,111,410,51156,2293,103,53552,152,33,10,4,200,53,0,57,258,100,7,357,415,71,11,16,513,30,29,57,573,48,4,622,568,111,15,24,717,86,32,119,834,146,7,983,43418,5432,1602,1009,51455,383,146,528,51987,2438,113,54536,8911,1479,438,389,11218,266,99,363,11585,2473,40,14095,115,26,14,89,244,5,0,5,249,24,261,536,52443,6933,2048,1488,62916,651,244,897,63816,4932,415,69167
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,5960,129,35,163,6124,1032,12,7165,45772,6847,804,219,53638,755,245,1003,54639,2746,73,57468,65947,11357,1223,395,78922,808,275,1080,79999,2862,120,82979,7102,1236,941,72,9348,63,22,82,9433,300,19,9745,461,112,28,529,1134,14,6,19,1152,109,83,1343,119288,19547,2995,1213,143040,1640,545,2187,145227,6021,291,151536,1109,328,28,26,1493,277,17,292,1793,169,9,1963,2242,540,38,48,2858,229,106,338,3195,200,3,3403,3350,869,65,72,4354,500,124,635,4989,373,7,5371,122634,20416,3064,1285,147399,2143,671,2816,150211,6389,298,156900,26365,6604,941,679,34595,1237,408,1647,36243,8697,108,45042,212,67,6,150,438,0,0,0,444,52,432,927,149219,27091,4006,2117,182431,3384,1084,4465,186895,15137,840,202877
SOSR412,200,3,0,0,204,17,0,224,3486,455,75,17,4030,27,7,34,4065,235,5,4305,5102,588,126,61,5879,45,20,67,5944,173,0,6120,627,65,64,0,759,4,0,4,761,40,0,798,45,5,0,46,96,0,0,0,96,8,6,114,9260,1109,271,130,10768,75,29,104,10870,452,15,11333,69,10,0,4,86,7,0,7,88,13,0,105,116,13,0,8,137,11,0,10,152,13,6,171,188,23,0,8,222,17,0,16,240,31,6,278,9453,1134,272,138,10984,89,37,126,11114,478,20,11611,2085,387,94,58,2624,58,32,84,2711,429,6,3148,18,5,0,4,30,0,0,0,30,0,16,47,11553,1521,363,201,13636,142,69,213,13844,910,44,14807
SOSR413,145,0,0,0,147,19,0,165,2569,381,70,10,3031,34,8,40,3071,219,10,3295,4028,707,159,41,4933,50,16,72,5003,191,0,5196,372,77,62,3,517,5,0,5,520,24,0,541,39,0,0,54,95,3,0,3,97,14,5,114,7013,1170,295,107,8575,96,21,117,8690,444,14,9148,37,19,4,0,56,12,6,16,71,27,0,94,94,13,3,4,113,25,3,25,139,18,0,156,132,35,11,4,173,32,8,42,211,43,0,249,7138,1199,301,108,8745,130,27,158,8900,487,14,9404,1339,332,56,71,1796,95,30,127,1923,537,9,2466,3,0,0,10,17,0,0,0,17,3,27,44,8477,1538,358,188,10561,220,62,280,10838,1024,44,11911
SOSR414,51,0,0,0,51,4,0,54,830,127,17,15,991,8,8,16,1006,58,0,1066,1511,259,43,11,1821,25,3,31,1848,81,3,1934,126,31,29,5,192,0,0,0,192,12,0,202,21,3,0,16,43,0,0,0,47,0,5,49,2495,422,85,45,3048,36,11,47,3088,157,7,3250,13,0,0,0,15,0,0,0,15,5,0,17,62,3,5,0,69,7,0,7,71,8,0,83,71,3,5,0,80,7,0,7,88,10,0,99,2568,428,88,45,3127,38,8,51,3178,163,7,3350,614,126,23,27,782,19,6,27,809,110,0,915,4,0,0,5,5,0,0,0,5,0,9,23,3178,552,112,68,3919,55,20,79,3998,278,18,4291
SOSR415,160,5,0,5,156,18,0,180,3667,452,84,21,4224,43,23,70,4290,213,8,4516,5956,887,152,66,7059,65,23,87,7148,258,13,7418,562,92,118,7,784,5,0,5,789,29,0,815,61,16,0,79,157,0,3,3,163,14,0,182,10251,1450,349,176,12224,113,52,170,12390,510,24,12927,55,3,0,0,61,16,4,23,80,5,0,88,138,24,10,0,173,8,6,13,184,15,0,195,197,24,8,0,226,18,13,31,264,22,0,283,10440,1479,354,175,12448,140,69,204,12656,535,24,13214,2033,373,106,86,2591,63,25,86,2683,537,16,3231,22,3,0,11,36,0,0,0,37,3,54,95,12491,1858,462,273,15081,199,91,286,15370,1074,94,16540
SOSR421,63,0,3,3,64,4,0,74,894,109,17,8,1027,3,3,9,1035,54,0,1092,1722,235,33,26,2015,21,8,20,2036,84,3,2125,190,30,23,0,246,4,0,4,248,9,0,254,17,4,0,15,39,0,0,0,39,0,3,46,2820,379,77,51,3336,28,5,34,3366,147,5,3515,12,0,0,0,12,5,5,9,18,5,3,29,20,11,0,0,36,3,0,4,40,0,0,40,34,11,0,3,53,6,9,10,60,5,3,73,2852,386,78,54,3379,35,16,46,3426,147,11,3591,528,115,22,27,689,26,12,38,731,144,7,878,5,5,0,0,4,0,0,0,4,0,11,19,3385,504,96,89,4079,61,23,88,4162,292,32,4483
SOSR422,11,0,0,0,11,0,0,13,367,66,10,8,450,4,0,6,455,37,0,492,676,131,22,9,841,8,4,8,850,61,0,909,68,5,7,0,83,4,0,4,84,7,0,93,8,0,0,3,13,3,0,3,14,3,6,24,1117,198,33,29,1377,16,6,24,1400,114,6,1518,0,9,0,0,8,14,0,14,23,3,0,30,10,5,0,0,17,0,0,0,18,3,0,17,14,16,0,0,25,14,0,16,43,3,0,48,1133,210,33,29,1407,33,3,33,1442,120,6,1566,298,63,11,13,382,38,8,41,428,181,5,619,0,0,0,3,5,0,0,0,5,0,19,36,1428,272,53,49,1795,67,14,77,1873,305,36,2215
SOSR431,312,3,6,8,316,40,0,353,5534,581,101,49,6264,37,19,54,6319,250,10,6573,9640,1156,142,109,11047,52,26,72,11124,354,10,11490,704,123,165,16,1000,4,0,4,1006,16,0,1023,120,12,9,132,279,0,0,0,285,12,7,300,16002,1868,424,302,18600,94,39,136,18732,633,27,19392,48,7,0,0,57,15,0,15,73,11,0,78,116,8,5,7,140,8,4,16,159,9,0,164,168,17,12,7,200,24,4,32,226,20,0,244,16168,1887,434,303,18791,118,48,167,18957,649,27,19635,2990,435,109,120,3665,59,18,72,3735,675,23,4429,35,0,0,12,46,0,0,0,46,0,81,134,19193,2324,543,443,22496,178,63,237,22741,1329,132,24198
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,9125,187,70,256,9373,1058,33,10471,78509,9642,1659,428,90245,1267,394,1663,91906,4439,144,96492,120059,14969,2774,874,138683,1394,342,1733,140419,3806,225,144442,11476,1522,1694,123,14817,134,31,164,14986,414,41,15437,1081,129,30,1133,2372,48,6,51,2426,109,215,2749,211132,26272,6155,2553,246111,2843,776,3616,249727,8771,622,259121,2153,395,53,49,2650,312,42,352,3002,273,11,3288,5400,763,175,129,6463,324,102,424,6889,339,30,7259,7553,1164,225,177,9117,634,141,777,9896,607,38,10544,218686,27435,6378,2734,255229,3475,922,4393,259624,9384,659,269666,60745,9192,2474,1684,74100,1875,505,2376,76475,9034,259,85770,449,83,7,506,1046,18,0,18,1058,66,920,2042,279873,36707,8862,4926,330370,5358,1428,6784,337158,18483,1841,357478
SOSR511,67,0,0,0,70,9,0,81,2303,264,75,17,2653,27,16,39,2696,125,0,2822,4334,431,181,27,4978,44,10,56,5035,138,3,5177,350,42,66,10,476,7,0,7,485,10,0,491,28,0,0,35,61,0,0,0,61,6,7,81,7013,739,321,95,8166,81,26,101,8275,285,15,8575,36,10,0,0,45,23,0,23,61,5,0,68,153,5,4,0,167,21,0,24,191,5,0,198,192,8,4,0,213,41,0,46,253,11,0,265,7199,751,324,95,8379,121,31,147,8526,299,15,8837,2081,234,111,59,2484,55,10,75,2548,241,0,2796,9,3,0,16,31,0,0,0,31,0,26,58,9292,991,439,169,10887,181,42,218,11109,541,46,11688
SOSR512,52,0,0,0,52,3,0,60,3930,485,106,25,4545,46,17,59,4605,206,7,4816,5911,775,233,51,6973,47,27,68,7042,248,8,7302,495,77,76,17,661,0,0,5,666,33,0,699,45,9,0,52,99,9,0,9,105,12,4,123,10385,1346,417,141,12286,92,41,136,12423,491,18,12936,48,3,3,5,57,9,0,9,71,9,0,81,135,24,11,12,172,8,3,11,186,10,0,198,182,24,14,7,235,17,4,25,252,17,0,273,10564,1374,431,150,12517,109,52,158,12676,510,18,13208,2882,373,127,92,3474,93,25,116,3591,407,21,4017,27,0,0,9,42,0,0,0,43,4,75,127,13466,1746,558,254,16031,199,78,277,16309,922,120,17349
SOSR513,37,0,0,0,37,0,0,36,2966,238,108,43,3360,41,8,49,3405,126,8,3543,3755,362,186,66,4360,28,8,34,4392,91,8,4495,456,38,96,0,587,3,0,3,592,25,0,615,56,10,0,60,123,0,0,0,125,3,14,141,7236,638,385,170,8431,75,11,85,8521,241,35,8795,61,7,3,0,67,13,0,13,81,3,0,88,107,13,16,8,140,11,0,13,162,0,0,160,170,15,22,8,213,23,0,30,246,6,0,250,7405,655,413,176,8650,101,12,117,8762,250,30,9046,1894,211,137,104,2348,64,32,103,2448,287,0,2740,12,0,0,13,26,0,0,0,26,0,49,79,9314,868,547,296,11021,169,52,215,11244,536,87,11870
SOSR514,12,0,0,0,12,0,0,12,676,135,19,10,842,13,0,12,859,39,0,897,1551,225,99,12,1883,18,3,20,1902,64,4,1963,123,18,36,3,186,5,0,5,186,4,0,193,10,4,0,13,27,0,0,0,29,0,6,29,2360,379,154,37,2934,28,10,36,2970,109,5,3084,12,0,3,0,21,4,0,4,26,0,0,26,43,6,0,0,52,0,0,0,55,5,0,55,54,15,8,0,69,5,0,5,82,5,0,83,2418,389,166,37,3006,34,10,42,3045,112,5,3169,583,83,29,24,727,30,0,32,757,142,6,903,7,0,0,9,13,0,0,0,13,0,8,25,3007,476,196,67,3750,60,9,70,3815,261,19,4096
SOSR515,33,0,0,0,33,3,0,35,2825,289,96,48,3262,34,12,48,3310,225,4,3541,4112,534,216,50,4919,63,14,71,4992,169,7,5170,425,58,124,7,613,3,0,3,614,11,0,628,62,5,4,67,136,0,0,0,136,17,3,157,7421,882,448,181,8931,102,28,126,9056,426,8,9489,41,9,0,3,63,6,0,6,71,9,0,76,125,20,8,0,164,18,14,31,193,13,0,207,167,35,8,10,224,28,14,43,267,19,0,288,7594,918,458,189,9155,122,37,164,9322,446,8,9772,2149,291,177,95,2708,95,18,111,2821,472,12,3303,22,10,0,12,49,0,0,0,49,5,57,108,9761,1216,635,293,11910,215,58,273,12183,914,83,13185
SOSR521,12,0,0,0,12,0,0,15,786,98,30,8,917,6,11,20,934,96,5,1043,1230,214,58,29,1523,21,0,21,1548,78,0,1627,138,23,29,5,193,0,0,0,193,7,0,200,5,0,7,33,50,0,0,0,50,6,0,52,2155,335,121,68,2683,23,9,37,2720,191,5,2917,15,0,5,0,20,13,0,13,32,0,0,36,30,5,0,0,37,11,0,11,46,3,9,54,48,5,5,0,52,23,0,24,74,11,9,92,2202,334,128,68,2738,47,13,62,2800,198,12,3007,767,108,61,40,981,65,10,76,1058,425,11,1491,11,0,0,5,16,0,7,7,19,3,35,61,2982,447,187,116,3737,112,24,142,3875,624,54,4558
SOSR522,6,0,0,0,6,0,0,4,366,52,13,5,439,11,0,11,450,45,0,498,687,78,26,7,798,13,0,15,815,64,0,885,84,13,14,0,108,0,0,0,108,7,0,119,10,0,0,15,27,0,0,0,27,13,0,37,1147,148,51,32,1381,22,0,25,1402,135,0,1541,19,6,0,0,27,40,0,40,68,5,0,68,17,3,0,4,23,6,7,13,33,8,0,44,37,6,0,4,49,40,7,56,103,17,0,114,1182,154,51,36,1428,68,9,79,1504,156,0,1660,357,97,29,30,509,54,10,66,572,475,4,1049,6,4,0,0,15,0,0,0,15,9,32,54,1546,254,83,66,1943,125,18,144,2094,634,42,2771
SOSR531,268,3,0,3,271,21,0,293,4985,491,137,28,5645,42,10,46,5692,270,3,5969,8274,1031,270,111,9695,53,15,68,9760,277,13,10046,565,73,159,5,811,10,0,10,814,26,0,846,114,0,10,159,284,7,0,7,286,15,12,306,13942,1604,577,306,16429,105,21,127,16554,584,27,17162,47,19,6,3,72,27,0,27,94,22,0,118,142,24,5,3,169,14,12,24,197,8,0,203,184,41,12,6,246,38,12,47,290,33,0,320,14126,1642,592,315,16668,138,31,177,16844,614,27,17488,3374,444,193,116,4131,119,8,128,4267,730,0,4999,20,6,6,13,43,0,0,0,43,3,75,128,17525,2091,787,443,20849,259,42,304,21155,1353,102,22608
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
