SOSR_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR703,..,500,1153,299,204,202,107,36,4,2503,..,257,798,653,727,966,962,537,137,5043,153,197,240,127,119,144,80,38,7,1096,11114,6108,10800,9004,6866,5349,3453,1393,303,54396,..,358,6797,9425,7137,5427,3454,1288,163,34052,..,1511,4867,2863,1884,1166,459,98,3,12858,..,181,810,1385,1332,735,365,154,77,5040,22431,..,..,..,..,..,..,..,..,22431,..,4057,..,..,..,..,..,..,..,4057,..,2993,1453,543,271,112,9,0,0,5389,..,768,693,209,289,425,431,224,80,3120,..,542,1100,280,151,123,60,15,0,2276,..,1096,2460,710,511,473,277,84,11,5624,..,564,1717,1397,1624,1918,1793,836,209,10070,323,356,468,282,239,254,148,52,12,2134,22751,12422,20359,17101,13455,10637,6999,2754,557,107046
SOSR712,..,71,249,68,61,46,23,11,3,529,..,38,184,150,199,255,199,89,39,1166,46,34,82,29,42,41,26,7,4,306,2334,1178,2259,1791,1463,1268,689,259,69,11314,..,71,1259,1710,1243,1196,617,207,22,6327,..,258,1029,653,436,290,105,17,7,2792,..,63,203,305,278,143,89,29,14,1117,4777,..,..,..,..,..,..,..,..,4777,..,706,..,..,..,..,..,..,..,706,..,666,267,86,54,16,0,0,0,1084,..,221,156,81,91,124,109,33,9,825,..,72,214,66,40,22,6,0,0,433,..,133,488,173,133,106,46,21,3,1102,..,106,412,328,412,494,354,150,47,2303,93,88,142,71,70,76,47,13,4,599,4872,2378,4176,3474,2753,2466,1370,470,107,22065
SOSR714,..,40,65,12,20,20,0,0,0,153,..,12,42,37,43,67,32,18,8,249,6,13,14,10,6,15,4,0,0,77,575,288,523,376,323,266,116,43,12,2520,..,24,272,312,207,214,108,38,0,1181,..,73,249,149,126,76,38,3,0,720,..,11,65,78,73,33,19,7,0,283,1187,..,..,..,..,..,..,..,..,1187,..,117,..,..,..,..,..,..,..,117,..,160,60,13,16,3,0,0,0,245,..,73,29,31,27,18,17,6,3,197,..,32,62,8,9,8,3,0,0,115,..,82,115,32,29,38,5,0,0,303,..,33,95,74,64,111,76,41,7,513,20,28,36,19,14,18,3,3,0,149,1210,623,980,719,572,508,272,95,20,5001
SOSR715,..,9,30,22,19,14,10,7,4,110,..,18,93,37,77,78,33,10,4,338,42,34,53,33,32,28,11,0,0,231,1970,1329,1490,1227,959,624,236,66,11,7915,..,347,982,1124,835,510,210,37,7,4055,..,139,474,360,272,108,30,4,0,1387,..,82,242,265,178,129,62,15,4,981,4039,..,..,..,..,..,..,..,..,4039,..,478,..,..,..,..,..,..,..,478,..,1037,422,151,54,8,0,0,0,1673,..,493,327,269,250,228,84,31,7,1693,..,31,24,9,12,12,0,0,0,87,..,24,60,38,36,25,17,5,4,212,..,33,161,110,149,167,79,28,3,733,83,77,90,62,51,41,19,5,0,438,4120,2737,2785,2400,1838,1238,505,129,25,15775
SOSR721,..,15,22,6,0,3,0,0,0,57,..,47,84,44,48,82,36,9,0,348,45,28,41,23,23,18,3,0,0,186,1367,985,1083,841,704,521,231,50,16,5786,..,244,759,742,648,408,184,24,3,3006,..,164,308,272,168,101,25,3,0,1035,..,61,170,164,144,96,50,30,3,717,2747,..,..,..,..,..,..,..,..,2747,..,265,..,..,..,..,..,..,..,265,..,651,289,100,44,16,0,0,0,1102,..,360,196,135,157,155,97,22,14,1137,..,43,22,17,11,12,4,5,0,99,..,30,39,12,19,6,0,5,0,116,..,72,188,122,138,150,60,20,0,754,78,66,70,42,46,31,11,4,0,352,2829,1955,2043,1597,1369,977,439,103,21,11329
SOSR722,..,7,12,5,10,18,11,6,0,63,..,6,38,26,45,80,58,11,0,263,42,36,38,32,27,20,17,4,0,209,1325,888,954,746,684,524,298,79,12,5512,..,317,732,707,525,389,195,53,8,2916,..,97,212,162,161,74,27,9,0,743,..,54,194,158,161,106,59,21,3,765,2762,..,..,..,..,..,..,..,..,2762,..,180,..,..,..,..,..,..,..,180,..,662,278,100,36,14,0,0,0,1090,..,376,203,160,169,142,117,45,7,1225,..,28,12,9,13,9,3,0,0,82,..,10,30,12,24,30,21,5,0,135,..,9,74,67,106,142,113,26,5,548,94,65,65,58,48,37,28,4,0,393,2856,1800,1803,1436,1255,951,556,163,23,10848
SOSR731,..,29,45,20,33,62,32,9,3,240,..,41,97,52,116,181,122,42,8,647,49,76,45,39,44,28,25,6,0,311,2976,1657,1839,1981,2080,1708,1023,301,59,13615,..,234,1138,1960,2179,1829,1186,333,31,8892,..,274,998,767,781,521,196,42,4,3586,..,71,171,274,275,199,104,69,19,1174,6007,..,..,..,..,..,..,..,..,6007,..,803,..,..,..,..,..,..,..,803,..,1204,468,199,119,31,10,0,0,2026,..,439,226,163,182,248,204,91,31,1586,..,147,121,62,80,69,31,14,6,526,..,81,111,64,102,136,88,28,8,611,..,89,229,169,352,511,396,123,16,1892,100,142,114,81,91,65,65,18,0,679,6106,3490,3568,3737,4159,3599,2277,720,118,27778
SOSR779,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7
SOSR799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,15,32,50,28,35,26,10,0,0,201,15,32,50,28,35,26,10,0,0,201,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,57,65,99,65,63,52,31,11,0,441,57,65,99,65,63,52,31,11,0,441
SOSR802,..,3495,3392,582,361,456,271,90,42,8682,..,1026,3755,2782,2851,4093,4793,3679,1764,24753,403,834,749,362,295,355,314,182,52,3541,38625,25877,36845,33478,27150,22208,17709,9587,3165,214640,..,955,23997,41057,32763,25793,20709,10123,2047,157452,..,4657,17556,8693,5800,3442,1560,421,57,42184,..,231,1770,4237,5240,2848,1146,705,438,16614,78958,..,..,..,..,..,..,..,..,78958,..,20533,..,..,..,..,..,..,..,20533,..,11267,6206,1878,1163,538,113,4,0,21169,..,2212,2277,678,596,1031,1107,757,353,9011,..,2097,3515,753,342,236,85,26,11,7068,..,6652,8267,1745,1011,986,558,180,61,19474,..,1924,7720,6031,5906,7090,7188,5030,2391,43282,813,1535,1514,854,656,655,545,278,85,6943,79770,52075,72813,65932,53485,42625,33010,17535,5452,422683
SOSR822,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,9,5,9,0,19,0,0,0,0,0,0,0,0,0,0,62,34,20,44,47,38,29,13,3,290,..,0,20,55,71,49,47,16,0,265,..,5,12,20,13,6,0,0,0,51,..,0,6,3,12,3,0,0,0,22,126,..,..,..,..,..,..,..,..,126,..,38,..,..,..,..,..,..,..,38,..,23,15,0,3,0,0,0,0,44,..,0,0,4,0,0,0,5,0,8,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,9,8,7,4,28,0,0,0,0,0,0,0,0,0,3,126,69,49,95,98,65,49,26,6,586
SOSR831,..,0,0,0,0,0,0,0,0,5,..,0,5,0,3,0,3,0,0,11,0,0,0,0,0,0,0,0,0,3,34,27,40,24,29,32,15,3,5,205,..,0,22,24,30,39,25,7,3,145,..,3,23,14,5,0,6,0,0,51,..,0,4,9,3,4,0,0,0,19,84,..,..,..,..,..,..,..,..,84,..,19,..,..,..,..,..,..,..,19,..,12,6,0,4,0,0,0,0,21,..,10,0,0,0,0,3,0,0,12,..,3,8,0,5,0,0,0,0,16,..,4,3,0,0,3,0,0,0,13,..,4,0,0,3,3,5,0,0,28,0,0,4,0,3,0,0,0,0,10,84,53,75,47,52,56,39,8,4,419
SOSR879,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,14,38,24,17,10,20,3,7,0,132,14,38,24,17,10,20,3,7,0,132,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,18,59,57,41,32,23,19,3,0,263,18,59,57,41,32,23,19,3,0,263
SOSR915,..,0,3,0,0,0,0,0,0,5,..,0,3,4,7,7,15,0,0,40,0,0,0,0,0,6,5,0,0,21,116,39,58,92,77,63,37,9,0,502,..,0,58,103,94,78,68,10,3,423,..,7,26,10,22,16,8,0,0,89,..,0,3,3,15,7,3,0,0,34,238,..,..,..,..,..,..,..,..,238,..,34,..,..,..,..,..,..,..,34,..,23,16,6,6,0,0,0,0,48,..,0,0,3,0,0,6,4,0,15,..,0,0,0,0,0,0,0,0,0,..,0,3,5,0,0,0,0,0,11,..,3,20,14,19,30,38,5,0,121,0,0,4,3,4,14,11,4,0,37,238,82,133,152,153,147,122,22,4,1053
SOSR921,..,3,6,0,4,4,0,0,0,22,..,5,7,9,11,46,48,31,14,175,3,5,0,8,0,0,4,4,0,31,108,67,57,96,97,167,118,61,18,790,..,5,22,70,76,136,119,52,13,490,..,14,40,38,45,46,22,4,0,210,..,4,4,18,28,12,3,5,0,68,220,..,..,..,..,..,..,..,..,220,..,34,..,..,..,..,..,..,..,34,..,34,5,10,0,0,0,0,0,57,..,9,5,5,6,4,4,0,3,32,..,0,0,0,0,0,0,0,0,8,..,8,8,0,5,11,3,0,0,41,..,10,19,24,25,89,60,39,16,280,6,5,0,10,7,7,6,7,0,44,223,126,101,178,189,306,214,107,33,1485
SOSR922,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,0,6,0,0,0,4,0,0,0,5,67,26,31,43,27,54,24,9,0,282,..,8,36,63,36,80,43,24,0,294,..,0,10,4,4,8,0,0,0,31,..,0,0,3,4,0,0,0,0,14,139,..,..,..,..,..,..,..,..,139,..,6,..,..,..,..,..,..,..,6,..,28,5,3,0,3,0,0,0,37,..,0,0,0,0,0,0,3,5,17,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,9,3,0,4,0,15,0,3,0,3,0,4,5,0,0,22,146,50,52,83,57,99,54,33,11,577
SOSR931,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,8,5,11,6,40,0,3,0,5,0,0,6,0,0,18,40,30,30,25,50,45,43,29,3,289,..,0,12,27,43,32,40,24,0,191,..,3,11,12,15,15,5,0,0,56,..,0,4,8,8,5,5,7,0,23,99,..,..,..,..,..,..,..,..,99,..,16,..,..,..,..,..,..,..,16,..,16,6,8,6,3,0,0,0,40,..,5,11,5,6,7,4,0,0,41,..,0,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,6,..,3,0,0,14,15,21,15,3,71,5,3,5,5,0,4,9,0,0,35,97,54,45,55,92,78,84,59,13,576
SOSR979,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
