SOSR_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
SOSR299,0,0,0,0,4,4,5,8,5,4,4,0,0,3,0,46,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,12,0,0,0,0,0,9,6,8,4,0,0,0,0,5,0,28,0,0,0,0,3,4,5,3,0,3,0,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,15,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,13,3,11,40,24,23,21,25,10,0,8,7,15,6,17,3,206,0,0,0,0,0,0,12,3,0,0,0,0,0,11,0,36,0,0,0,0,0,5,3,4,0,5,3,0,0,0,5,38,0,8,14,24,25,20,65,43,0,6,20,30,17,30,16,322,6,34,98,79,101,125,230,164,31,55,80,106,62,133,74,1390
SOSR301,6,8,88,674,3961,3400,7294,4888,968,992,1237,1722,466,144,537,26385,132,80,104,260,1103,415,443,248,64,61,50,67,19,5,64,3110,9,37,143,456,550,616,1421,679,183,187,201,228,141,55,100,5007,14,64,240,986,1864,3641,10436,3664,725,928,821,952,393,186,310,25232,22,79,251,374,883,1118,2689,1637,207,268,299,439,167,53,122,8607,0,0,18,58,1431,3379,2901,1888,473,468,650,729,306,35,247,12586,0,4,23,134,579,716,2208,1451,397,387,352,462,205,41,183,7156,1726,5633,17114,13200,11714,9148,23387,9755,1563,1412,1264,1493,817,319,2488,101023,41,89,421,815,809,1177,2516,1620,342,367,386,449,437,151,199,9835,0,17,42,2382,5214,2924,3266,2471,550,589,540,712,397,105,723,19926,649,1797,4876,8015,11522,14250,27285,17057,4748,4386,5305,6483,2548,546,2406,111878,4632,14915,32580,42744,70912,77690,173501,101471,21729,21844,24995,30243,12528,4062,14670,648523
SOSR302,0,10,47,269,1162,1013,1412,1127,293,280,376,512,195,68,199,6955,61,59,90,153,448,165,220,135,33,35,32,21,17,9,35,1511,4,21,68,149,169,194,265,138,35,48,37,47,26,11,36,1257,8,37,132,529,830,1778,4695,1833,476,375,383,495,246,138,171,12138,3,22,71,92,136,103,269,171,36,49,50,41,20,5,29,1100,0,0,4,15,184,425,385,422,83,106,114,112,47,3,50,1948,0,0,11,52,184,274,837,553,143,114,146,172,105,15,91,2695,1099,3537,8788,6490,6049,5048,13330,5705,1072,944,966,973,551,220,1388,56162,20,62,209,385,455,597,1107,767,185,154,193,253,207,49,81,4726,0,0,8,169,200,148,274,355,99,130,125,124,84,11,59,1788,469,1350,2659,3281,3392,3930,7038,5233,1671,1754,1860,2501,906,186,879,37093,2659,8888,16993,19672,27429,28974,59356,33355,7622,7579,8172,9508,4336,1501,5979,242014
SOSR303,0,0,20,120,680,592,1449,1198,206,192,237,239,121,29,93,5185,13,6,19,16,99,41,56,37,10,0,3,15,4,0,8,341,0,6,47,65,36,36,80,53,8,16,24,47,29,19,7,477,0,6,41,114,151,281,1135,312,45,92,63,94,72,29,28,2463,0,3,32,46,82,68,286,192,59,47,55,74,38,12,7,1000,0,0,0,0,11,65,89,152,24,34,31,48,22,0,11,492,0,0,6,28,118,162,447,246,61,41,63,66,19,6,41,1304,342,1144,2925,1923,1663,1390,2703,1195,196,192,201,222,97,59,370,14612,8,20,99,147,151,189,340,230,56,63,73,86,59,23,21,1551,0,0,3,38,98,82,191,170,52,51,45,40,24,8,26,829,101,328,900,1302,1572,1487,3825,2589,567,769,859,1165,406,104,431,16395,789,2740,5692,6136,8095,7829,18481,11641,2321,2768,3476,4706,1764,507,1968,78908
SOSR311,0,0,9,85,381,278,837,935,195,161,171,246,89,30,70,3490,10,7,8,12,36,18,13,13,0,0,0,0,8,0,0,116,0,6,10,25,18,3,32,18,9,6,7,5,4,7,3,131,0,11,20,56,87,162,927,261,53,62,76,116,60,11,37,1919,0,3,8,13,15,15,120,152,21,19,21,48,64,23,5,538,0,0,0,0,0,16,31,63,19,23,29,67,16,0,4,254,0,0,0,8,30,36,140,166,29,23,38,43,27,0,29,577,246,865,2110,1297,887,507,1103,455,73,81,60,117,79,18,318,8215,0,8,38,63,58,59,125,78,15,24,9,13,9,4,8,518,0,0,0,14,37,43,270,97,27,25,14,26,14,0,14,581,111,261,473,462,391,329,1109,574,136,146,112,247,133,68,145,4697,560,1945,3520,3337,3540,2837,7723,4781,990,1066,1078,1659,821,303,1052,35211
SOSR312,0,0,0,34,134,86,288,378,87,44,60,43,11,5,30,1219,0,6,6,6,17,15,14,10,0,0,0,0,0,0,0,74,3,0,4,8,0,3,15,16,0,0,0,0,0,0,0,61,5,3,17,38,38,89,294,139,14,30,9,68,12,3,18,774,3,7,3,3,8,6,25,19,3,8,5,6,8,0,5,98,0,0,0,0,3,4,4,7,0,0,0,0,0,0,0,20,0,0,0,4,20,15,48,68,9,10,8,13,5,0,9,220,151,464,1170,731,512,296,615,291,50,42,31,40,24,4,200,4626,0,8,25,34,31,33,55,37,17,3,5,11,3,0,5,272,0,0,0,4,3,6,17,18,0,3,4,3,0,0,4,77,37,118,223,232,209,162,280,200,34,43,42,50,22,9,50,1708,303,980,1898,1807,1812,1427,2889,1962,363,347,308,386,156,58,531,15242
SOSR313,0,0,0,17,198,165,516,525,93,95,108,112,49,16,42,1934,0,0,4,12,22,5,22,18,3,7,5,0,0,0,3,100,0,0,9,20,8,13,13,11,6,0,0,5,0,0,5,79,0,7,16,44,40,124,555,236,40,55,55,124,57,18,25,1392,0,3,3,10,5,5,38,51,14,13,7,13,12,0,4,171,0,0,0,0,5,16,18,36,11,6,37,56,17,0,3,190,0,0,0,3,17,15,79,59,29,10,16,29,10,4,7,278,136,497,1135,680,536,325,714,314,54,57,59,53,34,16,131,4740,4,12,25,50,42,50,95,56,19,22,7,20,12,0,12,427,0,0,0,3,8,16,44,42,6,14,8,15,3,0,7,170,36,106,228,300,231,288,828,446,95,105,98,178,96,81,91,3202,261,1011,1873,1964,2144,1979,4912,3221,598,640,696,974,447,230,572,21509
SOSR314,0,0,7,26,176,122,354,363,92,63,101,99,23,8,37,1471,3,7,7,8,23,9,17,6,0,0,0,5,0,0,0,87,0,0,4,11,13,0,20,23,7,4,8,3,3,0,3,98,0,5,18,43,70,123,499,197,18,40,55,64,25,18,19,1200,0,3,10,10,11,11,16,34,8,20,17,9,11,3,3,162,0,0,0,0,3,6,46,67,31,41,108,181,41,0,13,537,0,0,5,5,24,36,108,57,26,15,13,22,10,0,17,333,110,413,1276,814,634,459,1151,429,76,45,50,91,28,14,182,5773,4,12,36,59,49,49,99,61,17,17,20,17,8,0,13,460,0,0,0,10,17,16,70,32,5,7,3,10,13,6,20,206,44,140,312,391,365,325,704,459,88,119,151,377,169,189,161,3988,342,1257,2338,2301,2769,2318,5187,3044,628,715,993,1535,566,335,838,25171
SOSR315,0,0,12,26,224,172,429,501,150,148,169,236,76,48,97,2288,0,8,9,8,46,7,9,3,0,0,0,5,0,0,3,110,0,3,9,33,7,18,14,9,0,5,0,0,0,0,7,120,0,7,31,63,81,122,527,155,27,26,39,41,21,3,41,1184,0,9,10,9,12,3,23,22,4,0,6,3,0,0,3,110,0,0,0,3,0,8,20,37,16,3,31,34,9,0,9,175,0,0,0,7,26,30,127,91,18,14,16,28,13,3,24,407,238,938,2572,1482,1068,666,1490,497,84,58,48,89,45,15,383,9671,7,8,72,93,72,82,151,90,22,22,24,22,17,3,14,686,0,0,0,10,18,16,54,53,25,25,23,45,12,0,32,315,74,259,462,553,506,368,839,477,103,111,168,370,223,87,250,4860,579,2178,4168,3824,4145,3097,5963,3277,683,642,807,1310,572,232,1487,32962
SOSR321,0,0,6,15,85,53,155,136,16,23,27,41,0,0,18,567,4,0,6,5,15,9,3,0,0,0,0,0,0,0,3,38,0,0,11,13,0,10,5,0,0,0,0,0,0,3,4,50,3,4,10,27,44,67,216,53,14,17,8,9,6,9,12,487,0,0,6,4,9,4,4,7,0,0,0,0,0,0,0,38,0,0,0,0,0,6,5,10,3,3,3,6,0,0,0,32,0,0,5,0,9,17,27,33,7,9,10,5,0,0,15,137,111,385,1025,645,455,308,588,198,29,44,27,35,17,5,143,4005,3,5,29,49,32,32,57,29,8,12,3,11,3,0,7,283,0,0,0,3,4,5,13,13,7,9,0,0,3,0,7,52,29,103,219,286,212,164,265,139,42,29,31,62,36,26,77,1713,212,826,1700,1674,1663,1254,2076,956,182,200,191,242,112,65,465,11843
SOSR322,0,3,0,5,23,31,31,31,3,5,7,6,0,0,10,172,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,17,0,4,5,11,17,19,69,15,6,4,4,5,3,0,5,156,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,3,5,9,17,6,6,5,8,3,0,0,3,59,35,133,360,248,117,108,149,43,11,12,6,17,9,0,60,1307,0,4,5,16,15,21,19,3,0,0,0,0,0,0,3,96,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,12,22,59,90,102,88,48,98,61,5,9,16,33,17,7,39,694,100,348,617,667,559,446,630,314,78,61,71,112,58,17,217,4289
SOSR331,0,0,4,66,303,196,361,348,89,61,77,96,40,22,115,1785,4,12,26,22,81,19,20,13,0,6,0,3,4,0,6,227,3,10,24,45,32,17,34,18,7,4,12,6,9,0,8,229,5,19,67,165,174,393,1173,328,58,63,50,79,29,22,54,2670,0,6,34,22,13,26,22,20,3,0,0,8,5,0,5,167,0,0,0,4,37,48,60,47,19,7,25,23,31,0,8,305,0,0,8,17,74,63,184,153,37,21,29,38,19,7,36,679,346,1332,3970,2413,1933,1400,2804,912,103,97,84,121,57,21,670,16285,9,20,146,195,187,171,287,140,23,38,23,43,33,11,41,1366,0,0,6,43,105,63,76,46,14,21,16,21,14,5,47,467,133,425,1013,1142,1114,787,1329,558,116,132,149,400,196,195,432,8130,862,3248,7087,7005,7855,5647,9562,3915,675,663,725,1193,583,326,2373,51718
SOSR379,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,8,0,3,3,0,0,23
SOSR399,0,0,0,4,8,3,16,5,5,3,4,5,0,0,9,61,0,0,3,0,5,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,6,7,7,9,30,0,0,0,0,0,3,22,0,89,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,3,6,16,4,3,3,45,0,0,0,0,0,0,6,11,0,0,0,6,0,3,0,17,7,40,168,110,75,29,93,44,13,3,23,52,35,15,42,764,0,0,7,6,5,9,8,8,0,0,3,10,8,0,6,62,0,0,0,0,3,0,4,3,0,0,0,4,3,0,0,24,0,4,29,21,37,35,56,41,16,11,39,143,87,35,57,619,15,83,260,264,286,210,365,223,69,47,138,371,213,124,230,2917
SOSR401,0,3,22,266,1607,1474,3234,2574,526,508,574,856,304,72,274,12305,200,215,293,285,1925,688,395,146,42,24,28,31,15,3,87,4365,5,27,97,242,276,242,622,347,128,136,133,160,83,20,36,2557,8,30,162,361,406,676,2167,817,215,195,374,445,230,37,83,6208,6,30,65,169,247,258,1068,1139,215,325,429,521,271,23,83,4848,0,0,0,11,98,168,315,424,89,106,116,100,55,5,32,1506,0,4,3,75,549,380,773,436,110,80,102,138,72,29,80,2836,1310,7469,25261,13029,6939,4326,11978,4814,568,521,573,684,401,186,2029,80081,12,35,212,408,414,477,903,594,161,139,166,153,168,56,80,3965,0,6,30,1832,4461,2338,2206,1778,515,509,637,718,399,66,507,15997,1127,2200,3354,3209,5157,6852,12140,7939,2709,2158,2506,2931,1231,245,1139,54900,4966,24480,42447,26631,30493,26921,73391,50611,12930,13497,15961,19276,8300,1664,7709,359273
SOSR412,0,6,0,23,70,65,211,222,27,35,36,48,18,11,21,786,0,7,17,8,27,14,9,7,0,0,0,0,0,0,0,91,0,0,3,8,9,7,15,23,0,3,0,0,0,0,0,65,0,4,5,16,14,45,226,107,28,16,44,49,30,12,13,623,0,0,0,9,3,10,34,32,8,18,7,9,3,0,6,141,0,0,0,0,0,8,5,16,0,8,4,4,0,0,0,42,0,0,0,3,8,12,87,62,8,22,24,7,0,3,7,234,102,664,3066,1311,450,277,691,288,18,44,15,21,14,7,228,7186,0,0,12,22,22,40,56,44,5,4,9,5,7,0,0,232,0,0,4,9,18,6,10,12,4,0,0,3,3,0,9,81,47,105,204,180,98,110,381,292,75,38,68,48,13,7,46,1697,246,1418,3765,1883,1028,840,2390,1518,292,290,354,316,154,83,469,15057
SOSR413,0,0,0,15,73,53,205,229,28,68,24,72,12,0,16,796,3,0,4,7,27,6,5,3,0,0,3,0,0,0,4,65,0,0,3,11,3,12,3,12,0,4,3,0,0,0,5,53,0,5,16,34,25,31,114,54,4,5,10,14,10,0,8,331,0,0,0,7,6,3,4,16,3,5,12,11,0,0,8,72,0,0,0,0,3,0,3,13,5,6,0,8,8,5,0,44,0,0,0,8,6,6,37,17,0,4,3,3,9,0,4,98,145,696,1819,821,409,238,447,209,32,20,24,23,3,0,185,5080,0,8,17,33,30,43,56,28,3,6,14,9,6,0,12,258,0,0,0,14,8,8,33,51,18,30,3,9,3,0,29,210,46,117,140,118,105,105,217,111,48,32,56,87,72,35,81,1375,340,1444,2387,1402,999,705,1674,1158,229,321,284,379,177,54,488,12052
SOSR414,0,0,0,0,7,7,35,75,21,13,12,15,0,3,3,204,0,0,0,0,12,3,3,0,0,0,0,0,0,0,4,32,0,0,3,4,0,0,8,0,0,0,0,0,0,0,0,12,0,0,3,7,6,17,28,16,8,6,9,4,3,0,0,113,0,5,3,0,0,0,0,4,0,0,0,0,0,0,7,25,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,15,0,0,0,0,0,10,13,11,0,5,3,4,0,0,5,61,59,290,863,428,199,101,215,78,10,13,7,5,13,3,96,2369,0,6,10,21,7,6,11,9,3,0,0,0,0,0,0,82,0,0,0,3,0,5,18,6,3,0,0,4,4,0,0,50,18,40,44,39,37,42,64,42,7,10,6,33,15,16,23,443,127,582,1055,608,389,288,597,458,111,139,105,140,51,29,193,4873
SOSR415,0,0,0,16,49,60,148,220,31,46,43,48,16,6,21,706,5,8,5,7,33,9,6,0,0,0,0,0,0,0,0,75,0,3,6,8,10,4,0,5,0,0,0,0,0,0,0,33,0,0,12,21,24,43,140,53,10,6,15,7,3,0,0,343,0,0,0,12,0,0,20,49,12,18,21,12,4,0,0,154,0,0,0,0,0,5,6,11,6,6,11,11,5,0,5,64,0,0,0,5,8,10,34,35,9,14,11,8,3,4,8,144,144,743,2548,1167,505,321,771,259,28,19,12,29,12,4,282,6842,0,7,20,32,31,37,65,39,3,5,4,10,3,3,14,277,0,0,0,23,40,21,60,33,6,11,6,12,5,0,13,222,53,118,207,159,111,91,200,160,40,43,39,65,39,41,92,1454,359,1631,3352,1818,1192,899,2174,1360,282,311,317,441,216,76,592,15010
SOSR421,0,0,0,0,15,12,28,56,18,10,12,13,4,3,3,182,4,0,8,0,8,5,6,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,12,8,8,24,15,3,4,8,21,4,0,3,106,0,0,0,7,0,0,3,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,4,9,0,0,0,6,0,0,0,27,0,0,0,0,0,3,4,8,0,0,0,0,0,0,3,27,35,234,693,306,139,81,160,47,5,5,11,10,0,0,78,1800,0,0,0,3,8,0,21,3,0,0,0,0,0,0,0,48,0,0,0,0,3,0,0,11,4,0,0,0,0,0,0,17,16,40,30,29,22,8,40,31,11,4,9,36,58,17,6,355,70,443,851,444,297,187,365,244,63,52,75,121,70,18,138,3446
SOSR422,0,0,0,0,9,11,16,7,4,3,6,11,0,0,0,69,0,0,0,3,6,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,8,20,8,0,0,0,3,4,0,0,61,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,0,0,0,3,0,0,0,23,19,149,433,179,74,35,73,16,0,6,4,3,0,0,47,1036,0,3,9,3,6,5,10,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,28,61,37,20,5,14,7,0,8,0,0,0,0,12,200,44,290,571,315,168,102,207,91,17,32,20,25,9,11,96,2001
SOSR431,0,0,5,9,65,38,78,89,25,36,27,25,21,12,33,454,0,4,15,11,47,10,10,4,0,0,0,0,0,0,0,98,0,0,8,12,3,4,5,10,0,4,3,4,0,0,6,60,0,3,12,25,33,45,128,66,15,5,18,23,23,7,11,419,0,0,0,11,5,0,7,13,0,3,3,0,0,0,6,50,0,0,3,0,3,7,10,4,8,0,0,3,0,0,0,36,0,0,0,5,9,13,47,40,8,7,5,20,3,3,18,183,88,829,2841,1205,626,413,858,253,33,25,34,26,19,3,374,7632,0,3,33,55,62,47,58,31,0,6,13,6,9,0,11,335,0,0,0,39,166,90,58,27,9,4,5,7,15,0,19,442,40,163,249,190,198,194,254,127,22,36,40,67,19,14,97,1710,250,1898,3891,2047,1781,1258,2089,998,220,217,237,337,179,52,796,16248
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,54,28,12,14,13,10,4,6,0,8,4,7,10,176,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,3,5,7,16,11,3,4,9,12,3,8,12,110,6,30,72,43,36,37,66,47,11,14,25,56,22,34,36,530
SOSR501,7,5,52,399,2073,1784,9127,10262,1714,1241,1173,1478,530,165,488,30488,191,93,169,365,2207,651,560,503,60,61,62,54,29,5,102,5122,67,139,440,1451,2368,2302,4579,1775,345,381,374,412,310,51,243,15238,19,81,410,1563,3507,5003,15977,6592,876,715,842,940,505,257,403,37701,48,79,187,375,821,820,2359,1995,257,248,286,675,298,26,111,8590,0,0,3,17,236,355,664,1159,153,149,202,281,59,15,72,3362,4,4,34,192,734,828,2699,1736,424,337,357,370,197,71,231,8226,2134,6324,34406,27373,28794,18567,43122,22361,2100,1729,1723,1886,1076,389,3848,195840,31,84,431,775,956,1057,1940,1388,284,273,303,406,327,135,210,8594,5,0,25,1632,4595,2709,2795,2128,501,516,433,585,306,71,631,16942,831,1359,6608,7321,11111,14160,32109,18175,4002,3791,4214,5542,2349,535,2144,114247,6264,19616,57731,57939,89018,77705,194159,126662,20172,18296,20361,25422,11797,3346,14657,743151
SOSR511,0,0,0,15,44,60,327,294,48,44,44,46,29,3,23,982,9,4,0,9,36,9,10,13,0,0,0,0,0,0,3,91,3,5,5,9,12,13,42,14,6,4,4,0,4,0,3,116,0,5,20,46,66,117,706,301,20,48,36,44,20,7,21,1433,0,0,3,0,7,5,17,15,8,4,4,0,0,4,0,67,0,0,0,0,0,4,13,38,4,12,22,44,17,0,0,148,0,0,0,3,11,11,62,25,10,12,7,10,3,0,6,161,116,261,1207,785,622,335,828,384,43,19,23,47,26,6,134,4830,0,0,18,44,26,10,40,24,5,0,3,4,0,7,0,185,0,0,0,9,7,19,25,24,4,3,0,6,5,0,5,114,24,38,100,126,143,124,515,284,38,59,39,53,34,15,41,1639,266,670,1636,1384,1590,1168,3836,2448,308,347,341,418,204,75,418,15098
SOSR512,0,0,0,25,111,101,639,545,103,85,101,129,33,16,26,1916,9,9,6,11,10,6,11,8,3,0,0,0,0,0,5,76,0,3,13,25,16,20,20,12,0,0,0,0,0,0,0,116,3,7,25,36,69,126,673,364,21,61,48,66,48,19,16,1596,4,3,0,3,5,9,44,33,9,4,11,12,0,3,0,137,0,0,0,0,0,3,9,35,0,0,8,19,5,0,5,77,0,0,0,8,13,51,150,122,47,28,14,20,10,11,14,495,198,493,2076,1297,847,470,885,463,44,38,41,60,31,14,239,7191,4,0,27,48,40,36,57,46,7,12,3,13,10,0,9,313,0,0,0,12,28,33,32,62,13,8,10,15,8,0,19,230,42,78,195,168,203,173,765,465,100,96,136,143,90,80,68,2800,421,1036,2793,2220,2190,1811,5192,3642,534,534,619,732,345,218,678,22971
SOSR513,0,0,0,8,61,44,286,451,99,51,75,87,26,3,24,1219,4,0,0,4,17,4,7,12,0,0,0,0,0,0,0,52,0,0,8,19,25,16,30,0,0,0,11,8,0,0,4,115,0,0,3,20,39,89,466,212,22,9,16,45,21,12,14,969,0,0,0,0,9,8,42,41,9,3,6,15,4,0,0,140,0,0,0,4,0,0,10,39,0,4,0,12,0,0,0,71,0,0,0,3,15,29,93,90,22,16,22,30,11,0,9,349,18,111,525,424,550,389,1147,623,51,45,43,47,27,12,129,4137,0,3,3,16,18,22,47,28,3,12,12,14,4,0,5,174,0,0,0,4,4,0,18,36,11,12,4,11,6,4,3,124,9,15,58,98,127,146,544,308,63,72,74,123,64,21,63,1788,60,233,768,914,1386,1217,4151,2957,439,370,433,668,297,108,383,14375
SOSR514,0,0,0,8,17,10,79,77,9,14,6,3,10,4,7,241,12,0,5,0,6,0,3,3,0,0,0,0,0,0,3,35,0,0,4,4,10,6,9,4,0,0,0,0,0,0,3,38,0,0,4,27,49,31,66,37,8,3,4,10,0,0,0,241,0,0,0,0,0,0,4,6,0,0,0,3,0,0,0,27,0,0,0,0,0,0,11,21,8,3,0,10,0,0,0,50,0,0,0,0,3,4,24,3,4,0,0,3,9,0,4,48,42,90,451,319,268,154,285,164,26,6,22,25,15,0,57,1917,0,3,3,16,15,13,18,13,5,0,4,10,0,0,0,102,0,0,0,3,0,6,14,4,0,0,3,0,3,0,0,31,20,8,46,49,60,50,115,94,19,18,31,51,16,0,69,652,136,207,625,583,658,437,975,745,127,89,113,169,79,25,211,5175
