SOSR_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,5,0,0,0,15,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,4,6,0,0,0,0,8,0,0,3,27,6,4,0,0,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,3,4,7,0,9,0,0,9,36,17,11,5,0,0,87,0,0,0,4,0,0,0,0,0,3,0,0,0,7,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,12,5,0,0,0,0,21,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,4,3,5,3,0,0,18
SOSR301,7,172,184,491,277,173,70,19,6,1393,26,237,206,1781,613,429,348,251,77,3960,6,75,111,793,299,341,672,638,425,3358,37,188,312,576,276,101,76,33,4,1604,39,414,651,3291,947,351,143,63,11,5913,3,14,30,173,113,115,85,50,12,603,40,271,608,1973,821,689,505,267,50,5218,0,3,8,23,14,70,149,118,25,411,0,0,34,127,59,68,80,42,5,420,0,55,230,841,247,142,109,47,11,1696,6,72,742,2225,142,50,26,0,0,3266,10,70,70,330,325,348,807,626,200,2780,441,3785,6730,17429,9249,7189,4420,1628,340,51205,0,4,4,78,53,72,67,35,6,315,26,311,323,1450,294,137,70,12,5,2628,13,133,481,900,960,691,354,122,42,3693,63,721,1423,3992,1743,884,383,96,28,9322,3,22,31,404,195,220,285,115,44,1312,9,181,316,1162,764,810,475,131,17,3861,13,153,305,991,962,1164,1023,667,199,5476
SOSR302,0,9,8,46,34,36,18,5,7,167,0,75,70,402,192,139,150,110,38,1189,3,32,44,409,134,184,314,289,109,1511,15,152,212,419,305,188,128,43,8,1468,16,132,167,893,290,171,60,31,6,1774,0,4,7,44,38,57,26,24,6,198,5,34,112,295,163,210,126,41,10,1000,0,0,0,7,11,52,105,117,29,321,0,4,9,87,25,48,48,21,7,248,0,0,8,25,21,11,8,4,0,92,0,18,205,744,30,6,4,0,0,1009,6,19,30,123,132,165,428,345,134,1378,152,1341,2766,8196,5019,4379,3468,1727,379,27426,0,0,11,47,22,31,43,16,9,178,4,28,64,264,45,34,9,9,0,454,0,18,59,124,250,173,58,15,8,702,22,183,259,915,316,171,88,32,14,2011,0,15,18,154,84,82,147,67,40,607,0,3,18,86,50,39,25,11,8,241,3,94,113,420,394,504,559,412,119,2611
SOSR303,45,373,254,263,104,25,21,7,0,1098,0,25,22,135,66,75,64,38,9,445,3,16,21,165,40,82,115,102,91,628,4,61,63,127,149,47,24,10,3,499,3,59,39,404,80,22,3,0,0,614,0,0,0,3,5,4,7,0,0,26,5,27,27,134,70,86,32,12,3,408,0,0,0,4,0,17,29,12,0,65,0,0,6,23,7,10,6,5,4,60,0,0,16,94,24,15,6,0,0,155,10,77,136,447,22,7,4,0,0,701,0,9,13,70,59,76,151,113,35,523,37,217,353,1262,946,958,700,283,39,4798,0,0,0,4,5,0,3,0,0,12,0,25,38,99,18,9,0,0,0,193,0,138,264,357,279,193,90,9,4,1336,15,163,327,637,308,135,43,11,0,1638,0,6,0,49,32,22,30,9,6,158,0,3,5,29,17,19,10,5,0,80,5,20,19,122,112,167,174,114,39,769
SOSR311,0,0,3,3,10,0,0,0,0,24,0,17,7,54,17,19,20,19,7,167,0,0,0,36,10,18,60,51,35,217,7,12,7,30,5,6,3,0,0,60,0,9,17,102,8,0,5,0,0,137,0,0,0,4,0,3,0,3,0,13,0,9,19,115,24,21,18,0,0,207,0,0,0,5,3,15,43,44,20,131,0,0,0,5,3,0,4,3,0,28,0,0,4,75,13,4,3,0,0,101,0,6,32,181,19,7,0,0,0,250,0,0,8,15,21,39,120,102,48,344,22,138,225,616,467,521,548,245,51,2830,0,0,0,0,0,3,0,0,0,3,0,5,9,47,6,6,0,0,0,78,0,9,23,48,47,33,14,0,0,178,10,151,224,514,220,70,17,4,3,1210,0,0,0,8,5,11,18,12,0,51,0,0,0,18,6,5,4,0,0,42,0,9,7,41,31,81,123,75,27,397
SOSR312,0,0,3,0,5,0,0,0,0,10,0,4,8,11,6,20,14,14,6,78,0,0,0,4,4,11,34,15,11,81,0,3,0,6,0,3,0,0,0,13,0,4,0,9,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,4,15,16,15,6,0,0,56,0,0,0,0,0,4,6,6,0,14,0,0,0,0,0,5,0,0,0,6,0,0,0,6,0,0,0,0,0,11,0,0,3,26,0,0,0,0,0,29,0,0,4,9,10,25,58,48,15,161,13,51,126,329,280,296,321,138,30,1577,0,0,0,0,0,0,0,0,0,5,0,3,0,25,3,0,0,0,0,30,0,6,8,19,30,20,12,3,6,90,0,68,74,127,81,17,11,0,0,374,0,0,5,4,3,5,13,5,0,27,0,0,0,5,0,0,0,0,0,8,0,0,6,26,24,38,51,55,17,214
SOSR313,0,0,0,9,0,0,0,0,0,10,0,10,10,42,18,14,17,23,0,139,0,0,0,27,11,12,19,16,8,98,0,3,0,10,0,0,0,0,0,17,0,0,4,40,0,3,0,0,0,58,0,0,0,0,0,0,0,0,0,3,0,4,10,47,11,16,6,0,0,92,0,0,0,0,0,3,7,4,0,24,0,0,5,6,0,7,5,0,0,25,0,0,0,8,0,3,3,0,3,16,0,0,3,37,3,0,0,0,0,49,0,0,3,14,10,29,64,43,16,185,21,153,246,790,436,386,336,126,17,2520,0,0,0,4,0,0,0,0,0,0,0,9,5,25,9,5,0,0,0,53,0,10,11,54,41,18,6,0,0,145,10,74,125,256,125,48,6,0,0,649,0,0,0,11,4,10,7,7,0,37,0,8,8,45,12,10,4,0,0,87,0,0,4,25,24,52,71,48,11,245
SOSR314,0,5,0,8,9,0,5,0,0,19,0,8,8,54,23,22,19,18,4,155,0,5,11,49,9,25,64,112,84,362,0,4,17,32,3,0,4,0,0,66,0,3,10,79,4,5,4,0,0,109,0,0,0,0,6,0,0,0,0,5,0,5,13,54,22,19,6,0,0,120,0,0,0,0,5,9,11,7,8,31,0,0,0,9,3,7,5,0,0,20,0,5,0,56,8,5,0,0,0,86,0,0,5,56,0,0,0,0,0,55,0,0,5,12,24,24,76,57,12,213,10,90,189,633,513,445,350,155,25,2407,0,0,0,0,0,5,0,0,0,6,0,10,3,28,8,0,5,0,0,59,0,17,29,67,64,46,24,0,0,248,8,74,80,153,99,26,10,0,0,449,0,0,0,12,3,3,8,0,0,38,0,0,0,25,5,7,6,5,0,42,0,5,20,37,44,73,50,46,13,285
SOSR315,0,0,0,4,0,0,3,0,0,6,0,4,7,54,31,24,37,28,4,192,0,0,3,54,17,17,86,78,55,314,7,8,13,25,4,3,3,0,0,59,4,0,12,92,3,6,0,0,0,115,0,0,0,0,0,3,5,0,0,9,0,0,4,32,19,32,10,3,0,102,0,0,3,0,5,13,23,14,0,65,0,0,0,3,5,7,8,10,0,32,0,0,0,3,0,5,3,4,0,14,0,0,12,69,0,4,0,0,0,92,0,3,5,29,21,56,131,100,32,385,15,115,186,764,701,689,714,284,38,3507,0,0,0,0,0,3,0,0,0,4,5,6,0,15,0,5,0,0,0,33,0,16,20,71,86,48,32,6,0,273,14,112,97,407,97,25,10,0,3,767,0,0,0,11,3,9,16,0,0,47,0,0,10,39,6,5,0,4,0,68,0,7,15,38,48,102,137,92,13,460
SOSR321,0,0,0,3,0,0,0,0,0,5,0,5,0,12,9,5,19,6,3,60,3,0,0,11,5,9,30,22,7,83,0,5,0,3,0,3,0,0,0,15,0,4,0,14,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,11,8,6,4,0,0,32,0,0,0,0,5,8,14,6,8,40,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,7,0,0,3,11,0,0,0,0,0,12,0,3,4,14,18,24,56,43,7,158,4,22,42,233,230,269,295,117,12,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,0,0,10,0,9,6,28,30,34,18,0,0,123,4,28,26,63,24,8,6,0,0,149,0,0,0,3,0,6,6,8,0,20,0,0,0,3,0,3,0,0,0,8,0,6,3,22,26,38,54,34,9,193
SOSR322,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,5,0,0,22,0,0,0,5,0,7,13,17,16,61,0,0,0,7,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,9,0,0,0,3,0,0,5,13,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,3,5,35,13,3,63,0,11,16,81,79,120,131,41,3,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,6,14,10,32,14,5,0,83,0,3,5,17,3,3,0,0,0,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,6,0,0,0,4,11,21,22,8,0,64
SOSR331,0,0,4,4,3,7,0,0,0,17,0,13,15,91,71,47,46,41,13,328,0,0,6,33,17,56,169,128,74,484,0,3,6,22,13,7,9,7,3,70,0,12,13,39,10,10,9,0,0,81,0,0,0,0,4,0,6,0,0,18,0,4,10,53,32,46,21,11,0,178,0,4,0,4,10,26,73,39,8,156,0,0,4,0,0,13,11,3,0,35,0,0,0,10,0,4,3,0,0,22,0,0,0,16,0,0,0,0,0,23,0,9,11,38,85,125,292,196,30,785,11,95,209,949,1128,1310,1102,347,43,5197,0,0,0,4,0,0,0,0,0,13,0,0,0,15,0,11,3,0,0,37,0,10,17,97,124,122,54,10,0,432,16,68,62,166,59,29,13,4,0,408,0,0,0,19,5,18,31,12,3,99,0,0,3,49,8,7,7,4,0,81,0,17,19,53,89,143,189,86,17,606
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,7,3,0,0,25,0,0,4,18,0,0,3,3,0,32,0,0,6,9,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,17,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,14,3,0,35,0,6,13,80,46,61,87,3,0,304,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,3,0,0,0,10,0,9,3,3,6,0,0,0,0,22,0,0,5,10,10,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,5,0,9,6,3,0,34
SOSR401,0,46,98,339,184,114,48,18,0,849,0,86,65,360,210,207,204,160,79,1373,3,44,62,440,305,899,2135,2060,1251,7217,5,57,70,133,78,18,29,10,0,404,20,122,308,799,273,101,19,6,4,1651,3,48,50,195,158,172,142,75,28,868,30,291,574,1391,481,319,375,188,35,3687,0,0,0,21,24,82,222,146,54,546,0,3,11,39,26,9,6,7,5,113,10,59,208,558,149,59,26,7,3,1080,9,218,775,2429,107,24,23,3,0,3583,0,18,50,123,139,221,694,526,145,1926,26,205,357,1332,901,823,660,250,43,4596,0,0,5,25,17,28,43,24,14,153,50,497,539,1576,234,88,37,17,4,3041,3,10,31,85,145,66,30,9,3,389,19,339,766,1970,786,415,150,33,9,4496,5,16,26,402,244,376,530,185,101,1889,0,3,6,18,17,7,7,0,0,54,7,70,148,483,517,1049,962,614,207,4052
SOSR412,0,8,0,8,0,0,0,0,0,18,0,0,0,16,3,18,15,6,8,65,0,0,0,12,0,18,70,50,23,176,0,3,0,0,0,0,0,0,0,4,0,4,3,7,0,0,0,0,0,18,0,0,0,5,3,0,6,0,0,12,0,7,14,30,15,8,9,0,0,82,0,0,0,0,0,0,12,0,4,18,0,0,0,4,0,0,0,0,0,14,0,3,14,59,22,10,0,3,0,107,0,0,0,13,0,0,0,0,0,17,0,4,0,9,11,22,93,59,13,215,3,21,30,82,86,73,50,10,3,365,0,0,0,0,0,0,0,0,0,0,4,3,0,25,0,3,0,0,0,41,0,0,0,3,6,0,0,0,0,23,9,40,50,107,54,17,0,0,0,278,0,0,3,3,7,11,14,10,0,50,0,0,0,0,0,0,0,0,0,0,0,6,6,25,54,144,106,77,20,447
SOSR413,0,0,0,0,0,0,0,0,0,5,0,0,4,9,7,3,14,5,0,45,0,0,0,12,10,17,34,66,30,181,0,0,0,3,0,0,0,0,0,9,0,6,0,11,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,4,4,21,15,6,3,0,0,54,0,0,0,0,0,4,8,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,12,0,0,0,22,3,0,0,0,0,23,0,0,0,0,6,11,70,45,16,154,5,9,28,84,86,65,67,25,5,379,0,0,0,0,0,0,0,0,0,3,0,3,7,30,3,0,0,0,0,45,0,0,0,3,9,3,4,0,0,19,0,34,58,114,43,16,0,0,0,274,0,0,0,9,8,3,9,6,0,33,0,0,0,3,0,0,0,0,0,4,0,0,6,13,12,42,66,46,16,199
SOSR414,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,0,3,8,0,33,0,0,0,0,0,4,10,8,5,28,0,0,0,0,6,0,0,0,0,3,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,33,4,0,0,0,0,44,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,3,0,8,38,35,3,92,0,8,14,33,22,28,26,16,0,153,0,0,0,0,0,0,0,0,0,0,0,3,3,15,3,0,0,0,0,24,0,0,0,4,3,0,3,0,0,9,0,19,11,30,16,0,0,0,0,83,0,0,0,3,5,3,0,0,0,13,0,0,0,23,0,0,0,0,0,24,0,0,0,5,3,19,29,21,6,90
SOSR415,0,0,0,0,4,0,0,0,0,0,0,0,0,12,10,11,15,11,5,58,0,0,0,8,8,17,58,53,32,186,0,0,0,5,3,0,4,0,0,9,0,4,0,10,3,0,0,0,0,19,0,0,0,6,0,5,0,0,0,14,0,3,9,64,18,9,9,3,0,114,0,0,0,0,0,8,8,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,23,5,0,0,0,0,30,0,0,0,9,3,29,100,50,17,205,6,14,29,98,86,128,76,36,6,476,0,0,0,0,0,0,4,0,0,4,0,4,9,23,8,0,0,0,0,47,0,0,0,3,10,4,3,0,0,22,0,42,34,87,27,4,3,4,3,208,0,0,0,10,6,3,13,0,6,30,0,0,0,3,0,0,0,0,0,6,0,4,3,21,28,84,74,46,19,287
SOSR421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,0,18,0,0,0,0,0,5,11,3,3,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,9,0,0,0,0,3,7,31,13,4,54,0,0,6,28,22,27,26,7,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,7,0,13,12,25,13,4,0,0,0,63,0,0,0,3,4,0,3,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,30,18,0,66
SOSR422,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,4,0,12,0,0,0,0,0,0,3,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,7,35,18,0,60,0,0,0,19,21,13,11,13,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,0,0,0,6,0,0,0,0,0,15,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,9,18,9,0,45
SOSR431,0,0,0,3,0,0,0,0,0,3,0,4,4,17,10,20,17,15,5,86,0,0,3,12,7,47,106,95,36,300,3,0,0,5,0,0,0,0,0,14,0,0,7,10,0,0,0,0,0,19,0,0,0,4,0,3,0,0,0,12,0,0,16,57,10,11,8,0,0,104,0,0,0,0,0,9,8,9,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,3,11,0,0,0,0,0,19,0,0,0,15,15,39,138,75,8,288,0,27,29,140,129,154,117,33,4,627,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,5,0,3,8,14,0,0,0,37,5,18,20,50,26,5,10,0,0,125,0,0,0,11,10,11,11,0,0,39,0,0,0,4,0,0,0,0,0,11,0,4,11,24,40,88,103,48,10,324
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,6,6,4,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR501,9,134,192,722,392,271,88,28,10,1849,27,450,452,4279,967,826,781,467,143,8392,5,107,175,1385,570,955,2163,1871,1046,8285,52,163,146,458,226,87,70,29,9,1246,25,170,231,1593,360,188,67,21,6,2670,0,23,36,157,132,101,111,43,3,602,51,668,1553,5090,1943,1706,1914,886,188,13998,0,0,6,30,22,64,137,96,24,380,0,58,238,1056,288,335,258,114,45,2397,10,74,272,1354,712,725,601,277,107,4130,8,54,353,1571,121,31,8,0,0,2154,12,81,123,416,381,357,947,751,256,3315,222,1889,2726,10272,5330,5148,3062,906,143,29697,0,21,30,370,272,300,388,170,65,1627,70,395,802,2543,342,155,92,33,8,4440,0,33,95,162,236,99,34,0,4,658,63,1504,2707,4637,2686,893,240,57,9,12793,6,44,53,590,290,373,578,158,79,2163,0,6,26,105,61,43,28,7,0,280,26,408,812,2301,1939,2333,1892,1193,321,11228
SOSR511,0,0,0,10,3,0,0,0,0,22,0,12,8,61,27,20,21,10,8,168,0,0,3,10,5,14,47,48,39,169,0,5,0,12,7,0,0,0,0,28,0,3,5,43,5,0,0,0,0,62,0,0,0,3,0,7,3,0,0,24,0,4,5,32,16,8,6,7,0,79,0,0,0,0,0,3,4,0,0,11,0,0,0,10,4,9,6,0,3,25,0,3,4,13,5,6,3,0,0,26,0,0,4,25,0,0,0,0,0,36,0,4,0,11,17,13,42,27,7,137,9,69,111,349,219,233,139,41,3,1179,0,0,0,0,0,0,0,0,0,0,0,15,0,28,0,0,4,0,0,49,0,0,0,5,9,5,0,0,0,16,7,60,73,156,84,18,0,0,0,396,0,0,0,7,4,6,14,3,4,37,0,0,0,5,0,0,0,0,0,6,0,3,12,29,35,61,53,33,6,233
SOSR512,0,3,0,7,0,0,0,0,0,9,0,3,8,79,21,9,17,8,3,151,0,0,0,25,16,18,42,47,28,178,0,0,0,3,3,3,3,0,0,12,0,3,3,26,4,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,5,48,21,22,14,4,0,111,0,0,0,0,0,3,0,8,0,14,0,0,0,12,4,0,0,0,0,17,0,3,8,33,7,11,10,6,0,66,0,6,0,28,0,0,0,0,0,34,0,0,0,15,14,27,68,51,13,192,10,118,174,584,376,402,235,75,6,1975,0,0,0,0,4,4,3,0,0,7,0,5,11,42,6,9,0,0,0,72,3,8,15,36,23,7,7,0,0,94,5,88,141,337,157,49,6,0,0,793,0,0,0,7,7,0,3,11,6,34,0,0,0,10,5,0,0,0,0,11,0,4,4,42,34,92,81,56,14,325
