SOSR_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,27,3,72,0,0,6,3,8,0,20,3,3,0,0,4,0,13,0,4,13,9,6,0,30,0,0,0,0,6,0,11,17,0,36,7,11,0,68,3,0,12,6,15,0,44,5,4,22,10,12,0,47,23,5,23,15,18,4,80,28,11,49,29,44,6,165,0,3,19,0,7,0,32,0,6,8,3,7,0,33,3,0,13,4,5,11,41,106,40,300,124,219,42,829,0,0,40,9,22,9,87,0,0,5,3,17,0,24,4,4,27,12,37,13,95,0,0,4,0,3,0,15,4,0,19,12,105,7,149,3,0,9,6,12,0,26,12,0,26,17,45,3,104,8,0,45,20,65,3,134,0,0,8,16,30,5,65,8,3,20,4,5,0,33,9,5,31,12,7,4,69,0,0,3,0,6,0,14,33,9,71,15,19,6,151,3,0,21,9,33,0,69,16,0,42,12,29,4,104,33
SOSR201,8335,1163,32834,2043,607,5890,3309,3964,530,16344,2527,909,6544,1629,1084,230,12925,7971,2314,19875,6487,4294,977,41922,1651,506,4868,2662,3487,499,13677,20021,5272,44436,9799,6617,1411,87556,3112,1054,9351,5332,5388,858,25084,10138,5188,20843,8277,6698,888,52030,32287,16504,52173,14372,11519,1723,128582,34570,17267,82540,35513,34085,5140,209117,1935,882,6186,2561,2362,264,14197,2787,1066,7324,6816,9828,768,28591,4205,897,10410,4632,4625,3961,28726,143020,57687,338428,138001,132303,22919,832364,822,182,2186,1270,1841,263,6567,630,114,1232,318,732,81,3101,12174,2400,33003,16983,34286,2852,101691,3528,734,7067,2422,4151,388,18284,7752,1728,26809,18791,82920,3437,141436,6492,1413,17989,7996,11452,1254,46591,13321,3001,45203,23540,28709,3804,117572,6238,1056,22737,17357,18072,2404,67882,9076,1764,21514,14705,19261,2601,68921,6665,1778,16436,4714,3838,693,34122,18986,5214,46334,13040,7797,1956,93326,3610,974,10358,5071,7393,990,28394,49199,10479,106044,20759,13397,3287,203160,6373,1720,17944,10012,12655,1649,50353,19104,8433,38873,17972,16873,1926,103185,51374
SOSR203,1373,86,2916,56,21,177,171,334,27,785,54,50,227,104,133,11,577,127,107,715,416,464,47,1882,27,17,161,165,330,34,735,493,260,1603,585,686,71,3696,90,58,351,325,700,47,1571,550,458,1492,962,1067,91,4619,1850,1548,4939,1411,1547,116,11409,2522,2075,8210,4070,5603,542,23024,87,57,333,165,280,25,940,102,66,346,574,1172,53,2323,101,44,335,256,397,241,1375,6773,5064,22117,11784,17967,1754,65465,51,30,292,208,533,51,1163,75,20,212,83,566,18,977,557,116,1569,1112,4196,206,7751,135,46,424,265,709,38,1621,264,104,1261,1200,9405,255,12495,107,42,499,418,1104,58,2227,544,198,2349,1681,3946,306,9026,406,83,1278,1160,2521,181,5622,339,67,741,681,1703,134,3669,132,86,520,254,405,33,1433,340,218,1586,839,735,79,3795,67,28,397,305,664,49,1507,1192,512,4009,1266,1280,130,8394,215,98,659,548,1382,87,2979,974,739,2774,2050,2553,197,9289,3101
SOSR211,332,31,629,25,9,101,106,275,24,536,16,0,47,27,23,0,116,46,13,148,98,154,21,481,9,4,29,39,108,6,202,83,36,257,135,151,15,673,39,18,95,103,257,19,539,85,65,310,314,352,29,1153,295,328,884,442,509,33,2488,340,349,1480,1105,1528,131,4939,6,8,36,36,68,9,158,17,6,65,125,318,20,557,29,10,89,87,169,102,477,1180,916,4159,3337,5419,554,15557,18,8,28,48,85,7,195,0,3,13,6,47,3,76,106,25,397,372,1353,89,2347,35,3,51,49,173,16,327,60,14,234,368,2573,106,3358,34,12,140,123,411,25,747,134,46,444,504,1234,83,2443,69,8,199,250,587,48,1169,126,40,409,635,1174,103,2489,44,5,136,61,68,9,323,112,23,301,190,218,31,872,21,8,56,84,197,14,371,237,63,608,274,287,36,1503,66,24,170,183,509,44,985,215,106,637,648,967,62,2644,438
SOSR212,930,87,1803,28,19,134,185,324,18,718,31,28,126,56,74,3,322,71,41,303,278,278,39,1008,15,3,106,120,253,31,528,272,162,951,431,500,53,2373,43,37,230,246,456,40,1059,275,274,1013,906,844,63,3380,1085,1080,3243,966,1226,99,7694,1336,1242,4634,2759,3436,373,13779,42,29,167,121,186,11,562,47,41,218,442,879,51,1679,49,31,210,219,276,198,983,3609,3197,13275,8668,12394,1360,42493,85,34,403,328,679,121,1651,16,7,57,54,234,11,374,220,80,1005,741,2922,154,5121,117,54,349,286,902,32,1740,124,59,697,905,7048,165,9002,79,23,305,281,874,61,1613,189,103,1100,1091,2701,230,5407,89,41,618,688,1736,144,3311,105,51,435,627,1600,105,2918,58,50,279,154,259,23,808,152,91,714,519,425,66,1965,29,7,221,202,533,54,1049,643,306,2264,867,939,108,5121,82,59,388,394,978,71,1978,509,416,1757,1746,1868,134,6431,1622
SOSR213,914,86,1598,12,6,74,138,272,25,534,18,29,83,58,75,9,275,38,30,231,226,299,30,854,5,6,72,106,234,21,454,163,104,651,350,442,44,1761,19,28,151,216,488,56,951,229,228,801,739,789,60,2847,852,844,2583,915,1252,100,6550,1020,993,3655,2732,3867,330,12599,30,27,140,105,134,11,450,44,31,164,394,855,42,1524,37,25,144,155,282,177,825,2691,2511,10126,7720,12735,1247,37031,66,29,349,289,837,105,1673,16,0,58,56,300,3,429,150,70,766,763,3283,172,5207,55,24,233,168,722,31,1234,79,49,416,694,6539,170,7952,34,16,211,273,845,40,1420,128,73,744,824,2738,188,4705,72,40,416,565,1578,138,2798,81,34,259,473,1559,111,2519,55,51,205,119,255,15,703,107,61,461,438,410,44,1514,18,13,135,177,443,38,821,416,197,1493,719,843,72,3747,35,40,271,354,1039,88,1820,439,352,1492,1557,1835,128,5811,1232
SOSR214,555,80,1073,15,10,51,79,155,15,318,13,8,52,31,38,7,147,21,19,131,108,123,26,436,10,11,44,68,156,22,303,109,64,422,177,256,21,1045,16,15,95,121,238,17,494,134,93,396,382,414,36,1451,433,492,1357,478,528,46,3337,433,496,1779,1515,2000,214,6445,35,30,116,91,109,6,384,24,28,90,192,430,16,774,16,16,71,96,155,113,461,1386,1390,5515,4238,6660,811,20003,24,15,194,192,546,75,1050,8,8,32,24,151,6,228,116,36,452,380,1699,158,2837,20,18,83,91,343,19,566,74,34,280,371,3692,117,4570,16,17,127,128,408,37,736,60,47,441,449,1363,120,2487,54,32,288,390,1007,127,1891,36,25,144,211,761,63,1248,27,17,112,70,117,19,351,64,41,242,195,180,32,746,15,18,92,125,286,25,558,255,120,841,359,431,45,2052,33,13,152,206,500,36,938,241,169,685,802,1046,75,3015,653
SOSR215,834,81,1709,26,25,93,121,267,33,564,22,16,89,45,69,7,253,37,33,188,180,236,30,705,8,7,76,99,219,27,436,218,111,638,327,404,34,1739,13,32,143,187,363,35,776,216,208,720,609,655,50,2453,775,853,2258,770,854,63,5568,739,755,2710,2321,3010,321,9868,46,37,145,108,186,9,534,40,23,168,315,667,34,1244,34,37,163,182,305,180,895,2399,2333,8807,6896,10607,1219,32263,62,38,337,360,1350,138,2289,15,3,38,44,269,11,382,118,69,627,590,2832,157,4392,59,25,180,153,655,17,1088,75,62,457,642,6561,209,8003,31,17,209,241,795,47,1338,100,67,654,715,2231,243,4001,120,48,519,627,1518,128,2959,59,53,267,389,1416,115,2298,45,21,177,110,189,17,562,94,70,380,293,322,41,1201,23,13,129,160,392,42,758,486,219,1415,609,708,64,3506,38,46,273,302,810,75,1536,385,303,1220,1203,1571,120,4802,1151
SOSR221,211,20,399,6,4,28,39,69,16,151,9,8,18,15,15,0,61,15,5,39,55,71,8,191,3,3,24,30,43,0,110,56,32,188,105,108,15,501,7,6,50,49,98,11,223,57,56,190,163,187,8,662,229,225,708,195,262,27,1646,176,198,790,610,778,95,2647,21,15,49,48,53,3,183,3,3,34,67,175,8,299,10,10,31,29,78,48,209,640,616,2560,1808,2849,349,8820,11,21,140,120,478,53,820,3,0,13,11,92,3,126,25,12,158,147,735,49,1127,10,7,43,50,199,8,314,14,14,128,189,1837,70,2243,9,5,51,57,209,17,352,18,14,205,195,596,70,1106,17,14,119,130,379,36,696,14,4,63,90,363,41,581,11,11,30,31,49,3,142,25,20,89,84,93,14,326,7,4,46,45,94,8,203,129,53,388,181,213,21,991,13,16,89,86,227,23,456,104,82,319,347,490,27,1358,348
SOSR222,165,7,354,3,0,27,25,41,7,108,0,9,18,0,8,0,31,3,3,28,21,23,0,89,0,0,16,11,24,0,52,20,13,92,53,59,3,242,9,11,34,38,55,6,144,35,33,102,90,83,8,342,95,115,335,137,124,7,817,102,117,380,316,417,51,1379,10,6,42,28,15,0,99,3,5,26,38,103,0,174,4,5,29,24,46,26,135,321,339,1369,1018,1533,163,4749,10,10,61,61,282,25,444,0,0,6,4,53,0,64,13,18,69,88,405,17,605,7,5,37,13,76,6,140,6,11,64,78,841,28,1038,0,3,21,22,112,0,169,16,10,97,105,284,26,535,18,14,140,129,340,35,676,8,8,44,64,220,26,372,6,13,32,14,21,0,73,19,6,61,39,34,5,162,0,5,19,20,67,0,116,54,20,202,98,106,13,492,10,9,48,53,149,12,280,56,50,177,180,225,17,713,161
SOSR231,1169,161,2417,29,21,188,277,487,76,1084,55,38,189,103,101,16,493,101,54,383,308,316,45,1198,23,15,133,149,354,50,722,462,262,1653,763,849,122,4113,48,54,295,354,567,76,1394,413,411,1326,1166,1065,106,4482,1365,1414,4387,1494,1645,200,10516,1480,1570,5657,3881,4571,639,17805,87,78,365,286,368,45,1226,105,62,315,533,1162,87,2258,88,68,421,459,641,415,2088,4909,4754,19966,14277,19497,3073,66474,579,486,3913,4068,9918,1256,20225,45,12,178,117,779,39,1170,301,173,1460,1291,5334,316,8864,94,51,371,320,1210,50,2095,137,128,1153,1509,12629,443,16001,90,60,500,498,1617,151,2921,144,112,1266,1182,3318,374,6408,110,98,701,746,1976,249,3877,89,62,451,717,2804,238,4355,96,54,359,202,260,25,1004,202,103,795,542,460,67,2172,55,36,260,277,711,93,1435,1017,470,3475,1334,1495,208,8000,104,81,492,596,1434,146,2854,696,585,2285,2244,2751,222,8789,1898
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,20,4,61,0,0,8,5,4,0,13,0,0,6,0,0,0,9,4,7,3,0,3,0,15,0,0,0,0,0,0,11,5,0,12,6,4,0,36,4,0,6,3,4,3,24,4,3,14,3,10,0,33,20,6,18,3,7,0,53,20,13,37,20,29,6,123,3,0,9,4,8,0,19,0,0,7,5,4,0,17,4,0,5,3,6,7,24,75,35,204,76,136,22,546,6,0,13,5,22,0,54,0,0,5,0,0,0,4,5,0,23,3,37,3,78,0,0,3,0,8,0,18,0,0,18,11,101,3,130,5,0,4,0,14,0,27,0,5,19,9,31,3,67,7,4,46,15,34,9,115,3,0,22,10,24,0,59,4,0,10,4,0,0,18,7,4,20,0,4,5,44,0,0,7,4,6,0,16,22,4,35,17,11,0,84,3,0,18,11,9,5,52,12,3,32,8,30,0,83,22
SOSR301,7410,662,18583,733,336,2761,2063,3238,344,9472,492,283,1856,580,659,71,3941,1670,833,5720,3307,3323,382,15233,670,228,2280,1488,2437,263,7363,6489,2793,18418,4479,4753,607,37532,1015,448,4455,2899,4323,437,13572,3702,2719,11424,5517,5567,539,29466,12583,7064,27308,8015,10275,831,66078,13897,7838,45924,20732,24852,2522,115771,523,318,2393,1109,1500,139,5981,957,530,3483,3723,6916,420,16023,1316,320,3586,2099,2882,1903,12113,50071,25725,154366,72650,99070,11093,412981,341,102,1167,577,1153,182,3516,1922,481,4167,1095,2902,189,10761,3086,755,9480,6315,21453,1166,42261,1445,423,3362,1701,3288,177,10398,2337,788,10437,8142,44815,1428,67940,1725,449,5264,3201,7523,515,18684,3257,923,14624,9888,21912,1705,52307,2189,448,9282,7622,14522,1231,35302,2987,891,9094,7476,15314,1425,37190,1205,453,4515,1689,2174,208,10233,4146,1784,12540,6003,5287,714,30474,1431,442,5044,2637,4901,508,14962,17056,5401,44093,9992,9686,1476,87700,1933,744,7857,4902,9199,839,25479,7796,4662,21566,12265,14616,1216,62121,20066
SOSR302,4251,436,10660,100,48,526,526,762,111,2072,109,56,636,316,345,53,1505,275,180,1257,1347,1302,174,4531,214,90,985,974,1455,215,3938,1237,596,4791,2051,2129,275,11081,270,174,1509,1505,2048,251,5756,575,409,2211,1496,1395,143,6224,3497,2531,9854,3558,3842,393,23668,4928,2722,16136,9369,10487,1235,44870,202,87,1099,843,1182,105,3522,242,131,1097,1989,3375,196,7032,370,115,1495,1212,1430,847,5469,13747,7818,50482,33834,43524,5370,154779,99,23,324,239,533,75,1296,161,51,540,469,1811,62,3094,533,168,2394,2116,7626,360,13200,163,54,446,395,1181,57,2289,682,254,3643,4334,25260,883,35061,325,92,1303,1096,2336,170,5328,1094,331,5194,4836,10098,839,22396,1017,275,4750,4875,8516,780,20204,474,164,1803,1948,3789,397,8561,269,100,1311,760,1087,116,3640,759,405,2844,2578,2189,289,9056,505,179,2041,1643,2891,370,7621,3042,1112,10762,4032,3981,583,23513,525,251,2482,2383,4413,418,10464,1211,795,4136,3492,3954,311,13905,5309
SOSR303,2131,193,4333,59,33,299,317,603,41,1359,16,11,137,45,108,14,326,65,56,382,382,504,30,1416,28,23,225,219,544,47,1082,430,299,1699,535,855,71,3890,74,38,413,423,873,88,1909,436,324,1889,1252,1639,104,5639,1826,1290,5236,1689,2496,191,12729,2261,1691,9520,4460,6575,573,25076,49,27,236,168,315,20,823,161,91,585,715,1549,80,3175,97,40,326,290,583,327,1660,6014,4171,23906,13312,23385,2146,72946,134,32,470,258,562,42,1498,107,48,421,340,1887,61,2858,202,70,824,734,3841,163,5837,88,41,367,372,984,24,1872,152,75,892,1056,9150,279,11603,61,21,348,304,1494,68,2300,327,121,1615,1433,5091,348,8936,326,80,1551,1568,4095,361,7977,217,85,919,1152,2886,182,5445,44,36,299,152,407,22,966,169,115,732,650,720,46,2437,60,36,420,364,1017,71,1964,978,496,3632,1108,1586,170,7960,139,58,672,666,1832,152,3519,976,588,3641,3171,5317,282,13967,2973
SOSR311,1122,90,1784,19,19,107,115,300,18,574,10,5,60,22,51,3,145,20,19,115,150,250,20,571,4,5,80,102,298,27,520,93,85,619,215,464,29,1508,24,22,141,173,507,59,913,92,108,638,494,599,35,1970,579,613,2796,820,1381,85,6280,792,688,4319,2387,4336,347,12875,15,11,50,63,140,13,285,19,23,159,325,943,51,1520,23,15,137,125,374,176,849,1841,1698,10390,6245,13921,1208,35299,36,16,244,120,511,79,999,63,48,310,415,3362,95,4295,71,24,406,319,2466,139,3428,46,22,231,283,684,32,1294,40,32,327,458,4797,126,5782,20,12,143,210,1245,39,1668,117,34,559,588,2952,182,4431,82,14,398,470,2037,147,3149,93,50,325,388,1564,99,2521,16,6,110,50,162,9,353,45,44,229,271,334,27,942,14,17,148,155,591,35,967,226,160,1309,441,904,60,3088,39,30,206,252,1083,90,1696,221,205,1161,1069,1685,104,4447,888
SOSR312,473,55,754,9,9,72,66,172,17,342,0,0,18,10,36,0,65,4,15,39,62,84,12,211,4,0,32,43,124,14,220,50,31,177,82,171,6,515,8,5,71,78,202,25,389,45,35,193,152,237,16,675,170,198,900,281,564,26,2148,226,185,1105,847,1439,111,3906,3,3,29,27,45,0,120,9,10,48,125,383,7,584,7,6,52,63,156,71,358,601,546,3195,2347,5348,452,12492,17,0,41,32,112,10,212,25,11,69,73,428,13,623,96,45,347,254,1784,54,2580,22,7,57,79,329,22,514,28,14,144,231,2128,88,2624,9,4,47,54,265,17,397,34,14,235,273,1164,75,1802,15,9,136,210,810,77,1252,27,20,165,209,839,62,1322,6,0,34,40,89,5,176,11,21,71,101,120,16,335,11,3,55,64,243,24,395,98,52,408,195,344,24,1121,14,12,119,141,443,39,767,90,70,348,331,594,34,1459,261
SOSR313,865,67,1494,8,5,60,81,270,18,444,4,0,35,18,34,0,93,14,10,83,96,192,16,412,3,6,49,70,208,20,357,51,54,379,149,309,22,968,18,20,99,116,334,34,618,81,79,491,372,529,33,1592,452,466,2011,553,877,74,4436,439,399,2220,1412,2185,188,6845,14,7,26,42,95,5,183,9,20,85,238,636,36,1033,15,8,86,100,253,127,598,1283,1170,6627,4276,9211,815,23375,35,22,270,165,470,53,1008,114,53,448,406,3255,111,4382,46,21,305,267,1755,104,2492,28,12,84,112,520,6,762,30,25,200,327,3280,105,3967,11,10,98,124,696,21,961,64,33,380,477,2125,132,3213,63,22,367,453,1472,123,2495,26,18,168,242,1148,72,1669,9,3,67,43,96,4,223,32,28,145,160,250,28,637,7,9,81,122,373,20,622,120,81,720,256,552,50,1786,27,30,161,184,680,52,1128,204,149,859,849,1255,94,3408,650
SOSR314,760,80,1250,14,10,59,110,249,13,456,10,0,36,16,40,0,109,12,10,80,145,168,21,435,10,8,43,70,206,17,352,81,54,363,172,334,25,1015,17,18,132,139,388,47,734,71,91,413,347,483,25,1424,418,430,1879,625,989,72,4404,334,309,1784,1351,2210,200,6180,8,6,57,41,106,8,219,24,22,113,230,617,25,1022,28,11,129,140,285,160,749,1207,1079,6249,4575,9229,947,23295,135,23,611,393,882,207,2253,83,42,348,293,2004,75,2840,78,26,356,396,2103,98,3050,17,18,121,150,632,21,963,42,19,254,463,3826,139,4737,15,16,120,138,645,30,963,53,38,381,471,1876,133,2951,57,17,230,354,1288,123,2071,28,23,161,294,1248,75,1827,16,7,63,57,124,3,266,24,18,151,205,230,24,659,9,11,78,117,361,27,603,160,86,754,340,621,45,2016,29,33,188,209,812,68,1335,165,146,701,792,1253,65,3112,610
SOSR315,1249,153,2402,17,9,107,155,382,28,694,16,0,45,31,44,8,148,11,13,119,183,254,21,605,11,9,69,136,279,33,531,102,64,583,251,482,39,1524,22,22,157,233,495,76,1000,115,108,505,530,690,61,2009,571,594,2398,860,1448,117,5979,490,532,2608,2063,3431,288,9416,13,10,93,56,146,19,327,26,32,133,286,826,26,1333,20,15,165,189,368,202,958,1576,1534,8559,6631,13510,1403,33213,53,20,381,317,1038,146,1954,83,54,448,398,3255,148,4382,47,40,425,429,2942,157,4040,27,24,108,123,697,28,1004,27,34,299,546,5334,181,6426,19,17,122,187,875,50,1273,71,45,511,648,2683,234,4198,92,34,758,774,2276,226,4169,47,26,224,362,1753,124,2538,24,9,83,62,139,15,325,32,20,205,276,350,35,924,16,16,112,187,480,51,861,222,123,1080,471,895,80,2866,37,34,261,342,1144,131,1955,203,183,896,1172,1923,163,4540,799
SOSR321,367,62,692,9,4,42,55,136,17,264,8,0,25,11,18,3,71,7,5,37,55,97,4,209,5,3,28,28,95,11,172,47,26,229,98,182,17,603,6,0,66,74,176,23,351,46,49,218,236,347,29,924,212,213,953,301,559,35,2275,209,204,991,842,1219,134,3589,7,7,30,30,73,11,150,13,6,60,114,260,11,464,17,9,56,76,159,110,432,665,597,3171,2461,4865,576,12338,20,17,123,118,440,66,788,13,7,103,115,760,39,1031,28,21,113,139,993,43,1329,8,4,34,67,300,14,425,20,15,114,208,2124,78,2564,13,10,52,64,260,17,413,29,27,200,228,1005,93,1575,24,8,127,215,652,86,1126,12,6,97,167,659,69,1015,16,0,32,28,59,6,145,20,6,69,99,133,6,335,12,0,38,39,178,14,293,122,55,418,193,329,26,1151,4,6,92,116,400,45,663,82,81,385,534,987,86,2159,313
SOSR322,180,26,362,0,0,19,28,59,4,115,0,0,5,0,7,0,13,0,3,8,20,20,0,54,5,0,11,12,33,3,58,21,7,74,33,50,16,196,0,0,14,31,72,10,136,21,8,84,120,191,15,443,93,77,395,128,279,26,997,70,67,326,294,476,48,1294,6,4,16,8,22,0,50,3,8,20,34,111,0,176,0,4,22,27,66,59,172,245,202,1199,979,2073,279,4985,7,3,77,61,292,37,472,9,12,55,58,354,28,512,7,8,45,59,437,25,587,0,0,7,12,94,11,127,3,5,40,82,780,42,946,4,0,9,20,107,9,149,9,3,67,84,398,39,597,19,10,89,109,343,36,600,0,0,25,71,283,28,406,0,0,9,6,29,0,43,0,3,15,23,30,0,68,3,0,14,13,69,10,113,39,18,129,58,106,20,373,4,3,26,39,158,15,249,30,17,151,234,571,64,1072,127
