SOSR_CODE_2021,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,155525,6024,412,161962,1857,315,40,36,2248,288,33,324,2576,145,6,2727,3072,590,70,73,3809,260,108,366,4176,243,17,4431,4928,906,118,109,6057,545,141,685,6745,383,21,7153,134522,19770,2896,1832,159018,2541,712,3251,162272,6408,437,169117,35393,7891,1107,1139,45536,1632,412,2047,47579,8638,265,56484,386,104,7,565,1066,23,0,20,1088,77,844,2013,170301,27768,4014,3534,205619,4193,1121,5318,210938,15127,1545,227612,34818,4197,552,159,39722,731,160,892,40616,2078,59,42753,37371,6023,631,234,44256,554,125,678,44936,1653,59,46648,1920,344,298,33,2586,31,3,38,2622,142,5,2768,354,55,15,446,868,16,6,23,892,60,89,1045,74462,10617,1489,868,87437,1333,293,1630,89069,3934,216,93210,931,212,19,24,1187,195,19,216,1405,101,0,1502,1489,295,30,35,1841,155,65,219,2065,142,9,2211,2420,508,50,60,3034,348,88,431,3466,242,8,3721,76881,11125,1539,931,90470,1682,382,2063,92529,4177,222,96931,16768,3766,565,550
SOSR203,12662,411,20,13095,67,14,0,0,83,3,0,3,88,3,0,90,203,33,5,12,251,12,7,18,267,10,0,276,266,49,5,12,333,22,7,25,358,8,0,372,10949,1539,260,105,12857,123,40,164,13020,422,15,13464,2251,405,62,46,2768,59,15,72,2838,452,7,3302,5,0,0,6,12,0,5,5,17,3,55,74,13209,1950,324,158,15642,180,54,239,15880,884,74,16836,2318,351,38,7,2719,36,9,43,2763,138,0,2898,3455,461,77,24,4017,28,8,26,4044,136,9,4187,162,18,16,6,201,8,0,8,208,11,0,221,26,0,0,22,46,0,0,0,46,5,7,59,5965,833,133,58,6982,61,12,75,7065,297,10,7365,38,9,0,0,47,4,0,8,54,8,0,63,99,3,4,0,113,3,0,3,115,4,0,122,136,11,4,3,157,12,0,10,170,8,0,179,6102,850,132,61,7142,74,17,90,7234,305,14,7548,980,219,26,6
SOSR211,3649,201,19,3866,67,15,0,0,84,11,3,17,97,12,0,112,95,25,7,7,134,7,4,16,152,5,0,159,166,39,10,7,222,23,6,32,252,19,0,270,3139,497,99,65,3794,76,25,107,3900,215,23,4136,1328,339,44,56,1768,67,14,82,1850,334,4,2191,9,7,0,18,38,0,0,0,38,0,26,66,4481,840,148,132,5602,150,41,189,5787,551,53,6398,764,92,25,9,885,18,6,26,914,57,4,964,764,152,20,7,938,17,8,22,957,49,0,1006,52,11,0,3,62,0,0,0,64,9,0,73,6,6,0,7,18,0,0,0,21,3,6,28,1583,256,41,22,1902,31,12,46,1949,117,4,2067,35,16,0,0,46,5,0,5,57,10,0,66,42,11,3,0,57,3,5,11,65,6,0,69,74,20,0,0,99,11,5,16,117,13,0,130,1654,277,47,23,2001,45,15,62,2066,126,4,2200,566,128,21,22
SOSR212,9365,307,23,9696,35,5,6,4,49,14,5,19,66,3,0,74,126,17,0,3,147,7,0,12,157,13,0,175,162,22,3,9,195,24,4,28,226,19,0,245,7984,1101,239,123,9454,104,34,142,9590,329,23,9942,1531,283,50,47,1910,42,23,66,1978,406,12,2397,19,8,0,11,40,0,0,0,40,5,41,86,9529,1392,291,186,11397,147,62,210,11607,742,80,12431,1906,266,38,11,2225,18,15,30,2251,101,0,2359,2521,316,51,17,2912,30,11,34,2949,83,4,3032,130,26,40,5,197,0,0,0,198,9,0,208,24,7,0,37,59,0,0,0,59,0,8,69,4581,610,128,69,5397,45,25,69,5465,193,13,5672,28,0,6,5,36,13,0,14,49,3,0,52,62,10,5,4,83,5,0,6,90,5,0,93,89,18,3,4,116,13,9,21,135,7,0,142,4674,626,132,79,5514,57,32,91,5603,203,13,5814,736,154,27,28
SOSR213,7841,322,22,8186,40,7,0,0,45,9,0,9,58,8,0,65,94,20,0,3,118,8,4,12,129,6,0,143,133,30,0,3,173,14,4,16,186,15,5,208,6721,923,170,96,7914,83,32,113,8029,336,26,8391,1568,228,54,74,1923,56,11,67,1992,282,7,2287,17,0,0,11,25,0,0,0,25,8,35,67,8303,1150,226,184,9865,139,42,179,10045,623,71,10739,1525,189,22,14,1748,18,8,26,1775,92,0,1867,2271,326,45,20,2654,25,6,33,2690,99,0,2789,113,12,22,7,154,0,0,4,155,9,0,164,21,0,0,32,59,0,0,0,55,4,0,60,3928,530,83,70,4613,46,19,63,4677,201,9,4884,22,3,5,0,30,4,0,4,39,3,0,38,45,4,0,0,55,6,3,4,60,3,0,63,70,10,3,0,80,5,3,7,96,11,0,101,3999,543,89,70,4695,54,22,76,4769,210,11,4983,671,123,34,18
SOSR214,4012,157,5,4173,10,3,0,0,13,5,0,0,16,4,0,22,45,5,0,4,57,7,0,11,66,3,0,71,57,6,0,4,74,7,0,11,83,4,0,89,3274,576,133,68,4050,36,13,44,4094,159,5,4265,730,137,33,25,923,12,0,12,935,178,9,1124,0,0,0,5,9,0,0,0,9,0,18,25,4004,716,161,102,4982,49,13,58,5040,340,35,5418,765,103,15,4,888,13,0,15,903,48,0,960,1060,195,28,14,1299,9,6,13,1310,70,0,1378,79,14,15,0,112,0,0,0,112,5,0,117,9,3,0,13,24,0,0,0,32,11,0,39,1913,322,56,40,2327,19,12,32,2352,130,0,2489,10,0,0,0,7,3,4,0,13,3,0,17,23,5,0,0,29,3,0,3,30,0,0,36,33,6,0,4,38,3,0,9,48,3,0,57,1947,331,53,38,2369,21,13,39,2406,135,3,2545,289,71,9,14
SOSR215,7328,247,8,7581,33,12,0,0,46,6,0,6,53,0,0,55,101,11,3,0,116,0,5,6,124,9,0,129,137,20,4,0,165,7,5,13,174,13,0,183,6256,834,203,102,7400,70,29,100,7500,260,8,7766,1398,188,68,53,1701,31,6,39,1743,253,0,2002,7,3,0,7,24,0,0,0,23,4,31,60,7659,1027,276,162,9123,101,39,137,9267,519,49,9833,1366,187,45,13,1610,23,5,23,1631,78,0,1711,2086,287,39,20,2446,16,7,22,2464,92,3,2568,138,21,22,9,188,0,0,0,188,8,0,196,25,5,0,46,73,0,0,0,78,4,0,84,3621,504,109,91,4321,33,12,48,4364,188,6,4556,25,11,3,0,35,0,0,0,37,6,0,43,48,7,0,3,58,3,5,6,60,4,0,67,79,11,4,3,96,3,5,5,97,11,0,116,3699,514,113,95,4416,32,15,49,4469,197,6,4672,558,102,18,17
SOSR221,1966,72,7,2046,5,0,0,0,5,8,0,8,9,0,0,9,16,15,0,0,26,0,0,0,26,8,0,34,16,15,0,0,32,8,0,8,34,8,0,44,1605,283,57,38,1978,19,0,24,1997,79,7,2086,374,59,13,21,474,11,6,20,490,75,3,566,7,0,0,4,8,0,0,0,8,5,12,17,1986,342,68,67,2456,33,7,35,2494,154,18,2666,377,48,11,0,440,0,4,5,442,20,0,464,585,95,21,15,717,6,5,3,718,22,0,750,44,3,8,0,55,0,0,0,52,5,0,58,11,4,0,6,14,0,0,0,14,0,0,23,1016,150,38,17,1226,3,3,8,1235,54,0,1290,7,0,0,0,7,4,0,4,5,0,0,9,4,0,0,0,13,0,0,0,13,4,0,11,13,0,0,0,14,4,0,4,17,4,0,23,1026,152,38,17,1240,4,3,9,1250,57,4,1314,179,25,4,12
SOSR222,963,44,0,1009,4,0,0,0,9,4,0,4,12,0,0,12,17,0,0,0,19,0,0,0,24,3,0,24,20,4,0,0,26,4,0,5,27,3,0,32,807,126,31,26,984,8,4,12,988,47,0,1042,139,36,3,6,183,10,3,8,193,45,0,240,0,0,0,0,4,0,0,0,4,0,9,17,944,158,37,35,1175,14,4,19,1189,94,11,1301,173,34,0,0,206,3,0,4,212,11,0,226,302,53,12,0,367,6,0,7,373,15,0,388,25,7,4,0,35,0,0,0,35,0,0,33,5,0,0,4,10,0,0,0,10,3,0,18,499,93,18,9,620,12,5,9,626,28,0,661,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,0,0,0,8,4,0,16,12,0,0,0,15,0,0,0,15,4,0,16,507,98,18,9,628,12,5,9,636,31,0,672,68,19,3,9
SOSR231,15044,526,32,15605,56,5,5,0,64,13,0,13,80,6,0,84,87,25,0,0,109,5,0,4,114,3,0,116,139,26,6,0,178,17,0,17,192,10,0,203,13074,1482,326,241,15127,80,26,110,15238,539,32,15807,2298,339,89,106,2833,42,9,56,2890,401,9,3294,34,4,0,8,50,0,0,0,51,6,98,160,15411,1829,418,358,18010,128,34,163,18179,943,144,19259,3477,337,84,32,3924,22,9,31,3959,148,5,4114,5010,687,117,58,5868,34,11,45,5911,195,5,6116,256,51,48,5,365,6,0,6,368,25,0,394,61,16,0,111,189,3,0,3,196,13,9,216,8805,1087,247,212,10351,63,21,86,10433,379,22,10839,38,4,0,0,44,9,0,10,54,7,0,58,64,13,4,0,80,3,0,8,84,5,0,89,102,17,0,3,121,16,5,15,138,7,0,150,8907,1106,246,210,10478,84,20,99,10575,389,22,10992,1240,206,58,55
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,79596,3290,198,83086,796,181,23,32,1030,168,17,182,1213,111,0,1324,1379,247,29,39,1701,109,47,147,1850,119,8,1976,2182,432,63,65,2736,274,54,330,3062,226,8,3302,68093,9930,2240,828,81088,1269,300,1570,82660,3514,212,86386,15806,2964,685,465,19929,650,165,813,20735,3119,91,23949,135,32,4,210,392,0,4,4,391,27,354,774,84038,12937,2929,1504,101406,1921,468,2385,103789,6661,662,111112,19890,2369,570,96,22924,352,80,440,23365,1202,32,24598,17868,2840,490,106,21301,249,55,300,21604,809,35,22450,2096,368,322,28,2809,40,3,46,2858,154,3,3011,159,18,5,188,371,12,4,12,378,44,33,454,40003,5594,1391,416,47408,650,148,795,48202,2203,108,50511,425,90,16,12,544,98,10,111,652,64,0,716,680,107,18,19,824,71,24,93,922,84,3,1007,1100,195,40,32,1367,174,34,202,1573,145,3,1724,41107,5793,1430,447,48774,818,181,1004,49775,2345,113,52232,7734,1457,362,216
SOSR302,28416,1226,84,29732,203,48,11,8,266,56,0,56,321,35,0,360,468,89,18,18,593,32,11,47,640,47,0,685,670,132,26,29,859,92,11,100,967,81,0,1049,23290,4201,984,374,28854,404,120,523,29382,1312,84,30775,4507,919,281,129,5835,171,59,228,6066,859,24,6951,46,12,6,54,116,6,0,6,118,8,147,275,27843,5138,1267,568,34811,584,177,757,35571,2180,251,37996,6169,901,205,46,7317,123,37,164,7481,420,17,7914,6902,1430,254,53,8637,110,31,137,8776,392,14,9181,792,168,137,14,1119,15,3,22,1138,67,0,1207,78,11,4,90,191,0,0,0,191,13,27,225,13950,2510,601,205,17263,250,76,324,17587,886,57,18533,97,23,5,0,126,34,3,30,152,13,0,172,233,35,5,12,289,17,6,25,316,22,0,337,325,63,7,13,409,46,9,58,468,40,0,509,14274,2578,611,212,17672,296,85,377,18050,933,57,19041,2188,479,117,57
SOSR303,12859,633,24,13514,74,21,0,10,104,24,3,29,130,27,0,157,169,37,0,4,210,24,17,44,252,21,0,277,243,60,0,13,311,50,24,70,381,50,0,436,10789,1737,315,140,12980,187,69,265,13240,683,22,13953,2173,504,107,79,2856,112,49,163,3017,760,10,3792,23,7,3,14,46,0,3,3,49,11,53,110,12987,2239,422,238,15888,301,123,426,16312,1457,87,17853,3378,452,71,16,3918,60,15,78,4002,220,3,4224,3146,474,88,23,3732,45,20,63,3792,189,4,3990,141,35,18,0,199,4,0,3,204,13,0,221,37,10,0,27,72,4,0,4,73,16,7,91,6700,973,175,71,7919,114,39,148,8072,442,15,8527,43,4,0,3,49,16,3,19,65,15,0,82,85,21,5,0,115,11,8,16,135,14,0,152,130,23,8,4,165,28,11,38,208,25,0,233,6832,992,183,75,8085,142,44,191,8275,464,14,8757,1017,247,39,26
SOSR311,6964,302,24,7288,51,8,0,0,60,24,5,27,79,11,0,92,100,24,10,11,145,10,6,14,156,5,0,161,146,32,10,11,196,28,3,37,238,14,0,254,6024,732,195,99,7052,111,35,146,7197,321,24,7545,1246,208,43,57,1559,68,14,78,1640,307,3,1954,10,4,0,10,21,0,0,0,21,0,27,50,7281,947,241,172,8641,172,45,228,8863,632,61,9552,1767,204,44,14,2025,28,5,31,2055,105,7,2165,1897,270,51,24,2237,26,3,34,2270,111,8,2393,73,16,23,0,116,4,4,5,121,4,0,129,11,0,0,40,56,0,0,4,52,3,4,68,3749,493,123,76,4433,54,14,67,4507,227,19,4753,32,4,0,0,33,15,3,16,51,8,0,63,43,11,3,5,68,3,5,3,72,4,0,73,79,17,3,5,104,21,4,25,122,13,0,137,3822,505,124,84,4534,71,20,93,4627,241,19,4888,573,113,24,23
SOSR312,2384,124,3,2501,20,4,0,0,29,7,0,7,32,4,0,32,44,10,0,0,55,0,0,0,51,3,0,53,64,10,0,0,80,7,0,7,80,5,0,84,1990,279,98,40,2409,44,17,57,2468,126,3,2593,596,93,26,17,726,32,6,37,770,153,9,928,6,0,0,8,16,0,0,0,16,0,11,29,2598,371,123,56,3151,73,19,98,3247,279,23,3549,509,65,25,3,601,9,3,14,617,37,0,652,669,98,24,10,799,7,0,10,810,54,0,860,46,12,12,0,73,0,0,0,71,3,0,76,7,3,0,12,18,0,0,0,18,4,0,25,1233,171,63,24,1494,20,9,27,1513,92,5,1615,10,6,3,0,16,0,0,0,20,3,0,19,25,6,3,4,38,0,0,0,42,0,0,41,34,11,4,4,57,3,0,3,59,7,0,65,1268,186,69,23,1544,24,9,33,1575,100,5,1676,261,55,15,9
SOSR313,5226,226,22,5474,43,4,0,5,47,3,0,3,52,5,0,59,75,5,0,3,87,3,9,8,90,8,0,96,111,9,0,6,137,8,9,16,149,9,0,160,4572,486,143,89,5297,60,16,77,5376,231,25,5633,1206,151,59,33,1459,39,17,61,1520,208,10,1731,6,7,0,14,25,0,0,0,25,0,33,58,5786,644,203,140,6779,103,37,136,6914,442,61,7420,1341,138,28,13,1518,14,7,25,1541,83,0,1621,1381,150,36,14,1582,16,5,17,1601,91,6,1695,57,12,12,0,77,0,0,0,79,8,0,84,15,5,0,18,38,0,0,0,38,0,0,40,2785,295,75,50,3208,31,12,45,3252,178,6,3437,21,0,0,4,25,5,0,4,35,4,0,36,50,5,0,0,57,0,3,3,60,0,0,63,75,10,0,4,82,5,3,11,92,8,0,100,2863,300,75,53,3292,32,23,56,3342,189,7,3542,514,77,33,14
SOSR314,5352,222,19,5590,37,3,0,0,45,18,0,16,62,0,0,70,104,15,0,3,118,14,0,11,129,8,0,147,145,14,0,4,170,29,0,28,198,15,0,212,4640,531,168,113,5458,77,10,87,5549,237,16,5806,1124,157,67,36,1380,43,6,54,1432,262,6,1704,17,0,0,3,19,0,0,0,19,0,30,50,5780,693,235,147,6854,120,22,140,6996,503,57,7558,1333,134,39,11,1522,13,0,13,1539,73,5,1621,1425,193,61,25,1697,18,3,24,1721,64,0,1787,132,21,13,4,167,0,0,0,164,13,0,177,12,0,0,27,46,0,0,0,46,3,5,50,2903,354,117,61,3432,33,0,36,3470,154,9,3634,25,7,0,0,34,15,0,12,46,3,0,52,59,4,4,0,65,4,0,4,65,3,0,76,83,12,4,0,102,18,0,17,112,5,0,123,2987,360,115,64,3529,47,5,51,3586,166,11,3761,512,74,32,19
SOSR315,7243,364,14,7621,42,14,7,0,63,14,0,18,82,21,0,105,89,4,3,8,103,14,4,15,122,11,0,130,132,21,11,8,165,31,6,34,203,30,0,232,6086,837,247,136,7304,112,28,141,7448,393,12,7857,1409,268,95,64,1833,65,20,80,1917,648,5,2572,25,4,5,12,39,0,0,0,39,8,51,97,7515,1112,342,211,9177,175,47,227,9407,1050,72,10522,1764,219,60,11,2056,16,4,24,2081,114,5,2202,1862,298,76,19,2253,31,3,35,2293,136,0,2421,129,33,26,6,190,4,0,5,193,18,0,214,15,0,0,33,50,0,0,0,50,9,7,66,3767,547,166,68,4553,48,9,63,4615,272,12,4900,30,9,3,0,39,10,0,10,52,5,0,59,49,7,3,0,64,6,3,9,68,6,0,78,83,14,6,0,100,11,3,16,123,15,0,139,3849,556,168,75,4648,62,18,85,4732,285,14,5039,670,145,36,35
SOSR321,2774,147,6,2928,17,8,0,0,32,20,0,23,55,6,0,58,38,5,0,0,45,3,5,9,50,3,0,55,60,19,0,0,72,25,3,31,107,6,0,112,2326,348,79,56,2810,55,18,69,2881,159,6,3041,478,99,21,22,617,22,14,34,650,235,3,889,8,0,0,3,14,0,0,0,14,0,40,52,2808,449,98,79,3434,69,35,104,3540,397,51,3982,622,83,14,0,728,9,0,7,734,50,0,788,731,113,22,5,874,4,3,10,880,75,0,961,61,15,12,0,95,0,0,0,95,10,0,101,9,0,0,22,31,0,0,0,37,6,0,39,1429,205,51,39,1724,16,4,21,1744,136,5,1888,20,3,3,4,29,17,0,17,40,6,0,52,27,4,0,0,35,7,0,7,37,0,0,40,47,11,3,4,60,23,0,23,81,8,0,87,1473,213,54,40,1783,37,4,43,1826,152,5,1975,277,53,21,13
SOSR322,985,68,3,1058,9,0,0,0,7,4,0,4,16,7,0,18,14,0,0,4,16,3,3,6,19,0,0,23,20,0,0,4,24,11,3,8,36,5,0,42,785,138,39,21,984,24,4,32,1019,76,3,1098,178,36,12,13,241,20,11,24,266,168,0,439,0,0,0,3,3,0,0,0,3,0,12,19,960,178,55,35,1231,48,14,57,1292,248,19,1553,217,30,5,0,248,0,0,3,255,29,0,285,259,42,10,5,313,7,3,7,325,16,0,343,14,5,0,0,21,0,0,0,21,0,0,23,6,0,0,0,8,0,0,0,10,0,0,9,493,85,16,6,594,9,3,11,607,49,3,659,0,0,0,0,9,5,0,5,13,5,0,16,6,0,0,0,6,0,0,0,6,6,0,9,11,0,0,0,14,5,0,5,17,7,0,25,505,85,16,10,614,14,3,19,626,54,3,685,96,24,17,8
