SOSR_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,9,0,11,3,0,0,33,0,0,0,5,0,0,0,0,0,10,0,3,5,0,0,0,5,0,0,9,0,4,9,71,4,0,0,0,0,90,0,0,0,11,3,0,0,0,0,15,0,3,0,12,5,0,0,0,0,24,0,4,0,0,0,0,0,0,0,11,0,0,0,17,0,0,0,0,0,27,0,0,0,3,0,0,5,0,0,13,0,0,0,7,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,10,0,4,0,6,5,0,0,0,0,14,0,0,12,43,13,6,0,0,0,74,0,0,0,0,4,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,3,8,3,0,22,0,0,17,64,27,23,14,6,0,157,0,0,0,4,0,0,0,0,0,3
SOSR301,41,166,354,2049,1199,1075,1848,1288,402,8421,0,37,62,184,140,239,524,646,365,2208,105,642,1402,3675,1060,1417,1042,232,82,9666,418,3144,5040,31973,5190,2517,1698,801,272,51043,48,245,568,2063,842,427,494,271,95,5048,22,412,630,3510,891,380,249,107,26,6224,6,301,386,1006,481,265,136,41,5,2633,33,441,382,3057,1121,763,682,488,204,7170,16,125,198,1363,502,638,1268,1292,887,6289,77,367,628,2443,1236,390,212,88,45,5478,77,788,1347,7464,2195,760,314,123,20,13091,10,35,50,305,233,227,162,83,25,1135,68,552,1293,4350,1793,1606,1213,533,114,11525,0,8,15,44,43,126,286,227,64,809,0,8,52,255,119,158,162,79,27,856,3,114,427,1662,488,321,231,101,36,3383,14,143,1568,4342,210,119,34,9,0,6441,19,119,155,688,591,688,1568,1194,441,5468,801,7385,13081,35064,18822,14501,8825,3385,775,102649,0,4,14,178,121,161,134,65,17,691
SOSR302,12,63,146,907,485,636,1068,983,355,4652,0,12,15,69,47,111,167,176,72,664,25,220,257,659,242,305,221,46,10,1988,66,442,1030,5761,731,425,312,228,84,9076,15,85,175,542,277,155,194,55,41,1544,0,50,75,602,171,134,119,43,12,1202,0,7,31,117,56,52,34,15,9,317,3,140,130,744,379,300,319,232,91,2333,5,51,86,644,229,317,584,463,216,2591,36,260,438,1749,1242,596,307,110,32,4781,31,259,378,2051,719,394,130,65,13,4043,0,9,6,77,73,98,53,42,14,363,7,70,216,684,411,489,307,102,30,2318,3,0,0,19,23,106,236,237,61,688,0,7,35,168,56,100,105,46,18,526,0,0,20,74,48,25,18,18,7,222,8,32,381,1394,36,16,4,0,0,1873,3,36,74,308,252,329,861,669,298,2835,297,2691,5420,16158,10400,9369,7349,3613,940,56235,0,0,11,93,56,83,69,25,14,349
SOSR303,7,29,81,402,239,315,381,329,104,1892,0,3,5,22,18,32,40,41,26,197,3,20,56,217,51,77,53,16,5,502,39,309,655,3224,616,263,135,73,29,5346,14,52,74,250,128,60,62,23,14,678,4,11,34,112,31,37,23,12,0,272,85,706,541,586,184,69,46,18,4,2241,0,64,40,260,132,116,125,75,27,847,3,27,37,274,74,141,223,199,163,1139,9,102,121,700,635,186,59,22,12,1845,10,99,75,880,183,31,14,4,0,1308,0,0,0,11,12,13,10,8,7,56,8,47,62,327,157,196,86,34,12,938,0,0,4,10,6,34,50,25,8,134,0,4,6,45,9,29,20,10,10,127,0,4,24,173,44,23,15,9,0,283,12,138,374,873,30,12,9,0,0,1453,3,16,30,148,125,140,294,210,74,1026,71,423,750,2595,1962,1915,1348,524,106,9702,0,0,0,3,5,3,6,3,0,20
SOSR311,3,13,12,96,70,136,230,220,83,866,0,0,0,3,5,6,12,4,4,38,0,4,8,60,11,34,11,0,0,128,33,127,123,1173,205,69,37,37,6,1826,0,9,10,86,37,27,30,12,3,220,0,4,8,48,10,11,6,8,3,83,0,4,0,11,10,0,0,0,0,32,3,25,14,103,39,35,46,40,21,330,3,3,3,56,19,41,95,86,77,393,4,15,18,79,26,7,14,0,0,167,0,12,28,222,35,4,8,0,0,305,0,0,0,5,4,0,0,3,0,22,5,17,44,230,55,59,40,11,0,463,0,0,0,6,3,22,92,102,32,264,0,0,0,15,0,8,7,9,0,44,0,6,8,122,17,11,3,4,0,164,0,13,83,360,27,20,0,0,0,509,0,0,10,30,42,74,225,182,81,649,38,259,419,1270,1032,1165,1050,498,113,5841,0,0,0,0,0,3,0,0,0,6
SOSR312,0,5,5,37,37,50,135,124,31,415,0,0,5,0,0,11,7,8,9,36,0,0,3,10,6,8,8,3,6,53,9,52,47,351,63,21,17,14,6,583,0,6,14,30,24,4,18,13,3,107,0,0,0,17,3,3,4,0,0,32,0,0,3,0,10,0,4,0,0,10,0,3,16,27,18,22,29,22,9,151,0,5,5,19,8,15,46,26,15,137,0,9,5,23,13,14,5,0,0,75,0,3,0,27,11,6,0,0,0,52,0,0,0,0,0,0,0,0,0,5,0,4,11,32,30,29,16,6,0,123,0,0,0,0,0,6,16,14,0,38,0,3,0,5,4,8,0,5,0,19,0,0,0,12,0,3,0,0,0,22,0,0,10,49,0,0,0,0,0,60,0,0,8,15,20,50,122,81,29,327,10,98,242,674,567,643,631,276,65,3220,0,0,0,0,0,0,0,0,0,4
SOSR313,0,3,10,94,39,62,114,109,40,473,0,0,0,5,0,3,11,3,0,26,0,6,4,44,12,12,10,0,0,74,14,44,45,571,51,34,16,26,5,802,4,3,8,64,24,9,9,7,9,133,4,5,4,23,6,4,0,0,0,46,0,0,0,5,3,0,0,0,0,13,0,18,11,90,37,25,28,35,6,253,0,9,3,41,12,25,32,32,19,163,0,4,6,37,22,8,4,0,0,81,0,4,8,114,5,7,0,0,0,142,0,0,0,3,7,0,0,0,0,16,0,3,15,94,33,33,11,0,4,196,0,0,0,0,4,6,15,6,4,40,0,0,4,16,8,14,3,0,0,42,0,0,0,14,3,6,6,0,3,26,0,0,11,78,5,0,0,0,0,91,0,0,7,36,31,51,121,84,34,356,43,292,462,1552,836,781,642,230,39,4882,0,0,0,0,0,0,0,0,0,3
SOSR314,0,0,19,88,66,94,155,126,40,583,0,0,0,3,5,7,13,19,13,62,0,0,23,62,8,9,4,0,0,110,26,72,128,971,93,65,39,25,10,1418,3,18,15,114,36,22,21,8,6,239,0,0,0,19,10,0,0,0,0,38,0,6,0,10,6,0,4,0,0,36,0,16,23,114,43,41,24,27,9,302,0,3,16,76,20,59,138,214,185,715,0,5,24,114,48,9,11,5,0,222,0,6,24,173,10,9,6,0,0,222,0,0,0,0,6,0,0,0,0,9,0,12,16,92,38,46,19,5,0,236,0,0,0,0,5,12,16,15,7,60,0,0,0,16,4,4,8,3,0,42,0,7,6,77,12,11,0,0,0,114,0,0,16,87,0,0,0,0,0,103,0,5,11,23,32,60,135,102,27,395,25,187,360,1302,1023,936,675,288,55,4855,0,0,0,0,0,6,0,0,0,11
SOSR315,0,9,28,160,85,169,279,237,57,1021,0,0,0,3,6,9,17,7,10,38,0,5,7,38,11,32,15,0,0,107,5,26,58,412,61,45,44,43,8,694,6,8,18,110,31,22,32,14,4,247,0,0,0,25,12,10,0,0,0,53,0,0,0,4,0,0,6,0,0,12,0,12,16,106,57,52,72,47,17,372,3,4,6,102,31,39,156,168,138,637,4,12,19,82,36,17,11,0,0,185,3,3,20,197,10,8,5,0,0,243,0,0,0,0,3,7,5,0,0,16,0,6,10,71,44,76,27,9,0,253,0,0,3,0,8,23,48,32,5,112,0,0,0,4,9,9,15,12,0,55,0,0,0,16,3,4,5,4,0,39,0,0,36,137,0,4,0,0,0,188,0,11,16,65,59,107,288,177,56,776,24,209,377,1591,1409,1504,1301,509,74,7003,0,0,0,0,4,3,4,0,0,13
SOSR321,0,0,9,56,45,79,126,87,25,430,0,0,0,0,0,8,3,3,0,14,0,0,0,8,0,0,3,0,0,21,4,10,11,108,17,11,14,11,7,197,0,3,7,21,15,11,14,5,4,81,0,0,0,3,0,0,3,0,0,10,0,0,0,3,0,0,0,0,0,5,0,4,9,33,11,19,28,14,3,124,3,4,0,21,11,12,46,32,18,141,0,5,3,27,11,7,3,0,0,59,0,8,6,34,0,4,0,0,0,43,0,0,0,0,0,0,0,0,0,6,0,3,0,23,15,23,17,4,0,89,0,0,0,0,4,9,22,11,8,56,0,0,0,8,0,3,5,6,0,16,0,0,0,6,3,0,0,0,0,7,0,0,0,16,0,0,0,0,0,21,0,4,3,31,30,55,115,73,12,320,3,65,92,480,461,573,536,196,22,2436,0,0,0,3,0,0,3,0,0,9
SOSR322,0,4,6,23,14,33,59,42,6,178,0,0,0,5,0,0,5,0,0,11,0,0,4,0,0,0,0,0,0,9,0,4,0,43,5,6,3,7,0,71,0,0,0,6,5,4,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,3,11,10,7,0,56,0,0,0,7,4,7,19,30,41,106,0,0,0,17,3,3,0,0,0,27,0,0,0,10,0,0,0,0,0,15,0,0,0,0,4,0,0,0,0,0,0,0,3,3,3,5,0,0,0,25,0,0,0,3,0,3,4,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,18,0,0,0,3,3,18,52,32,3,107,0,19,23,163,166,240,226,72,11,923,0,0,0,0,0,0,0,0,0,0
SOSR331,0,10,45,322,256,398,525,322,63,1942,0,0,0,4,4,8,25,10,4,68,4,11,29,41,20,34,14,7,0,160,6,31,52,298,109,84,86,51,11,713,3,10,30,103,49,31,64,35,11,344,0,0,0,18,8,7,5,5,0,43,0,0,4,11,3,11,0,0,0,20,0,28,33,179,123,86,79,76,19,614,0,0,8,79,33,102,288,222,121,853,0,10,16,129,62,39,26,9,8,299,0,11,23,85,13,10,11,0,0,164,0,0,3,0,0,12,10,0,0,35,0,8,17,108,87,128,74,25,0,442,0,3,0,9,14,33,107,63,14,249,0,3,3,9,4,13,19,6,0,57,0,0,0,15,0,14,3,0,0,39,0,4,7,29,0,4,0,0,0,40,5,21,24,114,174,239,487,312,46,1417,17,192,423,2009,2305,2664,1974,588,89,10269,0,0,0,3,7,5,0,3,0,20
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,14,46,11,11,12,5,0,101,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,3,0,0,14,0,0,8,31,5,0,3,0,0,48,0,0,0,23,0,0,4,0,0,34,0,0,0,3,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,4,0,0,5,31,5,12,3,3,0,51,0,0,5,31,0,3,4,3,0,54,0,0,7,13,0,0,0,0,0,21,0,0,0,27,0,0,0,0,0,29,0,0,0,0,0,6,0,0,0,3,0,0,3,21,0,0,0,0,0,29,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,8,0,3,3,11,4,14,26,7,0,72,3,6,29,149,94,117,145,17,0,565,0,0,0,0,0,0,0,0,0,0
SOSR401,19,65,125,745,558,801,2053,1590,806,6770,5,42,102,280,261,907,1972,2435,1401,7393,54,217,930,1670,334,379,358,80,25,4039,373,3106,5886,26163,3792,1453,1014,504,193,42485,19,129,244,950,275,144,157,62,32,2004,30,396,721,2401,670,440,266,119,39,5075,0,94,185,659,319,201,82,32,3,1580,3,144,126,617,381,417,411,323,208,2637,11,92,141,756,542,1736,4368,4452,2929,15034,9,101,146,595,344,99,71,39,17,1430,20,226,581,1864,662,201,45,18,3,3619,9,70,89,415,289,350,299,168,57,1740,57,586,1220,3204,1069,798,851,385,76,8247,0,3,0,31,46,137,456,321,121,1122,0,11,26,95,46,29,18,15,4,238,5,114,403,1077,278,116,58,23,11,2083,23,419,1541,4777,162,65,34,8,0,7032,5,38,81,272,256,452,1426,1015,384,3927,61,434,719,2563,1743,1662,1297,503,127,9114,0,0,4,54,41,64,78,63,29,327
SOSR412,0,3,3,41,22,68,169,106,58,466,0,0,0,5,6,13,27,31,15,90,0,3,8,17,4,3,5,0,0,40,6,38,58,348,56,30,14,13,10,566,0,4,4,18,14,3,8,3,0,65,0,5,0,16,18,4,0,0,0,51,4,9,9,10,3,0,0,0,0,37,0,3,3,25,14,25,25,30,15,141,0,0,0,14,6,32,108,96,54,317,0,3,3,19,12,3,0,0,0,46,0,4,11,27,3,0,0,0,0,46,0,0,0,11,3,0,5,0,0,19,0,15,25,55,40,17,14,6,3,178,0,0,0,0,0,6,17,16,3,44,0,0,4,6,3,0,0,0,0,18,0,5,27,105,45,18,3,10,0,218,0,0,4,36,0,0,0,0,0,39,0,4,3,17,39,42,188,121,25,438,4,33,57,192,172,154,81,38,8,741,0,0,0,0,3,0,0,0,0,13
SOSR413,0,3,6,42,39,81,180,133,42,528,0,0,0,6,0,4,14,18,4,47,0,4,3,19,3,4,4,0,0,38,16,23,50,307,41,17,18,21,12,497,0,4,0,17,14,0,8,3,4,55,0,0,0,12,6,0,3,0,0,25,0,0,0,3,0,0,0,0,0,3,0,9,10,15,13,17,29,22,8,112,0,0,0,7,19,31,67,115,69,320,0,0,0,8,16,3,7,6,0,43,0,5,3,34,8,0,0,0,0,56,0,0,0,0,0,4,0,0,0,8,0,3,9,48,26,12,17,0,0,123,0,3,0,0,3,9,19,12,3,46,0,0,0,0,0,0,3,0,0,3,0,0,0,12,9,3,0,0,0,21,0,0,8,41,3,0,0,0,0,58,0,0,0,5,10,23,172,99,38,352,9,25,49,148,155,143,113,53,8,703,0,0,0,0,0,0,3,0,0,7
SOSR414,0,0,0,21,9,29,69,49,33,208,0,0,0,0,0,0,6,3,5,10,0,3,0,8,0,0,0,0,0,10,3,0,4,29,7,6,9,8,0,67,0,7,0,16,4,0,4,0,4,30,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,7,7,4,5,5,16,0,57,0,0,0,0,3,6,21,7,5,46,0,0,0,4,11,5,0,0,0,17,0,0,3,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,6,66,13,6,3,0,0,97,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,0,7,9,17,82,58,14,186,3,14,36,74,58,61,53,29,8,331,0,0,0,0,0,0,0,0,0,0
SOSR415,6,4,4,55,39,76,184,164,60,586,0,0,0,6,11,22,68,114,53,276,3,5,3,20,9,4,5,0,0,47,10,44,89,450,56,38,30,16,3,737,0,0,13,56,7,4,6,3,4,103,0,0,0,11,3,0,0,0,0,17,0,0,0,3,4,0,0,0,0,6,0,4,0,22,10,18,23,18,10,112,4,4,0,22,14,34,92,108,68,346,0,4,0,20,8,0,4,0,0,43,0,3,10,31,9,0,3,0,0,61,0,0,0,5,5,8,4,0,4,22,0,17,14,120,27,17,19,0,0,219,0,0,0,0,0,14,12,8,3,41,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,4,0,0,4,0,0,17,43,4,0,0,0,0,67,0,4,0,14,18,51,206,107,36,439,7,24,53,225,160,249,149,75,11,960,0,0,0,0,0,0,5,0,0,3
SOSR421,0,0,0,9,7,27,66,23,14,142,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,8,0,0,7,39,4,9,8,6,0,77,0,0,0,3,9,4,4,0,0,22,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,5,9,6,0,35,0,0,0,4,0,3,12,9,5,29,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,7,0,0,19,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,16,0,0,0,0,0,18,0,0,3,10,5,18,64,23,7,125,0,3,9,48,45,54,47,21,4,232,0,0,0,0,0,0,0,0,0,0
SOSR422,0,0,0,4,8,15,40,30,5,96,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0,5,42,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,3,7,0,21,0,0,0,4,0,3,5,9,0,28,0,0,0,3,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,6,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,3,0,0,0,5,7,15,42,17,3,92,0,3,0,44,30,36,35,17,0,175,0,0,0,0,0,0,0,0,0,0
SOSR431,0,7,6,69,68,145,222,116,33,673,0,0,0,5,13,49,104,110,42,315,0,11,7,13,13,3,3,0,0,47,0,16,25,168,48,56,46,15,5,389,0,5,6,43,17,11,6,0,0,86,0,0,3,15,9,7,0,0,3,36,0,0,0,4,3,0,0,0,0,8,0,0,4,40,31,40,26,21,5,171,0,0,4,17,18,76,175,149,72,517,3,0,3,18,21,11,0,0,0,51,0,0,12,23,3,0,0,0,0,32,0,0,0,5,4,7,7,3,0,26,0,4,25,99,24,32,15,0,0,201,0,0,0,0,3,9,23,15,0,48,0,0,0,0,0,4,0,0,0,6,0,0,0,3,0,0,4,0,0,6,0,0,3,15,0,0,0,0,0,24,0,3,4,44,38,91,256,123,15,567,7,54,50,262,236,287,197,54,9,1152,0,0,0,0,3,0,4,0,0,15
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,7,0,0,8,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,12,0,0,8,14,0,0,3,0,4,32,0,0,0,6,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,4,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,3,0,0,0,0,0,6,0,0,0,3,5,0,5,0,0,15,0,0,3,14,14,10,10,0,0,53,0,0,0,0,0,0,0,0,0,0
SOSR501,21,178,361,2274,1271,1132,1839,1285,336,8689,3,26,58,140,119,253,466,573,364,1999,64,345,759,2633,761,774,647,175,67,6221,469,3448,5129,32229,6225,4209,3476,2090,715,57989,134,683,1373,5682,2264,1183,1114,392,106,12937,22,323,524,3133,948,641,389,158,62,6198,15,250,377,1513,708,421,167,58,13,3524,61,855,901,7813,1876,1730,1543,973,345,16100,17,206,324,2410,965,1744,4241,3767,2426,16109,98,303,347,1819,1037,389,225,85,33,4341,54,344,425,3651,882,413,165,53,13,5998,3,45,63,317,231,228,179,65,12,1143,116,1303,3106,11070,4607,4251,4378,1780,434,31049,0,6,12,59,50,134,269,163,52,743,6,140,498,2140,563,666,538,245,111,4909,13,143,559,2836,1466,1557,1372,578,299,8838,14,112,728,3044,195,72,30,4,0,4201,31,141,242,866,702,714,1877,1520,663,6752,395,3590,5452,19622,10248,9991,5744,1772,339,57154,6,34,75,793,538,645,715,359,154,3318
SOSR511,0,3,8,38,23,41,80,50,14,260,0,0,0,3,4,3,6,9,3,25,0,6,3,27,4,7,0,0,0,48,5,58,25,362,58,30,24,18,8,586,0,9,18,73,15,6,7,0,0,132,0,5,0,30,5,0,0,0,0,46,0,7,4,20,6,5,0,0,0,43,6,18,30,110,55,34,43,17,4,326,0,0,6,23,16,27,100,89,67,325,0,8,0,28,20,4,0,0,0,63,0,3,12,87,12,0,0,0,0,116,0,0,0,15,6,11,7,5,0,45,0,9,11,86,34,25,19,14,0,194,0,0,0,0,0,8,4,6,0,18,0,0,3,24,6,9,10,8,3,59,0,3,4,25,7,8,6,4,0,51,0,4,7,53,0,0,0,0,0,62,0,6,0,20,36,34,89,61,22,275,17,143,208,698,430,427,261,65,19,2267,0,0,0,0,0,3,0,0,0,4
SOSR512,0,8,9,112,52,57,124,79,27,459,0,0,0,0,0,8,0,3,4,24,0,0,8,29,9,10,5,0,0,58,13,59,49,486,99,45,40,41,15,839,0,23,30,121,52,13,14,9,3,260,0,3,3,32,9,4,4,0,0,60,0,3,0,5,6,0,0,0,0,16,0,16,15,148,41,31,44,30,8,319,0,4,4,41,18,34,72,90,68,328,0,0,4,23,20,5,8,7,0,65,0,3,11,70,6,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,3,15,85,28,46,20,9,4,219,0,0,0,0,0,9,3,14,0,26,0,0,4,17,6,7,3,0,0,37,0,6,9,73,25,18,16,5,0,146,0,6,6,50,9,0,0,0,0,73,0,9,0,42,36,39,142,108,28,410,23,212,343,1186,678,765,412,133,30,3776,0,0,0,0,0,4,4,0,0,10
