SOSR_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
SOSR231,0,15,3,18,19,19,12,0,0,86,0,25,35,144,130,99,75,21,5,542,0,0,4,66,28,33,21,12,0,168,3,0,0,44,3,4,5,3,0,67,3,29,41,103,27,11,8,4,0,226,0,3,0,21,31,28,10,6,0,107,7,28,35,83,74,71,97,35,3,429,0,0,8,105,72,45,16,0,0,252,0,5,3,15,22,42,53,30,3,176,0,0,3,22,31,33,16,0,0,107,4,48,93,463,340,487,463,320,95,2305,596,1948,1673,3481,2746,3332,2997,1463,378,18628,9827,27628,24196,42680,31393,36977,32210,13965,2926,221807,0,0,0,4,0,0,0,0,0,12,8911,23303,19015,33902,25281,27552,20387,7787,2041,168187,0,0,0,4,3,0,0,0,0,13,0,0,0,8,5,5,3,3,3,33,0,0,0,13,7,0,0,0,0,24,0,8,7,34,16,8,3,0,0,73,3,7,17,96,66,67,36,11,3,301
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,7,0,0,0,24,0,0,0,17,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,17,0,0,0,7,0,3,0,0,0,16,0,0,0,5,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,6,0,0,0,8,3,3,0,0,0,12,3,6,4,11,4,0,0,0,0,25,0,0,0,3,4,7,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,7,7,47,21,6,14,0,0,116,82,152,196,811,414,269,123,20,10,2079,222,370,575,1944,912,644,392,90,15,5170,0,0,0,0,0,0,0,0,0,3,115,187,298,689,232,260,124,26,10,1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,14
SOSR301,35,253,318,833,378,226,169,56,12,2279,65,789,1619,4548,2514,1696,901,379,76,12588,25,203,437,1656,728,620,423,207,53,4333,64,273,412,2909,569,393,516,147,17,5295,28,284,555,988,160,75,32,9,0,2133,0,30,37,333,152,110,31,19,6,706,124,517,688,1567,714,569,407,178,35,4806,46,364,789,2346,1947,1684,1011,311,108,8605,3,52,102,350,293,287,212,134,34,1473,0,42,244,954,497,449,238,50,13,2478,300,2366,3881,13469,5116,4207,3064,1778,571,34749,2687,6017,6683,16602,6246,4887,3782,2467,1210,50574,71101,155326,154940,334348,144404,116187,86446,45868,14350,1122973,17,156,305,929,257,104,50,21,4,1832,62550,123943,111568,201890,92848,76286,60642,34537,15730,780001,8,97,110,679,121,74,27,7,0,1126,0,5,26,455,241,311,146,62,18,1268,17,89,232,2206,309,92,44,19,3,3007,3,30,63,374,231,172,111,43,17,1057,51,191,267,1392,467,346,202,74,41,3032
SOSR302,9,71,60,141,88,80,65,20,4,540,24,403,655,1852,1220,891,636,225,56,5959,0,25,53,181,85,74,73,46,13,554,14,59,90,370,93,57,58,24,4,767,12,127,136,243,65,29,16,0,0,632,3,8,10,103,76,72,38,26,6,336,47,234,235,641,327,330,317,143,35,2311,9,72,114,254,137,68,48,15,0,716,0,44,51,185,179,128,149,102,29,861,0,6,51,249,191,163,104,32,11,814,71,536,746,3507,1488,1482,1505,1050,348,10734,1003,2566,2605,7197,3306,2736,2482,1758,814,24470,23868,55623,51844,111579,56883,50456,45031,26774,8372,430423,0,0,10,36,17,6,0,0,0,74,20621,44915,39798,72736,38019,35144,31691,18125,7495,308535,3,12,17,105,29,3,3,4,0,183,0,0,5,175,93,138,69,35,7,516,4,70,217,2345,178,64,42,11,4,2942,3,17,20,66,25,20,12,0,3,161,23,123,142,922,286,212,165,60,15,1951
SOSR303,11,16,21,90,51,23,16,6,0,231,5,72,189,403,244,172,83,33,10,1216,3,36,59,217,90,52,38,17,4,514,3,13,12,120,16,9,10,0,0,178,7,59,89,162,29,10,7,0,0,368,9,5,3,24,9,5,5,3,0,73,12,41,73,239,110,93,92,43,8,704,0,31,52,125,81,27,19,5,0,344,0,3,12,47,21,46,39,24,9,200,0,14,37,111,100,67,40,16,5,386,63,468,584,1549,740,643,498,294,97,4938,734,1692,2656,5172,2233,1829,1317,715,304,16648,12864,29703,29626,57357,27227,24522,19068,9823,2945,213132,0,11,16,42,14,4,4,0,0,93,11139,24383,22948,41812,20332,18462,14725,8319,3662,165789,0,9,15,62,12,3,0,0,0,110,0,0,0,7,6,8,8,4,0,27,0,12,22,197,37,13,7,6,0,281,0,7,6,42,17,3,8,0,0,84,5,25,45,261,88,90,51,28,3,603
SOSR311,0,3,4,23,16,8,4,0,0,65,13,54,115,312,189,149,64,20,13,931,9,33,26,139,61,22,8,4,0,303,0,6,10,73,0,0,0,0,0,94,0,22,27,56,16,3,0,0,0,127,0,3,0,13,6,9,0,3,0,33,0,14,21,73,27,33,41,16,0,237,0,23,49,91,63,18,14,0,0,259,0,3,6,13,10,22,17,28,8,105,0,18,33,76,56,61,28,5,3,273,19,82,76,348,140,187,209,183,57,1308,364,885,995,2765,1375,1247,955,664,286,9531,7113,16874,14963,29784,14811,15413,13837,8386,2694,123868,0,3,6,9,5,0,0,0,0,15,6195,14412,12344,23681,12077,12728,11200,7195,3125,102964,0,5,9,67,15,6,0,0,0,102,0,0,0,0,0,3,4,0,0,10,0,3,18,59,29,9,3,0,0,127,0,4,3,7,6,0,0,0,0,22,0,12,3,95,33,35,28,12,4,231
SOSR312,0,3,0,5,3,3,4,0,0,26,3,30,37,110,84,54,31,27,0,390,0,5,4,23,3,3,3,4,0,47,0,0,0,4,0,0,0,0,0,4,0,10,11,11,7,0,0,0,0,33,0,0,0,5,0,0,5,0,0,8,4,14,6,33,22,21,24,9,4,133,0,5,7,6,3,4,0,0,0,22,0,3,3,11,3,13,11,12,0,57,0,0,0,12,19,14,13,3,0,61,5,14,26,105,85,77,128,85,27,555,122,336,298,752,438,438,368,282,91,3131,2481,6037,5372,10513,5819,6475,6492,3741,1107,48034,0,0,5,5,0,0,0,0,0,4,2285,5198,4342,8409,4606,5284,4976,3091,1237,39417,0,0,0,13,0,8,0,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,9,3,0,0,0,0,16,0,5,4,14,8,0,0,0,0,29,3,7,0,29,19,17,13,3,0,95
SOSR313,0,0,0,6,13,5,3,0,0,28,14,64,77,211,133,97,50,23,3,679,0,6,6,53,11,10,9,0,0,90,0,8,10,57,0,0,0,0,0,80,0,15,17,25,5,0,0,0,0,58,0,0,0,4,5,0,0,0,0,10,3,20,20,48,28,32,40,11,3,214,0,8,7,26,12,3,0,0,0,61,0,0,5,23,6,14,14,13,4,72,0,13,29,69,52,39,12,6,0,213,4,44,77,370,114,123,114,108,23,979,285,642,696,1910,820,744,467,296,127,5994,5703,12230,9864,20495,9326,8991,7595,4253,1192,79658,0,0,4,0,0,0,0,0,0,12,4859,10676,8137,16569,7564,7351,6208,3507,1438,66309,0,0,0,5,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,7,0,0,4,24,3,3,0,6,0,39,0,7,0,19,8,5,0,0,0,25,3,4,7,71,14,16,24,0,7,143
SOSR314,0,4,6,8,9,4,0,0,0,42,4,58,55,173,140,88,43,25,6,593,0,6,6,35,13,10,5,6,0,83,0,0,18,173,0,0,0,0,0,197,3,15,13,33,4,0,0,0,0,76,0,0,0,6,6,10,0,0,0,22,3,20,15,42,28,40,39,13,3,200,0,9,10,35,15,9,8,0,0,81,0,0,5,9,15,13,11,14,5,74,0,0,9,33,32,32,12,0,0,118,7,52,99,596,162,173,159,97,39,1393,291,896,950,2283,979,893,697,416,170,7575,5196,12333,9968,20597,10364,9732,8250,4672,1435,82553,0,3,0,4,0,0,0,0,0,12,4540,10384,7768,15663,7924,7352,6314,3636,1522,65097,0,0,6,15,0,0,0,0,0,20,0,0,0,3,0,0,3,0,0,10,0,3,4,33,8,0,0,0,0,49,0,3,0,6,0,0,0,0,0,10,0,6,8,49,23,19,18,8,3,137
SOSR315,0,3,3,7,11,13,11,3,0,49,4,29,53,176,128,93,70,25,9,576,0,3,4,21,11,15,6,4,0,67,3,9,5,47,3,0,0,0,0,68,4,18,12,32,13,7,4,0,0,78,0,0,0,4,3,0,0,0,0,7,0,13,30,70,55,57,65,34,6,338,0,19,16,79,15,11,7,0,0,145,0,0,3,21,24,19,29,15,3,118,0,3,10,40,35,38,23,6,0,155,3,44,96,527,197,231,263,182,57,1601,462,1110,1192,3298,1579,1670,1326,717,268,11619,7485,17511,14080,29587,15711,16885,15954,8151,2209,127573,0,0,0,0,0,0,0,0,0,3,6655,14978,11327,23460,12089,12948,11437,5726,2325,100944,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,4,0,0,13,43,23,10,4,0,0,91,0,0,0,15,0,0,0,0,0,22,0,5,14,74,30,43,30,19,3,219
SOSR321,3,0,0,3,3,7,6,0,0,19,0,10,26,58,50,47,35,17,0,241,0,0,4,10,3,3,5,0,0,23,0,6,0,7,0,0,0,0,0,8,0,5,3,10,0,3,0,0,0,25,0,0,0,0,0,0,0,0,0,4,0,8,8,15,24,23,34,12,4,126,0,0,3,4,0,0,0,0,0,10,0,0,0,3,8,11,11,3,0,47,0,0,0,6,12,14,17,0,0,58,0,17,31,135,91,118,106,83,16,596,170,512,404,1010,611,673,553,353,88,4380,2663,6794,5133,10098,6372,7293,6753,3373,683,49160,0,0,0,0,0,0,0,0,0,0,2235,5636,4039,8337,4959,5636,4536,2088,654,38122,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,3,6,15,6,0,3,0,0,29,0,0,0,5,0,4,0,0,0,7,4,0,0,36,14,18,21,7,0,97
SOSR322,0,0,0,0,0,0,3,0,0,8,0,3,3,21,8,21,9,0,0,74,0,0,0,5,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,4,0,0,4,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,10,8,6,7,6,0,33,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,3,0,8,0,0,3,3,9,8,7,0,0,22,0,5,0,48,17,38,51,40,8,207,81,238,177,467,295,368,296,198,43,2156,1178,2753,2078,4252,2708,3684,3343,1605,312,21912,0,0,0,0,0,0,0,0,0,0,1091,2384,1695,3598,2148,2742,2230,1043,289,17214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,4,4,9,0,12,8,4,0,43
SOSR331,0,14,6,16,15,21,6,7,0,99,9,70,125,357,289,274,128,62,9,1335,0,5,0,27,8,12,26,8,0,95,0,0,9,44,12,15,14,10,0,105,9,33,27,87,16,5,0,0,0,180,0,0,0,0,4,6,0,0,0,19,9,41,48,100,79,138,157,62,7,639,0,9,13,54,51,54,21,3,0,208,0,3,9,23,39,51,48,29,4,205,0,8,16,69,96,97,59,12,3,353,12,88,177,828,358,524,497,319,68,2879,723,2235,2221,5466,3915,4106,2955,1381,304,23301,10777,29669,24818,47264,34129,38217,31383,14142,2696,233099,0,0,0,0,0,0,0,0,0,0,9465,24658,18902,35924,25448,26516,19481,7946,1761,170098,0,0,0,0,0,0,0,0,0,4,0,0,0,6,4,3,5,0,0,19,0,4,4,52,17,6,0,0,0,89,0,0,0,24,22,13,3,0,0,69,0,18,23,152,83,97,73,13,5,466
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,67,29,3,0,0,0,109,0,0,4,91,42,3,3,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,4,0,0,0,0,0,4,6,0,4,17,3,6,8,4,0,49,0,0,0,0,0,0,0,0,0,8,0,0,0,14,0,0,0,0,0,14,0,0,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,9,8,7,3,0,0,35,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,6,0,0,11,0,6,21,121,14,24,23,7,0,217,37,63,162,602,259,226,173,37,5,1560,277,478,719,2497,1042,1297,1253,283,23,7861,0,0,0,0,0,0,0,0,0,0,182,360,477,1102,563,778,567,98,19,4153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,4,15,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,9,4,5,4,0,0,21
SOSR401,20,113,173,434,159,97,120,42,10,1163,20,287,415,976,601,361,205,105,20,2994,29,202,269,1255,388,182,100,62,15,2496,4,30,73,376,39,34,20,11,0,596,16,80,160,511,64,35,8,5,0,883,0,14,9,122,60,44,37,26,11,322,51,213,234,590,297,267,217,100,21,1992,35,275,698,1914,1387,1463,883,229,84,6971,3,27,54,166,180,249,190,124,55,1052,5,31,57,210,118,82,36,6,4,543,151,1382,2304,6557,2876,2405,2035,1406,621,19738,927,2194,2540,6847,3002,2759,2228,1626,830,22963,34504,74161,78175,171886,76573,71483,58214,32643,12507,610146,22,272,745,1642,460,200,75,17,3,3443,30628,59680,55324,106227,52579,49678,40263,21598,10639,426603,13,121,95,649,96,34,7,4,0,1020,0,7,14,357,204,270,164,79,23,1114,10,56,43,786,70,22,13,4,0,1002,9,61,110,691,394,305,239,75,31,1911,27,73,77,429,160,161,98,36,7,1070
SOSR412,0,4,7,12,3,3,0,0,0,24,5,40,43,80,65,26,18,7,0,285,0,5,8,28,20,5,0,0,0,65,0,0,0,13,0,0,0,0,0,11,0,36,42,21,4,0,0,0,0,100,0,0,0,0,0,0,0,0,0,4,0,10,12,41,17,15,14,7,0,112,0,4,4,8,9,0,6,0,0,28,0,0,5,11,13,31,8,9,6,78,0,5,11,22,20,8,6,0,0,63,4,34,30,147,75,103,131,62,29,609,107,271,255,582,313,276,262,176,91,2335,2896,6459,5986,11720,6024,5918,4848,2729,990,47572,0,0,0,0,0,0,0,0,0,0,2546,5536,5024,10191,5142,4512,3608,2276,896,39734,0,3,0,6,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,11,0,0,0,15,6,0,5,0,0,22,0,0,0,11,0,0,0,0,0,19,0,0,8,27,9,15,3,3,0,80
SOSR413,0,5,0,0,3,0,3,0,0,16,0,20,18,40,35,23,16,14,0,171,0,0,0,28,3,3,4,0,0,44,0,0,0,8,0,0,0,0,0,9,0,6,6,6,3,0,0,0,0,20,0,0,0,4,4,0,3,3,0,15,4,12,8,28,18,26,18,13,0,122,0,14,6,54,14,8,7,0,0,101,0,0,0,6,3,22,19,13,3,61,0,0,3,4,12,8,4,3,0,39,7,24,36,200,75,82,84,71,31,604,102,259,249,628,340,381,289,230,110,2599,2360,5372,4938,9947,5437,5845,5811,3729,1181,44620,0,0,0,0,0,0,0,0,0,0,2069,4798,4155,7877,4588,4879,4926,2918,1278,37492,0,3,0,13,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,6,0,4,0,5,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,15,0,0,6,21,9,10,8,0,5,58
SOSR414,0,0,0,0,0,3,0,0,0,5,0,7,0,23,7,6,5,0,0,54,0,0,0,9,0,0,3,0,0,19,0,0,0,3,0,0,0,0,0,3,0,4,3,7,0,0,0,0,0,22,0,0,0,4,0,0,0,0,0,4,0,4,3,3,4,3,17,3,0,41,0,6,0,7,4,0,4,0,0,22,0,0,0,3,3,8,9,0,0,22,0,0,0,7,0,5,3,0,0,20,0,9,8,43,18,30,30,23,5,160,30,70,63,179,107,96,117,110,50,818,803,1742,1509,3265,1759,1905,2281,1544,451,15259,0,4,10,21,4,0,0,0,0,39,724,1582,1314,2800,1480,1661,1953,1137,440,13089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,4,0,0,0,0,3,0,0,3,3,3,0,0,0,0,12,0,0,5,9,0,4,5,0,0,29
SOSR415,0,0,0,3,3,0,0,0,0,13,0,7,18,43,38,34,17,11,0,167,0,9,4,58,9,0,4,0,0,84,3,0,3,19,0,0,0,0,0,21,0,3,9,15,5,0,0,0,0,31,0,0,0,3,0,0,5,0,0,15,0,11,5,32,14,18,22,8,0,118,0,9,7,33,24,26,11,3,0,101,0,0,6,9,4,18,10,15,11,73,0,3,5,14,9,9,5,0,0,46,0,19,57,188,73,93,125,86,26,665,127,364,338,871,510,563,533,412,174,3888,3040,6978,5918,12361,6840,7954,7952,4589,1568,57207,0,0,3,20,5,0,0,0,0,32,2817,6232,4714,10359,5789,6100,6085,3704,1793,47585,0,0,0,7,0,0,0,0,0,6,0,0,0,6,0,3,0,0,0,8,0,0,0,11,0,5,0,0,0,17,0,5,0,14,0,3,0,0,0,31,0,3,0,16,3,10,5,3,0,52
SOSR421,0,0,0,0,0,0,0,0,0,3,0,6,5,15,10,3,6,4,0,49,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,0,0,7,0,3,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,4,0,0,3,20,0,0,0,6,4,0,0,0,0,9,0,0,6,3,0,3,0,0,0,17,0,0,4,3,0,0,0,0,0,13,0,3,16,72,20,22,22,17,7,170,41,94,94,267,165,198,202,118,55,1235,798,1854,1511,3169,1901,2441,2443,1228,448,15796,0,0,0,0,0,0,0,0,0,0,750,1622,1296,2769,1585,1901,1786,969,520,13190,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,18
SOSR422,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,3,5,0,0,29,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,15,0,0,0,0,0,5,0,0,0,7,0,0,0,11,11,20,33,21,8,104,15,85,63,132,123,173,170,78,20,857,441,1041,912,1796,1228,1682,1655,805,198,9764,0,0,0,0,0,0,0,0,0,0,414,893,716,1558,942,1235,1046,537,173,7520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SOSR431,0,3,6,3,3,6,0,0,0,28,0,16,17,59,47,36,18,3,0,204,0,0,0,17,7,4,0,0,0,35,0,0,0,6,0,0,3,0,0,13,4,6,8,22,7,0,0,0,0,47,0,0,0,0,3,11,6,0,0,19,8,8,12,22,23,22,26,16,0,139,0,9,0,40,61,63,26,13,0,217,0,0,0,3,5,20,27,10,7,79,0,0,0,15,14,13,5,0,0,57,0,14,39,143,79,152,157,84,20,688,173,538,587,1215,926,1090,898,458,110,5989,3427,9486,8132,14781,10966,13220,10839,4625,878,76352,0,6,0,0,0,0,0,0,0,6,3178,8047,6202,11651,8398,8862,6504,2379,510,55738,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,8,0,0,0,9,0,0,3,0,0,18,0,0,4,25,8,9,10,0,0,54,0,0,5,45,15,21,20,0,0,113
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,0,4,3,0,0,49,15,24,31,108,56,70,42,0,0,340,77,128,182,613,299,311,214,40,7,1873,0,0,0,0,0,0,0,0,0,0,43,101,146,348,124,133,95,13,3,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,44,482,804,2113,1136,1011,881,331,86,6889,78,994,2637,5931,3905,2688,1438,549,120,18343,21,252,483,1847,774,430,379,189,49,4433,20,65,58,794,96,39,49,11,0,1144,37,478,627,768,160,62,47,8,3,2200,7,36,44,302,146,118,51,27,6,736,116,464,542,1200,574,618,477,202,44,4229,46,321,518,2095,1629,1462,835,241,99,7245,9,90,205,695,538,540,471,306,87,2939,4,157,617,1693,1115,887,406,133,34,5046,235,2410,3635,14006,5474,4663,3465,2061,590,36550,2049,4506,5053,17532,7384,5785,3883,2766,1617,50572,64683,134500,125463,292188,130284,111637,86701,46197,15377,1007026,10,146,370,1185,304,167,83,35,0,2305,57397,105712,84012,153556,67890,57105,47418,25016,11432,609524,5,120,102,774,132,64,54,11,0,1265,0,8,24,521,254,387,208,70,28,1505,16,94,110,1809,238,108,53,24,4,2461,7,37,47,362,156,118,74,14,10,829,35,162,234,1225,488,411,223,79,33,2896
