SAL_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
SAL13194,311,382,141,15,123,163,27,49,363,32,376,2770,163,4326,16,9,10,0,0,3,0,4,10,0,9,65,4,109,38,19,13,0,13,21,0,4,22,3,26,172,5,288,6,6,0,0,4,5,0,0,6,0,7,77,5,113,17,0,6,0,5,16,3,3,0,0,8,69,0,104,19,13,3,4,19,16,3,0,6,7,16,102,3,161,20,15,4,6,24,6,3,0,12,0,25,250,3,340,53,27,32,34,53,40,7,6,17,15,128,836,29,1151,24,27,12,3,53,23,6,0,13,7,32,406,6,551,10,9,5,0,12,5,0,0,12,0,10,84,3,132,13,10,9,0,5,5,5,0,10,0,6,91,0,129,205,134,90,46,185,131,33,19,108,24,274,2139,57,3076,0,0,0,3,0,0,0,0,0,0,0,19,166,192,519,514,225,70,306,297,62,66,474,51,652,4932,384,7588,162,259,73,0
SAL13195,1189,1590,339,83,625,478,154,290,2129,139,1306,6320,448,11816,41,54,7,0,40,31,9,8,49,4,30,327,15,517,157,67,39,18,74,77,15,47,88,24,84,245,15,630,51,18,15,19,26,31,6,8,36,5,29,93,5,233,66,16,15,9,46,48,15,16,33,6,44,154,9,328,25,14,0,0,24,12,3,8,21,5,20,143,9,230,28,47,16,0,42,15,5,3,31,0,57,524,16,711,17,6,8,0,30,15,7,0,17,6,43,388,9,500,23,33,3,6,62,14,5,4,18,0,48,693,14,849,31,16,11,4,18,14,3,4,34,3,19,110,3,189,10,10,5,0,10,10,0,0,16,4,10,131,7,194,451,279,112,59,377,270,69,101,345,59,389,2823,101,4386,44,13,0,4,34,20,9,18,35,9,20,58,1598,1759,1676,1878,454,149,1038,769,227,398,2507,198,1713,9200,2148,17966,417,913,128,0
SAL13196,20,23,4,0,4,10,0,11,19,0,12,131,9,202,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,0,4,4,0,0,0,0,0,11,0,20,3,0,0,0,0,0,0,0,0,0,0,5,0,3,4,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,5,3,0,0,6,0,4,29,0,41,0,0,0,0,0,0,0,0,0,0,0,5,9,20,32,23,8,0,7,8,0,9,26,3,14,158,18,263,6,14,4,0
SAL13197,351,478,140,16,155,158,27,62,447,41,453,4146,211,6005,26,19,11,7,22,12,8,4,14,0,30,193,15,310,29,9,5,0,17,12,7,7,18,5,22,103,3,178,10,4,4,0,0,5,0,0,4,0,8,48,4,86,113,20,37,14,81,76,12,17,42,19,61,359,17,670,40,15,13,4,42,28,13,8,11,4,34,157,3,291,36,38,20,0,53,11,4,4,22,3,60,523,26,745,87,39,54,12,117,69,21,13,48,26,155,1512,88,2056,12,24,6,0,32,9,0,0,10,0,35,1265,24,1403,21,15,0,0,6,8,0,0,14,0,13,131,11,204,17,5,0,0,12,4,5,0,6,0,3,52,0,85,382,187,150,37,379,242,63,53,196,60,432,4342,200,6031,13,0,0,0,9,8,0,3,9,3,6,34,495,559,752,668,290,51,544,411,92,122,646,103,888,8528,902,12592,194,347,86,0
SAL13198,0,0,0,0,0,0,0,0,0,0,0,4,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,4,14,22,0,0,0,0
SAL13199,5,3,0,0,0,0,0,0,0,0,0,39,0,52,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,33,0,0,0,0,0,0,0,0,0,0,0,0,12,12,5,3,0,0,0,0,0,0,3,0,4,73,13,99,5,3,0,0
SAL13200,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0
SAL13201,62,51,24,4,19,27,4,9,41,5,45,298,22,520,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,0,0,0,0,0,0,0,0,0,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,7,0,0,12,0,28,0,0,0,0,0,0,0,0,0,0,0,0,18,15,74,51,24,4,18,26,10,9,46,5,52,319,44,567,29,30,14,0
SAL13202,273,633,109,12,125,127,25,67,883,24,481,3366,180,5506,21,19,9,0,11,10,3,0,18,0,26,126,5,201,31,39,12,0,10,8,3,0,51,3,32,264,18,433,7,9,3,0,5,4,0,3,15,0,4,88,3,132,86,16,29,18,76,41,9,8,45,9,55,213,13,459,11,8,3,0,19,12,4,4,10,4,8,42,4,91,12,11,0,0,10,3,0,0,16,8,24,208,4,285,4,8,6,0,6,4,0,0,9,0,9,159,5,195,5,14,0,0,5,0,0,0,5,0,8,103,5,131,9,21,3,0,0,3,0,0,26,3,23,172,7,249,4,4,0,0,0,0,0,0,14,0,0,38,6,69,187,141,73,21,138,88,27,28,206,23,198,1414,66,2251,3,0,0,0,4,0,0,0,0,0,3,23,410,445,462,768,187,35,269,217,54,89,1084,52,679,4799,653,8200,189,521,70,0
SAL13203,57,35,17,9,28,24,3,8,56,9,41,383,31,603,0,4,0,0,0,0,0,0,0,0,0,4,0,12,5,3,0,0,3,3,0,0,3,0,3,8,0,20,0,0,0,0,0,0,0,0,0,0,3,4,0,9,8,0,0,0,0,0,0,0,0,0,3,5,0,15,0,4,0,0,0,0,0,0,0,0,5,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,15,11,0,0,9,10,0,0,8,0,10,39,3,77,0,0,0,0,0,0,0,0,0,0,0,0,38,36,72,47,23,10,34,34,6,6,57,6,52,420,75,716,31,23,6,0
SAL13204,26,35,10,0,12,15,0,0,37,4,29,184,11,302,0,5,0,0,0,0,0,0,0,0,0,3,0,11,9,6,3,0,4,3,3,0,6,0,5,25,5,40,0,0,0,0,0,0,0,0,3,0,4,3,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,5,0,4,3,5,0,14,0,11,48,0,91,0,0,0,0,0,0,0,0,0,0,0,0,14,17,32,49,17,0,22,18,3,4,50,4,41,225,32,406,12,31,7,0
SAL13205,40,28,13,3,21,12,5,8,36,4,32,331,18,489,0,7,0,0,0,0,0,0,0,0,0,7,0,17,4,0,4,6,4,3,3,0,4,0,4,16,0,37,3,0,3,0,0,0,0,0,4,0,4,24,0,34,9,0,0,0,5,6,0,0,0,0,8,23,0,45,3,0,0,0,0,0,0,0,0,0,6,3,0,14,5,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,4,0,0,0,0,0,0,19,0,25,0,0,0,0,0,0,0,0,0,0,0,6,0,8,8,3,0,0,0,0,0,0,4,0,0,16,0,26,0,0,0,0,0,0,0,0,0,0,0,3,0,3,24,11,11,6,13,8,6,4,10,0,19,129,0,206,3,0,3,0,4,4,0,0,0,0,4,0,20,27,68,47,28,10,39,26,12,14,48,8,59,458,39,721,21,23,10,0
SAL13206,3,9,0,0,4,3,0,0,0,0,0,53,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,0,0,4,3,0,0,0,0,5,52,6,77,0,0,0,0
SAL13207,29,18,12,0,12,9,4,6,18,4,11,179,5,263,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,8,36,19,11,0,11,12,3,7,18,4,16,185,11,276,19,13,4,0
SAL13208,10,11,13,0,8,7,0,0,15,0,9,69,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,11,8,0,8,7,0,0,10,0,9,67,12,128,11,4,9,0
SAL13209,19,16,4,0,9,11,0,0,15,0,3,83,6,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,10,23,16,6,0,10,9,0,0,15,0,6,95,13,157,14,12,4,0
SAL13210,8,10,5,0,11,9,0,0,8,0,13,132,11,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,14,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,16,5,0,8,8,0,5,10,0,14,150,10,221,8,3,0,0
SAL13211,392,390,148,18,153,168,33,54,316,28,357,3220,180,4818,6,11,0,0,4,3,0,0,0,0,4,68,0,96,23,13,6,0,13,16,0,0,8,0,9,85,3,141,12,3,6,0,3,5,0,3,5,5,7,39,0,65,28,3,12,10,15,21,0,0,7,5,17,143,16,242,32,13,3,4,32,17,3,7,5,0,27,134,19,234,4,10,0,0,11,6,0,0,4,0,14,191,0,232,6,9,5,0,7,4,0,0,0,3,14,194,5,232,3,0,0,0,12,0,0,0,0,0,9,70,0,99,10,3,5,0,6,0,0,0,5,0,9,37,0,57,3,4,0,0,0,0,0,0,4,0,0,23,6,49,133,65,42,9,102,76,18,21,43,24,102,979,52,1444,4,3,0,0,4,5,0,0,5,0,0,11,122,152,528,458,192,34,258,248,43,68,360,51,458,4209,354,6413,154,239,52,0
SAL13212,383,458,138,8,174,160,32,74,461,36,348,2813,146,4456,4,7,8,0,7,7,4,0,6,0,5,37,0,72,52,19,21,0,25,30,7,5,21,6,22,130,10,279,11,7,3,4,7,6,0,5,5,0,6,30,4,66,8,3,9,0,8,4,5,5,0,3,4,24,0,45,0,0,0,0,0,0,0,0,0,0,0,10,0,16,4,0,3,0,3,4,0,0,0,0,4,23,0,29,0,0,0,0,0,0,0,0,0,0,0,14,0,20,4,0,0,0,3,0,0,0,0,0,0,7,0,15,9,5,3,0,3,0,0,0,4,0,0,28,0,48,13,6,3,5,7,10,0,0,9,0,6,16,0,40,105,40,55,13,68,63,13,12,53,11,57,313,20,628,9,0,3,0,0,6,5,0,3,0,0,22,161,202,492,501,189,23,247,224,47,85,523,44,402,3151,324,5282,185,273,69,0
SAL13213,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0
SAL13214,43,21,11,0,0,5,0,6,30,0,13,172,19,288,0,0,0,0,0,0,0,0,0,0,0,13,0,11,4,0,0,0,0,0,0,4,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,5,0,5,0,4,0,0,0,26,0,39,0,0,0,0,0,0,0,0,0,0,0,0,11,11,46,26,15,4,4,11,0,4,32,0,19,193,27,333,21,11,0,0
SAL13215,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0
SAL13216,42,26,15,0,10,9,0,17,46,4,32,146,12,284,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,15,0,19,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,25,0,38,0,0,0,0,0,0,0,0,0,0,0,7,26,38,39,30,17,0,11,13,0,16,47,4,31,174,39,352,20,17,3,0
SAL13217,26,18,0,0,9,5,0,5,4,0,7,78,8,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,35,33,28,17,0,0,15,11,0,5,4,0,7,77,39,175,14,6,0,0
