SAL_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
SAL10011,0,8,0,154,4,165,0,4,0,35,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,8,0,107,0,126,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17,0,19,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,35,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,7,0,0,0,0,10,15,23,12,10,257,11,317
SAL10012,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,3,16,10,29
SAL10013,0,0,0,11,4,17,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,4,4,0,0,0,16,14,30
SAL10014,64,111,68,500,0,739,3,3,0,26,0,35,185,0,9,9,0,206,21,0,4,10,0,41,18,4,10,5,0,39,173,54,46,355,0,628,215,12,3,8,0,237,6,5,0,6,0,18,18,0,4,27,0,49,21,4,5,18,0,50,5,9,0,6,0,23,651,5,6,0,0,662,29,12,13,113,0,174,48,19,6,59,0,134,39,0,0,0,0,39,15,3,7,10,0,31,0,0,0,0,0,0,38,14,9,52,0,115,28,5,8,6,0,40,7,13,4,3,0,29,20,0,0,3,0,24,5,0,0,0,0,7,10,8,0,0,0,18,37,17,3,89,0,144,6,0,0,5,0,13,33,4,4,3,0,44,50,3,0,0,0,52,36,0,0,0,0,40,16,0,6,3,0,18,3,0,0,14,0,20,878,43,28,29,4,982,31,0,0,6,26,56,2352,204,145,932,37,3668
SAL10015,0,12,4,87,0,104,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,24,12,6,104,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,56,0,63,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,4,4,0,30,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,18,0,0,0,0,50,54,60,16,13,197,52,339
SAL10016,20,223,160,2129,17,2557,0,13,7,171,3,186,71,0,4,22,0,100,12,10,0,4,0,26,15,17,3,39,0,79,232,213,159,2011,29,2642,33,6,10,0,0,46,9,0,0,18,0,31,38,25,18,187,0,263,35,6,11,31,0,85,4,3,4,11,0,17,41,10,0,0,0,60,73,50,47,716,0,892,71,25,8,121,5,226,12,0,0,0,0,12,3,3,0,15,0,26,74,7,6,21,0,107,6,3,0,19,0,31,9,3,4,4,0,20,13,11,10,15,0,48,13,9,3,30,0,55,8,4,0,0,0,10,0,0,0,3,0,4,82,76,46,536,0,737,13,0,0,8,0,33,19,0,4,0,0,23,8,4,0,10,0,21,0,0,0,0,0,0,15,0,0,0,0,14,11,3,5,45,0,61,248,65,71,101,3,492,7,0,0,51,203,266,986,451,335,4316,244,6335
SAL10017,49,253,190,1846,16,2355,0,7,0,144,0,157,78,6,3,16,0,102,14,3,0,3,0,18,27,6,8,32,0,72,248,204,134,1763,13,2367,15,4,6,6,0,35,12,0,9,10,0,26,37,28,0,159,0,225,43,10,3,22,5,78,9,0,0,0,0,12,39,7,0,6,0,48,58,47,30,660,3,798,87,20,5,80,0,191,11,0,8,0,0,16,0,0,0,21,0,23,108,13,0,23,0,137,0,4,0,17,0,20,9,4,0,5,0,25,26,15,13,4,0,59,31,15,0,17,0,60,4,0,0,3,0,11,0,0,0,0,0,3,69,61,35,509,0,676,18,0,0,6,0,24,17,3,0,4,0,28,14,4,0,6,0,17,0,0,0,0,0,0,12,0,0,0,0,18,21,16,5,49,0,91,189,56,60,107,3,416,3,0,4,14,85,100,991,453,295,3773,110,5621
SAL10018,4,19,5,379,4,410,0,0,0,37,0,40,0,0,0,5,0,7,4,0,0,0,0,0,4,3,0,0,0,4,29,13,13,359,0,413,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,28,0,34,0,0,0,3,0,7,0,0,0,0,0,0,4,0,0,0,0,4,11,3,0,116,0,131,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,9,0,0,0,0,0,3,4,0,0,0,0,4,0,0,3,0,0,4,0,0,0,0,0,0,12,7,5,78,3,96,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,9,0,30,0,0,0,12,41,61,80,34,16,756,50,938
SAL10019,0,0,0,33,0,35,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,30,6,0,6,65,28,101
SAL10020,0,0,4,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,3,4,4,24,0,32
SAL10021,6,40,24,312,3,388,0,3,0,43,0,52,11,0,0,0,0,9,0,0,0,3,0,3,12,6,0,6,0,21,44,43,27,266,0,382,0,3,0,0,0,0,0,0,0,0,0,0,12,7,5,21,0,44,15,0,0,8,0,22,0,0,0,3,0,3,8,0,0,0,0,7,12,5,0,41,0,56,13,4,0,8,0,22,0,0,3,0,0,0,0,3,0,0,0,3,16,0,0,4,0,16,60,22,4,72,0,147,5,0,0,3,0,9,3,4,4,0,0,7,4,0,0,0,0,9,5,0,0,3,0,3,0,0,0,0,0,0,9,4,3,42,3,60,0,0,0,0,0,0,4,0,0,0,0,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,11,6,5,0,53,0,0,0,3,40,42,220,89,44,603,39,996
SAL10022,74,95,45,702,19,935,4,38,6,402,10,454,39,0,0,3,0,44,5,0,0,7,0,15,8,3,3,4,0,19,120,68,43,516,25,771,23,0,0,0,0,25,4,0,0,6,0,12,25,8,8,50,6,89,11,0,0,6,0,20,0,0,0,0,0,6,72,0,0,6,0,76,18,4,6,122,0,146,13,7,0,22,5,44,6,0,4,0,0,9,51,31,7,5,0,96,6,0,0,0,0,6,6,8,0,8,0,12,25,9,4,0,0,36,19,5,3,3,3,38,6,0,0,0,0,9,3,0,0,0,0,5,192,14,22,4,5,245,14,9,6,65,0,94,3,0,0,0,0,3,0,0,0,0,0,3,5,0,0,0,0,9,0,0,0,0,0,0,20,0,0,0,0,21,0,0,0,3,0,5,544,29,18,39,11,647,22,4,8,23,368,428,1131,210,124,1367,429,3265
